Physical Time (s),enth_flux_viscous_bot Monitor (W): bot_cv1,enth_flux_viscous_bot Monitor (W): bot_cv2,enth_flux_viscous_bot Monitor (W): bot_cv3,enth_flux_viscous_bot Monitor (W): bot_cv4,enth_flux_viscous_bot Monitor (W): bot_cv5,enth_flux_viscous_bot Monitor (W): bot_cv6,enth_flux_viscous_bot Monitor (W): bot_cv7
0.13,2.7890186909781762e-10,3.1902657356258723e-12,-2.2836292637656154e-11,-1.9231445599680352e-11,-3.4379692066466164e-11,-1.4394911439217935e-10,-1.680675334743898e-10
0.1325,2.1799051926676555e-10,-6.9115519508440824e-12,-3.0824931291375553e-11,-2.1144858679730027e-11,-3.1705044310878955e-11,-1.2859537247523464e-10,-1.858553336295582e-10
0.135,1.5183531753282598e-10,-2.0807865223028106e-11,-4.6917445171870847e-11,-2.902775425266937e-11,-2.8219654678308292e-11,-9.3254124946136633e-11,-1.6481290738801008e-10
0.1375,8.7414419523017652e-11,-3.7383463613300166e-11,-6.9262088861892011e-11,-4.1133591253703993e-11,-2.4402830661334796e-11,-4.6735824212907906e-11,-1.0978990588991953e-10
0.14,3.1604286041159982e-11,-5.4727320297246208e-11,-9.4311280302659115e-11,-5.4793200530921267e-11,-2.090062577053825e-11,8.389525509812289e-13,-3.3497963115496057e-11
0.1425,-9.5036636985875936e-12,-7.0477586067935569e-11,-1.177966402889097e-10,-6.7323098456923608e-11,-1.8491122431640192e-11,4.0310018363343244e-11,4.6767807880021444e-11
0.145,-3.1354511060592104e-11,-8.2319076899115149e-11,-1.3577321107520608e-10,-7.6678992002899048e-11,-1.7809400257230462e-11,6.5157124243958677e-11,1.1326744134706066e-10
0.1475,-3.1856401879895072e-11,-8.854183353192757e-11,-1.4556054732185062e-10,-8.175349519367255e-11,-1.9041781872396295e-11,7.2428383257792059e-11,1.5199655464305634e-10
0.15,-1.2120208029951189e-11,-8.8496850417913458e-11,-1.4630690108700503e-10,-8.2376732661611965e-11,-2.1831812595740459e-11,6.2732772612832897e-11,1.5579429122924542e-10
0.1525,2.350443108515548e-11,-8.2718627386032812e-11,-1.3896083929526747e-10,-7.9104653922306042e-11,-2.5419193843251175e-11,3.9633601530705504e-11,1.2582438072649002e-10
0.155,6.8248579334947826e-11,-7.2706858028258515e-11,-1.2575913636773809e-10,-7.29669541959722e-11,-2.8935115183304813e-11,8.6246597902544391e-12,7.0882590165321662e-11
0.1575,1.1453352189086401e-10,-6.0444711028669937e-11,-1.0949036761470712e-10,-6.5218708498823655e-11,-3.1673386699562873e-11,-2.3985754801226009e-11,4.9086523359386354e-12
0.16,1.5573842763926451e-10,-4.7881983666661834e-11,-9.2819679049475751e-11,-5.7101553216428699e-11,-3.3190342091943543e-11,-5.2140966301782082e-11,-5.6656687813717694e-11
0.1625,1.8745198555167196e-10,-3.6594909320559858e-11,-7.7867678066222001e-11,-4.9637568649049912e-11,-3.3246328340654568e-11,-7.0885275621056645e-11,-1.0049711052437583e-10
0.165,2.0806330232791291e-10,-2.7622800667484327e-11,-6.605289172782229e-11,-4.3505350950712261e-11,-3.177213145751158e-11,-7.7063511570384984e-11,-1.1826027678005698e-10
0.1675,2.1869769445389955e-10,-2.1394119532797323e-11,-5.8046708460080631e-11,-3.900048367352198e-11,-2.8777300258127883e-11,-6.9819045871152224e-11,-1.0791199321020363e-10
0.17,2.2253643663415049e-10,-1.7778806193517926e-11,-5.3813773104111898e-11,-3.606576743956161e-11,-2.440870247018212e-11,-5.0765192094634754e-11,-7.3687659472930956e-11
0.1725,2.2359100894464076e-10,-1.623353860343265e-11,-5.2723353697867044e-11,-3.4374153498711547e-11,-1.9005343904193594e-11,-2.3763749541650767e-11,-2.4708323519018507e-11
0.175,2.2532877637383989e-10,-1.6055798651797053e-11,-5.3799480810334402e-11,-3.345689861271491e-11,-1.3122338291251335e-11,5.7953851640955377e-12,2.7331255473186529e-11
0.1775,2.2956068578400391e-10,-1.6649285468828897e-11,-5.604138047949807e-11,-3.2899918756144605e-11,-7.5078131508294484e-12,3.2087226280287033e-11,7.0884747627298491e-11
0.18,2.3607873765638437e-10,-1.7663061822190416e-11,-5.8705934215783636e-11,-3.2511333873649997e-11,-3.0051873575544755e-12,4.9991275174164228e-11,9.7024672017965963e-11
0.1825,2.430111985661813e-10,-1.9028023794023227e-11,-6.1471487508237043e-11,-3.2414624317865626e-11,-4.4454558174210959e-13,5.6073780155948165e-11,1.0113488080200365e-10
0.185,2.4770372047764646e-10,-2.0866883246703921e-11,-6.444078019842752e-11,-3.3040841060817185e-11,-5.1949899802871933e-13,4.9243811363105256e-11,8.3549340977259163e-11
0.1875,2.477698538584848e-10,-2.3361151387281319e-11,-6.7999447253260714e-11,-3.5006786938294928e-11,-3.6526479218002087e-12,3.0906137683223475e-11,4.913408203542812e-11
0.19,2.4190981786629833e-10,-2.6637447032179902e-11,-7.2615818491728676e-11,-3.8900474078000061e-11,-9.8571311592009903e-12,4.6512919093429807e-12,5.8028038936226121e-12
0.1925,2.3023239895981651e-10,-3.0694769354092568e-11,-7.8631085927001166e-11,-4.5035114150221154e-11,-1.8627005072187145e-11,-2.4618396295513521e-11,-3.7425955518825043e-11
0.195,2.1413832183627076e-10,-3.5368745425679915e-11,-8.6104815117346865e-11,-5.3246488018725584e-11,-2.891130409830891e-11,-5.1677110340991322e-11,-7.2290872847255888e-11
0.1975,1.9592562546279695e-10,-4.0344309591024327e-11,-9.4722726776866182e-11,-6.2812253485818789e-11,-3.9233367850992889e-11,-7.1914396382149822e-11,-9.273243869212899e-11
0.2,1.7824205692930358e-10,-4.519557734597643e-11,-1.0378570363857094e-10,-7.2518265716605821e-11,-4.7973662505415695e-11,-8.2190179018487638e-11,-9.5931065494767601e-11
0.2025,1.6341201525277801e-10,-4.9486757226084925e-11,-1.1235691948460224e-10,-8.0935031321486448e-11,-5.3731068758223684e-11,-8.145331406191447e-11,-8.2667950888020473e-11
0.205,1.5298378137724937e-10,-5.2866606183912274e-11,-1.1948632521360009e-10,-8.6779422462354929e-11,-5.5628690578405933e-11,-7.0759082816304657e-11,-5.6771238168530378e-11
0.2075,1.4763134925100168e-10,-5.5115083216486806e-11,-1.2442016718207429e-10,-8.9224631996360691e-11,-5.3501877347620003e-11,-5.2821948349909295e-11,-2.4059750970706543e-11
0.21,1.4731546308658401e-10,-5.6154688355947191e-11,-1.2675677109533995e-10,-8.8095235030291671e-11,-4.7929608459732363e-11,-3.141625253981878e-11,8.8916794355057774e-12
0.2125,1.5154972119200806e-10,-5.6026850668477188e-11,-1.2652179604847531e-10,-8.3930522332516931e-11,-4.0137451779185498e-11,-1.0598809253552015e-11,3.6036379112013861e-11
0.215,1.5964055300662908e-10,-5.4870488040943002e-11,-1.2412018334263562e-10,-7.785271190769729e-11,-3.1754266831727341e-11,6.0057103346176008e-12,5.2935064256338561e-11
0.2175,1.7082920389504513e-10,-5.2849489066672359e-11,-1.2022099777926139e-10,-7.1301822420418715e-11,-2.4484448929046859e-11,1.5813030041620603e-11,5.7449480776080531e-11
0.22,1.8429566705243683e-10,-5.0159820494775108e-11,-1.1558618207245711e-10,-6.5696992530908582e-11,-1.9751700485259395e-11,1.7648047745071361e-11,4.99779211524688e-11
0.2225,1.9915132721350646e-10,-4.7007282779271697e-11,-1.1091517798028757e-10,-6.210154061658032e-11,-1.83968273169538e-11,1.1801238614552185e-11,3.3097571632056145e-11
0.225,2.1441152612718223e-10,-4.360632485079624e-11,-1.0672023686549628e-10,-6.0984370417023372e-11,-2.0494080815871e-11,-1.1133210780064749e-13,1.0863403332837604e-11
0.2275,2.2903685384574806e-10,-4.0182046751964125e-11,-1.0326086608675697e-10,-6.2138291136525999e-11,-2.534671484578663e-11,-1.5538584993332145e-11,-1.2145119457333801e-11
0.23,2.4203463394821856e-10,-3.695185788812839e-11,-1.005400067444293e-10,-6.4760074419454069e-11,-3.164681874773756e-11,-3.1461246324892042e-11,-3.1713586552902839e-11
0.2325,2.5257157109641017e-10,-3.4107231537470526e-11,-9.835950813678765e-11,-6.7675898759693237e-11,-3.7761575541814409e-11,-4.4911003307702665e-11,-4.4757696155858454e-11
0.235,2.6011703263906167e-10,-3.178724911630603e-11,-9.6421700337296583e-11,-6.968366429661564e-11,-4.2132424308382294e-11,-5.348139134836161e-11,-4.9792888937277127e-11
0.2375,2.6452295417365139e-10,-3.0066656665209958e-11,-9.4458104857765829e-11,-6.9875277499448632e-11,-4.3626521589185748e-11,-5.5701281632895967e-11,-4.692502054210572e-11
0.24,2.6602689587051633e-10,-2.8966881136125795e-11,-9.234710558320378e-11,-6.7862586242849376e-11,-4.1769391595169807e-11,-5.1222089578901359e-11,-3.7588231471447341e-11
0.2425,2.6519043588760395e-10,-2.8479041582118411e-11,-9.0185162552048954e-11,-6.3868795376745786e-11,-3.6838112627489333e-11,-4.086209239146574e-11,-2.4090704298123735e-11
0.245,2.6277196038305024e-10,-2.8576548309370164e-11,-8.8281461911369234e-11,-5.8666075981363116e-11,-2.9792047233176102e-11,-2.6479449122228631e-11,-9.061401154980839e-12
0.2475,2.5956536757492815e-10,-2.9224764890077417e-11,-8.7079627073484318e-11,-5.3394331620348658e-11,-2.2060891520808433e-11,-1.0604742161413782e-11,5.0441351353261629e-12
0.25,2.5623339564974673e-10,-3.0379595365452803e-11,-8.703887345160818e-11,-4.9278238465871812e-11,-1.523121087860137e-11,3.9831901866595552e-12,1.6313662159381717e-11
0.2525,2.5319711774672254e-10,-3.1991654088633374e-11,-8.8505811605197433e-11,-4.735122369473503e-11,-1.0713474723943462e-11,1.4747917153888875e-11,2.3588816638038645e-11
0.255,2.5059380276270118e-10,-3.3997382057621434e-11,-9.1624719241346623e-11,-4.8230738946978593e-11,-9.4494365197950764e-12,1.9877489720132295e-11,2.6497215733883467e-11
0.2575,2.4830293210570502e-10,-3.632216270394617e-11,-9.6302298110681033e-11,-5.2000262780256793e-11,-1.1726880571195796e-11,1.8616268359842605e-11,2.5331719942595613e-11
0.26,2.4602842087211329e-10,-3.8877049708801136e-11,-1.0222155713981026e-10,-5.8212013232753842e-11,-1.7146418480488106e-11,1.139133687084131e-11,2.0885724714464438e-11
0.2625,2.4339826458318419e-10,-4.1562873128779589e-11,-1.0890057784389825e-10,-6.6005083985476084e-11,-2.4733826320292951e-11,-3.0969393046756985e-13,1.4231175992985567e-11
0.265,2.4009129791246848e-10,-4.4273122485731828e-11,-1.1577538877768256e-10,-7.4290853797124802e-11,-3.3160187822643258e-11,-1.4252041079904309e-11,6.5293415245636907e-12
0.2675,2.3594103584131891e-10,-4.6897263626294751e-11,-1.222918519775717e-10,-8.1970651500182193e-11,-4.1018413585304826e-11,-2.789355580892223e-11,-1.082521389856315e-12
0.27,2.3099294804925415e-10,-4.9325560122851477e-11,-1.2798828952166657e-10,-8.8140140769687329e-11,-4.7104199710915277e-11,-3.8885935610077594e-11,-7.6023115580457789e-12
0.2725,2.2553367622499692e-10,-5.1453167776359437e-11,-1.325582833349428e-10,-9.2250064345573755e-11,-5.064648385570138e-11,-4.5529123711592799e-11,-1.2264868747306164e-11
0.275,2.2007533732402432e-10,-5.3179443095190005e-11,-1.3587208750087165e-10,-9.4169131076208788e-11,-5.1424344692537602e-11,-4.7073663236021958e-11,-1.4597313833550307e-11
0.2775,2.1531070436107615e-10,-5.4402544866444126e-11,-1.3795002953524211e-10,-9.4155777328048677e-11,-4.9757654111810831e-11,-4.381658410564331e-11,-1.4481248785412219e-11
0.28,2.12047586988534e-10,-5.5016752049663142e-11,-1.3890630540817995e-10,-9.2751615647314426e-11,-4.6397272301424439e-11,-3.6983918643486182e-11,-1.21843551184913e-11
0.2825,2.111217547595933e-10,-5.491189836075676e-11,-1.3888037362746141e-10,-9.0619127451892426e-11,-4.2328956194065511e-11,-2.843027350550885e-11,-8.3456992889704394e-12
0.285,2.1329298605296898e-10,-5.3979505189839168e-11,-1.3798424862397268e-10,-8.8382476436686705e-11,-3.8547378215156615e-11,-2.0232351636252604e-11,-3.9072793662638611e-12
0.2875,2.191483010716028e-10,-5.212911401870418e-11,-1.3627888657398837e-10,-8.6501661574063107e-11,-3.5851833040825883e-11,-1.425753929604266e-11,1.9971410643790017e-14
0.29,2.2900380500347478e-10,-4.93182707431866e-11,-1.3378372705174789e-10,-8.5201002781744664e-11,-3.4701857416937686e-11,-1.179708829748814e-11,2.3456408359444487e-12
0.2925,2.4281818547025701e-10,-4.5571236041718822e-11,-1.3050257341513718e-10,-8.4460156571286446e-11,-3.5153569554982132e-11,-1.3335623036778957e-11,2.218650830549447e-12
0.295,2.6013566869360092e-10,-4.1003761355655824e-11,-1.2646599841577236e-10,-8.4060619599486347e-11,-3.6887651766695146e-11,-1.8486843235775166e-11,-7.635417670834619e-13
0.2975,2.8008341702601729e-10,-3.5833862600015788e-11,-1.2177470103694145e-10,-8.3677074253976495e-11,-3.9315857212698966e-11,-2.6106131301500238e-11,-6.4153245920557392e-12
0.3,3.014296615636115e-10,-3.0369868730376592e-11,-1.1662633673995139e-10,-8.2981937492949841e-11,-4.1733064179739923e-11,-3.4576561930940627e-11,-1.3945642402368335e-11
0.3025,3.2270066587557124e-10,-2.4989023026528639e-11,-1.113200170791651e-10,-8.1737290912082553e-11,-4.3476499335333834e-11,-4.2165161888651829e-11,-2.2076838429307765e-11
0.305,3.4232843862572345e-10,-2.0099453890771565e-11,-1.0624623529815116e-10,-7.9867935035649114e-11,-4.406572411932679e-11,-4.7353021259210709e-11,-2.926294767976016e-11
0.3075,3.5882790367180784e-10,-1.6098517497684445e-11,-1.0184971042851121e-10,-7.748891957421866e-11,-4.3299210001021282e-11,-4.9117638134837879e-11,-3.4000289625880179e-11
0.31,3.7095963337511914e-10,-1.3324477558781036e-11,-9.8575884970701553e-11,-7.4890801787731881e-11,-4.1274349970868044e-11,-4.7093169691016192e-11,-3.5145410349740011e-11
0.3125,3.7784806747608209e-10,-1.2020124804914052e-11,-9.6816795196197651e-11,-7.2490550850166483e-11,-3.8359755142603189e-11,-4.1620321199663685e-11,-3.2160908935164624e-11
0.315,3.7906396026316192e-10,-1.230382378071282e-11,-9.6852284667637435e-11,-7.0747984637315728e-11,-3.5110940102901412e-11,-3.3656792994043641e-11,-2.526592481925448e-11
0.3175,3.7464833160681917e-10,-1.4165406743254776e-11,-9.8809363681476916e-11,-7.0081456623256583e-11,-3.215520204850079e-11,-2.4584677307700977e-11,-1.543301672852453e-11
0.32,3.650783873803446e-10,-1.7468127163850705e-11,-1.0264022043588854e-10,-7.0787884965367598e-11,-3.0076194704761476e-11,-1.5950605825095598e-11,-4.2270993243270874e-12
0.3225,3.5119997377261191e-10,-2.1962598308713451e-11,-1.0812715396790108e-10,-7.298472204904407e-11,-2.930258001631358e-11,-9.173588486118277e-12,6.495195160150362e-12
0.325,3.3413410976530432e-10,-2.7322325081574048e-11,-1.1490181472394308e-10,-7.6589028341296529e-11,-3.0037201525558043e-11,-5.3074041092861813e-12,1.4947256575341233e-11
0.3275,3.1517225396422364e-10,-3.3173046609828393e-11,-1.2248989772824138e-10,-8.1327406062859439e-11,-3.2229657495108423e-11,-4.8655178534550858e-12,1.9769006416566523e-11
0.33,2.956848758073926e-10,-3.9122550147851447e-11,-1.3036028838092721e-10,-8.6780470303465253e-11,-3.5596890142025541e-11,-7.7474786996409076e-12,2.0302865261123319e-11
0.3325,2.7702640843687174e-10,-4.4786770585305768e-11,-1.3797696814759418e-10,-9.2446573665552475e-11,-3.9679458191233523e-11,-1.3278763082027684e-11,1.6731874777754076e-11
0.335,2.6045034746965587e-10,-4.9816032237464121e-11,-1.4484756335177194e-10,-9.7812639642332733e-11,-4.3927766392127315e-11,-2.0368116357165794e-11,1.0011425186847117e-11
0.3375,2.4704075532396824e-10,-5.3912913940835881e-11,-1.5055899885871623e-10,-1.0241759716280597e-10,-4.7793626490914895e-11,-2.7714352849562558e-11,1.657452882945853e-12
0.34,2.3766788935368463e-10,-5.6844729459018617e-11,-1.5480217177507673e-10,-1.0590474267610515e-10,-5.0810617766251436e-11,-3.4051786759377527e-11,-6.5676263542126365e-12
0.3425,2.3294562150514739e-10,-5.8454346365515064e-11,-1.5738397163721034e-10,-1.0805386176213262e-10,-5.2656187115340202e-11,-3.8355793181624291e-11,-1.3016770620224024e-11
0.345,2.3320382048722808e-10,-5.8661633755558443e-11,-1.5823294919089612e-10,-1.0879813432912225e-10,-5.3190323520842827e-11,-4.0013050720523565e-11,-1.6487398841940277e-11
0.3475,2.3846886866651246e-10,-5.7466346710804954e-11,-1.5738765935808815e-10,-1.0820436236653882e-10,-5.246008127662821e-11,-3.8903075979404328e-11,-1.6447348814967781e-11
0.35,2.484672066854802e-10,-5.4944594229029751e-11,-1.549855009444919e-10,-1.0645723015700349e-10,-5.0675894464423063e-11,-3.5399118562426862e-11,-1.3112748921577521e-11
0.3525,2.6264372633622723e-10,-5.1243654960121512e-11,-1.5124003791000815e-10,-1.0382358272493713e-10,-4.8167118377755838e-11,-3.0278608068313928e-11,-7.3702947994783027e-12
0.355,2.8020899085956924e-10,-4.6573033999549581e-11,-1.4643295206109202e-10,-1.0061647348415755e-10,-4.5324812276174782e-11,-2.4563193239805865e-11,-5.6583082903951329e-13
0.3575,3.0018034644393524e-10,-4.11916782424133e-11,-1.4089616075782295e-10,-9.7161618478061106e-11,-4.2541977967396741e-11,-1.932628323873646e-11,5.7841441957357446e-12
0.36,3.2144915883500068e-10,-3.5397080201347758e-11,-1.3499123009959685e-10,-9.3770325221589979e-11,-4.0164104787953689e-11,-1.5503274442393819e-11,1.0306016406001407e-11
0.3625,3.4284840110907732e-10,-2.9510506225131619e-11,-1.2909592412526818e-10,-9.0719816059498528e-11,-3.8449596459256731e-11,-1.3739648798487156e-11,1.2026838912314878e-11
