Physical Time (s),enth_flux_pressure_left Monitor (W)
0.39,-1.1666366377879945e-06
0.3925,-1.1487046898462366e-06
0.395,-1.04191712270087e-06
0.3975,-8.5660728363103746e-07
0.4,-6.0662492103679736e-07
0.4025,-3.0787598896292112e-07
0.405,2.2392520299760715e-08
0.4075,3.6535603558076041e-07
0.41,7.0274019755945973e-07
0.4125,1.0161109882551834e-06
0.415,1.2885102630341133e-06
0.4175,1.5045468176870357e-06
0.42,1.6519572455011939e-06
0.4225,1.7225237041704315e-06
0.425,1.7135654516002958e-06
0.4275,1.6281903581707003e-06
0.43,1.4749595197971629e-06
0.4325,1.2685533021108955e-06
0.435,1.0262124169599667e-06
0.4375,7.6163513776176566e-07
0.44,4.9364518543900207e-07
0.4425,2.3599657182903339e-07
0.445,-5.2496104008376351e-10
0.4475,-2.0741407663535864e-07
0.45,-3.8086715086779863e-07
0.4525,-5.1798126937007704e-07
0.455,-6.2106629758970116e-07
0.4575,-6.9192169617076441e-07
0.46,-7.3300914067608299e-07
0.4625,-7.408988564095138e-07
0.465,-7.1255709928831422e-07
0.4675,-6.4491465782307872e-07
0.47,-5.3576500266937426e-07
0.4725,-3.8487336185967009e-07
0.475,-1.9549954658104445e-07
0.4775,2.7235257238986688e-08
0.48,2.7271247169398577e-07
0.4825,5.2764196884571795e-07
0.485,7.771068843562642e-07
0.4875,1.0073534393074665e-06
0.49,1.2050710665602138e-06
0.4925,1.3591024419305128e-06
0.495,1.4618350980208268e-06
0.4975,1.508498290066037e-06
0.5,1.4974162881002492e-06
0.5025,1.4292878782484829e-06
0.505,1.3069668515384833e-06
0.5075,1.1363452873306597e-06
0.51,9.2680126117372972e-07
0.5125,6.8777423208077658e-07
0.515,4.3270932399391327e-07
0.5175,1.77922336617426e-07
0.52,-6.1249919490952307e-08
0.5225,-2.7107357787753504e-07
0.525,-4.4038621568420629e-07
0.5275,-5.6062634713666553e-07
0.53,-6.2764601181403812e-07
0.5325,-6.4064100316211028e-07
0.535,-6.02394143567504e-07
0.5375,-5.1829799823990273e-07
0.54,-3.9374184172545893e-07
0.5425,-2.3608278362749187e-07
0.545,-5.3589452063252069e-08
0.5475,1.4397549578492035e-07
0.55,3.464305028054309e-07
0.5525,5.4316055388218682e-07
0.555,7.2311932864050273e-07
0.5575,8.75882026314768e-07
0.56,9.9296383927437247e-07
0.5625,1.0675759626766417e-06
0.565,1.0961152530832792e-06
0.5675,1.0777342091021945e-06
0.57,1.0149155211752319e-06
0.5725,9.1345478348421221e-07
0.575,7.8142977290897906e-07
0.5775,6.2911325942909373e-07
0.58,4.6777204396497086e-07
0.5825,3.0878388920360551e-07
0.585,1.6317394321918302e-07
0.5875,4.0109102215436323e-08
0.59,-5.3173672275536666e-08
0.5925,-1.1201245705861952e-07
0.595,-1.3490178500855941e-07
0.5975,-1.2288570570702149e-07
0.6,-7.9786248786669816e-08
0.6025,-1.0973369474223989e-08
0.605,7.6988452390568506e-08
0.6075,1.769844158303326e-07
0.61,2.8190121427330525e-07
0.6125,3.8536430363530801e-07
0.615,4.8137835360405921e-07
0.6175,5.6534903246179887e-07
0.62,6.3318058378492649e-07
0.6225,6.8226394655844722e-07
0.625,7.1096214274063909e-07
0.6275,7.1866451071884786e-07
0.63,7.0596008107014283e-07
0.6325,6.7441638974072809e-07
0.635,6.2652263933119075e-07
0.6375,5.6567135981569846e-07
0.64,4.9553869906265984e-07
0.6425,4.206343696762242e-07
0.645,3.4482953538297034e-07
0.6475,2.7166920522126562e-07
0.65,2.0432841937363842e-07
0.6525,1.4517939545086098e-07
0.655,9.6174070313805855e-08
0.6575,5.8212271911938887e-08
0.66,3.2063516116107352e-08
0.6625,1.8280178614084619e-08
0.665,1.7409108633576673e-08
0.6675,3.0082104681210986e-08
0.67,5.6882691599281413e-08
0.6725,9.8208255125636956e-08
0.675,1.5377020058858296e-07
0.6775,2.2289789321638584e-07
0.68,3.0372161497243131e-07
0.6825,3.9206445651903145e-07
0.685,4.8368043109202947e-07
0.6875,5.733658969919112e-07
0.69,6.5576289362891932e-07
0.6925,7.2521791334977456e-07
0.695,7.7674274926343675e-07
0.6975,8.0678898653970061e-07
0.7,8.1344258812437263e-07
0.7025,7.9681831328093561e-07
0.705,7.5866305996876066e-07
0.7075,7.0250041912061154e-07
0.71,6.3284431170653434e-07
0.7125,5.5422717071243116e-07
0.715,4.7145744080933637e-07
0.7175,3.8853520707273937e-07
0.72,3.0916770041131579e-07
0.7225,2.3516430737341765e-07
0.725,1.6849612486141504e-07
0.7275,1.1026755424775223e-07
0.73,6.0762607377296351e-08
0.7325,2.0102813692473662e-08
0.735,-1.0725011277715073e-08
0.7375,-3.0371028703304225e-08
0.74,-3.7051694755636446e-08
0.7425,-2.8584388225100436e-08
0.745,-2.864938318029718e-09
0.7475,4.133802626434517e-08
0.75,1.0508149890218704e-07
0.7525,1.8684254853265905e-07
0.755,2.8384215156240971e-07
0.7575,3.9123685710806503e-07
0.76,5.0207460559495353e-07
0.7625,6.0891652868028332e-07
0.765,7.0318552704875586e-07
0.7675,7.7719148636841696e-07
0.77,8.2494389474943973e-07
0.7725,8.4211996426648255e-07
0.775,8.2707388934035259e-07
0.7775,7.8084875445832173e-07
0.78,7.0906093532209029e-07
0.7825,6.1747229455818126e-07
0.785,5.1471781548990295e-07
0.7875,4.0935871617730105e-07
0.79,3.0980761563746839e-07
0.7925,2.2355505093004759e-07
0.795,1.5640148653343376e-07
0.7975,1.1086602505133241e-07
0.8,8.8282262687490897e-08
0.8025,8.7509804535956945e-08
0.805,1.0525319442501437e-07
0.8075,1.3699542676177321e-07
0.81,1.7795602940648821e-07
0.8125,2.2336647413661891e-07
0.815,2.693272955526589e-07
0.8175,3.1284187730947362e-07
0.82,3.5169909746673661e-07
0.8225,3.8500548531286825e-07
0.825,4.1288226581050416e-07
0.8275,4.358808927587077e-07
0.83,4.5498394242472791e-07
0.8325,4.7088148339203244e-07
0.835,4.8415527976461086e-07
0.8375,4.9509477196476694e-07
0.84,5.0353181107153512e-07
0.8425,5.0917447137390551e-07
0.845,5.1136135063806322e-07
0.8475,5.0898166550310941e-07
0.85,5.0127260505379243e-07
0.8525,4.8778227987837295e-07
0.855,4.6837308815337102e-07
0.8575,4.4354243642620793e-07
0.86,4.1406852367472288e-07
0.8625,3.812740793456634e-07
0.865,3.4691940763346302e-07
0.8675,3.1290845700231396e-07
0.87,2.812388715496558e-07
0.8725,2.537528417649628e-07
0.875,2.3209467054207587e-07
0.8775,2.176554753875319e-07
0.88,2.1126818175699589e-07
0.8825,2.1326254775845736e-07
0.885,2.2346642273942664e-07
0.8875,2.4137533259225848e-07
0.89,2.6595962232041672e-07
0.8925,2.9589813606579975e-07
0.895,3.2984712126374641e-07
0.8975,3.6619441072016343e-07
0.9,4.0338506545521716e-07
0.9025,4.3972352084727094e-07
0.905,4.7376063916898717e-07
0.9075,5.041031217094269e-07
0.91,5.296405205898423e-07
0.9125,5.4969772184407521e-07
0.915,5.6357059490258396e-07
0.9175,5.7081827482620579e-07
0.92,5.7088621991932562e-07
0.9225,5.6388763008018314e-07
0.925,5.5004637685618865e-07
0.9275,5.2953713515663587e-07
0.93,5.0302997976770101e-07
0.9325,4.7155915602073058e-07
0.935,4.3649229967439931e-07
0.9375,3.9924891926490831e-07
0.94,3.6157723456410389e-07
0.9425,3.2526400234341823e-07
0.945,2.9224103961914242e-07
0.9475,2.6428446369675546e-07
0.95,2.4313870586715385e-07
0.9525,2.3002519168778062e-07
0.955,2.2583775344374734e-07
0.9575,2.3090790386968008e-07
0.96,2.4511772092095113e-07
0.9625,2.6765486273913551e-07
0.965,2.976696661790724e-07
0.9675,3.331010466124563e-07
0.97,3.718023919154898e-07
0.9725,4.1123498656633961e-07
0.975,4.4911349637650594e-07
0.9775,4.8310361779499121e-07
0.98,5.1067182158165921e-07
0.9825,5.3095456510919326e-07
0.985,5.4268867662268495e-07
0.9875,5.456966538163036e-07
0.99,5.3975385729900339e-07
0.9925,5.2590280772764729e-07
0.995,5.0552876636159945e-07
0.9975,4.8034268538821746e-07
1.0,4.5232661510865429e-07
1.0025,4.2323924035771236e-07
1.005,3.9459894602975446e-07
1.0075,3.6777039210568648e-07
1.01,3.4425780293693518e-07
1.0125,3.2492549008512764e-07
1.015,3.103835024579508e-07
1.0175,3.0099326373898535e-07
1.02,2.9695182529898148e-07
1.0225,2.9835176783076025e-07
1.025,3.0521309344123769e-07
1.0275,3.1705600021620215e-07
1.03,3.3335140169974334e-07
1.0325,3.5357362051205647e-07
1.035,3.7697066190799765e-07
1.0375,4.0281118151724442e-07
1.04,4.3063843065186588e-07
1.0425,4.5841525510462719e-07
1.045,4.8458475010552542e-07
1.0475,5.0754318914424185e-07
1.05,5.261918543032175e-07
1.0525,5.3932472240360418e-07
1.055,5.4580362305504024e-07
1.0575,5.4521471797706384e-07
1.06,5.3704229871233758e-07
1.0625,5.2169311109237542e-07
1.065,4.9982648142208508e-07
1.0675,4.7242708482343939e-07
1.07,4.4080943837249969e-07
1.0725,4.0644365146545296e-07
1.075,3.7083307862089308e-07
1.0775,3.359457789818912e-07
1.08,3.0400582935583451e-07
1.0825,2.7626820082671999e-07
1.085,2.5356329952847863e-07
1.0875,2.3641832746708993e-07
1.09,2.2539869492386314e-07
1.0925,2.209088972340075e-07
1.095,2.2340440175189016e-07
