Physical Time (s),xth_left Monitor (W)
0.3375,-2.6505391951737872e-16
0.34,1.3209383679308044e-16
0.3425,2.865469031840321e-16
0.345,4.2693315017272819e-16
0.3475,4.6077648845585645e-16
0.35,1.3106951598757964e-16
0.3525,-4.0361657997170762e-17
0.355,-2.6837009075843468e-16
0.3575,-8.3235772462631801e-17
0.36,-1.2951278349259373e-16
0.3625,-1.6449649827496404e-16
0.365,-1.2297172907343651e-16
0.3675,-1.9180935415217729e-16
0.37,-1.8951040469740957e-16
0.3725,1.3333117312310565e-16
0.375,1.2867059754926098e-16
0.3775,2.7109009388470359e-16
0.38,-5.8542063084302739e-16
0.3825,4.6858122519096842e-16
0.385,1.7176788460115571e-16
0.3875,2.2523964112961623e-16
0.39,1.2808651847001977e-16
0.3925,8.7550408897751368e-17
0.395,-1.6726627360535161e-16
0.3975,5.8358352551030235e-16
0.4,3.1543477032661717e-16
0.4025,-3.7760629044916183e-16
0.405,-7.6029147380147629e-17
0.4075,9.9686333002816631e-17
0.41,1.8225544227897316e-16
0.4125,-1.9311069646854304e-16
0.415,-2.8624236720283714e-16
0.4175,-2.5548124255555596e-17
0.42,1.8024538627124606e-16
0.4225,4.7349733954727789e-17
0.425,-2.4359820079715453e-16
0.4275,-3.2771644312227207e-17
0.43,-3.71846352749445e-16
0.4325,3.3933434817606387e-17
0.435,3.6843165312581598e-16
0.4375,-3.5902547208778992e-17
0.44,1.5925427381628556e-16
0.4425,2.7907728626234472e-16
0.445,2.5383938577367909e-16
0.4475,-2.0202547259545395e-16
0.45,3.0297837787403819e-16
0.4525,-5.4309847251261957e-16
0.455,-1.3959505168449733e-16
0.4575,-4.571704184957744e-16
0.46,-4.3939491673921128e-17
0.4625,-6.2862854084319896e-17
0.465,4.072557685821577e-17
0.4675,-1.5075370886948443e-16
0.47,-8.7719722987447013e-17
0.4725,2.4905818331956791e-17
0.475,-2.4100412699221854e-17
0.4775,-3.7034094729285898e-17
0.48,2.4400443689561541e-16
0.4825,1.4300407848152146e-16
0.485,-5.3731676411927266e-17
0.4875,1.8597648937465271e-16
0.49,9.6018634205131923e-17
0.4925,-2.1356141787312224e-16
0.495,-8.2915834062763181e-17
0.4975,-2.2518292405789015e-16
0.5,-2.1971389441241993e-16
0.5025,3.1187950690658426e-16
0.505,-1.149277450651117e-16
0.5075,-1.5045338644816363e-18
0.51,-4.6874346740721962e-18
0.5125,3.3542374222561737e-16
0.515,-1.9292231156541776e-16
0.5175,5.1941556249662286e-16
0.52,1.1387682898753131e-16
0.5225,-5.0763815412834246e-17
0.525,-1.751728625081405e-16
0.5275,1.4863136184011661e-16
0.53,5.2461275588951902e-17
0.5325,-3.325274095059216e-16
0.535,-1.8739588512626261e-16
0.5375,-2.3381328251800072e-16
0.54,6.7379558856884123e-17
0.5425,3.7907269940893337e-16
0.545,-3.8911718505939131e-17
0.5475,-1.1247630727532921e-16
0.55,-2.7702289624930224e-16
0.5525,4.8092213267901142e-16
0.555,2.9251965847287739e-16
0.5575,-2.9268475834682333e-16
0.56,-2.5713753341193033e-16
0.5625,4.6728824660933291e-16
0.565,2.0462732125096127e-16
0.5675,2.1996493153411925e-16
0.57,-3.2383319586565626e-16
0.5725,-2.8135693982129792e-16
0.575,1.4775026482217989e-16
0.5775,-2.7272188967324354e-16
0.58,-4.5974610887943545e-16
0.5825,-1.4134522610102183e-16
0.585,3.66705952665723e-16
0.5875,1.7313070780650178e-16
