Physical Time (s),etp_right Monitor (W): right_cv1,etp_right Monitor (W): right_cv2,etp_right Monitor (W): right_cv3,etp_right Monitor (W): right_cv4,etp_right Monitor (W): right_cv5,etp_right Monitor (W): right_cv6,etp_right Monitor (W): right_cv7
0.1425,3.0575156234357805e-07,5.04057996676255e-08,7.1209739675744858e-09,-6.5317622638104484e-09,-1.4474291171883474e-08,1.0936936817519699e-08,-7.5537336660797443e-10
0.145,3.0928261891817116e-07,4.9663651756907654e-08,3.4860892807188121e-09,-1.3616425755106312e-08,-1.6471027746365855e-08,9.5868375489985692e-09,2.6802996103852731e-09
0.1475,3.0923854501977658e-07,4.111529994725337e-08,-5.6291999347501052e-09,-1.8333743138679051e-08,-1.3319934882014243e-08,6.3455745027098381e-09,6.0995996281458293e-09
0.15,3.0002318289498243e-07,2.2983062996713924e-08,-1.6319198213850143e-08,-1.8741620705226034e-08,-8.1363249619236127e-09,3.273900257835145e-09,7.7898865659039485e-09
0.1525,2.7660587271310247e-07,-2.7890872634561063e-09,-2.3646975479461969e-08,-1.5217534308206942e-08,-3.6132501499271744e-09,1.3747470963575391e-09,7.0945215504348709e-09
0.155,2.3701782328039044e-07,-3.0235913039983259e-08,-2.4786554020404725e-08,-9.6687609755435072e-09,-8.4665320862873472e-10,5.4568649945580824e-10,4.5654382624239573e-09
0.1575,1.8502777845942596e-07,-5.1893882985580224e-08,-2.0278309153729711e-08,-4.1398083043448781e-09,4.2960938894645976e-10,2.4248486230819457e-10,1.3904376134121321e-09
0.16,1.3073398701870097e-07,-6.258423622891458e-08,-1.2948374739813592e-08,1.7004525006249916e-10,9.8930020129397471e-10,8.7045826668709564e-11,-1.3574646950412646e-09
0.1625,8.7820128469340628e-08,-6.1354890087550894e-08,-5.9210309712134609e-09,2.968453994848514e-09,1.4178367467251886e-09,-3.6771036907107802e-13,-3.1196845412281462e-09
0.165,6.9378491747959337e-08,-5.1018713939676295e-08,-1.0769857112283145e-09,4.4286843869242165e-09,1.9329736565157481e-09,-3.0589951679139095e-11,-3.8438492710381431e-09
0.1675,8.3308857008866972e-08,-3.5999686596217132e-08,1.2836291747360911e-09,4.7941198372650407e-09,2.5278576790742418e-09,-1.4041161573477416e-10,-3.7692060455364598e-09
0.17,1.2951948690352332e-07,-2.0232516863494197e-08,1.8741292531978991e-09,4.31482070962332e-09,3.1316831595467684e-09,-5.2105804959615187e-10,-3.248401922249889e-09
