Physical Time (s),lift Monitor (N)
1.4075,-3.5600431230289357e-07
1.41,-3.7116264034952099e-07
1.4125,-3.8548117816553239e-07
1.415,-3.9904659407414381e-07
1.4175,-4.1168299199743099e-07
1.42,-4.2316459547545116e-07
1.4225,-4.3392540469433236e-07
1.425,-4.4384989717340982e-07
1.4275,-4.5265185173285297e-07
1.43,-4.6012013983923653e-07
1.4325,-4.6622810890224539e-07
1.435,-4.7101410421309929e-07
1.4375,-4.745256060340549e-07
1.44,-4.7675739831945458e-07
1.4425,-4.7769745629789236e-07
1.445,-4.7729103084557238e-07
1.4475,-4.7548893102075931e-07
1.45,-4.7224936530424416e-07
1.4525,-4.675569905628288e-07
1.455,-4.6141044593641771e-07
1.4575,-4.53817948040034e-07
1.46,-4.4478005819031215e-07
1.4625,-4.3430632410958783e-07
1.465,-4.2239337613302894e-07
1.4675,-4.0902787999706719e-07
1.47,-3.9422970392825127e-07
1.4725,-3.7801279383563072e-07
1.475,-3.6044451549527608e-07
1.4775,-3.4156161369059747e-07
1.48,-3.2141774754522876e-07
1.4825,-3.0002343793493944e-07
1.485,-2.7741366654825447e-07
1.4875,-2.5367078499570619e-07
1.49,-2.2885341069156023e-07
1.4925,-2.0302741570866644e-07
1.495,-1.7624195748415959e-07
1.4975,-1.4858344655533945e-07
1.5,-1.2011903162799512e-07
1.5025,-9.0909151272932599e-08
1.505,-6.1058809578802454e-08
1.5075,-3.0651568723006251e-08
1.51,2.3351846080169849e-10
1.5125,3.1495132749081641e-08
1.515,6.3037248283767985e-08
1.5175,9.4817307651774406e-08
1.52,1.2668872079913148e-07
1.5225,1.5857565010349015e-07
1.525,1.9039202276534898e-07
1.5275,2.2198978768386832e-07
1.53,2.5327016665743443e-07
1.5325,2.8410855625189359e-07
1.535,3.1443039849248788e-07
1.5375,3.4415451379429581e-07
1.54,3.7315387290820455e-07
1.5425,4.0137656474633766e-07
1.545,4.2866198076449717e-07
1.5475,4.5490373375543699e-07
1.55,4.8004132750550487e-07
1.5525,5.0397874438468503e-07
1.555,5.2660984935974348e-07
1.5575,5.4784201992244941e-07
1.56,5.6760952688818299e-07
1.5625,5.8581511742688519e-07
1.565,6.0238613564987909e-07
1.5675,6.1724782960222471e-07
1.57,6.3032292555015612e-07
1.5725,6.4152541902618571e-07
1.575,6.5082151291426257e-07
1.5775,6.5813402550186953e-07
1.58,6.6339870957552654e-07
1.5825,6.6657054841906891e-07
1.585,6.6760513618832408e-07
1.5875,6.6650131506827138e-07
1.59,6.6322683546079916e-07
1.5925,6.5780130444850579e-07
1.595,6.5019648153885142e-07
1.5975,6.4039758635990204e-07
1.6,6.2839767598165626e-07
1.6025,6.1422229414894393e-07
1.605,5.9788719967661719e-07
1.6075,5.7943667893173643e-07
1.61,5.5890437243292345e-07
1.6125,5.3631661774727056e-07
1.615,5.1176350513052977e-07
1.6175,4.8527327538988437e-07
1.62,4.5691448952209444e-07
1.6225,4.2673545873281093e-07
1.625,3.9483512836370395e-07
1.6275,3.6128718358601723e-07
1.63,3.2619215703535338e-07
1.6325,2.8965385118680295e-07
1.635,2.5176031130271961e-07
1.6375,2.1262804511930398e-07
1.64,1.7235818080597748e-07
1.6425,1.3106598203625476e-07
1.645,8.8927580378642573e-08
1.6475,4.6005067262392674e-08
1.65,2.4675620792143015e-09
1.6525,-4.1554707987109882e-08
1.655,-8.588172483632643e-08
1.6575,-1.3038185151058614e-07
1.66,-1.7490267951157528e-07
1.6625,-2.1932557378125023e-07
1.665,-2.634730920707351e-07
1.6675,-3.0718042234209154e-07
1.67,-3.5030277113134638e-07
1.6725,-3.9272976277873703e-07
1.675,-4.3426850055659265e-07
1.6775,-4.7476124060761855e-07
1.68,-5.1405730093994207e-07
1.6825,-5.5202354711824426e-07
1.685,-5.8849440165740162e-07
1.6875,-6.2336639211313151e-07
1.69,-6.5647522367251017e-07
1.6925,-6.8769320585731192e-07
1.695,-7.1689420988770062e-07
1.6975,-7.4392965271100356e-07
1.7,-7.6869542196550105e-07
1.7025,-7.9108818306268621e-07
1.705,-8.1096145857635965e-07
1.7075,-8.2824297907551999e-07
1.71,-8.4286991480144048e-07
1.7125,-8.5474548995436388e-07
1.715,-8.6382085601192987e-07
1.7175,-8.7004196237211396e-07
1.72,-8.7331960781779765e-07
1.7225,-8.736148649626015e-07
1.725,-8.7092232390785126e-07
1.7275,-8.6524026412502772e-07
1.73,-8.5653517734781142e-07
1.7325,-8.4480192171919188e-07
1.735,-8.3006092228514413e-07
1.7375,-8.1233192639474363e-07
1.74,-7.9164789135343651e-07
1.7425,-7.680644586583529e-07
1.745,-7.4164113866878245e-07
1.7475,-7.1242241902311602e-07
1.75,-6.8047343222221715e-07
1.7525,-6.458937406385273e-07
1.755,-6.0874565109060827e-07
1.7575,-5.6916374944807481e-07
1.76,-5.2724930063699886e-07
1.7625,-4.8313212941442046e-07
1.765,-4.369333716154177e-07
1.7675,-3.8879577070454014e-07
1.77,-3.388882380431864e-07
1.7725,-2.8734182766306024e-07
1.775,-2.3429926603118274e-07
1.7775,-1.799442943427851e-07
1.78,-1.2449221900294955e-07
1.7825,-6.8092536396453464e-08
1.785,-1.0951517635015756e-08
1.7875,4.6779655891315901e-08
1.79,1.048657018505595e-07
1.7925,1.6312042561415919e-07
1.795,2.2134706961524557e-07
1.7975,2.7934258979963471e-07
1.8,3.3687268759263574e-07
1.8025,3.9376359224338338e-07
1.805,4.497813986135087e-07
1.8075,5.0470275443275543e-07
1.81,5.5837044946021521e-07
1.8125,6.1053648252968285e-07
1.815,6.6159043777329702e-07
1.8175,7.1015264100324979e-07
1.82,7.558223698043488e-07
1.8225,7.9977427098573639e-07
1.825,8.4174227280129185e-07
1.8275,8.8115600168863502e-07
1.83,9.1762939048956525e-07
1.8325,9.5098352343186253e-07
1.835,9.8113225618298911e-07
1.8375,1.008030754546658e-06
1.84,1.0316076816824638e-06
1.8425,1.0517433054842474e-06
1.845,1.0683064452918753e-06
1.8475,1.0811864976436378e-06
1.85,1.0902968774727396e-06
1.8525,1.0955524829391922e-06
1.855,1.0969200516776467e-06
1.8575,1.0943750950891405e-06
1.86,1.0878824538377139e-06
1.8625,1.0774412653657782e-06
1.865,1.0630892324456496e-06
1.8675,1.0448385162372964e-06
1.87,1.0227086303865538e-06
1.8725,9.9675811540067023e-07
1.875,9.6704596454692969e-07
1.8775,9.3362660916276321e-07
1.88,8.9660862265927281e-07
1.8825,8.5610116505601179e-07
1.885,8.1221192122394024e-07
1.8875,7.6512651003876014e-07
1.89,7.1494762075570594e-07
1.8925,6.6108193211239112e-07
1.895,6.0621640385456594e-07
1.8975,5.473885162922739e-07
1.9,4.8712367982035119e-07
1.9025,4.2334468604383711e-07
1.905,3.5874593994939221e-07
1.9075,2.9123094982853194e-07
1.91,2.2331661158244633e-07
1.9125,1.5301374524746798e-07
1.915,8.2655277218085567e-08
1.9175,1.0402706541195617e-08
1.92,-6.1535170518200843e-08
1.9225,-1.3469988356656123e-07
1.925,-2.0711993123422015e-07
1.9275,-2.8012155661605027e-07
1.93,-3.5197704615892036e-07
1.9325,-4.2376747882766983e-07
1.935,-4.9397689432236876e-07
1.9375,-5.6349462496852041e-07
1.94,-6.3101630777461379e-07
1.9425,-6.9641417426607081e-07
1.945,-7.6041460453149029e-07
1.9475,-8.2236151822751423e-07
1.95,-8.8166821952811973e-07
1.9525,-9.3803972341980483e-07
1.955,-9.9125479654394811e-07
1.9575,-1.0411978304906867e-06
1.96,-1.087703214212979e-06
1.9625,-1.1305914014880081e-06
1.965,-1.1696382451685243e-06
1.9675,-1.2046428303365012e-06
1.97,-1.2354356414021273e-06
1.9725,-1.2619069899832479e-06
1.975,-1.283892757931045e-06
1.9775,-1.3012675181388785e-06
1.98,-1.313989377252866e-06
1.9825,-1.3219641871645734e-06
1.985,-1.3251272776269517e-06
1.9875,-1.3234188685959526e-06
1.99,-1.316829291154847e-06
1.9925,-1.3050436807550846e-06
1.995,-1.2897036181417121e-06
1.9975,-1.2677331507743723e-06
2.0,-1.2418495948194972e-06
2.0025,-1.211319426154785e-06
2.005,-1.1759456484574025e-06
2.0075,-1.1359612926022624e-06
2.01,-1.0916207983787066e-06
2.0125,-1.0430914125184233e-06
2.015,-9.9049155702871829e-07
2.0175,-9.3395164749693677e-07
2.02,-8.7363119916601791e-07
2.0225,-8.0972542727758368e-07
2.025,-7.424509248455293e-07
2.0275,-6.7200321089451135e-07
2.03,-5.9863787453418475e-07
2.0325,-5.2261744628351914e-07
2.035,-4.4420038830023136e-07
2.0375,-3.6366735561663793e-07
2.04,-2.8125044367443254e-07
2.0425,-1.9726485663031416e-07
2.045,-1.1198659344918175e-07
2.0475,-2.5740791646003099e-08
2.05,6.1203254466977936e-08
2.0525,1.4850474721559191e-07
2.055,2.3585032389437605e-07
2.0575,3.2291627600259571e-07
2.06,4.0939484957114955e-07
