Physical Time (s),aphi_vol Monitor (W): cv1,aphi_vol Monitor (W): cv2,aphi_vol Monitor (W): cv3,aphi_vol Monitor (W): cv4,aphi_vol Monitor (W): cv5,aphi_vol Monitor (W): cv6,aphi_vol Monitor (W): cv7
0.2425,7.6560393660522114e-07,1.1724368019726172e-07,2.4657050888764852e-09,3.5770284649813255e-11,4.7789854097610053e-12,3.2838440355631495e-12,3.1839902286026751e-12
0.245,7.6320149842809107e-07,1.1892412377698704e-07,2.5518600969805417e-09,3.8935434985591804e-11,5.3791680916413025e-12,2.7618626039486036e-12,3.2469222043897689e-12
0.2475,7.6127887519807447e-07,1.205973335671354e-07,2.6435872027973643e-09,4.2421190524741805e-11,6.2075432905955089e-12,2.6624928135054206e-12,3.5490837800201287e-12
0.25,7.5971150280147116e-07,1.2225863131831154e-07,2.7368740520166741e-09,4.5627519009979822e-11,7.0672365653196617e-12,3.0543867565182874e-12,3.9473026023524357e-12
0.2525,7.5837408582153728e-07,1.2390184168014813e-07,2.8279862828750009e-09,4.8181490718956595e-11,7.7753200748535471e-12,3.8747161656115054e-12,4.3056378381688904e-12
0.255,7.5716347404060791e-07,1.2552110302013551e-07,2.9143666026458777e-09,5.0041766595859335e-11,8.2650124906328136e-12,4.9719824855928464e-12,4.531205950157036e-12
0.2575,7.5601309681447375e-07,1.271134228936619e-07,2.9950657103157412e-09,5.1431517256715071e-11,8.5827982160808119e-12,6.150056616868694e-12,4.6029474161024754e-12
0.26,7.5489638840703553e-07,1.2867887559697051e-07,3.0707042009276618e-09,5.2664058699490207e-11,8.8118878074660295e-12,7.1967397130616505e-12,4.5785021001515242e-12
0.2625,7.5381973366820332e-07,1.3021946389878202e-07,3.1431494122828219e-09,5.3995324798597008e-11,8.988344694424803e-12,7.9043253783029692e-12,4.5607158020595904e-12
0.265,7.5281086249606361e-07,1.3174037819879605e-07,3.2148673038074206e-09,5.5559111643118564e-11,9.0822389296446208e-12,8.1015018707128473e-12,4.622750852066886e-12
0.2675,7.5190285779410508e-07,1.3324916193178344e-07,3.2881825390090871e-09,5.7404896619006471e-11,9.0483407344981351e-12,7.7129776588183495e-12,4.7383743575656902e-12
0.27,7.5111949615037206e-07,1.3474973857806175e-07,3.3645941381499259e-09,5.9561379457589181e-11,8.8942850106515947e-12,6.8248806323365923e-12,4.7892164319407978e-12
0.2725,7.5046122269528551e-07,1.3624644128998152e-07,3.444376708192567e-09,6.2051424663410124e-11,8.6953442590724948e-12,5.6637196866901032e-12,4.6584410484346947e-12
0.275,7.4989896452794416e-07,1.3774071134211319e-07,3.5264139697002137e-09,6.4860950196929294e-11,8.5578136657529362e-12,4.5188388267570612e-12,4.3344333159904195e-12
0.2775,7.4937462035728911e-07,1.3922977286459425e-07,3.6083765287542138e-09,6.7886602907880509e-11,8.5670575977867945e-12,3.6326158184291494e-12,3.9462540230712571e-12
0.28,7.4880917363331622e-07,1.4070973283033036e-07,3.6871613844118206e-09,7.0895517303591181e-11,8.7427846406082869e-12,3.1073427685944365e-12,3.6986775896879448e-12
0.2825,7.4811596436882883e-07,1.4217449174464717e-07,3.7595331853017296e-09,7.35400946823188e-11,9.0332873375488051e-12,2.8868050471277977e-12,3.7527925761359852e-12
0.285,7.472155205047068e-07,1.4361694234373437e-07,3.8227216931639457e-09,7.5427337849840682e-11,9.3461496344699804e-12,2.8332738896934995e-12,4.1373455107519632e-12
0.2875,7.4605046279306109e-07,1.4503268593665329e-07,3.8750462945684945e-09,7.6218616747197571e-11,9.5909288847476466e-12,2.847141013222134e-12,4.7499557961278772e-12
0.29,7.4459734592194924e-07,1.4641910366030425e-07,3.9163356596896528e-09,7.571880823006719e-11,9.7037446159690459e-12,2.9373326484077871e-12,5.4244123650641828e-12
0.2925,7.4286953423796494e-07,1.4777549470184753e-07,3.9479880625594608e-09,7.3924122593843072e-11,9.644486237562598e-12,3.1906843961956695e-12,6.0068931714603159e-12
0.295,7.4091595391325708e-07,1.4910483153800349e-07,3.9726554363151558e-09,7.100877172257555e-11,9.3755142688027438e-12,3.6631561596225029e-12,6.3870816777337185e-12
0.2975,7.388110846340823e-07,1.5041201527044564e-07,3.9938828846792667e-09,6.7289061007355176e-11,8.8607580904953042e-12,4.2862449373239266e-12,6.5010922509536542e-12
0.3,7.3664076317263688e-07,1.5170223007470717e-07,4.0155641416545759e-09,6.3173611573870738e-11,8.090994782525343e-12,4.8566966687308185e-12,6.3220059342243653e-12
0.3025,7.3449014327669861e-07,1.529810202115482e-07,4.0414096828096304e-09,5.9122776996303981e-11,7.1189671940578628e-12,5.1288516365200729e-12,5.8680555212727849e-12
0.305,7.3243193135943003e-07,1.5425396409983186e-07,4.0745341322173254e-09,5.5606921145602776e-11,6.0742757802868427e-12,4.9482830464005467e-12,5.2184108725215054e-12
0.3075,7.3051745972317667e-07,1.5552457200195278e-07,4.1172209636292778e-09,5.3072460921794819e-11,5.1424266081604481e-12,4.3392791856410651e-12,4.5252345088594952e-12
0.31,7.2877356760061661e-07,1.5679482501746261e-07,4.170857114988404e-09,5.1899445300501216e-11,4.5082321809952909e-12,3.4942095237270248e-12,3.9885943222205715e-12
0.3125,7.2720289707072135e-07,1.5806605376243833e-07,4.2359433388886979e-09,5.235566418987735e-11,4.2963123821974395e-12,2.672909934225947e-12,3.8016128655611265e-12
0.315,7.2578828645962736e-07,1.5933780870374995e-07,4.3121274032424885e-09,5.4554455191767777e-11,4.5387339156811866e-12,2.0843439530276905e-12,4.0753624780695666e-12
0.3175,7.2450098264417149e-07,1.6060867202511154e-07,4.398344176568064e-09,5.8458825378341838e-11,5.1799835513571985e-12,1.8144916665927051e-12,4.7864865465972324e-12
0.32,7.2330716776850386e-07,1.6187703945336234e-07,4.4929454649245221e-09,6.3873713729883984e-11,6.1160441211784084e-12,1.832267530167804e-12,5.771117226424469e-12
0.3225,7.2217376141043029e-07,1.6314166025452634e-07,4.5938971978442275e-09,7.04752461990984e-11,7.2394320491532352e-12,2.0521660741295526e-12,6.7825977066947234e-12
0.325,7.2107497162454229e-07,1.6440104994734977e-07,4.6989500398416747e-09,7.7856008586071887e-11,8.4653886006423927e-12,2.4023574645287748e-12,7.5807083386314459e-12
0.3275,7.1999346572353999e-07,1.6565336655215316e-07,4.8058926084295683e-09,8.5574930603970975e-11,9.7327911382214607e-12,2.8567818222824662e-12,8.0183698771747954e-12
0.33,7.1892173529578727e-07,1.6689806626393837e-07,4.9126778435116736e-09,9.3196787958106048e-11,1.0991709914011388e-11,3.4209122183118391e-12,8.0794373670417747e-12
0.3325,7.1785939787881959e-07,1.6813441645589416e-07,5.0176134215891723e-09,1.003233861684857e-10,1.2181311791079873e-11,4.0886434038790192e-12,7.8341532861841277e-12
0.335,7.1680945763124544e-07,1.693611024659371e-07,5.1193982644118766e-09,1.0661918458247526e-10,1.3227573188471504e-11,4.8125336708394435e-12,7.3670404748619008e-12
0.3375,7.1577566698616935e-07,1.7057718767111812e-07,5.2171071432093235e-09,1.1184327471931662e-10,1.4054573470906314e-11,5.5036475836335233e-12,6.7405395582251161e-12
0.34,7.1475912330673368e-07,1.7178223111365436e-07,5.3102180049202838e-09,1.1586460321471727e-10,1.4604297892636037e-11,6.0567457187681715e-12,5.9839598856344204e-12
