Physical Time (s),enth_flux_viscous_top Monitor (W): top_cv1,enth_flux_viscous_top Monitor (W): top_cv2,enth_flux_viscous_top Monitor (W): top_cv3,enth_flux_viscous_top Monitor (W): top_cv4,enth_flux_viscous_top Monitor (W): top_cv5,enth_flux_viscous_top Monitor (W): top_cv6,enth_flux_viscous_top Monitor (W): top_cv7
0.285,2.1327940765492241e-10,-5.3488643574335112e-11,-1.3722396001147597e-10,-8.8166720171965044e-11,-3.8615595441129315e-11,-2.052483589811294e-11,-4.5715106343092705e-12
0.2875,2.1899738931048375e-10,-5.1671677441732968e-11,-1.3553614140029198e-10,-8.6288389494395112e-11,-3.5905558013637872e-11,-1.4346153310944415e-11,-1.5597375128097608e-13
0.29,2.2863447697531464e-10,-4.8924075457608274e-11,-1.3309463497595861e-10,-8.5013149449239491e-11,-3.4756134658552137e-11,-1.1710549755454366e-11,2.6581138847097745e-12
0.2925,2.4216627841035457e-10,-4.5259783300308727e-11,-1.2988784381213671e-10,-8.4310281305750787e-11,-3.5217950999829131e-11,-1.3108817492265656e-11,2.9647121614438978e-12
0.295,2.5917358655483541e-10,-4.0779601416873608e-11,-1.2592976020598357e-10,-8.3949786883899687e-11,-3.6964385294024637e-11,-1.8153287030952052e-11,3.1694421315231786e-13
0.2975,2.788327480325183e-10,-3.5685107509528453e-11,-1.2130198805020632e-10,-8.3592789409220201e-11,-3.9396373068979594e-11,-2.5708228223723103e-11,-5.1363879293753049e-12
0.3,2.9996187107490034e-10,-3.0273429858222166e-11,-1.1618726051885569e-10,-8.2898927446371306e-11,-4.1801980550560294e-11,-3.4168140739917228e-11,-1.2633658564377924e-11
0.3025,3.2112615077655795e-10,-2.4912331525714421e-11,-1.1087788519036047e-10,-8.1626404875276718e-11,-4.3516430329511781e-11,-4.1794236723449444e-11,-2.0895767777818073e-11
0.305,3.4077150124809283e-10,-2.0007947813463723e-11,-1.0576153153776575e-10,-7.9701790071151988e-11,-4.4065727100176042e-11,-4.7045921790099094e-11,-2.8351418546492849e-11
0.3075,3.5739976711967412e-10,-1.5961748569062389e-11,-1.0128714785115668e-10,-7.7249645430821836e-11,-4.3255059221747482e-11,-4.8880015373307585e-11,-3.3449711057698529e-11
0.31,3.6973474116213794e-10,-1.3125114787236282e-11,-9.7916457794835071e-11,-7.4575641508658122e-11,-4.1192043595066849e-11,-4.6931098468254091e-11,-3.4981007711863678e-11
0.3125,3.7685412956325395e-10,-1.1757120133663771e-11,-9.6061069086575145e-11,-7.2108986945445255e-11,-3.8256424418049355e-11,-4.154602240135041e-11,-3.2349834671371642e-11
0.315,3.7829560206437601e-10,-1.1987978257057957e-11,-9.6019665643605391e-11,-7.0326849591707962e-11,-3.5015263451013332e-11,-3.3691892419437506e-11,-2.5736608143665e-11
0.3175,3.7406857329290316e-10,-1.3816475599424809e-11,-9.7931409623106739e-11,-6.9655863490029115e-11,-3.2098030287446159e-11,-2.4748967884530263e-11,-1.6096416317023003e-11
0.32,3.6461096309756271e-10,-1.7113407711458732e-11,-1.0175931147700586e-10,-7.0393694750690603e-11,-3.0084446714576647e-11,-1.6254836162984439e-11,-4.9885508198414544e-12
0.3225,3.507569782115763e-10,-2.1636061385093692e-11,-1.0728840273378865e-10,-7.2656027624228862e-11,-2.93965807861196e-11,-9.6168383914016437e-12,5.7216285935022238e-12
0.325,3.3363004703440978e-10,-2.705338634205096e-11,-1.1414265746010546e-10,-7.63495295824133e-11,-3.022632561394474e-11,-5.8703014851134545e-12,1.4231739864906905e-11
0.3275,3.1453440876453736e-10,-3.2980953253818529e-11,-1.2183409233132623e-10,-8.1188531259117059e-11,-3.2508382115085163e-11,-5.5094604556889356e-12,1.9163150385346241e-11
0.33,2.9486497347130368e-10,-3.9013699620547185e-11,-1.2981371626794421e-10,-8.6737371014405225e-11,-3.5945445437709681e-11,-8.4256811915192241e-12,1.9833627890253132e-11
