Physical Time (s),etp_top Monitor (W): top_cv1,etp_top Monitor (W): top_cv2,etp_top Monitor (W): top_cv3,etp_top Monitor (W): top_cv4,etp_top Monitor (W): top_cv5,etp_top Monitor (W): top_cv6,etp_top Monitor (W): top_cv7
0.15,1.0275544040807601e-09,2.3507883236764963e-09,-1.0166441332164373e-09,-3.3449911413529128e-09,-1.2196794762901953e-09,2.9799253548444435e-09,8.7269912951654898e-09
0.1525,-1.168558797268265e-09,1.7552865233965455e-09,-1.2924021462800324e-09,-2.7917840881258092e-09,-1.1046319276057553e-09,1.5288064463511673e-09,7.2665697683348379e-09
0.155,-3.7072154927580844e-09,1.1302646231956052e-09,-9.8435211565277354e-10,-1.7601706467025749e-09,-7.9145251849001876e-10,2.7614688937645256e-10,3.769613917998662e-09
0.1575,-5.6857968088160465e-09,6.5073478446641753e-10,-3.3693665820302889e-10,-6.0915139931970779e-10,-3.3460670401832842e-10,-5.1717089103771019e-10,1.7774908414367336e-10
0.16,-6.5894414782176747e-09,3.4477306910087098e-10,2.9267077026813639e-10,3.3166229352314042e-10,1.5070819054753346e-10,-6.852065809921037e-10,-1.5186479889765117e-09
0.1625,-6.386995159472245e-09,1.634188457285639e-10,6.6723123326548115e-10,8.9425272064277807e-10,5.4787513144559241e-10,-1.8171672836547124e-10,-6.6457593951144511e-10
0.165,-5.3618045128975085e-09,5.0629889868492537e-11,7.4241269674745579e-10,1.0839436470717775e-09,7.8265389271499448e-10,7.8565641130037806e-10,1.6843615343446813e-09
0.1675,-3.8861960899142725e-09,-2.7961619300755194e-11,5.9912209720124416e-10,1.0069503811765467e-09,8.399436235590091e-10,1.7102391370430828e-09,3.59572989212043e-09
0.17,-2.2510202353629853e-09,-9.0663553023459582e-11,3.4122895329777052e-10,7.878215802126737e-10,7.5220670212959191e-10,1.9709666612920469e-09,3.5878491163532936e-09
0.1725,-6.1439363368263055e-10,-1.4457042500784972e-10,5.0611126762349056e-11,5.2926737997024537e-10,5.7522817646397509e-10,1.1905597601317962e-09,1.4841385958402439e-09
0.175,9.790073575438056e-10,-1.8535111296021858e-10,-1.9881147409961291e-10,3.1109499881741384e-10,3.6566952677782072e-10,-4.7687616478064916e-10,-1.6835229614498602e-09
0.1775,2.539222859053708e-09,-1.9783987198135389e-10,-3.2186889172625745e-10,1.9281784909733838e-10,1.670931259496377e-10,-2.3723271557565014e-09,-4.4574339001473341e-09
0.18,4.0601634611318828e-09,-1.6242251158480858e-10,-2.3367404683837625e-10,2.099430836962767e-10,1.0341056569971272e-11,-3.6845781016141196e-09,-5.7872207623507934e-09
0.1825,5.4706172513180819e-09,-6.284516068039725e-11,1.1521294609829625e-10,3.6716731980333165e-10,-7.5987604846391172e-11,-3.898822488847575e-09,-5.4378127887672053e-09
0.185,6.6313395428596701e-09,1.1090030770191441e-10,7.1660846031292577e-10,6.5055925607192636e-10,-5.7784975119974253e-11,-3.050789835002607e-09,-3.8851583281750916e-09
0.1875,7.3901931699637095e-09,3.6342238557621841e-10,1.5153761203489611e-09,1.051136957321979e-09,9.9722882441397988e-11,-1.6279762082562659e-09,-1.9151455122725013e-09
0.19,7.6552185973195013e-09,6.9056650227350648e-10,2.4334111802687262e-09,1.5723438845415542e-09,4.137625405856548e-10,-2.2304194491055085e-10,-2.2894781073162118e-10
0.1925,7.4394330705759775e-09,1.0727602492818224e-09,3.3830647267036736e-09,2.2060932635272195e-09,8.6339174440468232e-10,8.0059827056368166e-10,7.8268222016187128e-10
0.195,6.8504067520726647e-09,1.4679037852473147e-09,4.263522975982391e-09,2.8945620015606919e-09,1.3804236290241468e-09,1.3884560781004739e-09,1.0613195913574913e-09
0.1975,6.0436136210729814e-09,1.8125064122762548e-09,4.9532265351334286e-09,3.515626592691463e-09,1.8572018998336115e-09,1.6672697511044041e-09,7.9038455861955504e-10
0.2,5.1672605697030232e-09,2.036236389454961e-09,5.327926233576871e-09,3.9125092944316078e-09,2.174935567057048e-09,1.7571754504094188e-09,2.7911842186188999e-10
0.2025,4.3083821202286115e-09,2.0891301835597169e-09,5.3070539269011516e-09,3.9647206469847568e-09,2.2442833563489469e-09,1.6745372278777874e-09,-1.672030325955766e-10
0.205,3.4809979097263069e-09,1.9570896463376887e-09,4.8785782344307897e-09,3.6362836037429109e-09,2.0384933015279563e-09,1.3900871958157433e-09,-3.4871357657688137e-10
0.2075,2.655321300750419e-09,1.6617427602744924e-09,4.0956519851049006e-09,2.9811955251893944e-09,1.6031938119470838e-09,9.3763025802458942e-10,-2.2022906184314819e-10
0.21,1.7751894674030614e-09,1.2522884613901099e-09,3.0577955898959059e-09,2.1178762305409878e-09,1.0461131483738489e-09,4.5961094492543091e-10,1.1863651446421255e-10
0.2125,7.652732809427571e-10,7.9054751653542766e-10,1.8812978069451104e-09,1.1828795921792433e-09,4.9728709673468401e-10,1.3501017867783206e-10,4.8466797123446728e-10
0.215,-4.4933081253504355e-10,3.3698535779382985e-10,6.7417072252587671e-10,2.8973098754816186e-10,6.0220533595898009e-11,6.0721631979097815e-11,7.070802100259528e-10
0.2175,-1.9254531464539561e-09,-6.1060837911393394e-11,-4.7875748284667844e-10,-4.9717186834886716e-10,-2.2955796409275463e-10,1.7982543653198727e-10,7.0997802624877943e-10
0.22,-3.6645972591141964e-09,-3.7615357971103419e-10,-1.5175171220954257e-09,-1.1702326838379441e-09,-4.1637571916014266e-10,3.1155214328532414e-10,5.3428887309112468e-10
0.2225,-5.5812192709313422e-09,-5.983598520374314e-10,-2.4063573377566048e-09,-1.767002533265722e-09,-5.9845596501647437e-10,2.5927623985121498e-10,2.9014760463309696e-10
0.225,-7.4918646335787171e-09,-7.3237114803646759e-10,-3.1234654819853351e-09,-2.336900809879221e-09,-8.718567428921215e-10,-7.703200531851465e-11,7.649205206808337e-11
0.2275,-9.1300071424250136e-09,-7.909265245107388e-10,-3.6509029993680005e-09,-2.8967069215264596e-09,-1.2721803362130037e-09,-6.5106708006475431e-10,-7.6045747513401569e-11
0.23,-1.0197844909659286e-08,-7.9143171573159401e-10,-3.961174431732196e-09,-3.3965853657591352e-09,-1.741860822633269e-09,-1.3022685753061382e-09,-2.0364651474934042e-10
0.2325,-1.0443253659225706e-08,-7.5023166688255841e-10,-4.0227566123422743e-09,-3.7221758032294645e-09,-2.1437509664246116e-09,-1.8375664863375366e-09,-3.576885042208049e-10
0.235,-9.7726022164129093e-09,-6.8207705125464116e-10,-3.8248741958118315e-09,-3.7559336669793307e-09,-2.3309664468501169e-09,-2.117926279711629e-09,-5.4433884298099308e-10
0.2375,-8.2771730921734975e-09,-5.9705212080078709e-10,-3.3874103356470045e-09,-3.4423873701406176e-09,-2.2227625970439856e-09,-2.0979927109243739e-09,-7.051013094565649e-10
0.24,-6.2060573334680472e-09,-4.9951552767293279e-10,-2.7621424540231638e-09,-2.8259539193645225e-09,-1.8450063847121142e-09,-1.8142985960909264e-09,-7.4787668841538659e-10
0.2425,-3.8915316363510019e-09,-3.8858375772712938e-10,-2.0215436300370336e-09,-2.0401673359041909e-09,-1.3181943757609074e-09,-1.3499257664726174e-09,-6.0382378750464034e-10
0.245,-1.6513523004687976e-09,-2.5870834676471405e-10,-1.2384459455357097e-09,-1.246074386690868e-09,-7.9469751967730916e-10,-8.0292914202131729e-10,-2.7481176136509507e-10
