Physical Time (s),etp_left Monitor (W)
0.5025,-1.1626712108658768e-08
0.505,-1.1638614706635968e-08
0.5075,-1.0877437650059694e-08
0.51,-9.379853984816688e-09
0.5125,-7.2685516463710476e-09
0.515,-4.730354527854631e-09
0.5175,-1.9842703678081629e-09
0.52,7.4323886697407565e-10
0.5225,3.2468938354574135e-09
0.525,5.3587942386234012e-09
0.5275,6.9662385700846352e-09
0.53,8.0165166015079367e-09
0.5325,8.5193581300745021e-09
0.535,8.536037157997287e-09
0.5375,8.1668317123259347e-09
0.54,7.53287692559193e-09
0.5425,6.7561839026236715e-09
0.545,5.942141374629277e-09
0.5475,5.1655914153478219e-09
0.55,4.4658331026442828e-09
0.5525,3.8501020702887817e-09
0.555,3.3012553773846145e-09
0.5575,2.7887551692665013e-09
0.56,2.2804692125439395e-09
0.5625,1.7519920538850214e-09
0.565,1.1936246889256289e-09
0.5675,6.1208539198008132e-10
0.57,3.1186485747292211e-11
0.5725,-5.1356599781787013e-10
0.575,-9.8179475638263298e-10
0.5775,-1.3352212112662449e-09
0.58,-1.5441516819126634e-09
0.5825,-1.5911075390657534e-09
0.585,-1.4725431813491705e-09
0.5875,-1.1993289070870112e-09
0.59,-7.9325968666701662e-10
0.5925,-2.8288562299635907e-10
0.595,3.0016693627052869e-10
0.5975,9.245794356032473e-10
0.6,1.5627574271007862e-09
0.6025,2.1940566413274711e-09
0.605,2.8053677971523231e-09
0.6075,3.3913176077461973e-09
0.61,3.9523831412028913e-09
0.6125,4.4931612506006243e-09
0.615,5.019164887894305e-09
0.6175,5.5369774588304397e-09
0.62,6.0510552488845884e-09
0.6225,6.5628159822638397e-09
0.625,7.0704693775106082e-09
0.6275,7.5662778520612677e-09
0.63,8.0380332432110611e-09
0.6325,8.4685320015291039e-09
0.635,8.8365482391869204e-09
0.6375,9.1168953985788239e-09
0.64,9.2832857931545076e-09
0.6425,9.3116116338713615e-09
0.645,9.1828447765817728e-09
0.6475,8.8860784238979257e-09
0.65,8.4208190248716021e-09
0.6525,7.7983241321523405e-09
0.655,7.0428539042387319e-09
0.6575,6.1871505989182292e-09
0.66,5.2703183045572134e-09
0.6625,4.3335364687919235e-09
0.665,3.4135712198173232e-09
0.6675,2.5393774997582135e-09
0.67,1.7289302008944937e-09
0.6725,9.896282150172451e-10
0.675,3.1918095050652107e-10
0.6775,-2.9027587551556548e-10
0.68,-8.4438469507194679e-10
0.6825,-1.3456350889171287e-09
0.685,-1.7853410065123022e-09
0.6875,-2.1445400574921108e-09
0.69,-2.3930106230503282e-09
0.6925,-2.4938803323700082e-09
0.695,-2.4082156924458261e-09
0.6975,-2.1015874294342522e-09
0.7,-1.5516721202975609e-09
0.7025,-7.5348931458274652e-10
0.705,2.7633002261231124e-10
0.7075,1.4974613736449441e-09
0.71,2.848130023539236e-09
0.7125,4.2478525033757062e-09
0.715,5.6056791871078717e-09
0.7175,6.8260479037901513e-09
0.72,7.821195855068898e-09
0.7225,8.5210719890371938e-09
0.725,8.8791649120005222e-09
0.7275,8.879419114164415e-09
0.73,8.53674624508414e-09
0.7325,7.8938750759216336e-09
0.735,7.0198989219051796e-09
0.7375,5.9981882660777423e-09
0.74,4.9097218420848812e-09
0.7425,3.8256395894175913e-09
0.745,2.7995657325905281e-09
0.7475,1.8611733056480892e-09
0.75,1.0182698310772718e-09
0.7525,2.5614391242374952e-10
0.755,-4.5277059439816571e-10
0.7575,-1.1414538321102783e-09
0.76,-1.8401431938538328e-09
0.7625,-2.5689051152643237e-09
0.765,-3.3332953763157398e-09
0.7675,-4.1209750992677058e-09
0.77,-4.9021739622457322e-09
0.7725,-5.6341945470330911e-09
0.775,-6.2656362708969897e-09
0.7775,-6.7412601792475265e-09
0.78,-7.010350614936845e-09
0.7825,-7.03581794363711e-09
0.785,-6.7955636604530375e-09
0.7875,-6.2869608504464677e-09
0.79,-5.5280235977050494e-09
0.7925,-4.5568768276197702e-09
0.795,-3.4272305589578963e-09
0.7975,-2.2064231686539635e-09
0.8,-9.6526233518006811e-10
0.8025,2.276246904708694e-10
0.805,1.3115180322098938e-09
0.8075,2.2380447273059021e-09
0.81,2.9772134141079204e-09
0.8125,3.5162303851981399e-09
0.815,3.8578860279237222e-09
0.8175,4.0174808822677606e-09
0.82,4.019051098843992e-09
0.8225,3.890249157449321e-09
0.825,3.6590606653532251e-09
0.8275,3.3513007649362593e-09
0.83,2.9895256781793626e-09
0.8325,2.5918210316431956e-09
0.835,2.171726182544656e-09
0.8375,1.7396205891344578e-09
0.84,1.3029938896671897e-09
0.8425,8.6757213695538717e-10
0.845,4.3856973745302192e-10
0.8475,2.1196148732368151e-11
0.85,-3.7907229111913285e-10
0.8525,-7.5625660535950314e-10
0.855,-1.1037276140753127e-09
0.8575,-1.4145808266345765e-09
0.86,-1.6823128864826769e-09
0.8625,-1.9006696997844282e-09
0.865,-2.0639345566491203e-09
0.8675,-2.1676081904746624e-09
0.87,-2.2083053729606747e-09
0.8725,-2.1840952215734863e-09
0.875,-2.0940748197788425e-09
0.8775,-1.9389946487065178e-09
0.88,-1.7210128394218825e-09
0.8825,-1.4424826947626274e-09
0.885,-1.1060036304640998e-09
0.8875,-7.1427574280659402e-10
0.89,-2.7035253871000144e-10
0.8925,2.2259060772886022e-10
0.895,7.6148478318904548e-10
0.8975,1.3424283723866798e-09
0.9,1.9605619173438626e-09
0.9025,2.6088561144916154e-09
0.905,3.2787833121577422e-09
0.9075,3.959205716959921e-09
0.91,4.6359826769313095e-09
0.9125,5.2931522446065503e-09
0.915,5.9130378679198235e-09
0.9175,6.4765560418032396e-09
0.92,6.964386262995346e-09
0.9225,7.3590613530885771e-09
0.925,7.6455549445593162e-09
0.9275,7.812745873877443e-09
0.93,7.8548934462812505e-09
0.9325,7.7719578471929997e-09
0.935,7.5698591315888636e-09
0.9375,7.259285778605545e-09
0.94,6.8557903530683782e-09
0.9425,6.377522366017561e-09
0.945,5.8446511489565787e-09
0.9475,5.2772024300771902e-09
0.95,4.6946086752957144e-09
0.9525,4.1138622922044361e-09
0.955,3.5498486205868546e-09
0.9575,3.01417184401275e-09
0.96,2.516115165092708e-09
0.9625,2.0628669222237513e-09
0.965,1.6603840250710021e-09
0.9675,1.3138470072365528e-09
0.97,1.0287110121612449e-09
0.9725,8.1077549023271448e-10
0.975,6.6724383514474253e-10
0.9775,6.0582384285358051e-10
0.98,6.3603940599136309e-10
0.9825,7.6619647361141275e-10
0.985,9.9975973516460442e-10
0.9875,1.3380843119407249e-09
0.99,1.7781202473288441e-09
0.9925,2.3104745554677023e-09
0.995,2.9201353863437419e-09
0.9975,3.586100752533802e-09
1.0,4.2830299382533957e-09
1.0025,4.9807535842254003e-09
1.005,5.6480369168054833e-09
1.0075,6.2552565384629268e-09
1.01,6.775651988400838e-09
1.0125,7.1877316802909719e-09
1.015,7.4767847294347628e-09
1.0175,7.6358836056440823e-09
1.02,7.666139465733931e-09
1.0225,7.5753844548726903e-09
1.025,7.3761676219753018e-09
1.0275,7.0854448192450706e-09
1.03,6.7232779267702448e-09
1.0325,6.3085900804084154e-09
1.035,5.8578805673744997e-09
1.0375,5.3855545692998166e-09
1.04,4.902813651103709e-09
1.0425,4.4170586482891717e-09
1.045,3.9338099981315261e-09
1.0475,3.4565259718654208e-09
1.05,2.9879587513006018e-09
1.0525,2.529934894293664e-09
1.055,2.0840535116152701e-09
1.0575,1.6530662291000291e-09
1.06,1.2403177394407806e-09
1.0625,8.5042185565019264e-10
1.065,4.8867988197141934e-10
1.0675,1.6047796262040839e-10
1.07,-1.2823930906795394e-10
1.0725,-3.722729098985484e-10
1.075,-5.6742826678396978e-10
1.0775,-7.0926547277371512e-10
1.08,-7.9501101428683248e-10
1.0825,-8.2623552957866374e-10
1.085,-8.0604032837011015e-10
1.0875,-7.3863764985890286e-10
1.09,-6.2930068500639394e-10
1.0925,-4.8434119989363613e-10
1.095,-3.1087354334584351e-10
1.0975,-1.1566640802889614e-10
1.1,9.5064176164311971e-11
1.1025,3.15128260335508e-10
1.105,5.3859080543075706e-10
1.1075,7.5990150746517464e-10
1.11,9.7450131474765207e-10
1.1125,1.1781635563396455e-09
1.115,1.3672014224624333e-09
1.1175,1.538625835410597e-09
1.12,1.6898250914056388e-09
1.1225,1.8181143150897765e-09
1.125,1.9213966906096908e-09
1.1275,1.9965419832579778e-09
1.13,2.041749431679848e-09
1.1325,2.0554291095214803e-09
1.135,2.0360575683907969e-09
1.1375,1.9822157939458594e-09
1.14,1.8925143773745455e-09
1.1425,1.766524278820224e-09
1.145,1.6034574964573045e-09
1.1475,1.406560182320298e-09
1.15,1.178572121083707e-09
1.1525,9.2315320604771479e-10
1.155,6.4371923772805544e-10
1.1575,3.4619738327572613e-10
1.16,3.5888137112262596e-11
1.1625,-2.8178867139835786e-10
1.165,-6.0143828106215981e-10
1.1675,-9.1810180493151528e-10
1.17,-1.2267622174646132e-09
1.1725,-1.5226357783957955e-09
1.175,-1.8002777622475025e-09
1.1775,-2.0557739073475123e-09
1.18,-2.2849030345033386e-09
1.1825,-2.4834173690816059e-09
1.185,-2.6449281157359085e-09
1.1875,-2.7665506982049241e-09
1.19,-2.8439561668894633e-09
1.1925,-2.8730718348358397e-09
1.195,-2.8500487378176277e-09
1.1975,-2.7711610465131811e-09
1.2,-2.6315481063645538e-09
1.2025,-2.4326216395529627e-09
1.205,-2.1757186912765727e-09
1.2075,-1.8635940825938169e-09
1.21,-1.5010289475139411e-09
1.2125,-1.0950934968588822e-09
1.215,-6.5498446966850799e-10
1.2175,-1.9197199407726238e-10
1.22,2.8185071836538675e-10
1.2225,7.5316205211612637e-10
1.225,1.2084731744033716e-09
1.2275,1.6350114382231469e-09
1.23,2.0208419983896411e-09
1.2325,2.3560675704738258e-09
1.235,2.633037589019858e-09
1.2375,2.8434054256017789e-09
1.24,2.9876243475678737e-09
1.2425,3.0653498030400801e-09
1.245,3.0794451259305433e-09
1.2475,3.0344066429677239e-09
1.25,2.9361189242722023e-09
1.2525,2.7915389689296504e-09
1.255,2.6083695008326594e-09
