Physical Time (s),enth_flux_viscous_right Monitor (W): right_cv1,enth_flux_viscous_right Monitor (W): right_cv2,enth_flux_viscous_right Monitor (W): right_cv3,enth_flux_viscous_right Monitor (W): right_cv4,enth_flux_viscous_right Monitor (W): right_cv5,enth_flux_viscous_right Monitor (W): right_cv6,enth_flux_viscous_right Monitor (W): right_cv7
0.1475,1.6826356650092234e-08,8.6544836212986606e-11,-3.5885603233093441e-10,-3.4384534013327201e-10,-2.2672359520495574e-10,1.0619141684737532e-10,1.3661246191786437e-10
0.15,1.7631391007058607e-08,-1.8294238787958732e-12,-4.453788079739724e-10,-3.6665644640776838e-10,-2.139677666705163e-10,8.5116221704083932e-11,2.0863813650605917e-10
0.1525,1.8427075248878808e-08,-8.8033588293820494e-11,-4.9885318300259799e-10,-3.5675962250845765e-10,-1.8342340127501038e-10,5.751046070016684e-11,2.6447309785435069e-10
0.155,1.9209064764039697e-08,-1.5475536467753056e-10,-5.1830788694314541e-10,-3.2803714329894354e-10,-1.4867970767193478e-10,3.1137919923206701e-11,3.0050523816667165e-10
0.1575,1.9984578775171719e-08,-1.9084079544466051e-10,-5.0791711317569546e-10,-2.9360343561156265e-10,-1.2149106955607881e-10,1.1940309595589911e-11,3.1691703118496149e-10
0.16,2.0766891776672288e-08,-1.93366670752731e-10,-4.7442097858283677e-10,-2.6295443009903119e-10,-1.0913356875011396e-10,2.9907121020295812e-12,3.1644764330710553e-10
0.1625,2.1572050572528921e-08,-1.663835531738447e-10,-4.2555710425156952e-10,-2.4087961693316115e-10,-1.1306538267317596e-10,4.2244808901175435e-12,3.0316104490410109e-10
0.165,2.2413887493339585e-08,-1.18318873039882e-10,-3.6935323766559036e-10,-2.2758782631732795e-10,-1.2915613236424982e-10,1.2952113846596738e-11,2.813699802273906e-10
0.1675,2.3301319717466579e-08,-5.905313457416163e-11,-3.1359583250660569e-10,-2.1977832820248219e-10,-1.4940300065723537e-10,2.4923358764709221e-11,2.5490015715931155e-10
0.17,2.423610162237352e-08,2.0627345457578178e-12,-2.6487712627357089e-10,-2.1231551175097137e-10,-1.644394905999159e-10,3.5839878899715476e-11,2.2642084162581897e-10
0.1725,2.5213321746844542e-08,5.7730977280235588e-11,-2.2747341929879711e-10,-2.0009522818690913e-10,-1.661658066448722e-10,4.2648013515268439e-11,1.9695640844121256e-10
0.175,2.6223041967970746e-08,1.0372775930017169e-10,-2.0259173418939164e-10,-1.796693998330574e-10,-1.4976763729921239e-10,4.4275481247928651e-11,1.6583823120119213e-10
0.1775,2.7250330080461878e-08,1.3918037369157961e-10,-1.8850743244813251e-10,-1.5009411376853685e-10,-1.1474628811623426e-10,4.1595233821681275e-11,1.3118735560163503e-10
0.18,2.8279981070238486e-08,1.6516005906501801e-10,-1.815569512593093e-10,-1.1303726659940144e-10,-6.4948277924598811e-11,3.6679998893478449e-11,9.0853676956745923e-11
0.1825,2.9295948736131095e-08,1.8358438335035235e-10,-1.7741811412353025e-10,-7.2212680545593984e-11,-7.6234948337667871e-12,3.1780930872650963e-11,4.3488884493780224e-11
0.185,3.0285666084870633e-08,2.0067871482876564e-10,-1.7228029345472908e-10,-3.2424417498538278e-11,4.8157102878484085e-11,2.8362323676943966e-11,-1.0583077483264414e-11
0.1875,3.12407612799099e-08,2.2412097996186288e-10,-1.6357400744142623e-10,1.5144829284197378e-12,9.3405046203166454e-11,2.6576130896162899e-11,-6.9053241183597558e-11
0.19,3.2157037313346912e-08,2.5904896108583593e-10,-1.5026604544447413e-10,2.5678941040617248e-11,1.2104435249791386e-10,2.5038244381283019e-11,-1.2780856366383713e-10
