Physical Time (s),xth_bot Monitor (W): bot_cv1,xth_bot Monitor (W): bot_cv2,xth_bot Monitor (W): bot_cv3,xth_bot Monitor (W): bot_cv4,xth_bot Monitor (W): bot_cv5,xth_bot Monitor (W): bot_cv6,xth_bot Monitor (W): bot_cv7
0.25,-3.066428906016104e-19,-2.6615246066439511e-19,2.8485814032676635e-19,3.3711958469085063e-19,-4.2044194756043473e-20,-1.2435879871827518e-20,-3.2733612635783395e-20
0.2525,9.3333379043664577e-19,2.8926148366131972e-21,3.1220870346988766e-19,-1.6277350118358041e-19,4.3326370759951245e-20,8.4261022725257382e-20,5.5157553239466553e-20
0.255,-1.0619939860325448e-19,-1.3710360294996171e-19,3.5394137166321517e-19,-4.3371054440215905e-20,-3.9967307180523156e-20,4.5494904519323133e-21,-7.2044013071350655e-20
0.2575,1.6510745369377012e-19,2.270863412021737e-19,9.9865937773985117e-21,-2.4214698288496222e-19,1.7411510384792024e-20,2.7993787268062749e-20,3.9404827849403395e-20
0.26,-9.7022704706439914e-19,-1.1599996016663092e-19,2.1959692534560901e-19,-1.3559913336445893e-19,5.0905660816401853e-20,-2.6102906766074085e-20,-2.7431176663980101e-20
0.2625,-7.7703729278933679e-19,1.4153687108413933e-19,-1.9882858466052154e-19,1.0633954665036654e-20,1.0493276100683889e-19,1.6258375560573398e-20,3.1846940731787129e-20
0.265,1.5412841631120831e-20,-9.3401022506831803e-20,-6.3766948365875275e-19,-1.4544260007440836e-20,-1.4213710795219016e-19,7.1868274276067448e-20,3.3169971043282581e-20
0.2675,1.0409579112141348e-18,3.0313277364306223e-19,-1.4001372501945139e-19,7.364921298787752e-20,2.0704847734164531e-20,1.1850353902632598e-19,1.7295200757778342e-20
0.27,3.7531842216762856e-19,-4.6095115950062511e-19,5.8893073721948865e-19,1.9416641309087724e-19,-9.1736851948830874e-20,-9.7801605842460385e-20,-1.6287937171606753e-20
0.2725,-6.6548131957956471e-19,4.7004774957856576e-21,-4.571881066801657e-19,3.8545885273174942e-20,5.5416274356693782e-20,-6.0367125878811919e-20,1.7956795833255755e-20
0.275,1.8407434379748573e-18,-7.1532576606563633e-20,4.0636438106003782e-19,4.7318075050395228e-19,-6.3298941857054456e-20,9.2720729228996255e-21,-3.7662250809933624e-20
0.2775,-9.1480689154548198e-20,5.9928586031350364e-19,-1.3486677531144814e-19,2.9275649073141356e-19,7.3011817540566591e-20,3.2992613484544124e-20,9.9120612762063304e-21
0.28,2.7827165005572687e-19,-2.6671930105161336e-19,3.6306709214023096e-19,3.4855560979393406e-19,-9.1397435643521003e-20,4.2269997012148051e-20,-2.1733062910699796e-20
0.2825,3.1721839790098228e-19,-3.2097211091854669e-19,-2.7750539298355251e-19,-2.2270269364681945e-19,7.2010960214796245e-20,7.6605751239212299e-20,-1.2060958760075033e-20
0.285,-8.6878631021861175e-19,-5.971386422953516e-20,-1.3551207225337821e-19,-3.7043610763783347e-19,-6.9793460582605058e-20,-8.7608677481841883e-20,4.3641649884203572e-21
0.2875,-4.9030490525471905e-19,1.9868520687004418e-19,-5.5839714610783686e-19,1.1446777107082467e-19,9.0304629397833397e-20,6.4743247887942966e-20,-1.6794716203926777e-21
0.29,1.7236224651256461e-19,-4.318953384112051e-19,-9.7402720784107108e-19,3.2188180868948647e-19,2.2981759446910445e-20,2.3470094178535214e-20,6.5982715057699037e-21
0.2925,5.8834530789602163e-19,-2.7292297503107882e-19,-2.3568788778181124e-19,-6.7141302308328141e-21,5.4488529763273859e-20,9.8201503242690101e-21,2.0214680347402833e-21
0.295,1.560790861879037e-19,2.2479306703456894e-19,2.10426348396229e-20,-3.4310297958437617e-19,5.6504190976263225e-20,-1.4117226353663643e-21,3.4899349677051096e-21
0.2975,1.7639354093031563e-19,-1.6200574898999108e-21,2.5805186528795321e-19,4.701496954754712e-19,-5.665493158663375e-20,2.2778824900492911e-20,-1.5264738091068406e-21
0.3,-1.7322640840685793e-18,3.1107590986669762e-19,5.6507541602913222e-19,6.0384969604068851e-20,-7.3434293878971227e-20,-4.3752123536969635e-20,4.8885115525962088e-21
0.3025,-1.2466062485404887e-18,-4.347877733694651e-20,-7.0361262168765092e-19,-2.0742781988787894e-20,-1.1879908801023005e-19,-1.6395304703948155e-19,2.7281567479375883e-20
0.305,-9.5476135419848548e-19,2.616748243198652e-19,-3.9903484775468671e-19,1.1464974144938934e-19,1.9823371363951874e-19,-1.9086327121075346e-19,-1.5083647746579602e-19
0.3075,4.4721447304084589e-19,-2.0443038768876774e-19,-3.1447332424454866e-19,3.3901530239421997e-19,-1.9610992972665694e-19,2.2001785333823374e-19,-6.6948302207463886e-20
0.31,-1.7144889070371142e-18,-1.0899548005720313e-19,-1.5538683711879491e-19,-3.413905611189313e-20,1.2246150271211014e-19,2.2268301019512501e-20,-9.042244531423631e-20
0.3125,3.3892914993405353e-19,-2.4762711697691562e-19,7.3675424064719895e-19,1.2789545855337192e-19,-2.6269244702244797e-19,6.356460567280676e-20,1.07481237254564e-19
0.315,-1.0390404955040788e-18,2.1626705720361289e-20,-4.4148742934660889e-19,-2.295386624011188e-19,2.1309411115813622e-20,1.8715293877985738e-20,-2.3809772770706939e-20
