Physical Time (s),anabla_vol Monitor (W): cv1,anabla_vol Monitor (W): cv2,anabla_vol Monitor (W): cv3,anabla_vol Monitor (W): cv4,anabla_vol Monitor (W): cv5,anabla_vol Monitor (W): cv6,anabla_vol Monitor (W): cv7
0.185,1.0076196531572225e-10,9.7718838047022689e-12,1.0367161789634127e-13,1.3529032406382671e-17,3.6011199073768149e-17,3.7258223795787718e-17,7.2114979690534273e-17
0.1875,9.9814758933845561e-11,9.8742461036129771e-12,1.2579577297612357e-13,1.316090444427821e-17,3.6177688195652996e-17,3.8877698167706025e-17,8.7238716951262263e-17
0.19,9.889567532111386e-11,9.9679374274935567e-12,1.5145382650030953e-13,1.1660605071430622e-17,2.8631742161244919e-17,3.0756432301009129e-17,9.1943251770336242e-17
0.1925,9.7998044429825476e-11,1.0052990075293929e-11,1.8023656426736883e-13,9.4639161113910603e-18,1.7348745105902215e-17,1.7447298898218701e-17,8.5178821508552343e-17
0.195,9.7113462535701768e-11,1.0129835763333061e-11,2.1151250367374834e-13,7.1931380388596724e-18,7.9463594949221302e-18,7.1584040776696808e-18,6.969289211363347e-17
0.1975,9.6234886172737028e-11,1.0198987777810453e-11,2.4475854336803292e-13,5.3119212575137178e-18,4.4071053875757899e-18,6.8813996170973831e-18,5.0722168247964821e-17
0.2,9.5366581719023116e-11,1.0260823883212702e-11,2.7978330450759128e-13,4.0709904307790196e-18,6.9752122201963669e-18,1.7999480067492444e-17,3.4148634978085842e-17
0.2025,9.4514464677973318e-11,1.0315689466518106e-11,3.1656516128552914e-13,3.619736921237698e-18,1.2597626125160652e-17,3.5519689000067917e-17,2.3945837428276745e-17
0.205,9.3679046750448559e-11,1.0364033366655596e-11,3.5507524793093146e-13,4.0803162547940402e-18,1.7390616555830006e-17,5.1359330317503697e-17,2.0943806863421636e-17
0.2075,9.285826338822307e-11,1.0406434879311469e-11,3.9521481597965141e-13,5.4184500218664006e-18,1.8872020114359328e-17,5.8742164963936421e-17,2.3124701648226471e-17
0.21,9.2050406682107825e-11,1.044346916173249e-11,4.3689888396553469e-13,7.2248436633121769e-18,1.6833381202638796e-17,5.5414281527831242e-17,2.6596299000698508e-17
0.2125,9.1253910869666796e-11,1.0475706380272866e-11,4.8001212526639346e-13,8.7364662059383109e-18,1.272155178336471e-17,4.4030258439710993e-17,2.7411969499657613e-17
0.215,9.0466791344124054e-11,1.0503708843628744e-11,5.2438917919043779e-13,9.1980597970540273e-18,8.3568571461162573e-18,2.9772304926301193e-17,2.3667509416300082e-17
0.2175,8.9685972219818056e-11,1.0528009574491439e-11,5.6982275845527297e-13,8.3296065026635564e-18,4.9508627737540575e-18,1.7426215743334643e-17,1.6555388589372798e-17
0.22,8.8907827542369984e-11,1.0549106084505507e-11,6.1608110113846342e-13,6.5634450140747388e-18,2.8538822525009557e-18,9.6656641038763596e-18,9.5531465131949143e-18
0.2225,8.8128472312920946e-11,1.0567455734945602e-11,6.629155387054231e-13,4.8038887232456515e-18,1.8643388844770855e-18,6.9177354105610408e-18,6.1374830791064413e-18
0.225,8.7344150169472386e-11,1.0583483895713684e-11,7.1007774555471074e-13,3.8357971427783988e-18,1.6383282771856654e-18,8.1765038610046891e-18,7.5301445379006006e-18
0.2275,8.6550823016839786e-11,1.0597616648785859e-11,7.5733616151997554e-13,3.8237987553194492e-18,1.9103710639509658e-18,1.1897626052817446e-17,1.2086326952013333e-17
0.23,8.5745191135320193e-11,1.061027276525693e-11,8.044917839873271e-13,4.2901622042217785e-18,2.4936188634796662e-18,1.6538625716842247e-17,1.6614644644580903e-17
0.2325,8.4932322311744631e-11,1.0621795214576973e-11,8.5141916789486806e-13,4.6115654093278985e-18,3.1854172836128598e-18,2.0835765621318153e-17,1.8667942686134834e-17
0.235,8.4116519241076325e-11,1.0632512291072523e-11,8.9806216431871829e-13,4.6662453617004606e-18,3.6983139045102663e-18,2.3861147620868178e-17,1.8023450977019737e-17
0.2375,8.3299316735610225e-11,1.0642744761899747e-11,9.4440720412513741e-13,5.004615087135732e-18,3.6753158384326976e-18,2.4660921141622108e-17,1.6059678676013958e-17
0.24,8.248253121348547e-11,1.0652775426913377e-11,9.9047993150896549e-13,6.4692373183304877e-18,2.9247395739159301e-18,2.2513646600164322e-17,1.4655171151729127e-17
0.2425,8.166853715093857e-11,1.066281456904329e-11,1.0363378398572967e-12,9.5673250887061454e-18,1.7412279563266325e-18,1.7515006878987419e-17,1.5136287311400485e-17
0.245,8.0859603239751401e-11,1.0673014904356911e-11,1.0820664535111988e-12,1.4049510232039072e-17,1.0154499133414643e-18,1.1001280521964092e-17,1.7846842282218724e-17
0.2475,8.005749468266878e-11,1.0683429592955411e-11,1.1277804134252283e-12,1.9013362456220665e-17,1.9290215633116969e-18,5.4693477811332523e-18,2.2250173314529022e-17
0.25,7.9263288151129689e-11,1.0694028612195712e-11,1.1736251286128482e-12,2.3366513593716292e-17,5.2815631151418851e-18,3.6452280526979529e-18,2.7159426604591947e-17
0.2525,7.8477558288328739e-11,1.0704686544393845e-11,1.2197711774121062e-12,2.6318456522275205e-17,1.0855061804671387e-17,7.0524072154929617e-18,3.1001254599790778e-17
0.255,7.7700370330997195e-11,1.0715202804923921e-11,1.2664095057161983e-12,2.7609052616496672e-17,1.7291824918643127e-17,1.4960781726102792e-17,3.2272810366500861e-17
0.2575,7.6931481908577403e-11,1.0725332670347089e-11,1.3137459476836221e-12,2.7427017232354961e-17,2.2612321647053061e-17,2.4491550177602455e-17,3.0207650595905244e-17
