Physical Time (s),enthalpy_storage_vol Monitor (J): cv1,enthalpy_storage_vol Monitor (J): cv2,enthalpy_storage_vol Monitor (J): cv3,enthalpy_storage_vol Monitor (J): cv4,enthalpy_storage_vol Monitor (J): cv5,enthalpy_storage_vol Monitor (J): cv6,enthalpy_storage_vol Monitor (J): cv7
0.1525,7.3002029779294189e-07,3.1285391246507271e-07,1.3826400975438327e-08,-9.0550153574497575e-10,-7.618188560555861e-10,-7.4764573994624137e-10,-1.2074362038162525e-09
0.155,7.295408271863241e-07,3.1753862587416295e-07,1.4648124791870186e-08,-9.2359542919863642e-10,-7.1740812488632897e-10,-7.3527070113690547e-10,-1.1805628589558435e-09
0.1575,7.2891581910170305e-07,3.2186751711239307e-07,1.5573210845306112e-08,-8.986559448173121e-10,-6.6485825470127468e-10,-7.3877385848311656e-10,-1.1576430913950034e-09
0.16,7.2817915286585174e-07,3.2585613336217571e-07,1.6618386141127902e-08,-8.4291521561539436e-10,-6.209096085288265e-10,-7.5576355305076646e-10,-1.1175856410297384e-09
0.1625,7.2744057969630835e-07,3.2954287540553087e-07,1.7801795465239924e-08,-7.6614229091447595e-10,-5.9126254576253071e-10,-7.7476427317604931e-10,-1.0481553445441342e-09
0.165,7.2682842156555293e-07,3.3297939184111147e-07,1.9130716160767465e-08,-6.8110719825899716e-10,-5.7726629192185885e-10,-7.9008381007868167e-10,-9.630003813561921e-10
0.1675,7.2646906986967009e-07,3.3622551412592793e-07,2.0609756090995782e-08,-5.9176537221677721e-10,-5.6727901782806877e-10,-7.8168600121562533e-10,-8.6311747028669554e-10
0.17,7.2641422643984122e-07,3.39327046155611e-07,2.2224649283214925e-08,-5.100639946100072e-10,-5.5749722398985358e-10,-7.5156136473896581e-10,-7.8256971595703338e-10
0.1725,7.2670043204711329e-07,3.4232512918986591e-07,2.3977632937045679e-08,-4.2625727017690077e-10,-5.2639098137315963e-10,-6.6842441976357906e-10,-7.0027389758273713e-10
0.175,7.2722020616781578e-07,3.4521888736106495e-07,2.5835969065589064e-08,-3.6562122515805178e-10,-4.9269195639009243e-10,-5.8325642442664742e-10,-7.0929580501117061e-10
0.1775,7.2791231040521784e-07,3.4800873274971438e-07,2.7809035790213655e-08,-3.1743440915196147e-10,-4.4529841852533456e-10,-4.8635114511965024e-10,-8.0050642986483825e-10
0.18,7.2872903995597313e-07,3.5068544357200983e-07,2.9924700610140763e-08,-2.5832044074197061e-10,-3.6574155055133015e-10,-3.4997915848697132e-10,-9.214941975412266e-10
0.1825,7.295835452717144e-07,3.5321508178477717e-07,3.2196536101539131e-08,-1.8432590463346198e-10,-2.5966847536594028e-10,-1.8741153135483273e-10,-1.0648159242328673e-09
0.185,7.3036295752968921e-07,3.5554512540078002e-07,3.4618790492626474e-08,-1.1389079028134849e-10,-1.5755944637190089e-10,-5.4543338455636182e-11,-1.2709628456129682e-09
0.1875,7.3102055732600964e-07,3.5763548018966807e-07,3.7198998175236903e-08,-5.3041293373719989e-11,-7.7744865719644372e-11,2.4314053236835404e-11,-1.5284341234568918e-09
0.19,7.3159302411330909e-07,3.5947184253537505e-07,3.9959737747700554e-08,9.3437152838097871e-12,-1.8690960303593716e-11,6.5226262518207294e-11,-1.7696628981274318e-09
0.1925,7.3214768270302889e-07,3.6106233829705603e-07,4.2919981706387421e-08,8.5236816142318303e-11,2.6728468952743827e-11,9.1545617025692779e-11,-1.9293278661384783e-09
0.195,7.3267940147182087e-07,3.6241606619855316e-07,4.6059350417154768e-08,1.5243507779181646e-10,3.7710153934058625e-11,6.353771125759915e-11,-2.0548125551463264e-09
0.1975,7.3323101275910582e-07,3.6357111930543992e-07,4.9372455738268791e-08,2.1109621826852981e-10,2.0990754823645817e-11,-7.2101840222332672e-12,-2.1367615046881177e-09
0.2,7.3379544918377807e-07,3.6456041628104776e-07,5.2825292509842484e-08,2.4412977081021056e-10,-3.1086141824515935e-11,-1.3999502674120278e-10,-2.2261042077105497e-09
0.2025,7.3439637361716936e-07,3.6542635434336854e-07,5.6400682365826596e-08,2.5699728851777363e-10,-1.0300287400612418e-10,-3.0668980715396303e-10,-2.3087642214032941e-09
0.205,7.3501881265760896e-07,3.661985625571724e-07,6.0077906461791993e-08,2.5142261431282365e-10,-1.8433016201737206e-10,-4.8658878227203262e-10,-2.3824187564013636e-09
0.2075,7.356396559758231e-07,3.6689692523533752e-07,6.3844532572524323e-08,2.3579827655103553e-10,-2.607515323036263e-10,-6.5060846799034785e-10,-2.4289336332964037e-09
0.21,7.3621751260596741e-07,3.6752656837907541e-07,6.7687516965898386e-08,2.1688208924852514e-10,-3.2384910145034457e-10,-7.8114407321911458e-10,-2.4419368023403762e-09
0.2125,7.3670856358365643e-07,3.6808220822763657e-07,7.1598486663434009e-08,2.0352895277359281e-10,-3.6627600959142997e-10,-8.643202713079832e-10,-2.414058281567133e-09
0.215,7.3707249915994606e-07,3.6855180539542239e-07,7.5572202526270227e-08,2.0451332320046046e-10,-3.8359020282512007e-10,-8.9238482463757367e-10,-2.3402488544094319e-09
0.2175,7.3727795612083305e-07,3.6892198141840933e-07,7.9605954729673538e-08,2.2601093246474005e-10,-3.7492476359265839e-10,-8.6392283860320626e-10,-2.2198479225712369e-09
0.22,7.3730633079439059e-07,3.6918171835216243e-07,8.3696363730893987e-08,2.6867749826419894e-10,-3.4456496454676839e-10,-7.8606923971749567e-10,-2.0617210270266414e-09
0.2225,7.3716291620904652e-07,3.6932750898863499e-07,8.784279960756993e-08,3.3041684034932677e-10,-2.9781789410298569e-10,-6.6725133366960489e-10,-1.8748389132082779e-09
0.225,7.3687099200690576e-07,3.6936377234468274e-07,9.2044605370934625e-08,4.0432755347751303e-10,-2.4242148776810944e-10,-5.2100968712702814e-10,-1.676142447223756e-09
0.2275,7.3646711440347101e-07,3.6930369705998684e-07,9.6303591830866753e-08,4.8124625839289411e-10,-1.8580968993666484e-10,-3.6209618537093026e-10,-1.4850673521647649e-09
0.23,7.3600275823848199e-07,3.6916874097602685e-07,1.0062760788651468e-07,5.5557045284301378e-10,-1.3057756174165586e-10,-1.9725223587468577e-10,-1.3084665310419063e-09
0.2325,7.355318282528165e-07,3.6898294862612926e-07,1.0502109912896414e-07,6.2385083093165812e-10,-7.7130023301825529e-11,-2.9626162314725524e-11,-1.14550251008062e-09
0.235,7.3508403868666174e-07,3.6876625876206397e-07,1.09486713328506e-07,6.8078076273509294e-10,-2.9098139444234983e-11,1.3035934160839476e-10,-1.001020576829601e-09
0.2375,7.346637286276123e-07,3.6853199430868979e-07,1.1402860208953868e-07,7.2069175353097509e-10,6.9859942935273095e-12,2.6689256469874862e-10,-8.8189365431854875e-10
0.24,7.3430452936214366e-07,3.6829722506780449e-07,1.1866998202849325e-07,7.5878212134230173e-10,4.2774924246073137e-11,4.010064566240306e-10,-7.3773953224901749e-10
0.2425,7.3397257514826054e-07,3.6805502168970051e-07,1.2340847213465471e-07,7.8754689816920785e-10,6.5652572404534061e-11,5.0501687547839031e-10,-5.9090345582287357e-10
0.245,7.3369830251016153e-07,3.6780837250454341e-07,1.2826760834104331e-07,8.290991393203224e-10,9.2196867603600695e-11,6.1059353079951583e-10,-3.8011350889803057e-10
0.2475,7.3345008134342159e-07,3.6753790418521534e-07,1.3324123168246036e-07,8.7910704956340784e-10,1.1385077471654095e-10,6.9899958061676112e-10,-1.2731819201364121e-10
0.25,7.3317969598405764e-07,3.6721550075825877e-07,1.3831042762574007e-07,9.2313235299464892e-10,1.1381426930762826e-10,7.3637340823701414e-10,1.1292935356434768e-10
