Physical Time (s),etp_bot Monitor (W): bot_cv1,etp_bot Monitor (W): bot_cv2,etp_bot Monitor (W): bot_cv3,etp_bot Monitor (W): bot_cv4,etp_bot Monitor (W): bot_cv5,etp_bot Monitor (W): bot_cv6,etp_bot Monitor (W): bot_cv7
0.1725,-8.5745434135027916e-10,-1.4161505239417241e-10,-6.822681010808603e-12,4.5313747390449768e-10,5.4089379844237946e-10,1.1914185589229565e-09,1.450724669616833e-09
0.175,8.7547275387716358e-10,-1.9453680788599595e-10,-2.5353024766826262e-10,2.6632171887834327e-10,3.6716922277451497e-10,-4.3701828091722744e-10,-1.7177550533726926e-09
0.1775,2.5825348216965678e-09,-2.2082760815136293e-10,-3.720515513648948e-10,1.7964426007662137e-10,1.9062886463759101e-10,-2.3065751404589777e-09,-4.4415439901971864e-09
0.18,4.2310517000425062e-09,-1.9630477950188572e-10,-2.7313176797068565e-10,2.2629782355934478e-10,4.135542276035178e-11,-3.6067446971567273e-09,-5.69921382175696e-09
0.1825,5.7306289559949702e-09,-9.9927612830123504e-11,9.465951541938831e-11,4.0755455238361307e-10,-4.6692145556766837e-11,-3.823204520303965e-09,-5.3012255152301087e-09
0.185,6.931161339878218e-09,8.0384138639867962e-11,7.2056818864014891e-10,7.0502980635575942e-10,-3.3084658058696611e-11,-2.9889791234675874e-09,-3.7457538486519158e-09
0.1875,7.6787731227310218e-09,3.4784361090896594e-10,1.5429862828232831e-09,1.1061922556130807e-09,1.1950792605514303e-10,-1.5835568878382136e-09,-1.8132733163949473e-09
0.19,7.8925804305316866e-09,6.9492758176947558e-10,2.4785607073984659e-09,1.6140597194104377e-09,4.2631960359437677e-10,-1.9317723655208085e-10,-1.7193000782543095e-10
0.1925,7.6051271309933376e-09,1.0977598840416459e-09,3.436691645846467e-09,2.2238061359775172e-09,8.6334083056485002e-10,8.2075851566784812e-10,8.2206727570111994e-10
0.195,6.9424064331149656e-09,1.5116840235962635e-09,4.3188841484691178e-09,2.8851595091245051e-09,1.3623567671384654e-09,1.4060297656512015e-09,1.1207076683089592e-09
0.1975,6.0742309145605298e-09,1.8720727559568421e-09,5.009408444891339e-09,3.4847701422360362e-09,1.8218622064978435e-09,1.6863849264977818e-09,8.8770618452239077e-10
