Physical Time (s),ep_left Monitor (W)
0.5925,6.0603865323600365e-10
0.595,1.1743517294205751e-09
0.5975,1.7836506923565628e-09
0.6,2.4076697201155334e-09
0.6025,3.0269064238112893e-09
0.605,3.6291402453824907e-09
0.6075,4.2096100149168994e-09
0.61,4.7691327636682147e-09
0.6125,5.3123929348064609e-09
0.615,5.8447534078110545e-09
0.6175,6.3724714168034889e-09
0.62,6.899525607330716e-09
0.6225,7.4267322538127492e-09
0.625,7.9515964117651034e-09
0.6275,8.465586480812209e-09
0.63,8.9556613608866312e-09
0.6325,9.4037800416672021e-09
0.635,9.7879716613796591e-09
0.6375,1.0082459498413079e-08
0.64,1.0260404087552659e-08
0.6425,1.0297217658460629e-08
0.645,1.0173649076267285e-08
0.6475,9.8787992376018745e-09
0.65,9.4123972736588745e-09
0.6525,8.7861021320736416e-09
0.655,8.0246750963400977e-09
0.6575,7.161476608251992e-09
0.66,6.2361887978071088e-09
0.6625,5.2904537153820509e-09
0.665,4.3614783809636347e-09
0.6675,3.4786105869662136e-09
0.67,2.6601297873878514e-09
0.6725,1.9138225132421788e-09
0.675,1.2377952358643653e-09
0.6775,6.2463785970256323e-10
0.68,6.9263276607872161e-11
0.6825,-4.30231730831577e-10
0.685,-8.6458213855844417e-10
0.6875,-1.2143528875714849e-09
0.69,-1.4490518192585574e-09
0.6925,-1.5318306634613399e-09
0.695,-1.4241212302732847e-09
0.6975,-1.0922100214005925e-09
0.7,-5.1482626259989304e-10
0.7025,3.11667522815656e-10
0.705,1.3691220735874544e-09
0.7075,2.6156214255001454e-09
0.71,3.9878889335557818e-09
0.7125,5.4041504739865246e-09
0.715,6.7725278581452604e-09
0.7175,7.9969706072112358e-09
0.72,8.9897338407642027e-09
0.7225,9.6813031157519241e-09
0.725,1.0026109747191819e-08
0.7275,1.0009355448911803e-08
0.73,9.6473576420432895e-09
0.7325,8.9842442716150224e-09
0.735,8.0903786615516144e-09
0.7375,7.0501301432809388e-09
0.74,5.9451572136786144e-09
0.7425,4.8469767654074833e-09
0.745,3.8093605087781766e-09
0.7475,2.8619937934931106e-09
0.75,2.0126903750554477e-09
0.7525,1.2467877307811602e-09
0.755,5.3685819817020265e-10
0.7575,-1.4984620214008011e-10
0.76,-8.4329784823334271e-10
0.7625,-1.5633033137062471e-09
