Physical Time (s),ev_bot Monitor (W): bot_cv1,ev_bot Monitor (W): bot_cv2,ev_bot Monitor (W): bot_cv3,ev_bot Monitor (W): bot_cv4,ev_bot Monitor (W): bot_cv5,ev_bot Monitor (W): bot_cv6,ev_bot Monitor (W): bot_cv7
0.1075,8.4717588743411356e-14,-1.0588937536124689e-14,-8.5719115570964836e-15,4.2832758486205619e-15,2.2924943881587391e-14,3.5358262251886579e-14,1.2289446167788878e-15
0.11,3.035204131970187e-13,-5.3369288617157551e-15,-1.2116164012734493e-14,1.3357959853957361e-16,1.6552998934292354e-14,1.9398342741139146e-13,6.1651810605984706e-14
0.1125,7.5641856688973371e-13,-2.9851297034087545e-15,-2.2018621404010133e-14,-4.0640318118478037e-15,6.8077199745993621e-15,3.459660465321317e-13,1.9968704811832248e-13
0.115,1.4295932097689972e-12,-1.7042322388963036e-15,-3.5423879848489795e-14,-1.8374857754468496e-14,1.0864661597819679e-15,2.8721120077291216e-13,2.6656116500588747e-13
0.1175,2.1650947087999661e-12,-4.4443253936143351e-16,-4.2426355122876328e-14,-3.4442569282003935e-14,-2.144407901626509e-15,1.0306549188684049e-13,1.8197526856787334e-13
0.12,2.7214933649816633e-12,9.7209123590228289e-16,-3.6417310879644239e-14,-3.6091596457455476e-14,-5.8757213967347719e-15,6.7383924737170122e-15,5.6885352142882742e-14
0.1225,2.8969964109452977e-12,2.1079497113168813e-15,-2.2534116856200101e-14,-2.4211945057719187e-14,-1.1239267564713852e-14,-7.1269088948136275e-15,5.9400355769449304e-15
0.125,2.6297906792301304e-12,2.3180115605299553e-15,-1.0782214356247586e-14,-1.1541861723916256e-14,-1.7161264606216826e-14,-8.9228524433432344e-14,-1.907895123282973e-14
0.1275,2.0235098127092686e-12,1.3515226099670554e-15,-5.2993981082981632e-15,-4.8224142884643555e-15,-2.069727119034425e-14,-2.3893270001181374e-13,-1.2292339067031064e-13
0.13,1.2947663124378377e-12,-7.2002011144426678e-17,-5.0112089467982138e-15,-2.7741325324232757e-15,-1.9544242502948277e-14,-3.0208453410443339e-13,-2.706204916786164e-13
