Physical Time (s),enth_flux_enthalpy_top Monitor (W): top_cv1,enth_flux_enthalpy_top Monitor (W): top_cv2,enth_flux_enthalpy_top Monitor (W): top_cv3,enth_flux_enthalpy_top Monitor (W): top_cv4,enth_flux_enthalpy_top Monitor (W): top_cv5,enth_flux_enthalpy_top Monitor (W): top_cv6,enth_flux_enthalpy_top Monitor (W): top_cv7
0.1125,1.4244070722415373e-08,-3.8975381506142443e-10,-8.829209565827523e-10,-3.1888307960306933e-10,7.8281193907153191e-10,3.4217007461854778e-09,-6.2307414730854007e-10
0.115,6.8426685712686076e-09,1.2893721355915362e-11,1.6189979270832257e-11,-3.9972173874707691e-10,1.332825116972162e-10,-7.6088093959539185e-10,-1.3399755053692351e-09
0.1175,-5.4479740269971414e-09,3.4280424127204865e-11,1.0983085402242203e-09,1.1102460793012771e-10,-4.858008003222411e-11,-3.5509210614890208e-09,-1.960563231729352e-09
0.12,-1.8111338682106981e-08,-2.0640763920278731e-10,1.8828295713168092e-09,9.531053917881682e-10,5.8973133653037651e-10,-1.9450727415094011e-09,-1.84406841312918e-09
0.1225,-2.653522586314286e-08,-4.895021054024765e-10,2.0939622486715603e-09,1.5975859484979198e-09,1.6778889549063093e-09,3.0101316811548879e-09,-6.0461782908227514e-10
0.125,-2.8341337211182291e-08,-5.9178640679557387e-10,1.8545732607902137e-09,1.7553103550762038e-09,2.5589714626424647e-09,7.4580347219487288e-09,1.4894959689245721e-09
0.1275,-2.3947032731111287e-08,-3.9295536579719086e-10,1.5211121709945075e-09,1.5364975566273505e-09,2.7465905595816813e-09,8.1183231161031012e-09,3.5789931284886061e-09
0.13,-1.6070604635390491e-08,4.5363108981126482e-11,1.4151285588619449e-09,1.2674613646515897e-09,2.1679306591990601e-09,4.726757081412466e-09,4.4897637386393418e-09
0.1325,-8.1866213664787067e-09,5.1646164758431818e-10,1.6066609851913424e-09,1.1349011344528563e-09,1.1379501192969795e-09,-1.0359256648944756e-10,3.5364677243345415e-09
0.135,-2.7308990511297354e-09,8.1710813497226531e-10,1.8547951940205872e-09,9.7731903730272052e-10,1.0199365995701219e-10,-3.1368373147930413e-09,1.2515730257336414e-09
0.1375,-1.9689957290295222e-10,8.6915697477141008e-10,1.7248374357296602e-09,4.0690467326910916e-10,-6.4163924264579974e-10,-2.791437792273122e-09,-7.3041055843340509e-10
0.14,4.1696000130315324e-10,6.8175176656264928e-10,7.8443543015097074e-10,-8.7116261975549493e-10,-1.0699703792346007e-09,2.0628078153076183e-10,-5.7824334749610008e-10
0.1425,3.3195909821660313e-10,2.2179549806449824e-10,-1.1836274262853067e-09,-2.8214723797513136e-09,-1.3493545985788856e-09,3.8997703418465276e-09,2.6825926618415834e-09
0.145,1.0538428063238709e-10,-6.02262296240757e-10,-4.0088353113463986e-09,-5.0510590133900133e-09,-1.6606823029567153e-09,6.5430279099471521e-09,8.4044257410091617e-09
0.1475,-2.9232572806153291e-10,-1.8145456494744276e-09,-7.1091773402960237e-09,-6.9868783909726497e-09,-2.075223760262411e-09,7.3577103806492039e-09,1.4282582834282289e-08
0.15,-8.2483516855634361e-10,-3.2207644913436043e-09,-9.7046036336811973e-09,-8.1446156397326539e-09,-2.5397738368674761e-09,6.3725566928149325e-09,1.733119009221822e-08
0.1525,-9.8736629891199376e-10,-4.4464063267001265e-09,-1.1157873503741615e-08,-8.3217786376375837e-09,-2.9409512878900629e-09,3.9823190929389742e-09,1.5512461033467412e-08
0.155,-6.7039394006689159e-11,-5.1230257824342371e-09,-1.1242871869291751e-08,-7.6344994125660906e-09,-3.1743019001650782e-09,7.032207285103225e-10,9.0554898554417157e-09
0.1575,2.2158493596186792e-09,-5.0914317334863815e-09,-1.0184310356646136e-08,-6.4082482922368718e-09,-3.1811344764600854e-09,-2.7624439166645364e-09,5.2938460214324472e-10
0.16,5.3382061240384781e-09,-4.4679876308792231e-09,-8.4794234190721499e-09,-5.0101111887914733e-09,-2.9505509460897603e-09,-5.4698393254876635e-09,-6.4931876118416654e-09
0.1625,8.2333902828489381e-09,-3.5419308586397425e-09,-6.6410484579484135e-09,-3.7169583589365147e-09,-2.5058120253552107e-09,-6.5112942778277172e-09,-9.3985742824393877e-09
0.165,9.9190489838534527e-09,-2.6087969139836464e-09,-5.016185595031761e-09,-2.6628112786200395e-09,-1.9036146954928141e-09,-5.5557492548873145e-09,-7.8927553626211951e-09
0.1675,9.9922436900207551e-09,-1.8459862777419222e-09,-3.7330699513180323e-09,-1.8578733691568222e-09,-1.2292341171414212e-09,-3.2008886742857123e-09,-3.9403185993870805e-09
0.17,8.6930921958908679e-09,-1.2863115322045148e-09,-2.7448093044469233e-09,-1.2385216252864887e-09,-5.9125436582402441e-10,-7.7884941217176592e-10,-4.1513946277972401e-10
0.1725,6.6068605654103486e-09,-8.699441996067911e-10,-1.9188138501839984e-09,-7.2182049433798371e-10,-1.0306114718359594e-10,3.5506554168500297e-10,5.845883121030072e-10
0.175,4.2080586159452654e-09,-5.0663284907674289e-10,-1.0873473962233849e-09,-2.2323469101974432e-10,1.6193825791315532e-10,-3.7568720291934068e-10,-1.2614952731163509e-09
0.1775,1.7583658207049318e-09,-1.2864062617815099e-10,-1.1510688938328941e-10,3.1132414142046614e-10,1.9202977252955736e-10,-2.4924727358222842e-09,-4.713128252378596e-09
0.18,-6.7541098926062762e-10,3.0693206881001374e-10,1.0861838870195833e-09,9.1020106439273994e-10,5.6557662485772637e-11,-4.8083405506651187e-09,-7.9129225400087224e-09
0.1825,-3.1050338594040038e-09,8.3299483067249685e-10,2.5545376982826658e-09,1.5904265308721245e-09,-9.9905613187522195e-11,-6.1240289969049971e-09,-9.371924381339292e-09
0.185,-5.5297428764554516e-09,1.4879271783111297e-09,4.2922856657470867e-09,2.3883300864690997e-09,-8.5608242154451483e-11,-5.7869027669053172e-09,-8.4638879706919598e-09
0.1875,-7.8753389400743115e-09,2.3167050837510804e-09,6.2900626390050761e-09,3.3845019770889949e-09,2.9350516817938756e-10,-3.8162682971514865e-09,-5.3810938722781838e-09
0.19,-9.9316477161535976e-09,3.3478733872450989e-09,8.5226967708798483e-09,4.6835944901374897e-09,1.1751746588265321e-09,-6.7021566964158547e-10,-8.5095175802552373e-10
0.1925,-1.140220383572947e-08,4.5629288369196976e-09,1.0925749599742367e-08,6.3472368570193454e-09,2.5728144213462449e-09,3.0348845655607934e-09,4.0915385653559973e-09
0.195,-1.199664611241694e-08,5.8589083414232152e-09,1.3328959896277183e-08,8.2860765931617741e-09,4.3146709392786294e-09,6.6086792242892034e-09,8.2594817581581683e-09
0.1975,-1.1598454141476429e-08,7.0360378821118782e-09,1.540955686748167e-08,1.0191891047346208e-08,6.0298985640636801e-09,9.297473632068038e-09,1.0548752300768971e-08
0.2,-1.0323168399931083e-08,7.8189061466736365e-09,1.6695649185249332e-08,1.1558218599741592e-08,7.2252685451932507e-09,1.0410162910351998e-08,1.0347843384040873e-08
0.2025,-8.4939981819462679e-09,7.9483902481212567e-09,1.6716415059953272e-08,1.1867829330501596e-08,7.4762759514554687e-09,9.6281051733591089e-09,7.9275471224696974e-09
0.205,-6.436169323379982e-09,7.2654019693054748e-09,1.5162204896185607e-08,1.0809737398023918e-08,6.6228151499468989e-09,7.2577399309542427e-09,4.420750009806529e-09
0.2075,-4.3168840465946828e-09,5.7657171171246538e-09,1.2015725483728778e-08,8.4308153947640909e-09,4.8633040642905497e-09,4.1957582120398965e-09,1.3416122266994508e-09
0.21,-2.1467300196931534e-09,3.6202196804077661e-09,7.6132708684287697e-09,5.1556818333198933e-09,2.6982247979524766e-09,1.5714803143829341e-09,-1.2393164119159283e-10
0.2125,1.19805125712162e-10,1.1349244462341095e-09,2.5630805162152401e-09,1.6230865665570727e-09,7.0892730551266611e-10,1.9602134450545994e-10,3.0445785525044492e-10
0.215,2.4731151233498495e-09,-1.3285307536732746e-09,-2.4393143845886666e-09,-1.5694390666392329e-09,-7.039325689500935e-10,1.7293042538395578e-10,1.9258024572773821e-09
0.2175,4.7836694241885806e-09,-3.4422496017912981e-09,-6.8073680798198371e-09,-4.0784606701347927e-09,-1.4804096058779969e-09,9.0415663072686955e-10,3.5191433350395173e-09
0.22,6.8344829066530578e-09,-4.9874769676634974e-09,-1.0195116950508228e-08,-5.8827856044646337e-09,-1.8733656138512307e-09,1.4759254719746371e-09,4.0396255560707553e-09
0.2225,8.3998834690164613e-09,-5.8836735883393715e-09,-1.2513913328152489e-08,-7.1818661817364805e-09,-2.257761656836886e-09,1.1709398565962458e-09,3.1165312494227439e-09
0.225,9.3358038019931615e-09,-6.1779970278668147e-09,-1.3852545873194376e-08,-8.208428757968704e-09,-2.9022437049179163e-09,-1.9632232250563223e-10,1.1024569898265667e-09
0.2275,9.6367302228619988e-09,-5.9968634182274527e-09,-1.4363907820342314e-08,-9.0689614587973356e-09,-3.8323874280264246e-09,-2.2667734761928861e-09,-1.2520787841351264e-09
0.23,9.4340154308495622e-09,-5.4958307764686636e-09,-1.4178472791734273e-08,-9.6895899909699681e-09,-4.8331435731869607e-09,-4.3791261003375455e-09,-3.2126280667285625e-09
0.2325,8.9616224183295745e-09,-4.8229422784080369e-09,-1.3396396714622335e-08,-9.8794417298048549e-09,-5.5673472621838751e-09,-5.8922440419658503e-09,-4.3385482428078184e-09
0.235,8.4299807977039308e-09,-4.0936137810309621e-09,-1.2113874077923049e-08,-9.4678674511916653e-09,-5.7514753038578842e-09,-6.4354389920128875e-09,-4.5410894236796112e-09
0.2375,7.921917531539634e-09,-3.3747442415610116e-09,-1.0429587514998142e-08,-8.4064723739077003e-09,-5.2785901986948328e-09,-5.9753098865678385e-09,-3.9757276387447109e-09
0.24,7.3707410933505429e-09,-2.6903443094344177e-09,-8.4558840244368203e-09,-6.8120445616826376e-09,-4.2547595848414258e-09,-4.7481814134727477e-09,-2.9169051654618967e-09
0.2425,6.5803175459299715e-09,-2.0288153364841982e-09,-6.3012462865296801e-09,-4.9274514655034988e-09,-2.9474442032719733e-09,-3.1390398272126311e-09,-1.6723985866397178e-09
0.245,5.3413032325910894e-09,-1.3570409834555254e-09,-4.0579492000212124e-09,-3.0308519768491312e-09,-1.6772773111915101e-09,-1.5725487117719112e-09,-5.4164928947995427e-10
0.2475,3.5238176562949537e-09,-6.3207109456491467e-10,-1.7777237531627128e-09,-1.3293415371656641e-09,-6.9521821765663221e-10,-4.0682817146140837e-10,2.3212390074385542e-10
0.25,1.1314457758381531e-09,1.8844345536830362e-10,5.3572934840701286e-10,1.1072323592603662e-10,-9.4708556034359941e-11,1.5259254547936357e-10,5.1612827043594528e-10
0.2525,-1.6880115220586e-09,1.1306282567506736e-09,2.9113706777080833e-09,1.3676604403709542e-09,2.0925000413441789e-10,1.1576175450292756e-10,3.2862868624853889e-10
0.255,-4.6695817666264491e-09,2.1912701037148235e-09,5.3736397860952494e-09,2.6051681464168706e-09,4.2848460963321934e-10,-2.8137008474051907e-10,-1.6392490080902022e-10
0.2575,-7.4699782420664369e-09,3.3243172611113367e-09,7.8908301942902334e-09,3.9748780735388124e-09,8.0207059716160137e-10,-6.4649972671320593e-10,-7.0280434736118056e-10
0.26,-9.7254792038040663e-09,4.4388825516408077e-09,1.034023515979221e-08,5.52613011570582e-09,1.4903553606811055e-09,-5.7733450197324007e-10,-1.0292616605805734e-09
0.2625,-1.1146729390027034e-08,5.4147524468628014e-09,1.2514344080144258e-08,7.1684399700363035e-09,2.5062433189702566e-09,1.659493695556813e-10,-9.7822915625890882e-10
0.265,-1.1543866723792487e-08,6.116570234921216e-09,1.4140478458878974e-08,8.6809194014134309e-09,3.7016137411847899e-09,1.5427860003808794e-09,-5.2850743256981545e-10
0.2675,-1.0919750943244815e-08,6.4353382719351677e-09,1.497865459309509e-08,9.8005743886186362e-09,4.8274832077589038e-09,3.2319492444418132e-09,1.960248145512972e-10
0.27,-9.4332208405947721e-09,6.3063864963276187e-09,1.4873804265457388e-08,1.0304476691175107e-08,5.6214087876474298e-09,4.7562379306208501e-09,9.8040278405114913e-10
0.2725,-7.3799286433550399e-09,5.7356685409093937e-09,1.3824425993102295e-08,1.009575488199169e-08,5.9078651083197031e-09,5.678369218036324e-09,1.5982940721618175e-09
0.275,-5.0942763260624241e-09,4.793131780974655e-09,1.1971759403576771e-08,9.223144870315445e-09,5.6493371337050438e-09,5.7707316595662814e-09,1.888271279545406e-09
0.2775,-2.8800084184391142e-09,3.603852851512612e-09,9.5706939773195664e-09,7.8575571254526314e-09,4.9504064173905957e-09,5.0877139792031049e-09,1.8027608923096735e-09
0.28,-9.525714938360513e-10,2.3213892549778991e-09,6.9237289066806887e-09,6.2285519409537363e-09,4.0042300577198297e-09,3.9147885331529864e-09,1.4127908021953738e-09
0.2825,5.8847916700553985e-10,1.0968492457118462e-09,4.3147672679929348e-09,4.5524836047380611e-09,3.0130512362906221e-09,2.6276866839936538e-09,8.7141821880512582e-10
0.285,1.7475230701053448e-09,4.9773018291051341e-11,1.9598230427094759e-09,2.9838015671877238e-09,2.1230762535964975e-09,1.5450037353386923e-09,3.5479139098624151e-10
0.2875,2.5873252574745212e-09,-7.4571072832527074e-10,-4.6328414139045764e-12,1.606839196300298e-09,1.3968874992557696e-09,8.3095555712093229e-10,1.2887492137392209e-12
0.29,3.1896125758845234e-09,-1.266669073712316e-09,-1.5185642437383543e-09,4.486366008910125e-10,8.2223336817747035e-10,4.7329333800342032e-10,-1.3390735574612083e-10
0.2925,3.6304777039577612e-09,-1.5351629637532918e-09,-2.583841083630247e-09,-4.9611659820066554e-10,3.462027518220813e-10,3.275281719912077e-10,-9.4033598587325344e-11
0.295,3.971050885252527e-09,-1.6008526190956984e-09,-3.2434670012666129e-09,-1.2422615470858312e-09,-8.5588755573096071e-11,1.9948740686462208e-10,2.8826558873742486e-13
0.2975,4.2542718737756186e-09,-1.5239534286397272e-09,-3.5634269497553215e-09,-1.8028917841352081e-09,-5.0135490629832311e-10,-6.8573025749861724e-11,4.0399642975443335e-12
0.3,4.4975573278371558e-09,-1.3616581308346415e-09,-3.6184717221149437e-09,-2.1878904184361801e-09,-8.9589540783298119e-10,-5.3847650358586632e-10,-1.8623023694035251e-10
0.3025,4.6773368083810247e-09,-1.1593679611645542e-09,-3.4815671802631215e-09,-2.4097338267740614e-09,-1.2397348996212159e-09,-1.1590492032327352e-09,-5.8063461058104377e-10
0.305,4.7197651338305503e-09,-9.4913457938863757e-10,-3.2159644931287499e-09,-2.4881689958898733e-09,-1.4970484774316958e-09,-1.7909214106856725e-09,-1.0832387727843091e-09
0.3075,4.5132539197354097e-09,-7.5080371887386738e-10,-2.8729195191976422e-09,-2.4519420127124801e-09,-1.6424137782996589e-09,-2.265308249903074e-09,-1.5283751291984685e-09
0.31,3.9460856378340338e-09,-5.7336412755863491e-10,-2.4899240013217114e-09,-2.3363523152955328e-09,-1.6719383016656518e-09,-2.4529981996074337e-09,-1.7521995761667346e-09
0.3125,2.955120050729046e-09,-4.1547169283840399e-10,-2.0917746998166384e-09,-2.1774591744448838e-09,-1.6041328519125439e-09,-2.314186575574137e-09,-1.665515465211854e-09
0.315,1.5791495686729207e-09,-2.6599572501283934e-10,-1.6903981571412476e-09,-2.0062839426594357e-09,-1.4745506723786843e-09,-1.9099454229235221e-09,-1.2917336066945486e-09
0.3175,-3.9556425743293365e-11,-1.0788564130081706e-10,-1.2895881300731972e-09,-1.8444604035651048e-09,-1.3248266707886935e-09,-1.372125839793199e-09,-7.5199107764254793e-10
0.32,-1.6790507712104968e-09,7.5125725980573371e-11,-8.8838227367308762e-10,-1.7012054868296627e-09,-1.1907217431074856e-09,-8.5012253658244188e-10,-2.086556037196764e-10
0.3225,-3.0932756346974645e-09,2.8950906569780847e-10,-4.8886790547182358e-10,-1.5744756010330373e-09,-1.092984272735828e-09,-4.5901008778855149e-10,2.0068144565582213e-10
0.325,-4.0814776654204808e-09,5.2516788133374025e-10,-1.0242330723509595e-10,-1.4533691059359083e-09,-1.0333508142696466e-09,-2.5041459940905709e-10,4.0802742639362541e-10
0.3275,-4.5378793979410931e-09,7.5522487358615157e-10,2.5085057537056016e-10,-1.322700991067517e-09,-9.9638104582367319e-10,-2.110714692727696e-10,4.2318320695818713e-10
0.33,-4.4680963756502934e-09,9.4266802938914172e-10,5.4598299436253214e-10,-1.1670215480033633e-09,-9.5595288188016271e-10,-2.8185712626016759e-10,3.1079823666751727e-10
0.3325,-3.9725394483610382e-09,1.0518510627657185e-09,7.6175723649432685e-10,-9.7346436204512223e-10,-8.8309593909263238e-10,-3.8345859621565237e-10,1.5469127730584664e-10
0.335,-3.200136493259956e-09,1.0599298001736598e-09,8.8791832939034036e-10,-7.340028052002252e-10,-7.5362038858258033e-10,-4.3979375537813809e-10,2.7535206756015374e-11
0.3375,-2.3000359824537739e-09,9.6494137555569849e-10,9.2996095583657912e-10,-4.4645205678869013e-10,-5.5397268078515451e-10,-3.9482656139289166e-10,-2.5817778716448249e-11
0.34,-1.3901962069419893e-09,7.8777006349153187e-10,9.1270188121015661e-10,-1.1338744623508746e-10,-2.8410888385640684e-10,-2.2493917798500699e-10,6.5124699571882524e-12
0.3425,-5.4024308769599459e-10,5.6530860768695102e-10,8.7227763027721304e-10,2.5881510813974295e-10,4.1938812369658562e-11,5.4863448499969274e-11,1.0563041740041615e-10
0.345,2.1914968278625102e-10,3.4106166037828129e-10,8.4798597657636641e-10,6.5925346903266079e-10,3.9918875699056701e-10,3.9367590995963411e-10,2.2880478742266709e-10
0.3475,8.7801048735214333e-10,1.5442528775986443e-10,8.7618871959756312e-10,1.0749270240046556e-09,7.5605515564527874e-10,7.1848813235787762e-10,3.2134948546135829e-10
0.35,1.436662997983604e-09,3.2007470422017927e-11,9.7948486341560509e-10,1.490279687846858e-09,1.0821843801843473e-09,9.5832639562619589e-10,3.3313623897793336e-10
0.3525,1.8845401785461219e-09,-1.4377265363775316e-11,1.1684277898198847e-09,1.8902669830701695e-09,1.3551438739414069e-09,1.0704280398493892e-09,2.367539722148788e-10
0.355,2.1989946221799303e-09,1.1228610968870941e-11,1.4383813210873926e-09,2.2634041457478325e-09,1.5662240962595853e-09,1.0561349812844059e-09,4.0273966012479741e-11
0.3575,2.3456399730622146e-09,9.3636179845042166e-11,1.7735207828729772e-09,2.601916104354223e-09,1.7202909689966033e-09,9.615250361721294e-10,-2.1069908967352302e-10
