Physical Time (s),ek_vol Monitor (J): cv1,ek_vol Monitor (J): cv2,ek_vol Monitor (J): cv3,ek_vol Monitor (J): cv4,ek_vol Monitor (J): cv5,ek_vol Monitor (J): cv6,ek_vol Monitor (J): cv7
0.195,1.6308257346606515e-07,2.473160397796173e-08,6.262819354258646e-10,3.3964200259870356e-11,8.5453930882343142e-12,1.6858640387966264e-11,4.4830251343860633e-11
0.1975,1.6377918305402228e-07,2.5534307771759486e-08,6.4936482277024254e-10,4.0302277405106647e-11,1.0356273486657193e-11,1.8939678786726381e-11,5.8176019723715216e-11
0.2,1.6452945063482734e-07,2.6338136632676851e-08,6.7832869234705822e-10,4.8860304304073746e-11,1.3201427175059689e-11,1.9458044132825088e-11,6.1359823571458595e-11
0.2025,1.6535901753287767e-07,2.7167498927014484e-08,7.1726947320874626e-10,5.8603515595872249e-11,1.6913151236743375e-11,1.9347293158940323e-11,5.5031832358760963e-11
0.205,1.6627116846301703e-07,2.804016446084075e-08,7.6717895264779347e-10,6.7879902612944489e-11,2.0509972480554104e-11,2.0347959887801582e-11,4.4920221369631308e-11
0.2075,1.6725006971944925e-07,2.8962999588566649e-08,8.2614905290348976e-10,7.5067926684904407e-11,2.2848703681723356e-11,2.3699095788446362e-11,3.7663487570891178e-11
0.21,1.6826543560850243e-07,2.9930285825723106e-08,8.9003427454803306e-10,7.9220307793571749e-11,2.3344335653953032e-11,2.9149679894550815e-11,3.6713662873447741e-11
0.2125,1.6927649402335411e-07,3.0925269478559458e-08,9.5320908192200264e-10,8.0307315250964284e-11,2.2210981565143092e-11,3.4933004329444601e-11,4.077169290138228e-11
0.215,1.7023863694115164e-07,3.1924109462042219e-08,1.0094723377327016e-09,7.8973404438256121e-11,2.0147424238888632e-11,3.8657599856973916e-11,4.5368200467444135e-11
0.2175,1.7111236913111529e-07,3.2902048178403378e-08,1.0531802316784792e-09,7.6063724108888167e-11,1.7824895809348707e-11,3.8541901694419703e-11,4.6155603305717269e-11
0.22,1.7187372951943522e-07,3.3839233854544092e-08,1.08062977009003e-09,7.2299578274410706e-11,1.5610994493133862e-11,3.4282073724165573e-11,4.159923998489263e-11
0.2225,1.7252141871240121e-07,3.4725163046970893e-08,1.0911929705545489e-09,6.8263595068943003e-11,1.3659723545280991e-11,2.7151213992538712e-11,3.3456303933867271e-11
