Physical Time (s),ea_left Monitor (W)
1.25,-3.9477473246774576e-10
1.2525,-3.8857440990119207e-10
1.255,-3.8290358027512241e-10
1.2575,-3.7789457972349333e-10
1.26,-3.7367643879761777e-10
1.2625,-3.7034166875007724e-10
1.265,-3.6795313410633988e-10
1.2675,-3.6654048536162144e-10
1.27,-3.6610355983262853e-10
1.2725,-3.6661270100661984e-10
1.275,-3.6801311411316444e-10
1.2775,-3.7023179799613287e-10
1.28,-3.7317284765655301e-10
1.2825,-3.7672755072150699e-10
1.285,-3.8077563912605072e-10
1.2875,-3.8519702930758818e-10
1.29,-3.8986931711469858e-10
1.2925,-3.9466729193467254e-10
1.295,-3.9946251861111654e-10
1.2975,-4.0412320312091599e-10
1.3,-4.085151446193173e-10
1.3025,-4.1250517616929307e-10
1.305,-4.1596135123081357e-10
1.3075,-4.1876305344600191e-10
1.31,-4.2080979809339621e-10
1.3125,-4.2203604440872492e-10
1.315,-4.2241568197413215e-10
1.3175,-4.2195963774518279e-10
1.32,-4.2071467782475094e-10
1.3225,-4.1875552630296687e-10
1.325,-4.1617693570058956e-10
1.3275,-4.1308570366145355e-10
1.33,-4.095935380126206e-10
1.3325,-4.0581113292786599e-10
1.335,-4.0184847277381274e-10
1.3375,-3.978078539521366e-10
1.34,-3.9378007962748294e-10
1.3425,-3.8984636653807886e-10
1.345,-3.8607730750014199e-10
1.3475,-3.8253180200964417e-10
1.35,-3.7925647293590727e-10
1.3525,-3.7628582298773082e-10
1.355,-3.7364207972416895e-10
1.3575,-3.7133664909776789e-10
1.36,-3.6937083853114944e-10
1.3625,-3.677401002120023e-10
1.365,-3.6643172929866385e-10
1.3675,-3.6542657719025855e-10
1.37,-3.6469906570716473e-10
1.3725,-3.6421911319029208e-10
1.375,-3.63951493898581e-10
1.3775,-3.6385956679468357e-10
1.38,-3.6390622922325631e-10
1.3825,-3.6405667643303707e-10
1.385,-3.6427963689181416e-10
1.3875,-3.6454753098930781e-10
1.39,-3.6483674052264762e-10
1.3925,-3.6512797296908257e-10
1.395,-3.6540719665578816e-10
1.3975,-3.6566604792888907e-10
1.4,-3.6590104594469904e-10
1.4025,-3.661122337905778e-10
1.405,-3.6630262659341262e-10
1.4075,-3.6647677736767863e-10
1.41,-3.6663958303437164e-10
1.4125,-3.6679568704466865e-10
1.415,-3.6694899747760035e-10
1.4175,-3.6710162037496116e-10
1.42,-3.6725373588171502e-10
1.4225,-3.6740318147387811e-10
1.425,-3.6754447022646552e-10
1.4275,-3.676685032135618e-10
1.43,-3.6776186204599138e-10
1.4325,-3.6780794745512013e-10
1.435,-3.6778653270579498e-10
1.4375,-3.6767452139818774e-10
1.44,-3.6744681932567948e-10
1.4425,-3.6707698737538018e-10
1.445,-3.6653865346749464e-10
1.4475,-3.6580767096233248e-10
1.45,-3.6486360912224026e-10
1.4525,-3.6369199432307799e-10
1.455,-3.6228530528540323e-10
1.4575,-3.6064385686333188e-10
1.46,-3.5877544443486452e-10
1.4625,-3.5669427692212895e-10
1.465,-3.5442012643202236e-10
1.4675,-3.5197661625107699e-10
1.47,-3.4939084625794186e-10
1.4725,-3.4669333815934391e-10
1.475,-3.4391808513047093e-10
1.4775,-3.4110297110292255e-10
1.48,-3.3828849527638068e-10
1.4825,-3.3551758624983908e-10
1.485,-3.3283399717033461e-10
1.4875,-3.3028065153205241e-10
1.49,-3.2789965271737094e-10
1.4925,-3.2572989917869624e-10
1.495,-3.2380771372984214e-10
1.4975,-3.221642171135902e-10
1.5,-3.2082559085650687e-10
1.5025,-3.1981217089236214e-10
1.505,-3.1913777885358302e-10
1.5075,-3.1880894298656785e-10
1.51,-3.1882585776373147e-10
1.5125,-3.1918086808086889e-10
1.515,-3.1985842112726185e-10
1.5175,-3.2083483985113713e-10
1.52,-3.220786855018293e-10
1.5225,-3.2355101354993166e-10
1.525,-3.2520550471695336e-10
1.5275,-3.2698897302003403e-10
1.53,-3.2884268307654497e-10
1.5325,-3.307037151400815e-10
1.535,-3.3250681842299642e-10
1.5375,-3.3418666789907127e-10
1.54,-3.356799504106227e-10
1.5425,-3.3692710363000633e-10
1.545,-3.3787464777169473e-10
1.5475,-3.384769188130945e-10
1.55,-3.3869780831618013e-10
1.5525,-3.385122931803262e-10
1.555,-3.3790725589303572e-10
1.5575,-3.3688203630092488e-10
1.56,-3.3544836962722128e-10
1.5625,-3.3362982112226896e-10
1.565,-3.3146062733642376e-10
1.5675,-3.2898405416955787e-10
1.57,-3.2625084398809272e-10
1.5725,-3.2331705444847504e-10
