Physical Time (s),ea_bot Monitor (W): bot_cv1,ea_bot Monitor (W): bot_cv2,ea_bot Monitor (W): bot_cv3,ea_bot Monitor (W): bot_cv4,ea_bot Monitor (W): bot_cv5,ea_bot Monitor (W): bot_cv6,ea_bot Monitor (W): bot_cv7
0.0575,1.685107321807967e-13,-1.8056362522026495e-14,-2.3282514515444323e-13,-2.997587800354046e-13,-6.1844371347728467e-14,-2.3393659930205146e-14,-5.5111480314496865e-14
0.06,8.5761765543567809e-14,1.1359269199960143e-15,-3.8002306282749859e-14,-1.8284437881420436e-13,-1.2196266277999421e-13,-3.4185082627303182e-14,-6.4875362096686263e-14
0.0625,2.1597110153484549e-14,1.5366460990483398e-14,2.4062334149633927e-15,-3.4087568938833289e-14,-1.0155950164515249e-13,-7.1858829260949885e-14,-6.5276188712271655e-14
0.065,5.8947904010626678e-14,1.8436566584949602e-14,2.4345606411282002e-14,1.5112862557570299e-14,-1.0384030687049224e-14,-6.9301178938713662e-14,-1.5818013796983086e-13
0.0675,2.2344143144070779e-13,6.2614407639638707e-15,6.4131166345019391e-14,1.1703173016534315e-14,3.7196741805395185e-14,-1.5630156658825836e-14,-1.972656328954419e-13
0.07,3.3976714954634671e-13,2.495887205281933e-14,6.5919888221433615e-14,6.3285854968880292e-14,1.2582611399733398e-14,2.0046249228120058e-14,-6.6810071687747606e-14
0.0725,2.6605423853290113e-13,3.5541621749740054e-14,3.456623219649756e-14,1.4095364791696033e-13,3.1453667001598924e-14,6.8030083483914089e-15,4.6317127907804328e-14
0.075,6.383099541931227e-14,-3.4837535406777642e-14,5.6827319925157985e-15,1.4576564555979119e-13,1.512047582100395e-13,2.3469736512675919e-14,7.6242946911803891e-14
0.0775,-1.3191006738084335e-13,-1.5626937527380526e-13,-2.2233992833314196e-14,6.631692676061297e-14,2.4025746471562743e-13,1.2960187068219124e-13,3.4769289704056003e-13
0.08,-2.4993877513061834e-13,-2.3758499969597371e-13,-4.4676979405671746e-14,-3.6669807014352472e-14,1.5502425956086897e-13,2.2147905959334629e-13,9.1314257099383621e-13
0.0825,-2.7932887682024662e-13,-2.3963678360662352e-13,-4.2433400725117563e-14,-1.215452247380885e-13,-5.2837046456205172e-14,1.6797758984369588e-13,1.211263307729529e-12
0.085,-2.3332045296571802e-13,-1.9018595526385577e-13,-3.1876961535898927e-14,-1.8424618496143512e-13,-2.0376172302804905e-13,3.3944574078227008e-14,8.8157549076864133e-13
0.0875,-1.5062872581904376e-13,-1.3245822138454251e-13,-4.6286140112752544e-14,-2.2190823199895557e-13,-2.0008915531170514e-13,-2.4404968262685838e-14,3.0313113338873948e-13
0.09,-9.1990803893034931e-14,-9.0213451736910797e-14,-7.5158826843209624e-14,-2.1058592024266441e-13,-1.0116188830726427e-13,-1.5278826708919378e-14,-1.0172304433083199e-14
0.0925,-9.8171409950395112e-14,-6.7283749856659327e-14,-7.7114432110511445e-14,-1.3929354959949548e-13,-2.2043098608951537e-14,-5.3393886099332615e-14,-3.2843492869783334e-14
0.095,-1.4935832606345627e-13,-6.0066217184640628e-14,-4.363022935255975e-14,-5.1791368086095894e-14,-1.0725950115377118e-14,-1.2830429309851093e-13,-1.5904442784347329e-14
0.0975,-1.8297321567953471e-13,-6.6203469382192088e-14,-1.0218551200723838e-14,-6.3126672602636048e-15,-2.7411105802081406e-14,-1.3848954305047916e-13,-5.0572256659325354e-14
0.1,-1.5298550484871974e-13,-8.5423817827331813e-14,-6.4401263480944125e-15,-1.4465483096198384e-16,-1.7891242318019669e-14,-7.6859774777534986e-14,-6.3263531465720912e-14
0.1025,-6.2481687121552947e-14,-1.1574922256437079e-13,-2.6783325007419494e-14,1.3465843215090083e-14,1.8848042925071311e-14,-1.7675543298385597e-14,-2.9664541825782624e-14
0.105,6.1792421660316078e-14,-1.4970978538721608e-13,-6.0592960519649141e-14,4.2944360077839564e-14,4.5135203722362427e-14,4.653002272713527e-15,-2.7787729922747706e-15
0.1075,2.1293044799823051e-13,-1.7397174737562889e-13,-1.2287370974739302e-13,4.524807357578788e-14,4.1870427760289456e-14,4.8778789237768093e-15,-1.6516180931155118e-15
0.11,4.1145110200268919e-13,-1.7443346677146324e-13,-2.2944521665628325e-13,-5.0859600619881909e-15,2.3171811783739408e-14,3.0650696619127191e-15,6.483455231822652e-15
0.1125,6.744932307791932e-13,-1.442975619189648e-13,-3.5273830047734491e-13,-7.7716083626328928e-14,7.1684131740171664e-15,1.348783563254445e-14,3.6220085642503011e-14
0.115,9.8867478576415381e-13,-8.8484588807555242e-14,-4.2923111026440239e-13,-1.2561763634132678e-13,-2.0356917078064313e-15,3.3093561610235751e-14,6.6969317510810995e-14
0.1175,1.315844182789935e-12,-2.1261955372187024e-14,-4.1709656155382266e-13,-1.3301989949404836e-13,-9.4550743114640075e-15,3.7684860598472998e-14,8.315849496428002e-14
0.12,1.6139891389472276e-12,3.9043482571276111e-14,-3.3273056129104202e-13,-1.1541934532790962e-13,-2.2343238043790505e-14,1.1916214944375716e-14,8.2095580067822473e-14
0.1225,1.8445973548024052e-12,7.6579705571154035e-14,-2.2786311376064222e-13,-9.2435278583101836e-14,-4.4661166161011794e-14,-3.0145585122291725e-14,5.0882924765760638e-14
0.125,1.9663018600121272e-12,8.3223864832838244e-14,-1.4522075001112515e-13,-7.2766093221347269e-14,-7.0418707327241065e-14,-6.2649470988907319e-14,-2.0624131983504192e-14
0.1275,1.9379486773002829e-12,5.8109642718927294e-14,-1.0071571181067283e-13,-5.7947911593327542e-14,-8.5256320246073132e-14,-7.1125235516993186e-14,-1.0144078987480543e-13
0.13,1.7380252414087185e-12,1.5691397730954461e-15,-9.5083261300375283e-14,-5.0380272512002601e-14,-7.9309426788847988e-14,-5.6857213747029606e-14,-1.3277360005615701e-13
0.1325,1.3769194918591066e-12,-9.2788615715707352e-14,-1.2934227811810539e-13,-5.2955526941799552e-14,-5.672288041554563e-14,-3.1744113259938374e-14,-9.5377962291678373e-14
0.135,8.9032701158902554e-13,-2.3736195129127975e-13,-2.0488696349619987e-13,-6.1482752952125556e-14,-3.0730862224514517e-14,-1.0568043619413412e-14,-3.4901985092593461e-14
0.1375,3.2832004508103426e-13,-4.358913016647222e-13,-3.0797004564728911e-13,-6.3368453532213031e-14,-1.1894667894788787e-14,-1.2709916245937042e-15,-3.56378278795647e-15
0.14,-2.4358111080216211e-13,-6.6190413657785972e-13,-3.9776728055125273e-13,-4.9419683922231119e-14,-2.564744607850055e-15,7.5643142782975133e-18,-6.5399866601955561e-16
0.1425,-7.3572176129231088e-13,-8.5266134434388306e-13,-4.2351202729460542e-13,-2.5210408930691087e-14,-1.1943577122132636e-16,2.0365090133709957e-15,8.9726895543808431e-15
0.145,-1.0430640716867088e-12,-9.3734541695851887e-13,-3.6482834690287617e-13,-6.9107219776087284e-15,-1.6026613511915896e-15,7.5281635137884633e-15,3.8243054906361777e-14
0.1475,-1.0870788143153563e-12,-8.8511137430433933e-13,-2.5262180764817795e-13,-6.1024931295649776e-15,-4.86155340885826e-15,1.1546939614294845e-14,6.6695934679124581e-14
0.15,-8.6700295034706964e-13,-7.2759725883388997e-13,-1.4319211537256944e-13,-2.0551449008339234e-14,-8.0892785613876843e-15,9.7400087668230502e-15,7.5310896526271803e-14
0.1525,-4.7419399555065901e-13,-5.3297662702244719e-13,-7.3269225418194408e-14,-3.8696277523161461e-14,-1.0227375890714566e-14,4.3274432942382745e-15,6.5418694542519923e-14
0.155,-5.0728074394288945e-14,-3.6039851380130642e-13,-4.2553227306340992e-14,-5.0174706457640679e-14,-1.1468947635730488e-14,4.1839412925698634e-16,4.3242587531713065e-14
0.1575,2.7982103646867007e-13,-2.3536252020537729e-13,-3.1372046279614292e-14,-5.1716021749725399e-14,-1.2799196678545892e-14,-1.0659337411419776e-15,7.6495247303536144e-15
0.16,4.6073561400444272e-13,-1.5565264753213442e-13,-2.4443014480089373e-14,-4.5914917944810371e-14,-1.5117167287619076e-14,-3.8214838702143627e-15,-3.9667627124215503e-14
0.1625,5.0454729639205876e-13,-1.083638113967125e-13,-1.8155114399859659e-14,-3.7023908161803443e-14,-1.8476344412106427e-14,-1.002322649992415e-14,-8.3724888822767219e-14
0.165,4.6301979489730735e-13,-8.1457568583047231e-14,-1.4510248903272929e-14,-2.8044783625045277e-14,-2.1502684081884979e-14,-1.6374217403276166e-14,-1.042118924195941e-13
0.1675,3.9171753446317643e-13,-6.7270847917069488e-14,-1.4896687914242194e-14,-2.011338080122605e-14,-2.1721206100355011e-14,-1.7469996522108604e-14,-9.1616185661350518e-14
0.17,3.2839629683146056e-13,-6.1761105683324736e-14,-1.8967359410322055e-14,-1.3268681657741137e-14,-1.7553129119640838e-14,-1.2082732987583813e-14,-5.4612298255643885e-14
0.1725,2.8904084630570348e-13,-6.2595091415896266e-14,-2.577573430880146e-14,-7.4287486709471799e-15,-1.0372282442980009e-14,-4.6362074436658383e-15,-1.4083956990111476e-14
0.175,2.7504462511820862e-13,-6.7914480920002719e-14,-3.4480180247404243e-14,-2.9696707619545901e-15,-3.8385318435034269e-15,-2.05570963788223e-16,1.0722695751801982e-14
0.1775,2.8116634498782117e-13,-7.6544867509593917e-14,-4.4641810988228304e-14,-6.3288623146866929e-16,-5.8204590774177039e-16,8.6822062568832001e-16,1.4555567304060828e-14
0.18,3.0165793219931462e-13,-8.862624813274443e-14,-5.6579372838044928e-14,-9.285408972691885e-16,2.325549365667029e-18,2.2145517842631879e-15,7.1424001184257084e-15
0.1825,3.3299480832141967e-13,-1.0619441737149927e-13,-7.158777992156126e-14,-3.6812612544388374e-15,8.3004113214678168e-17,5.7725539062684769e-15,1.665834592237619e-15
0.185,3.759127137936749e-13,-1.3317148221342027e-13,-9.1898598111344781e-14,-8.2208977525588971e-15,1.6246054425735637e-16,8.7287452481307181e-15,2.4990939509460113e-15
0.1875,4.3568823011328837e-13,-1.7513684174227811e-13,-1.2046034690615591e-13,-1.3952533694637077e-14,-1.2934829869556814e-15,7.0499446561801591e-15,4.3264878690248072e-15
0.19,5.187721310233681e-13,-2.3882866705220517e-13,-1.6065714497546753e-13,-2.0558525677835378e-14,-5.0573597630395472e-15,8.751333825244015e-16,8.5605624303512758e-16
0.1925,6.2638154541329672e-13,-3.3087925234791629e-13,-2.1577369495679218e-13,-2.7695894214043601e-14,-9.2756073094456688e-15,-5.2151840424863678e-15,-8.4230692028012466e-15
0.195,7.5005393882414973e-13,-4.5565453089467622e-13,-2.8800966311354669e-13,-3.476610560824992e-14,-1.1101522171675004e-14,-6.9826562046918785e-15,-1.9220588300251234e-14
0.1975,8.7432793547491191e-13,-6.1276633396449307e-13,-3.7712979812621752e-13,-4.1142341546427695e-14,-9.5732891053682994e-15,-4.4842148706670042e-15,-2.698138142645197e-14
0.2,9.861390314284706e-13,-7.9530738571232828e-13,-4.7931169653459233e-13,-4.6514853596784735e-14,-6.2313479508837208e-15,-1.3391484941528941e-15,-2.9569562676956168e-14
0.2025,1.0835512994465222e-12,-9.9085695278735606e-13,-5.8739250634431961e-13,-5.0889853403466936e-14,-3.2342577540764074e-15,-8.6661069780469532e-16,-2.7069378074141427e-14
0.205,1.1759997232151564e-12,-1.1843170577829612e-12,-6.9239355154035204e-13,-5.4282487022935219e-14,-1.5817277383787147e-15,-3.2284692860333923e-15,-2.0248559941270315e-14
0.2075,1.2761648518591341e-12,-1.3602964372948028e-12,-7.8530610993880678e-13,-5.6492337413023623e-14,-1.0211280445753055e-15,-5.7181657946581309e-15,-9.4905998570740803e-15
0.21,1.3904847325229506e-12,-1.5042788763110016e-12,-8.5835834704465356e-13,-5.7148723185859249e-14,-9.123518154143407e-16,-5.2436985652031812e-15,4.810817380191059e-15
0.2125,1.5148898765457467e-12,-1.6025554104663007e-12,-9.0561358571565587e-13,-5.5960308399687652e-14,-8.4386253099796477e-16,-8.4260232413147943e-16,2.0507649132608095e-14
0.215,1.6365876597722284e-12,-1.6432072864328034e-12,-9.2300999657222607e-13,-5.2947960623370243e-14,-7.0423268843884616e-16,5.4815584143058941e-15,3.2815014901966318e-14
0.2175,1.7390529015290252e-12,-1.6175578693855443e-12,-9.0857290150030479e-13,-4.8538315853332331e-14,-5.3259352529426158e-16,1.0096000313512823e-14,3.6501137935462216e-14
0.22,1.8050421696918465e-12,-1.5241890792606234e-12,-8.6285760871401903e-13,-4.3383788919640008e-14,-4.0088483996197536e-16,1.0297680721421157e-14,2.9971906633588083e-14
0.2225,1.8190045193647747e-12,-1.3714210184896809e-12,-7.8928537261682098e-13,-3.8038437812646941e-14,-3.5503835716112261e-16,6.2380421990535116e-15,1.7051720632406403e-14
0.225,1.7690089672680411e-12,-1.1773331764345529e-12,-6.9397725144933834e-13,-3.2712917722751312e-14,-3.7701595712214736e-16,7.7862202054004791e-16,4.3517813420249993e-15
0.2275,1.6509888040204772e-12,-9.6590889721962366e-13,-5.8508298165460701e-13,-2.7279579034877372e-14,-3.784505744331007e-16,-2.7048629581556111e-15,-3.3592198370585138e-15
0.23,1.473376925448102e-12,-7.6132241030612073e-13,-4.7189645860631052e-13,-2.1541702061418796e-14,-2.7992129677787972e-16,-2.8284728383859388e-15,-5.5249633523948042e-15
0.2325,1.2578643817014849e-12,-5.8276327681802283e-13,-3.641790073325752e-13,-1.5591725784009867e-14,-1.3938137611791136e-16,-1.0383397609152034e-15,-4.5391527296331323e-15
0.235,1.0340427858330528e-12,-4.405446506621945e-13,-2.7041083811406431e-13,-9.9390172940036064e-15,-1.4180492175871378e-16,-9.3800961188532556e-18,-2.9440293527674214e-15
0.2375,8.3038831144777314e-13,-3.3635802041191542e-13,-1.9605524509887203e-13,-5.2898395524773554e-15,-3.7090812036629764e-16,-1.0482297834774217e-15,-1.8509038735580659e-15
0.24,6.6651978011812637e-13,-2.6630334094694062e-13,-1.4265967696336653e-13,-2.1510795776939666e-15,-6.3082357636531797e-16,-3.0122420118580663e-15,-1.2176527733661281e-15
0.2425,5.5011314708455464e-13,-2.2432145747002164e-13,-1.0830995545483575e-13,-5.7110554764712822e-16,-6.2658162004654705e-16,-3.771574792669569e-15,-7.5259357889629644e-16
0.245,4.7837902278024484e-13,-2.0469831523139013e-13,-8.9233557997551128e-14,-2.01314306954114e-16,-3.4490269334042322e-16,-2.5743334031881e-15,-3.4449856531123259e-16
0.2475,4.4248227946985017e-13,-2.0319990145183617e-13,-8.1613384808073898e-14,-5.7966860847819932e-16,-1.1621200578423695e-16,-6.8352263143989768e-16,5.2364810065855364e-17
0.25,4.3258208115240455e-13,-2.1725349342410334e-13,-8.2579577901944161e-14,-1.3939087538438404e-15,-2.3041253803929906e-16,2.8734041711978514e-16,5.7814075558880403e-16
0.2525,4.4222224490489745e-13,-2.4543984371933547e-13,-9.0249393241178592e-14,-2.6088980142534471e-15,-6.7292722920787664e-16,2.1176725084562178e-16,1.3625550546477794e-15
0.255,4.7105750549581726e-13,-2.8696906995808255e-13,-1.0331397768993091e-13,-4.4898156043700394e-15,-1.4952726984582919e-15,2.2498348216634706e-16,2.3045679380659385e-15
0.2575,5.2533708541467303e-13,-3.4129701064638666e-13,-1.2075338152070947e-13,-7.5400162888631383e-15,-3.45225031057457e-15,8.2455210350965427e-16,3.0398713144246585e-15
0.26,6.1523090711554517e-13,-4.0804714864475719e-13,-1.4185730925833901e-13,-1.2257965466958024e-14,-7.9485835509767357e-15,7.3974887916408891e-16,3.182281470108286e-15
0.2625,7.4892969954278243e-13,-4.8725947505976035e-13,-1.6653904743674651e-13,-1.863675210417353e-14,-1.5907843632791634e-14,-1.9901081679098123e-15,2.6169141741227269e-15
0.265,9.257219675277275e-13,-5.79644951552371e-13,-1.9572260212375831e-13,-2.5593448028652595e-14,-2.6384585654020653e-14,-7.9051832238009375e-15,1.5840922559248568e-15
0.2675,1.1317156451263817e-12,-6.8655808852044125e-13,-2.3159889319338773e-13,-3.0858302621660735e-14,-3.6276419747946084e-14,-1.5195483767705192e-14,5.0835681959785766e-16
0.27,1.341249266637893e-12,-8.0950423744065793e-13,-2.7762757390400615e-13,-3.1841881961290686e-14,-4.1718196188860509e-14,-2.0795260907737642e-14,-2.6267030579688888e-16
0.2725,1.5245774174576824e-12,-9.4914440572718778e-13,-3.3822517687497591e-13,-2.7307501314655519e-14,-4.0313051545400331e-14,-2.2400015456755672e-14,-6.166579608922305e-16
0.275,1.6585909421179289e-12,-1.1039438624601738e-12,-4.1799095439482495e-13,-1.8746101558474372e-14,-3.255875168831335e-14,-1.973471994682089e-14,-6.5852481674335679e-16
0.2775,1.7355695774858672e-12,-1.268689063717229e-12,-5.2022036277461335e-13,-1.0302659896584038e-14,-2.1477072556577928e-14,-1.4359695039694963e-14,-5.9225900707248173e-16
0.28,1.7659921328278148e-12,-1.4336304167532052e-12,-6.4501702899294239e-13,-7.1000013152282995e-15,-1.0875101808127664e-14,-8.5154825741375411e-15,-5.7225850164527732e-16
0.2825,1.7746802002299138e-12,-1.5847423986839938e-12,-7.8762649807728061e-13,-1.3033587122206099e-14,-3.5262159685181065e-15,-3.9343238577223405e-15,-5.9383778025802862e-16
0.285,1.7923758550105253e-12,-1.7054730378594788e-12,-9.3805245810222039e-13,-2.9394948118979448e-14,-3.8825045300342092e-16,-1.2606668083083667e-15,-4.8322714261778688e-16
