Physical Time (s),drag Monitor (N)
0.93,6.1233011959749075e-06
0.9325,6.1286796574369992e-06
0.935,6.1321655040199033e-06
0.9375,6.1334519554552998e-06
0.94,6.1322628788217557e-06
0.9425,6.1284474911589915e-06
0.945,6.1219273431260406e-06
0.9475,6.1127449924179791e-06
0.95,6.1011239909517871e-06
0.9525,6.0873497089463844e-06
0.955,6.0718539446283782e-06
0.9575,6.055098930809556e-06
0.96,6.0376233209540288e-06
0.9625,6.0201024565233535e-06
0.965,6.0032527541276886e-06
0.9675,5.9876444783092905e-06
0.97,5.9738119892743062e-06
0.9725,5.9622389958949618e-06
0.975,5.9532786431059663e-06
0.9775,5.9472560162426541e-06
0.98,5.9442576118479042e-06
0.9825,5.9443769337389764e-06
0.985,5.9472512694279066e-06
0.9875,5.9529370255217225e-06
0.99,5.9614084508690805e-06
0.9925,5.9717176417962083e-06
0.995,5.9833802885220076e-06
0.9975,5.995795461549221e-06
1.0,6.0086099149664008e-06
1.0025,6.0215925798485131e-06
1.005,6.0346104180945993e-06
1.0075,6.0473155500097752e-06
1.01,6.0593022075941417e-06
1.0125,6.0701751680020139e-06
1.015,6.0796405233793521e-06
1.0175,6.0874597679648493e-06
1.02,6.0935398655125128e-06
1.0225,6.097767685723687e-06
1.025,6.1002380590179797e-06
1.0275,6.1007870884740071e-06
1.03,6.0993846876883215e-06
1.0325,6.0962990036275085e-06
1.035,6.0917202410738474e-06
1.0375,6.0857212228230307e-06
1.04,6.0781026062012608e-06
1.0425,6.0693100086642953e-06
1.045,6.0597788365578507e-06
1.0475,6.0496776341310739e-06
1.05,6.0391864589523542e-06
1.0525,6.0286537228094357e-06
1.055,6.0185023044118045e-06
1.0575,6.0089972498878244e-06
1.06,6.0003164934815395e-06
1.0625,5.99262985126844e-06
1.065,5.985992481138573e-06
1.0675,5.9804122962754848e-06
1.07,5.975934762293903e-06
1.0725,5.9725794579613804e-06
1.075,5.9703092258892119e-06
1.0775,5.9690575825647963e-06
1.08,5.9688546490568434e-06
1.0825,5.9695958611127135e-06
1.085,5.9708747849559807e-06
1.0875,5.9728276551613537e-06
1.09,5.9757912592294055e-06
1.0925,5.97967604795316e-06
1.095,5.9842297571745291e-06
1.0975,5.9892799043428945e-06
1.1,5.9946099399938948e-06
1.1025,5.99997040376232e-06
1.105,6.0054333703742351e-06
1.1075,6.0111561323292043e-06
1.11,6.0172552605341592e-06
1.1125,6.0236575877421474e-06
1.115,6.0302049372696799e-06
1.1175,6.0367587013814252e-06
1.12,6.0432079032013723e-06
1.1225,6.0495128062352756e-06
1.125,6.0555413300870763e-06
1.1275,6.0609958592044691e-06
1.13,6.0657653663510608e-06
1.1325,6.0698529284996906e-06
1.135,6.0730810050159487e-06
1.1375,6.0755183733547799e-06
1.14,6.0772713635167856e-06
1.1425,6.0782716814705657e-06
1.145,6.0782650144872094e-06
1.1475,6.0772657473186849e-06
1.15,6.0754531109961735e-06
1.1525,6.0729481549715941e-06
1.155,6.0695248388941642e-06
1.1575,6.0652700162442596e-06
1.16,6.060235806708364e-06
1.1625,6.0548383293808671e-06
1.165,6.049235118283674e-06
