Physical Time (s),Etau_top Monitor (kg-m/s^3): top_cv1,Etau_top Monitor (kg-m/s^3): top_cv2,Etau_top Monitor (kg-m/s^3): top_cv3,Etau_top Monitor (kg-m/s^3): top_cv4,Etau_top Monitor (kg-m/s^3): top_cv5,Etau_top Monitor (kg-m/s^3): top_cv6,Etau_top Monitor (kg-m/s^3): top_cv7
0.0040508,-5.1112783238792565e-07,-5.2903741018473048e-07,-4.5692082774341337e-07,-3.7953472081650972e-07,-3.302733320547688e-07,-2.8472612532183071e-07,-4.2447896471791998e-07
0.00410143,-5.1648524477792681e-07,-5.3508356170916039e-07,-4.6335374777061932e-07,-3.8514702706810356e-07,-3.3408536754688182e-07,-2.8663666057394633e-07,-4.3061459894434403e-07
0.00415207,-5.210827877553861e-07,-5.4029291391954676e-07,-4.6870464426844175e-07,-3.8988745051045617e-07,-3.3721596690751716e-07,-2.8805841508350826e-07,-4.3425001442294003e-07
0.00420271,-5.2479334558211655e-07,-5.4454830773992948e-07,-4.7283419963558411e-07,-3.9352697732030556e-07,-3.3945257823674949e-07,-2.8865587536354936e-07,-4.3504092608097453e-07
0.00425334,-5.2762888276943784e-07,-5.4788094183761794e-07,-4.7579746312141955e-07,-3.9603647631326552e-07,-3.4075577575459477e-07,-2.88304327197373e-07,-4.3288994941591338e-07
0.00430397,-5.2971680219159838e-07,-5.5044449506080066e-07,-4.778123127235584e-07,-3.975694323391965e-07,-3.4124492937843557e-07,-2.8707014169290469e-07,-4.2792651435777465e-07
0.00435461,-5.3132540474920248e-07,-5.5252636158729391e-07,-4.792409753414036e-07,-3.9845605560545986e-07,-3.4120756521568284e-07,-2.8520814679269583e-07,-4.2045252173881387e-07
0.00440524,-5.3281372057592567e-07,-5.5449385111069056e-07,-4.8052997166815926e-07,-3.9914269501659999e-07,-3.4104465444663336e-07,-2.8309761036261946e-07,-4.1083863628123984e-07
0.00445588,-5.3460052198534879e-07,-5.5676310615873134e-07,-4.8216919195034827e-07,-4.0013900826084685e-07,-3.4123176871546279e-07,-2.8119874767796216e-07,-3.9961079602009241e-07
0.00450651,-5.3710696761959251e-07,-5.5974816891314751e-07,-4.8464999801280363e-07,-4.0196520780695921e-07,-3.4226579521192563e-07,-2.7999549873300309e-07,-3.8731793955795309e-07
0.00455715,-5.4070393922454755e-07,-5.6381812880529647e-07,-4.8831222585386218e-07,-4.0499770813937502e-07,-3.4451208709426307e-07,-2.7984216188197888e-07,-3.7441450096842436e-07
0.00460778,-5.4566368385714874e-07,-5.6925754696403641e-07,-4.9349282565707727e-07,-4.0960151090310742e-07,-3.4833288833636789e-07,-2.8108986590364955e-07,-3.6134574160856157e-07
0.00465842,-5.5212552005676371e-07,-5.7623543963724195e-07,-5.0034023006560962e-07,-4.159542988450431e-07,-3.5391571496490118e-07,-2.8393751273064751e-07,-3.4838160474284614e-07
0.00470906,-5.6007658042427944e-07,-5.8478153484112937e-07,-5.0885288148186611e-07,-4.2406402868228192e-07,-3.6127089299357622e-07,-2.883840887992956e-07,-3.3564075681224451e-07
0.00475969,-5.693052434624954e-07,-5.947286344828506e-07,-5.1883004272990188e-07,-4.3372463284692883e-07,-3.7019748137581585e-07,-2.9424907409122318e-07,-3.2312864122250915e-07
0.00481032,-5.794995126195857e-07,-6.0579920564739296e-07,-5.2996404145083975e-07,-4.4460670668218908e-07,-3.8036216445544471e-07,-3.0123010900109953e-07,-3.107837278373017e-07
0.00486096,-5.9020556835480797e-07,-6.1755220133255579e-07,-5.4179041546852114e-07,-4.562120936621948e-07,-3.9127278657097319e-07,-3.0887891831932411e-07,-2.9850683879292661e-07
0.00491159,-6.0088658286417019e-07,-6.2943610425569813e-07,-5.5373937053235266e-07,-4.6792927641559217e-07,-4.023187564555438e-07,-3.1664757792003741e-07,-2.861481998482237e-07
0.00496223,-6.1101899098250593e-07,-6.4088665152099667e-07,-5.6523642592042295e-07,-4.7914053216008961e-07,-4.1287708478891303e-07,-3.239969199373304e-07,-2.7384043526756247e-07
0.00501287,-6.2015334640710507e-07,-6.5139575224878667e-07,-5.757687412981779e-07,-4.892961119317481e-07,-4.2239309599771367e-07,-3.3047629097052487e-07,-2.6172102100895916e-07
0.0050635,-6.2799930811721908e-07,-6.6060945782430936e-07,-5.8498308261027045e-07,-4.9801849336669019e-07,-4.3048779592998165e-07,-3.358262163976944e-07,-2.5009516965359338e-07
0.00511413,-6.3444420285431368e-07,-6.6835781581442345e-07,-5.9271518915766014e-07,-5.051366872328603e-07,-4.3699351451154208e-07,-3.4000791895247145e-07,-2.3942281000758882e-07
0.00516477,-6.3954796944613439e-07,-6.7465683374721549e-07,-5.990051125893216e-07,-5.1070698829607569e-07,-4.4197632606097087e-07,-3.4321686701913595e-07,-2.3033524998433922e-07
0.00521541,-6.434563355883374e-07,-6.7962857599402305e-07,-6.040033541870928e-07,-5.1491108231587987e-07,-4.4563698184577163e-07,-3.4577007160931622e-07,-2.2345520508723284e-07
0.00526604,-6.4643187888028893e-07,-6.8353098550409764e-07,-6.0800288126904404e-07,-5.1809429897498694e-07,-4.4835077834085112e-07,-3.4814023645710191e-07,-2.194078346236728e-07
0.00531667,-6.4874529763428783e-07,-6.8664043237661959e-07,-6.1131838986469346e-07,-5.2063845899178738e-07,-4.5054154875706737e-07,-3.5082934046500056e-07,-2.1870971830750246e-07
0.00536731,-6.5066288798442298e-07,-6.8923104392518705e-07,-6.1425811072841654e-07,-5.2292910639167812e-07,-4.5264597167632427e-07,-3.5425724891418632e-07,-2.2166690761215844e-07
0.00541794,-6.5239667637146715e-07,-6.9151840217135266e-07,-6.1705589664096326e-07,-5.2528089816818774e-07,-4.5503588910532563e-07,-3.5879203970197579e-07,-2.2839208806577433e-07
0.00546858,-6.5408346189851227e-07,-6.9363758517681208e-07,-6.1985012283082e-07,-5.279079364597004e-07,-4.5797897958466399e-07,-3.6462606230081879e-07,-2.3880147991719635e-07
0.00551922,-6.5578340649682896e-07,-6.9564389728582497e-07,-6.2267171837909276e-07,-5.3090329749137595e-07,-4.6160572927090584e-07,-3.7178240442468622e-07,-2.5254313752725748e-07
0.00556985,-6.5748173429595858e-07,-6.9751829774079879e-07,-6.2546147724892181e-07,-5.3424051319786997e-07,-4.6591485682055243e-07,-3.8011817033830535e-07,-2.690918681744227e-07
0.00562048,-6.5910052376516579e-07,-6.9918536755991681e-07,-6.2809315147886743e-07,-5.3779774732800688e-07,-4.7077200610044101e-07,-3.8934216377604309e-07,-2.8780792664286251e-07
0.00567112,-6.6052423094673315e-07,-7.0054053724714811e-07,-6.3041170687525623e-07,-5.4136716207192751e-07,-4.7593931702409679e-07,-3.990698936213214e-07,-3.0798692203781668e-07
0.00572176,-6.6157596790409375e-07,-7.0142850309588013e-07,-6.322195262924133e-07,-5.4468688072230184e-07,-4.811025338822924e-07,-4.0886267704368704e-07,-3.2890948529214223e-07
0.00577239,-6.6207258357717963e-07,-7.0169376097806599e-07,-6.3333585975893929e-07,-5.4748078542331172e-07,-4.8590909740149282e-07,-4.1827184965904906e-07,-3.4987602325380657e-07
0.00582302,-6.6184631092591334e-07,-7.0120008948783874e-07,-6.3361739282653924e-07,-5.4949588504383056e-07,-4.9001790342403158e-07,-4.2688783815095024e-07,-3.7024000721291029e-07
0.00587366,-6.6077732080349152e-07,-6.99858861597568e-07,-6.3298414324812124e-07,-5.5055005003990048e-07,-4.931563191423776e-07,-4.3439049110064583e-07,-3.8943116475186848e-07
0.00592429,-6.5879133570944235e-07,-6.9762304137755481e-07,-6.3140847737510996e-07,-5.5053726462316344e-07,-4.9513843177813084e-07,-4.4055925402328119e-07,-4.0693718017386998e-07
0.00597493,-6.5588230088683831e-07,-6.945076892909947e-07,-6.2892868236759895e-07,-5.4944947296984233e-07,-4.9589485501217839e-07,-4.4529125156379087e-07,-4.2233873790146649e-07
0.00602557,-6.5211863475004134e-07,-6.9059364434349836e-07,-6.2564522708374714e-07,-5.4737295696735132e-07,-4.9547032572521636e-07,-4.4858835171948781e-07,-4.3530032670154604e-07
0.0060762,-6.4762028718209414e-07,-6.8600337172573479e-07,-6.2168991079792457e-07,-5.4445091620685558e-07,-4.9398853271486167e-07,-4.5051889365901826e-07,-4.4555434134655499e-07
0.00612683,-6.4257096467464069e-07,-6.8091450783738875e-07,-6.1723581474961283e-07,-5.4088383886982799e-07,-4.9164894200162944e-07,-4.5120996017357488e-07,-4.5293518584408128e-07
0.00617747,-6.3718595871950844e-07,-6.7552922651076252e-07,-6.1246734643977102e-07,-5.3689123237745467e-07,-4.8867816395199077e-07,-4.5081108427838782e-07,-4.573854924940947e-07
0.00622811,-6.3170553008972394e-07,-6.7007200900659357e-07,-6.0757863307159579e-07,-5.3270035940641607e-07,-4.8531560736842736e-07,-4.4949043583285227e-07,-4.5898551525988564e-07
0.00627874,-6.2637703532904918e-07,-6.6477219566489462e-07,-6.0276299955135069e-07,-5.285318281720461e-07,-4.8181148235869868e-07,-4.4744654356270072e-07,-4.5798555694999511e-07
0.00632937,-6.2144657624025885e-07,-6.5986047499734266e-07,-5.9821020574308497e-07,-5.2459922577516429e-07,-4.784085242725743e-07,-4.4490826642348036e-07,-4.5480506339289736e-07
0.00638001,-6.1714992654383543e-07,-6.5556072582224967e-07,-5.941081022023529e-07,-5.2110531400163497e-07,-4.7533900131594249e-07,-4.42139986615898e-07,-4.5001044725097562e-07
0.00643064,-6.1370828847790281e-07,-6.5208704622897745e-07,-5.9064299686390237e-07,-5.1824433626013003e-07,-4.7283196958119364e-07,-4.3944749413925163e-07,-4.4427610133957619e-07
0.00648128,-6.1132742322515494e-07,-6.4964163953031489e-07,-5.8800065306365893e-07,-5.1620722386527685e-07,-4.7111495770531075e-07,-4.3717360149351006e-07,-4.3832496174414695e-07
0.00653192,-6.1019691671388088e-07,-6.484147856893482e-07,-5.8636832159781973e-07,-5.1518479432842227e-07,-4.7042905944062388e-07,-4.3569146986369725e-07,-4.3288277920489665e-07
0.00658255,-6.1049028127179341e-07,-6.4857758730194282e-07,-5.8593283916919185e-07,-5.15369438954336e-07,-4.7102047302948952e-07,-4.3537953381399196e-07,-4.2861396346548775e-07
0.00663318,-6.1236991311845128e-07,-6.5029278634159995e-07,-5.8689069238046502e-07,-5.1698003709313889e-07,-4.7314582149927055e-07,-4.3661395102101698e-07,-4.2609368941327898e-07
0.00668382,-6.1598781808300507e-07,-6.5370949738792841e-07,-5.8940838392562283e-07,-5.2018266549287918e-07,-4.7700950595248856e-07,-4.3968971278603954e-07,-4.2572562239470257e-07
0.00673445,-6.2148414517502293e-07,-6.589623386050669e-07,-5.9368364301790605e-07,-5.2519036114520934e-07,-4.8284412764913444e-07,-4.4489085252003998e-07,-4.2782157028870552e-07
0.00678509,-6.2897932206172529e-07,-6.6616549867084646e-07,-5.9989293318983793e-07,-5.3218056842487521e-07,-4.9082443176695332e-07,-4.5240199732607597e-07,-4.325318143971263e-07
0.00683572,-6.3856385051497651e-07,-6.7540538464721107e-07,-6.0817758023968782e-07,-5.4129126000091804e-07,-5.0104947382712942e-07,-4.6229359327545046e-07,-4.3985996614963986e-07
0.00688636,-6.5028095966676158e-07,-6.867265824752111e-07,-6.1864666009685468e-07,-5.5261175988359438e-07,-5.1356825133316524e-07,-4.7456205259222888e-07,-4.497285885602529e-07
0.00693699,-6.6410931712239906e-07,-7.0011778467555812e-07,-6.3133525708582475e-07,-5.6615505315838646e-07,-5.2831944992012259e-07,-4.8908253729054329e-07,-4.6195497660881359e-07
0.00698763,-6.7995371811281069e-07,-7.1550478182583717e-07,-6.4620709575496773e-07,-5.8184864940165239e-07,-5.4510230937165316e-07,-5.0556301184496878e-07,-4.7622391236397267e-07
