Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
0.02688719,-1.4813529648840678
0.02693782,-1.4610465869104472
0.02698845,-1.4381011142777975
0.02703909,-1.4128173602913403
0.02708972,-1.385529293687588
0.02714036,-1.3566159250424032
0.02719099,-1.3265077384178636
0.02724163,-1.2956636422533279
0.02729226,-1.2645727142139633
0.0273429,-1.2337456147347345
0.02739354,-1.2037051276773862
0.02744417,-1.174984650478204
0.02749481,-1.1481071400325924
0.02754544,-1.1235927093854667
0.02759607,-1.1019375566411962
0.02764671,-1.0836131530397157
0.02769734,-1.0690502180820769
0.02774798,-1.0586332806444059
0.02779861,-1.0526948320628959
0.02784925,-1.0515035250133828
0.02789988,-1.0552806793949916
0.02795052,-1.0641649408493543
0.02800115,-1.0782274416149105
0.02805179,-1.0974612157881904
0.02810243,-1.1217781302056149
0.02815306,-1.1510106756620471
0.0282037,-1.1849113016005925
0.02825433,-1.2231478145017265
0.02830496,-1.2653006517106813
0.0283556,-1.3108789791581605
0.02840623,-1.3593156930913111
0.02845687,-1.4099770369568132
0.0285075,-1.4621584598401525
0.02855814,-1.5151208667807754
0.02860877,-1.5680432962437765
0.02865941,-1.6200691943769745
0.02871005,-1.6703079542026911
0.02876068,-1.7178738632331112
0.02881132,-1.7618841441541147
0.02886195,-1.8014681527851486
0.02891259,-1.8357893933210365
0.02896322,-1.8640706397448175
0.02901385,-1.8855779928951693
0.02906449,-1.8996540764647787
0.02911512,-1.9057317557822084
0.02916576,-1.9033323803174411
0.02921639,-1.8920888414112271
0.02926703,-1.8717473284581811
0.02931766,-1.8421631617897762
0.0293683,-1.8033089487368077
0.02941894,-1.7552865798327282
0.02946957,-1.6983101345269351
0.02952021,-1.6327360555556791
0.02957084,-1.5590167613448487
0.02962147,-1.4777472701337051
0.02967211,-1.3896021438111112
0.02972274,-1.2954014937659977
0.02977338,-1.1960733481363457
0.02982401,-1.0925451241516406
0.02987465,-0.98593072951128979
0.02992528,-0.87734986699186523
0.02997592,-0.76802758263723614
0.03002655,-0.65916855155596765
0.03007719,-0.55193863818995326
0.03012783,-0.44760568231484815
0.03017846,-0.34730971900001911
0.0302291,-0.25210116991380516
0.03027973,-0.1630311553110643
0.03033036,-0.081048782445881901
0.030381,-0.0068985958529416691
0.03043163,0.058747794177934798
0.03048227,0.11540003528211787
0.0305329,0.16273822303231161
0.03058354,0.20065014221561134
0.03063417,0.22912471521429356
0.03068481,0.24836161636652881
0.03073545,0.25868346666454989
0.03078608,0.26055618248863754
0.03083672,0.2545568036342401
0.03088735,0.24134375351311205
0.03093798,0.22162247811797245
0.03098862,0.19612632252210521
0.03103925,0.16559251614250931
0.03108989,0.13071795751651799
0.03114052,0.092158797161150163
0.03119116,0.050546770477659764
0.03124179,0.0064247888316684154
0.03129243,-0.039718108369144023
0.03134306,-0.087415715140804817
0.0313937,-0.13629627150909357
0.03144433,-0.18597730444492094
0.03149497,-0.23618455715975417
0.0315456,-0.28650451602180593
0.03159624,-0.33667051060101966
0.03164687,-0.38632830299240034
0.03169751,-0.43512028502386735
0.03174814,-0.48266206601776973
0.03179878,-0.52857404017307774
0.03184941,-0.57238969862518307
0.03190005,-0.61364198024707239
0.03195068,-0.65182316392755768
0.03200132,-0.68644227639107291
0.03205196,-0.71697175490069054
0.03210259,-0.74289824462729015
0.03215323,-0.76370436836090783
0.03220386,-0.77892122736857261
0.0322545,-0.78814200655241495
0.03230513,-0.79103426869663229
0.03235577,-0.7872205110825401
0.0324064,-0.77665570404180007
0.03245704,-0.75899140766148676
0.03250767,-0.73449878983729611
0.03255831,-0.70307795547669194
0.03260894,-0.66460375222460533
0.03265957,-0.61982324571160741
0.03271021,-0.5688378899894484
0.03276084,-0.51205871000939762
0.03281148,-0.44994881601252879
0.03286211,-0.38310358588761989
0.03291275,-0.31222391271353378
0.03296338,-0.23811858068905967
0.03301402,-0.16172006924079452
0.03306465,-0.084116869781814096
0.03311529,-0.006523696931652001
0.03316592,0.0697040739314089
0.03321656,0.14312834880770259
0.03326719,0.2121761423096902
0.03331783,0.27526180737535544
0.03336846,0.33075061156676411
0.0334191,0.37707602024770803
0.03346974,0.41281042632338172
0.03352037,0.43670265165876587
0.03357101,0.44772805795653448
0.03362164,0.44514993538168535
0.03367228,0.42852390828266868
0.03372291,0.39772452757193671
0.03377355,0.35295388928751892
0.03382418,0.29476174280175949
0.03387482,0.22398523035701895
0.03392545,0.14171185863547467
0.03397608,0.049308460632653539
0.03402672,-0.051608612748376942
0.03407735,-0.1592453591879382
0.03412799,-0.27164356194049755
0.03417862,-0.38698637950873205
0.03422926,-0.5029578408743085
0.03427989,-0.61750030260887823
0.03433053,-0.72870218742941129
0.03438116,-0.83475448733674462
0.0344318,-0.93437457919656441
0.03448243,-1.0266877272627042
0.03453307,-1.1112966805823741
0.0345837,-1.1878445750150077
0.03463434,-1.2581817257720558
0.03468497,-1.3224288407405418
0.03473561,-1.3832578513904914
0.03478625,-1.4413154744966563
0.03483688,-1.499442731548452
0.03488752,-1.5587481282239932
0.03493815,-1.6200196142542982
0.03498879,-1.6843601169443736
0.03503942,-1.7522602524344184
0.03509006,-1.8228756904333965
0.03514069,-1.8947605355990684
0.03519133,-1.9666660104714391
0.03524196,-2.0369411066813035
0.03529259,-2.1033231674648718
0.03534323,-2.1634778097080449
0.03539386,-2.2156786719770665
0.0354445,-2.2584770721693053
0.03549513,-2.2902567923354078
0.03554577,-2.3102587886535675
0.0355964,-2.3179847132723452
0.03564704,-2.3133741152640339
0.03569767,-2.296432949585423
0.03574831,-2.2677050435388253
0.03579894,-2.2278676586398145
0.03584958,-2.1777647610727175
0.03590021,-2.1184010296640308
0.03595085,-2.0509182336271561
0.03600148,-1.9765744472401816
0.03605212,-1.8966745959449445
0.03610276,-1.8127242113660507
0.03615339,-1.7258533859910949
0.03620403,-1.6379189242542811
0.03625466,-1.5500705074615291
0.0363053,-1.4631877352266529
0.03635593,-1.3791240987404585
0.03640657,-1.2980015661099122
0.0364572,-1.2215094302941176
0.03650784,-1.1492326524766692
0.03655847,-1.0824853881080669
0.0366091,-1.0206709459057437
0.03665974,-0.96477121309813807
0.03671037,-0.91453192467102462
0.03676101,-0.8698723281000057
0.03681164,-0.83166612062678957
0.03686228,-0.80005340227733235
0.03691291,-0.77541819376128918
0.03696355,-0.7587332195832035
0.03701418,-0.75040132347314592
0.03706482,-0.75132645112739804
0.03711545,-0.76196726704566797
0.03716609,-0.78294789364023321
0.03721672,-0.8144970158730771
0.03726736,-0.85685755152048637
0.03731799,-0.90994442658829822
0.03736863,-0.97335789616194213
0.03741927,-1.0464326373880399
0.0374699,-1.1281977315754323
0.03752054,-1.2173818945619455
0.03757117,-1.3125221499422002
0.03762181,-1.4119090237238971
0.03767244,-1.5136580480901396
0.03772308,-1.6157566192179205
0.03777371,-1.7160900832244825
0.03782435,-1.8125285033150864
0.03787498,-1.90303993406883
0.03792561,-1.9856574635146449
0.03797625,-2.0585705969465655
0.03802688,-2.1201400068584357
0.03807752,-2.1690313107932697
0.03812815,-2.2041412997961003
0.03817879,-2.224709820436527
0.03822942,-2.2302677119167771
0.03828006,-2.2206433349671997
0.03833069,-2.1959093017528968
0.03838133,-2.1565060703837302
0.03843196,-2.1026574950095376
0.0384826,-2.0349596984790974
0.03853323,-1.9545447974895969
0.03858387,-1.8613115217559766
0.0386345,-1.7568899923003027
0.03868514,-1.6408402848322972
0.03873578,-1.5150976184686951
0.03878641,-1.3796641469650239
0.03883705,-1.2342901605018579
0.03888768,-1.0812822751505604
0.03893832,-0.92067016700035342
0.03898895,-0.75331572380763523
0.03903959,-0.58031561012136934
0.03909022,-0.40300058720554377
0.03914086,-0.22296777665391362
0.03919149,-0.041997692427155058
0.03924212,0.13788440607620123
0.03929276,0.31451541108000625
0.03934339,0.48561253701621332
0.03939403,0.64872451330456415
0.03944466,0.8014325350968845
0.0394953,0.94134247617740652
0.03954593,1.0661662680359514
0.03959657,1.1738064380977333
0.0396472,1.2624049495867866
0.03969784,1.3303961449984933
0.03974847,1.3765831189407192
0.03979911,1.4001838292190651
0.03984974,1.4008930949296343
0.03990038,1.3788963370957603
0.03995101,1.3349172209022191
0.04000165,1.2701869392617959
0.04005228,1.1864402040136717
0.04010292,1.085830963996705
0.04015356,0.97095364390147187
0.04020419,0.84471123643847013
0.04025483,0.71022223517338678
0.04030546,0.57066798146830489
0.0403561,0.42934791877179107
0.04040673,0.28944704516852088
0.04045737,0.15386357670541898
0.040508,0.025183347320256955
0.04055863,-0.094451738182460582
0.04060927,-0.20341758160194509
0.0406599,-0.30063181284460228
0.04071054,-0.38567392304047604
0.04076117,-0.45860274934593559
0.04081181,-0.51996137710664025
0.04086244,-0.57066539682070672
0.04091308,-0.61192220400074682
0.04096371,-0.64511598310271734
0.04101435,-0.67169678562551693
0.04106498,-0.6930838533811341
0.04111562,-0.71104405753588851
0.04116625,-0.72623070546486268
0.04121689,-0.73960740449430618
0.04126752,-0.75191875254641816
0.04131816,-0.76377262079662556
0.04136879,-0.77562698899721649
0.04141943,-0.78780656521558678
0.04147007,-0.80051468418608562
0.0415207,-0.81383157804678474
0.04157134,-0.82769792664122088
0.04162197,-0.84188239313566515
0.04167261,-0.85596355810157265
0.04172324,-0.86932870875907264
0.04177388,-0.88107778584897067
0.04182451,-0.89025372285368909
0.04187515,-0.89583987247563646
0.04192578,-0.89679946551709044
0.04197641,-0.89227264915798443
0.04202705,-0.88166354797285762
0.04207768,-0.86476065701942639
0.04212832,-0.84180195134154134
0.04217895,-0.81353739340047859
0.04222959,-0.78126339874850981
0.04228022,-0.74665689110714051
0.04233086,-0.71176230054741085
0.04238149,-0.67896702512760476
0.04243213,-0.65084384345027868
0.04248276,-0.63004955873925295
0.0425334,-0.61922663551433554
0.04258403,-0.62099579640396163
0.04263467,-0.63750640000584924
0.0426853,-0.67064200452023748
0.04273594,-0.72180305812771106
0.04278658,-0.79175078812224065
0.04283721,-0.88055805803023179
0.04288785,-0.98744134975548858
0.04293848,-1.1108429304098058
0.04298912,-1.2482475313974057
0.04303975,-1.3963830959038084
0.04309039,-1.551212390918286
0.04314102,-1.7081027777213249
0.04319166,-1.862279535547811
0.04324229,-2.008938783235299
0.04329292,-2.1437745795775922
0.04334356,-2.2633317835079012
0.04339419,-2.3651086875078362
0.04344483,-2.4479534123654689
0.04349546,-2.5118707853305566
0.0435461,-2.5580874532943456
0.04359673,-2.5886074931623031
0.04364737,-2.6059247307098099
0.043698,-2.6125817010712247
0.04374864,-2.6108347669562919
0.04379927,-2.602408078739908
0.04384991,-2.5883140805204112
0.04390054,-2.5688807197404517
0.04395118,-2.5438336729076019
0.04400181,-2.512531380570544
0.04405245,-2.4741870584930878
0.04410309,-2.4280749288884085
0.04415372,-2.3736824242573618
0.04420436,-2.3108758027240426
0.04425499,-2.2398551785611542
0.04430563,-2.1611036327040445
