Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.00243048,-0.00096318154549063922,-0.00047827520090285534,-0.00029941348472702599,0.00038897905391668689,0.00062291631411184184,-0.0002743934786821665,-0.00053626607638060657
0.00248111,-0.0010464345192433039,-0.00026548034859762127,0.00020484843756660175,0.00080489795576109294,0.0011087598001714185,0.00053338587301898148,0.00029480081094130414
0.00253175,-0.0011816009856406981,-0.00013558805127765515,0.00075726143195817578,0.0013279506134348761,0.001620980956264057,0.0013986839656907808,0.0012191167467300601
0.00258238,-0.0013252369187016337,-0.0001022705564947999,0.0012838783374827516,0.0018767178177438086,0.0021121925732712314,0.0021771248340965951,0.0021000263916125901
0.00263302,-0.0014047388738182714,-0.0001249732002611215,0.0017330091137987985,0.0023880491264355831,0.0025573826041167709,0.0027739222174570331,0.0028356522824622963
0.00268366,-0.0013405431712989282,-0.00012445670566441774,0.0020833970277708233,0.0028200407686908621,0.0029432321712496083,0.0031536671715438292,0.0033629922263851684
0.00273429,-0.0010795244734981212,-2.24749849845364e-05,0.0023360137999144082,0.0031441166220702449,0.0032506363932898125,0.0033303057296211343,0.0036499938748434718
0.00278492,-0.0006014959602302451,0.00023613944689381244,0.0025099472929990549,0.0033455895057218619,0.0034583747410343916,0.0033537941218961336,0.0036908500744753376
0.00283556,4.2952715030567285e-05,0.00063722238931580269,0.0026125728176536176,0.0034095355304068881,0.0035327405298158491,0.0032777259563709486,0.0034973953046779985
0.00288619,0.00078128653682490111,0.0011326978917841066,0.0026527650524392548,0.0033373502683091932,0.003454406199920598,0.0031466256163364833,0.0030983231238692834
0.00293683,0.001530566322734151,0.0016540549430013934,0.0026383851324458885,0.0031483719979748508,0.0032304376738578693,0.0029910592592413158,0.0025463123309126764
0.00298746,0.0022142035373550533,0.0021340469522591371,0.0025796578397893591,0.0028805974407710416,0.002900313182447949,0.002829562077487106,0.0019211270088208927
0.0030381,0.002769204384418023,0.0025195273073579365,0.00249049098780254,0.0025849595835162531,0.0025295089536023141,0.0026735944895096586,0.0013230843877522309
0.00308874,0.0031516889904468948,0.0027793463502766291,0.0023891507835035646,0.0023159253948914827,0.0021945194997982699,0.0025342672061237879,0.0008561718664927484
