Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.0020254,2.3194871289609653e-07,2.1895636964742911e-07,3.743347290773291e-08,-2.4216214442315065e-08,-2.2876613404324003e-08,-3.4274945913956273e-08,-2.3849279804282053e-08
0.00207603,2.0280803715679085e-07,2.1085516176440726e-07,3.423779156648174e-08,-3.8886224233082225e-08,-3.942602256593871e-08,-5.5660371620889979e-08,-4.1827219549472041e-08
0.00212667,1.8276158082055225e-07,1.9879814197762614e-07,4.6232590642825992e-08,-3.6585217131382989e-08,-4.1925824003468704e-08,-6.30586209282393e-08,-4.5195385210530167e-08
0.00217731,1.7716907372272754e-07,1.8931739795181594e-07,7.2161191630574734e-08,-1.9562991204729711e-08,-3.1271285877990245e-08,-5.7233092370370513e-08,-3.4843852407781867e-08
0.00222794,1.8639695304635334e-07,1.8966983398857134e-07,1.0780555353009801e-07,1.2048247671332558e-08,-6.9916873557290259e-09,-3.7044542854233208e-08,-9.904071554761026e-09
0.00227858,2.0584373372307506e-07,2.0172522853040033e-07,1.4624098051260081e-07,5.4879196773553045e-08,2.7492426016193181e-08,-4.9840364225042544e-09,2.6714946792014055e-08
0.00232921,2.2938446776075752e-07,2.2226863906967016e-07,1.8246762354594616e-07,1.0205585273798645e-07,6.7119735527708382e-08,3.3043268453227696e-08,6.8586250545264023e-08
0.00237984,2.5881635856682249e-07,2.5292756964819048e-07,2.2017342784574107e-07,1.5401783323122996e-07,1.1606506249064009e-07,7.9070628312365006e-08,1.1685042278094912e-07
0.00243048,2.9367484806049321e-07,2.902685127134627e-07,2.5892939675060998e-07,2.0745208915587447e-07,1.7159705658929706e-07,1.312219385528859e-07,1.6881701115531057e-07
0.00248111,3.3206458801402119e-07,3.2962635016374181e-07,2.9671962393615647e-07,2.579649303877062e-07,2.27840712897181e-07,1.8494231569547455e-07,2.2005548148909344e-07
0.00253175,3.6958840241188384e-07,3.6698387660443159e-07,3.3141110548019331e-07,3.0153017733194785e-07,2.7953147740113847e-07,2.3653457334907065e-07,2.6694249248458476e-07
0.00258238,4.0173048999513328e-07,3.9882883840599258e-07,3.6042340837618684e-07,3.3510974375205049e-07,3.2214014390559229e-07,2.8248276129330208e-07,3.0628837663065696e-07
0.00263302,4.253192848887976e-07,4.23090238531578e-07,3.8180365822531518e-07,3.5779130481861827e-07,3.5301113990412409e-07,3.2031918443414086e-07,3.3603709938733022e-07
0.00268366,4.3920586500862386e-07,4.3928575018260876e-07,3.9484278382828577e-07,3.6993170931964438e-07,3.7124756236201393e-07,3.4870735422102688e-07,3.554596524904534e-07
0.00273429,4.4461220794858295e-07,4.4848891564561587e-07,4.0070347320457067e-07,3.7370933950732378e-07,3.7846192582666007e-07,3.6835269816786687e-07,3.6594886159622794e-07
0.00278492,4.4356576324903148e-07,4.5187989779187653e-07,4.0105024313986038e-07,3.7137779248998423e-07,3.7695160619446574e-07,3.804024667648465e-07,3.6924300052895129e-07
0.00283556,4.3917005148309943e-07,4.5164953702826333e-07,3.9854648321125037e-07,3.6590717643055145e-07,3.7010265873653694e-07,3.8725677714734159e-07,3.6794402695117368e-07
0.00288619,4.3403825733684776e-07,4.4972982406252865e-07,3.9536567075445557e-07,3.5963213961307644e-07,3.611189082419943e-07,3.9150979641702126e-07,3.6437425613631556e-07
0.00293683,4.2996362786328041e-07,4.4759748880824641e-07,3.9290433321955647e-07,3.5405505763848364e-07,3.5223996297825397e-07,3.9489377659910312e-07,3.6013190998811886e-07
0.00298746,4.2780027235729209e-07,4.4618257310914099e-07,3.918371242822319e-07,3.4996150289978138e-07,3.4471715934279127e-07,3.9784131455019493e-07,3.561548459038449e-07
0.0030381,4.2776919716899797e-07,4.4597236237715371e-07,3.923447719855758e-07,3.4768628765238281e-07,3.3909107267766498e-07,4.0008519923061905e-07,3.5291349566777624e-07
0.00308874,4.2968772861472839e-07,4.4713285421885255e-07,3.9426915269504463e-07,3.4714661703001413e-07,3.3466965880038223e-07,4.004282382668678e-07,3.4937490570044724e-07
0.00313937,4.331837939816149e-07,4.496076970513119e-07,3.9717967005298676e-07,3.4790945497260926e-07,3.307621704871248e-07,3.9805416196943238e-07,3.4590969172443429e-07
0.00319001,4.3781861352494722e-07,4.5315893467188529e-07,4.0063415284844334e-07,3.4993172672929793e-07,3.2778564728603295e-07,3.9357767885416761e-07,3.4343085636940693e-07
0.00324064,4.4312360513864581e-07,4.574338390528865e-07,4.0423178995643577e-07,3.5271684250442117e-07,3.2588246173424716e-07,3.8724657648305807e-07,3.4204217910920772e-07
0.00329127,4.4861065569614815e-07,4.6200148794548203e-07,4.0756390964656653e-07,3.5563370222310747e-07,3.2482367907915795e-07,3.7944391337704927e-07,3.4176344876550097e-07
0.00334191,4.5381507185229131e-07,4.664326007389421e-07,4.1028934235957422e-07,3.5799123720119804e-07,3.2413615720874785e-07,3.7048696809146107e-07,3.4239661359658727e-07
0.00339254,4.5837586332756398e-07,4.7039691691907285e-07,4.1216758893247978e-07,3.5929383287298113e-07,3.233528752090617e-07,3.606320616033091e-07,3.436692854091543e-07
0.00344318,4.6209880640338848e-07,4.7372789312342872e-07,4.131284243208304e-07,3.5929682490420917e-07,3.2218326938020613e-07,3.5016254723470593e-07,3.4545127102243755e-07
0.00349381,4.6499050601605823e-07,4.7644975849515294e-07,4.1330145274818182e-07,3.580516929578922e-07,3.2045742550623599e-07,3.3929361213566687e-07,3.4762809848188301e-07
0.00354445,4.6725812480647038e-07,4.7877175093973921e-07,4.1301908826327897e-07,3.5593071123175078e-07,3.1825897862127499e-07,3.2831584329672837e-07,3.5025135269735247e-07
0.00359509,4.6924835407988702e-07,4.8102648212049823e-07,4.1276159221482318e-07,3.5349809163683557e-07,3.158919785001363e-07,3.1764395623573057e-07,3.5352503230401425e-07
0.00364572,4.7136062148262014e-07,4.8358601861971325e-07,4.130644616168824e-07,3.5140547814909416e-07,3.1375913329969291e-07,3.0772236487687863e-07,3.5768414494278114e-07
0.00369636,4.7395483512501761e-07,4.8677643708290929e-07,4.1441135682697808e-07,3.5023667495171584e-07,3.1229218009527381e-07,2.9897452604030473e-07,3.6295493256219626e-07
0.00374699,4.7729366783106825e-07,4.9082260587465932e-07,4.1714895836123094e-07,3.504460367643622e-07,3.1185512253344258e-07,2.9174019266003354e-07,3.6953767522774217e-07
0.00379762,4.8150348678338838e-07,4.9581268986339292e-07,4.2141991872905597e-07,3.5228618425627444e-07,3.1266464942586987e-07,2.8634161116814724e-07,3.7747885703464153e-07
0.00384826,4.8657054697658242e-07,5.0169511621696375e-07,4.2715406189744197e-07,3.557889165005489e-07,3.1476647544241407e-07,2.8312768045500055e-07,3.866133907754078e-07
0.00389889,4.9233702543939335e-07,5.0827611552854351e-07,4.3404392575306675e-07,3.6073273337690498e-07,3.1799271597569514e-07,2.8191457417341235e-07,3.9650254058519747e-07
0.00394953,4.9857225029251405e-07,5.1529386380432728e-07,4.4167525742805273e-07,3.6675265077013501e-07,3.2206120395942589e-07,2.8232774896906043e-07,4.0666519158574118e-07
0.00400016,5.0494763909690188e-07,5.2239639841285098e-07,4.495192202367862e-07,3.7333119209871211e-07,3.2655992007751935e-07,2.8381936156119222e-07,4.1620881879090817e-07
0.0040508,5.1112627912768588e-07,5.2923307631938306e-07,4.5705559141820059e-07,3.799199120384018e-07,3.3105732193814973e-07,2.8580256341189329e-07,4.2438005721347092e-07
0.00410143,5.1678706127018153e-07,5.3547982674200677e-07,4.6382899101993432e-07,3.8599477823074866e-07,3.3513731779105458e-07,2.877105981894876e-07,4.3053326925722138e-07
0.00415207,5.2169032508402109e-07,5.4090626107758582e-07,4.695282027991545e-07,3.9115408906110005e-07,3.3847940478862617e-07,2.8909350277631025e-07,4.3423104142023259e-07
0.00420271,5.2569499397948598e-07,5.4538891481116504e-07,4.7399416553447476e-07,3.9514626423694787e-07,3.4087989608648266e-07,2.8964787670052566e-07,4.3509211432878569e-07
0.00425334,5.2877261091627268e-07,5.4892604735708261e-07,4.7723658950358218e-07,3.9790649597120855e-07,3.4228732998888145e-07,2.8925565074355758e-07,4.3301986568084559e-07
0.00430397,5.3103912023341179e-07,5.5166395618328116e-07,4.7946079721880641e-07,3.9958813790077561e-07,3.4283737260188432e-07,2.8801047375946003e-07,4.2816933735391396e-07
0.00435461,5.3273325103889895e-07,5.5386176957595924e-07,4.8100229002399112e-07,4.005106869257235e-07,3.4281056521000453e-07,2.8615921887530335e-07,4.2079725992969465e-07
0.00440524,5.3419981750071122e-07,5.5587011945939168e-07,4.8229780209758073e-07,4.0112799938405531e-07,3.4261134854331138e-07,2.8407628700118925e-07,4.1131357678662785e-07
0.00445588,5.3585596954072368e-07,5.5809729447936626e-07,4.8384006164284251e-07,4.0196039294820132e-07,3.4271044732207211e-07,2.8220067674376321e-07,4.0019022961307294e-07
0.00450651,5.3813058119227262e-07,5.6095556782424985e-07,4.861306564945202e-07,4.0354442031842951e-07,3.436026310192584e-07,2.8099186989875202e-07,3.8794260498087462e-07
0.00455715,5.4141671568467492e-07,5.6482449184506612e-07,4.8953135129851669e-07,4.0628159424181771e-07,3.456597332852498e-07,2.8078772645798846e-07,3.7499560488222251e-07
0.00460778,5.4602183433787048e-07,5.7001154837553366e-07,4.9440665489134164e-07,4.1056702665097739e-07,3.492556225049023e-07,2.8193493202398589e-07,3.6179164356070473e-07
0.00465842,5.5212434284097293e-07,5.7671387268429235e-07,5.009418648297436e-07,4.1660447775524909e-07,3.5459627478721632e-07,2.8462654861861029e-07,3.485811976425329e-07
0.00470906,5.5974280662615171e-07,5.8498430280460785e-07,5.0915649342052578e-07,4.244266430481535e-07,3.6170035196131084e-07,2.8887142829308485e-07,3.3553059458379493e-07
0.00475969,5.6874981510123793e-07,5.9473578780450301e-07,5.1892913972747917e-07,4.338995195098638e-07,3.7044548865762625e-07,2.9456176687248312e-07,3.2272575074101764e-07
0.00481032,5.7885003926768561e-07,6.0570699877678549e-07,5.2996495862345887e-07,4.447008092744638e-07,3.8051477981186576e-07,3.0141414723238794e-07,3.1024184897928765e-07
0.00486096,5.8960961032665663e-07,6.1748133470913266e-07,5.4182185512531463e-07,4.5634724689940833e-07,3.9143342148064316e-07,3.0900545236258204e-07,2.9802829858951698e-07
0.00491159,6.0051937063958523e-07,6.295429951136395e-07,5.5396486400328726e-07,4.6825670439291867e-07,4.0262590585483716e-07,3.1683597779955356e-07,2.8598233395438258e-07
