Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.00288619,0.092064543421055911,0.0037430853860122193,0.00026410605908578537,7.7339275897758605e-05,2.1590798223425121e-05,0.00039828073343689964,7.7405931895980517e-06
0.00293683,0.095585777403345701,0.0038980434772422461,0.00028020146085369987,6.7221366377813137e-05,2.5669178901371133e-06,0.00028112769802932352,8.4853997515361699e-06
0.00298746,0.099028827557193902,0.004055864123616252,0.00029698935699257862,5.8755257499826572e-05,1.0832187234626143e-05,0.00015420816912663048,8.7159777556109038e-06
0.0030381,0.10243652124227022,0.0042116447239831552,0.00031416011001758035,5.2745156807539688e-05,3.1255435138578556e-05,5.2000309300211728e-05,8.3003819258796841e-06
0.00308874,0.1058629916473936,0.0043602285091947773,0.00033147116747296004,4.9013856747523518e-05,5.0580587823433138e-05,2.8960275699611391e-06,7.2095631277826383e-06
0.00313937,0.10936498514187376,0.0044972060299019352,0.00034878382666711516,4.7064147738449182e-05,6.1134776658518627e-05,1.9120387667919159e-05,5.5615742458512316e-06
0.00319001,0.11299441828983638,0.0046197659396358826,0.00036606350623136349,4.6526523280524389e-05,6.1318743984237699e-05,9.2160007377212297e-05,3.6420740848535791e-06
0.00324064,0.11679335830363166,0.0047272349995730791,0.00038334596739319154,4.7289546819639151e-05,5.3795409489916269e-05,0.00019566147558464897,1.8888456847939008e-06
0.00329127,0.12079058655839736,0.0048211780693356888,0.00040066338963148321,4.9398693546552982e-05,4.2859420789507016e-05,0.00029475743291433219,8.3851846838650978e-07
0.00334191,0.12499950443217078,0.0049050718254529833,0.00041797359752348314,5.2875778313987571e-05,3.2253782378614217e-05,0.0003583364319540177,1.0438409033241488e-06
0.00339254,0.12941836214942182,0.0049836733791689984,0.00043510543072787056,5.7589520330024537e-05,2.4075193429434395e-05,0.00036912900750843685,2.9803052750274022e-06
0.00344318,0.13403223439561274,0.0050622567220273418,0.00045174767518511654,6.3231801771139692e-05,1.8773076001216186e-05,0.00032786310965361525,6.9655816296108565e-06
0.00349381,0.13881440127033148,0.0051458877791168024,0.00046748194224268747,6.9383110529443924e-05,1.5779473322133338e-05,0.00025056992236185559,1.311016644124722e-05
0.00354445,0.14372873000651995,0.0052388221997379109,0.00048185221979524066,7.5615843810198662e-05,1.4240679928246641e-05,0.00016108784628446386,2.1305930428898911e-05
0.00359509,0.14873272393087503,0.0053440594829117141,0.00049445717679579525,8.1584596240876926e-05,1.3525878242098424e-05,8.2221031624788425e-05,3.1247100794781492e-05
0.00364572,0.15378102113942294,0.0054630500783798813,0.00050504507767959862,8.7074501785819737e-05,1.339382451382555e-05,2.888146029342838e-05,4.2471611436714716e-05
0.00369636,0.15883022802466751,0.0055955448882213706,0.00051358724513986677,9.2001557914030136e-05,1.3892883827057571e-05,5.121407411403848e-06,5.439861875083917e-05
0.00374699,0.16384401590741604,0.0057396034834383053,0.00052031172339583832,9.6379840746234683e-05,1.5151797152479367e-05,5.5844233518451051e-06,6.6349743981561929e-05
0.00379762,0.16879875976402064,0.0058917800333308937,0.00052568703792754961,0.00010027761926884938,1.7201182183173949e-05,1.9563382229493698e-05,7.7556250902003737e-05
0.00384826,0.17368664976591591,0.006047501497927368,0.00053035679203207941,0.00010377736990040916,1.9902935535103589e-05,3.5870221531495378e-05,8.715432558915389e-05
0.00389889,0.17851479810737308,0.0062016061919079298,0.00053504297269447521,0.00010694793129032806,2.2984433837863009e-05,4.6579180471871079e-05,9.4184700429244693e-05
0.00394953,0.18330214753681814,0.0063489851622928906,0.00054044218393303626,0.00010983064835163898,2.6127332119596611e-05,4.8560124136002255e-05,9.7634817123145386e-05
0.00400016,0.18807324806703898,0.0064852329934244283,0.00054713144374870539,0.00011243650069334699,2.9056278448166814e-05,4.2858496439113656e-05,9.6546897013528486e-05
0.0040508,0.19285488907038503,0.0066072232421319479,0.00055550038581210839,0.00011475107897744149,3.1592990277199562e-05,3.2842183722244065e-05,9.0216138726568269e-05
0.00410143,0.19767249426410807,0.0067135266102908292,0.00056570844834513603,0.00011674669261929168,3.3667343423236668e-05,2.2187839289277545e-05,7.8471792022052843e-05
0.00415207,0.20254615949216875,0.0068046174717407513,0.0005776666047249523,0.00011839869509792838,3.5295982836504747e-05,1.3494173600690497e-05,6.2002408464184914e-05
0.00420271,0.20748794652702043,0.0068828219409458515,0.00059104380665057823,0.00011970236570835955,3.6546728236254677e-05,7.7844235635572092e-06,4.2631093823047685e-05
0.00425334,0.21250292100859181,0.0069520054976345575,0.00060529993979806728,0.00012068594642413577,3.7503912001561358e-05,4.7941641537118665e-06,2.3401475842296669e-05
0.00430397,0.21759172537532398,0.0070170470294158294,0.00061974407377379001,0.00012141361965724442,3.8242763792267522e-05,3.6017492775085214e-06,8.3218513977558487e-06
0.00435461,0.22275337547160734,0.007083208311696401,0.00063361273557175507,0.00012197792361557318,3.8815251054867596e-05,3.238741922715572e-06,1.7115989576575654e-06
0.00440524,0.2279881051931692,0.0071555036281305533,0.00064615970707298089,0.00012248391331056596,3.9246182289781113e-05,3.0668215480186693e-06,7.2212698547863243e-06
0.00445588,0.23330009233352078,0.0072381388407223128,0.00065674446996835103,0.00012303061490203136,3.9537353105687022e-05,2.8679775578368246e-06,2.6716689427830302e-05
0.00450651,0.23869750601393688,0.0073340730177197735,0.00066491506269027319,0.00012369639282848406,3.9677442216347586e-05,2.7313131829525158e-06,5.9406082292567394e-05
0.00455715,0.244189760903643,0.0074447392374112891,0.00067047219927112789,0.00012452843586628225,3.9655083520235242e-05,2.864646720697824e-06,0.00010144935318244952
0.00460778,0.24978248717787896,0.0075699293914648202,0.00067350124833584447,0.00012553824033778805,3.9471910112141075e-05,3.4363636482309267e-06,0.00014628997208172108
0.00465842,0.25547499297003484,0.0077078467758081824,0.00067437067784045324,0.00012670096300671616,3.9152068293318321e-05,4.495570722036874e-06,0.00018580645711709334
0.00470906,0.26126455992674774,0.0078553236495020502,0.00067369030108581775,0.00012795949204757442,3.8744498824943137e-05,5.971780264403555e-06,0.00021205696438125952
0.00475969,0.26714911143106612,0.0080081756429919247,0.00067223599136658624,0.00012923084036053198,3.8318891830255825e-05,7.722488018240995e-06,0.00021920728435930926
0.00481032,0.27313563213932257,0.0081616556278757794,0.00067085582809338481,0.00013041720129178445,3.7956163411557507e-05,9.5915322820395577e-06,0.00020512526152561845
0.00486096,0.27924453098380897,0.0083109704872524302,0.00067037234346802358,0.00013142044638227331,3.7737240758006896e-05,1.1453178501400271e-05,0.00017216897589735104
0.00491159,0.28551950372430523,0.0084518143442869689,0.00067149245174219041,0.0001321605384446183,3.7734096733098313e-05,1.3231380568173803e-05,0.00012688340553827494
0.00496223,0.29202910584297848,0.0085809167891647206,0.00067473788391169667,0.00013259656162247397,3.8003699852612489e-05,1.4895126767321096e-05,7.8518592549056367e-05
0.00501287,0.29885872203064162,0.0086964769351579076,0.00068039994461838106,0.00013274372698790651,3.8584378268039215e-05,1.6440714952575975e-05,3.6753318474693779e-05
0.0050635,0.306093407395161,0.0087983510731143785,0.00068852381113809345,0.00013268129847191521,3.9493261637521513e-05,1.7871615171391392e-05,9.2967972192794563e-06
0.00511413,0.31379454152372199,0.0088879737410176192,0.00069891728196622583,0.00013254838408840525,4.072362393290077e-05,1.918269898141305e-05,6.3113496587944802e-08
0.00516477,0.32197948262375314,0.0089680602928122258,0.00071118045929598585,0.00013252809262976156,4.224132706677887e-05,2.0351240106893076e-05,8.4761804901235266e-06
0.00521541,0.33059743373788142,0.0090422011569420181,0.00072475136267811458,0.00013282252419447314,4.398250682843076e-05,2.1334839989620513e-05,3.0031690771118383e-05
0.00526604,0.33951571180334567,0.0091143643741372644,0.00073897053479786195,0.00013362431263259838,4.5853518188249549e-05,2.2074590305677555e-05,5.7707880185868074e-05
0.00531667,0.34852899635025575,0.0091883832489158736,0.00075314592731680493,0.00013508958656980929,4.7735306009379568e-05,2.2502518839845621e-05,8.3930206179967323e-05
0.00536731,0.35738423269498154,0.009267496810412992,0.00076662475444258982,0.00013731709943858185,4.9493600627844276e-05,2.2551245512292972e-05,0.00010247801976631115
0.00541794,0.36583453319168868,0.0093540060745961346,0.00077885870328249084,0.00014033374466057032,5.0992561421639554e-05,2.2165979330142624e-05,0.00010983364170538058
0.00546858,0.37372097040180119,0.0094490847584678649,0.00078945613996249766,0.00014408475994501848,5.2110176979144028e-05,2.1315381178631792e-05,0.00010561511657123487
0.00551922,0.38101190754312775,0.0095527516621775714,0.00079820746749110312,0.00014842749655253484,5.2750520796487839e-05,2.0000502629639805e-05,9.2109009871192048e-05
0.00556985,0.38779200807335318,0.0096640020590062128,0.00080508221753271964,0.00015312952779125108,5.2851818826516702e-05,1.8259514008280596e-05,7.3160371873859137e-05
0.00562048,0.39423749689768584,0.0097810608064686309,0.00081019882129515562,0.00015787141361294269,5.2386459174748703e-05,1.6166619930052341e-05,5.2883560054720795e-05
0.00567112,0.40057956173296233,0.0099017163536923806,0.00081377229940408772,0.00016225937408982064,5.1356285818864806e-05,1.3826356222169803e-05,3.4609399189973002e-05
0.00572176,0.40708291532780433,0.010023681340756667,0.00081605327265144457,0.00016584822086985836,4.9787207070241924e-05,1.1364096521490805e-05,2.0303637320340181e-05
0.00577239,0.41401372256160285,0.010144926963425741,0.00081726909246649521,0.00016817708356083673,4.7722648998304305e-05,8.9141781439620856e-06,1.0566793267802652e-05
0.00582302,0.42160951575465072,0.010263918730395933,0.00081757470213924643,0.00016882082208695843,4.5217841879294391e-05,6.6077880300130643e-06,4.954608419634183e-06
0.00587366,0.43005306491015544,0.010379717230727446,0.00081702216261859734,0.00016744700214839486,4.2335561476531793e-05,4.5610123862014421e-06,2.4356005372924972e-06
0.00592429,0.4394493812455344,0.010491978747361934,0.00081555171487267351,0.00016387200178739547,3.914395425645312e-05,2.8651339047043757e-06,1.8346118255731556e-06
0.00597493,0.44980406749236085,0.010600857974152075,0.00081300434064293767,0.00015809916744337734,3.5715944957093191e-05,1.5784494180905232e-06,2.1461265631803845e-06
0.00602557,0.46100630304179435,0.010706842793277906,0.0008091524839937478,0.00015033075257715913,3.212992232280559e-05,7.209740290957021e-07,2.6774910451252065e-06
0.0060762,0.47283278055868239,0.010810545727754171,0.00080374463801476006,0.00014094665164842324,2.8471175458123459e-05,2.7202612676678204e-07,3.0532462993029407e-06
0.00612683,0.48497870946823113,0.010912487028639624,0.00079655584377352588,0.00013045554461874141,2.4833520506883089e-05,1.7215891557477179e-07,3.1392586430114474e-06
0.00617747,0.49711051944774093,0.011012927503872467,0.0007874387319006756,0.00011942894442697861,2.1318505489088624e-05,3.2968763685340082e-07,2.9459546946661258e-06
0.00622811,0.50893301767126975,0.011111779105259099,0.00077636793228759134,0.00010843302622668991,1.8031897216040305e-05,6.3208950702653585e-07,2.5451280732447443e-06
0.00627874,0.52025164980042116,0.011208611746722278,0.00076347258099768807,9.7971853772609062e-05,1.5075996026035526e-05,9.6172105716144626e-07,2.025382709919652e-06
0.00632937,0.53101085581759289,0.011302750954701317,0.00074905317368247439,8.8448047106774052e-05,1.2538560877094378e-05,1.2143060828848273e-06,1.4701745159789904e-06
0.00638001,0.54130719952729545,0.011393456130095739,0.00073358155879314573,8.0145616424021716e-05,1.0480524098311753e-05,1.3175090883724726e-06,9.4938808384471741e-07
0.00643064,0.55135104449769323,0.011480149504995749,0.00071768232790096048,7.3233458816279588e-05,8.9263400506510903e-06,1.2455386973909962e-06,5.1701221339480802e-07
0.00648128,0.56140609481718651,0.011562657883689695,0.00070209922478644301,6.7783309340159348e-05,7.8609952063953369e-06,1.025822888383797e-06,2.1030263428303134e-07
0.00653192,0.57172852038828836,0.011641420757255216,0.00068764901168836818,6.3795208818082219e-05,7.2360771775564707e-06,7.3450320367874401e-07,4.895855216351687e-08
0.00658255,0.58252335871778338,0.011717624972580267,0.00067516936431182386,6.1225780200936149e-05,6.9849237885551133e-06,4.7986560908049092e-07,3.4053361896156047e-08
0.00663318,0.59391760286548778,0.011793241044588121,0.00066546898544629011,6.0011025374307776e-05,7.0424795993457378e-06,3.7634487749934297e-07,1.4774394964011424e-07
0.00668382,0.60594610588265219,0.01187095729359058,0.00065928134660883327,6.0083040951915497e-05,7.363480618235075e-06,5.1478167368252966e-07,3.551996465077054e-07
0.00673445,0.61855682953759694,0.011954017679568604,0.00065723185538113407,6.1378147062406558e-05,7.9322421916626952e-06,9.362749231642287e-07,6.0881033873436191e-07
0.00678509,0.63162365922607322,0.012045991249394712,0.00065981274441665914,6.3837702351463385e-05,8.7603736687928811e-06,1.6169863956495127e-06,8.5545889424145084e-07
0.00683572,0.64497801704392588,0.01215050035855986,0.00066736666072751737,6.7403547947426451e-05,9.8724424952085719e-06,2.4688615215908125e-06,1.0462527907905546e-06
0.00688636,0.65843549851312477,0.012270935869004452,0.00068008349319238716,7.201042761953601e-05,1.1285131609642031e-05,3.3572336802361604e-06,1.1457501128304023e-06
0.00693699,0.67183734609215962,0.012410183118204968,0.000697998268838195,7.757752119057245e-05,1.2985681884412164e-05,4.1309679019781429e-06,1.1387902136601201e-06
0.00698763,0.68508851131461401,0.012570386067927646,0.00072099336016192509,8.4001340254479022e-05,1.4919013978181924e-05,4.657586368985875e-06,1.0328897931932468e-06
0.00703827,0.69817193026674318,0.012752766689233849,0.00074880334122122329,9.1151648333523785e-05,1.6987898645328858e-05,4.8534922893595973e-06,8.5516771893939531e-07
0.0070889,0.71113373468602259,0.012957508827344064,0.00078102413051444816,9.8871180503005889e-05,1.9066152189355153e-05,4.7016553960565968e-06,6.4444805908165459e-07
0.00713953,0.72404828730393533,0.013183698158374887,0.00081712694331489825,0.00010697986990713777,2.1021107061326941e-05,4.2520324367205248e-06,4.4068105787380773e-07
0.00719017,0.73697836768587277,0.013429364088937027,0.00085647635925513595,0.0001152835828769364,2.2738586367153859e-05,3.6054065676157464e-06,2.7491841676785612e-07
0.0072408,0.74993244860810571,0.013691577825212704,0.00089835319460849486,0.00012358671501627261,2.4143164901174559e-05,2.8855400968933745e-06,1.6292126461889681e-07
0.00729144,0.7628332519377371,0.013966587328850637,0.00094198467711173657,0.00013170618989034877,2.5208738977393973e-05,2.2090888391898836e-06,1.0421897026680141e-07
0.00734207,0.77550105395934343,0.01425000949751367,0.00098657840277312594,0.00013948704772644447,2.5957735049674118e-05,1.6609554809935143e-06,8.5923390002686358e-08
0.00739271,0.78766862724777986,0.014537068156092159,0.0010313622876180564,0.00014681680445152679,2.6450836993676627e-05,1.2810316168269041e-06,8.9473239460286376e-08
0.00744334,0.79902249085955956,0.014822843725826412,0.0010756278349335949,0.00015363734226138333,2.6771474029013594e-05,1.0643469904097388e-06,9.7654182413251474e-08
0.00749398,0.8092784691619298,0.01510252815229024,0.0011187660073073294,0.00015995205283331719,2.7010028465549708e-05,9.7251454033104697e-07,9.9497565272093498e-08
0.00754462,0.81827374791934615,0.015371658085493064,0.0011602943140669214,0.0001658279349266719,2.7251730511921645e-05,9.5141877885351798e-07,9.1805351122615877e-08
0.00759525,0.82602766152867557,0.015626337363432483,0.0011998734952926838,0.00017139137930493716,2.7570218626575165e-05,9.4899081366014864e-07,7.7533154039606956e-08
0.00764588,0.83275476804036741,0.015863384267438996,0.001237312836286118,0.00017681761071890292,2.8026443857444125e-05,9.2810837421067864e-07,6.242385179925246e-08
0.00769652,0.83882794494917134,0.016080422701861476,0.0012725606976263589,0.00018231784761226825,2.8671158032874253e-05,8.7209764263200453e-07,5.1677429552105049e-08
0.00774715,0.84471610325054247,0.016275920067421158,0.0013056853703815575,0.00018812294951912553,2.9548746661426056e-05,7.8302977422797571e-07,4.8088569272036066e-08
0.00779779,0.85092316010402069,0.016449138510860814,0.0013368443231231127,0.00019446721737465813,3.0701107128651256e-05,6.7534556195774853e-07,5.2095922895719859e-08
0.00784842,0.85792377128914676,0.016600065085743514,0.0013662463300879654,0.00020157293674960455,3.2169103112755025e-05,5.6801176077740652e-07,6.3273953034903398e-08
0.00789906,0.86613297861474259,0.016729319878174099,0.0013941084883813842,0.00020963567549105394,3.3993101071142596e-05,4.7805923307426759e-07,8.2194855125417766e-08
0.00794969,0.87590557422727489,0.016838015733895071,0.0014206138205903221,0.00021881023057633361,3.6212667797318933e-05,4.1707740242768411e-07,1.1156157274454459e-07
0.00800033,0.88748274283166628,0.016927632764769093,0.0014458703158386041,0.00022919637243103125,3.8866298353929951e-05,3.9078179357999517e-07,1.5595563320053782e-07
0.00805097,0.90096602237887613,0.016999901533882721,0.0014698758652833754,0.00024082337270615368,4.1990977776705911e-05,4.0065409591975751e-07,2.2029867217581035e-07
