Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
0.01878559,-0.0023811177192235465
0.01883622,-0.002404127836010979
0.01888686,-0.0024271629627491301
0.01893749,-0.0024502063228473946
0.01898812,-0.0024731974744029907
0.01903876,-0.0024960389074508709
0.01908939,-0.00251864467385757
0.01914003,-0.0025408978250813139
0.01919066,-0.0025626950082488702
0.0192413,-0.0025839703793556733
0.01929193,-0.002604672648265075
0.01934257,-0.0026247504271687131
0.01939321,-0.0026441556332304004
0.01944384,-0.002662786932126451
0.01949448,-0.0026805993507984871
0.01954511,-0.0026975404965006071
0.01959575,-0.0027135492356225093
0.01964638,-0.0027285662404344076
0.01969701,-0.0027425130053860885
0.01974765,-0.0027553230753531986
0.01979828,-0.0027669451247388024
0.01984892,-0.002777354065986008
0.01989955,-0.0027864907078426265
0.01995019,-0.0027942810906601031
0.02000082,-0.0028007120215320352
0.02005146,-0.002805733195079433
0.0201021,-0.0028093522016805336
0.02015273,-0.0028115513729401538
0.02020337,-0.0028123461373391555
0.020254,-0.0028117487163810649
0.02030463,-0.0028097839208627543
0.02035527,-0.002806453504037808
0.0204059,-0.0028017909022028048
0.02045654,-0.0027958390650515245
0.02050717,-0.0027886166657580761
0.02055781,-0.0027801612220400983
0.02060844,-0.0027705005216958822
0.02065908,-0.0027597003098237868
0.02070972,-0.0027477475752438908
0.02076035,-0.0027346985406846271
0.02081099,-0.0027205987801640998
0.02086162,-0.00270546845731281
0.02091226,-0.0026901723879605662
0.02096289,-0.0026734516350005351
0.02101352,-0.0026556503292183369
0.02106416,-0.0026369528826312516
0.02111479,-0.0026174044770089673
0.02116543,-0.0025970652761049514
0.02121606,-0.0025760043176293601
0.0212667,-0.0025542824521259774
0.02131733,-0.0025319841069336544
0.02136797,-0.0025091583878603645
0.02141861,-0.0024857830532912916
0.02146924,-0.0024619755006436866
0.02151988,-0.0024378236574565098
0.02157051,-0.0024133228288845355
0.02162114,-0.0023885213258981173
0.02167178,-0.0023634449859208295
0.02172241,-0.0023380978804634946
0.02177305,-0.0023124779652372693
0.02182368,-0.0022866211658560055
0.02187432,-0.002260791714848004
0.02192495,-0.0022346503818631482
0.02197559,-0.002208320498487122
0.02202622,-0.0021818761572140709
0.02207686,-0.0021553383064885374
0.0221275,-0.0021287344610164257
0.02217813,-0.0021020647045315341
0.02222877,-0.0020753301722056337
0.0222794,-0.0020485593972710747
