Physical Time (s),ev_left Monitor (kg-m/s^3)
0.01660828,-0.001231501426929365
0.01665891,-0.0012323980949582349
0.01670955,-0.0012334647253995567
0.01676019,-0.0012346769817137252
0.01681082,-0.0012359994131163291
0.01686146,-0.0012373891091507459
0.01691209,-0.0012387995100412103
0.01696272,-0.0012401841863294225
0.01701336,-0.0012415004455420429
0.01706399,-0.0012427125877271634
0.01711463,-0.0012437946338802988
0.01716526,-0.001244732359540359
0.0172159,-0.0012455245855491808
0.01726653,-0.0012461837204336274
0.01731717,-0.0012467355612857133
0.01736781,-0.0012472184274041945
0.01741844,-0.0012476816944366515
0.01746908,-0.0012481838548141977
0.01751971,-0.0012487902135445068
0.01757035,-0.0012495703462887878
0.01762098,-0.0012505954513784457
0.01767161,-0.0012519357220317838
0.01772225,-0.0012536578472512171
0.01777288,-0.0012558227697201173
0.01782352,-0.0012584837652036987
0.01787415,-0.0012616849168149244
0.01792479,-0.0012654600050329211
0.01797542,-0.0012698317509507056
0.01802606,-0.0012748113633570728
0.0180767,-0.0012803982697645192
0.01812733,-0.0012865801824679104
0.01817797,-0.0012933334160928661
0.0182286,-0.0013006235001606114
0.01827924,-0.0013084060341228814
0.01832987,-0.0013166277410136817
0.0183805,-0.00132522765155706
0.01843114,-0.0013341384209191831
0.01848177,-0.0013432877301962343
0.01853241,-0.0013525997345401014
0.01858304,-0.0013619964559179465
0.01863368,-0.0013713992940608474
0.01868431,-0.001380730368954068
0.01873495,-0.001389913771080907
0.01878559,-0.0013988766846726841
0.01883622,-0.0014075503888138627
0.01888686,-0.0014158711090256682
0.01893749,-0.0014237807291855326
0.01898812,-0.0014312273808216487
0.01903876,-0.0014381658929360779
0.01908939,-0.001444558113640208
0.01914003,-0.0014503730851066559
0.01919066,-0.0014555870936789447
0.0192413,-0.0014601835956580367
0.01929193,-0.0014641531029297309
0.01934257,-0.0014674930201560975
0.01939321,-0.0014702074062100624
0.01944384,-0.00147230666098579
0.01949448,-0.0014738070579905387
0.01954511,-0.0014747301437485687
0.01959575,-0.0014751020902325613
0.01964638,-0.0014749529864120496
0.01969701,-0.0014743161110903696
0.01974765,-0.0014732272240936166
0.01979828,-0.0014717239168523005
0.01984892,-0.0014698450366981211
0.01989955,-0.0014676302253558737
0.01995019,-0.0014651195444832783
0.02000082,-0.0014623532270637964
0.02005146,-0.0014593715517839732
0.0201021,-0.0014562148066613249
0.02015273,-0.0014529233559742376
0.02020337,-0.0014495377383854516
0.020254,-0.0014460988215547902
0.02030463,-0.001442647925245554
0.02035527,-0.0014392268811060168
0.0204059,-0.0014358780933974163
0.02045654,-0.0014326444850444793
0.02050717,-0.0014295692454701716
0.02055781,-0.0014266955833598122
0.02060844,-0.0014240662689799059
0.02065908,-0.001421723237551903
0.02070972,-0.0014197069659704323
0.02076035,-0.0014180558951010819
0.02081099,-0.0014168057812212883
0.02086162,-0.0014159890041208836
0.02091226,-0.0014156339349740859
0.02096289,-0.0014157643609310651
0.02101352,-0.0014163990855445814
0.02106416,-0.0014175515235951455
0.02111479,-0.0014192294916476307
0.02116543,-0.0014214350834304485
0.02121606,-0.0014241646120861204
0.0212667,-0.0014274086894563007
0.02131733,-0.0014311524482470441
0.02136797,-0.0014353758424815776
0.02141861,-0.0014400540459566216
0.02146924,-0.0014451579126804632
0.02151988,-0.0014506544993203876
0.02157051,-0.001456507685160092
0.02162114,-0.0014626787950836489
0.02167178,-0.0014691272487788371
0.02172241,-0.0014758112298394771
0.02177305,-0.0014826883373453789
0.02182368,-0.0014897162072939698
0.02187432,-0.0014968530939577667
0.02192495,-0.0015040584065433901
0.02197559,-0.0015112931907244297
0.02202622,-0.0015185205715506263
0.02207686,-0.0015257061607129312
0.0221275,-0.0015328184325634009
0.02217813,-0.0015398290239489964
0.02222877,-0.0015467130186282022
0.0222794,-0.0015534491239356839
0.02233003,-0.0015600197957213523
0.02238067,-0.0015664112653374579
0.0224313,-0.0015726135128582483
0.02248194,-0.0015786201105918679
0.02253257,-0.0015844280239678944
0.02258321,-0.0015900373389281005
0.02263384,-0.001595450993548773
0.02268448,-0.001600674422968323
0.02273512,-0.0016057151059826174
0.02278575,-0.0016105821491420402
0.02283639,-0.0016152858706460658
0.02288702,-0.0016198373607139945
0.02293765,-0.0016242480394537773
0.02298829,-0.0016285291992259507
0.02303892,-0.0016326916102262601
0.02308956,-0.0016367449387085663
0.02314019,-0.0016406980472024688
0.02319083,-0.0016445586930505418
0.02324146,-0.0016483317194617806
0.0232921,-0.0016520211514173743
0.02334273,-0.0016556299332035522
0.02339337,-0.0016591595767049537
0.02344401,-0.0016626100765744791
0.02349464,-0.0016659801168536362
0.02354528,-0.0016692674538336444
0.02359591,-0.0016724692583337866
0.02364654,-0.0016755824562117738
0.02369718,-0.0016786040615429506
0.02374781,-0.0016815315350131124
0.02379845,-0.0016843631366085193
0.02384908,-0.0016870982972779763
0.02389972,-0.0016897379375255162
0.02395035,-0.0016922846661057331
0.02400099,-0.0016947429983674754
0.02405163,-0.0016971194681160541
0.02410226,-0.0016994227338499091
0.0241529,-0.001701663588087455
0.02420353,-0.0017038549145052297
0.02425417,-0.0017060116121705208
0.0243048,-0.0017081504658538328
0.02435543,-0.0017102899813363583
0.02440607,-0.0017124501405485057
0.0244567,-0.0017146521813483557
0.02450734,-0.0017169183583818299
0.02455797,-0.0017192716775473458
0.02460861,-0.0017217356550076079
0.02465924,-0.0017243340445242798
0.02470988,-0.001727090624157648
0.02476052,-0.0017300288905313518
0.02481115,-0.0017331720655305097
0.02486179,-0.0017365429077135629
0.02491242,-0.0017401634234212376
0.02496305,-0.0017440546494610521
0.02501369,-0.0017482364905644498
0.02506432,-0.0017527273360013148
0.02511496,-0.0017575436901905652
0.02516559,-0.0017626995518121185
0.02521623,-0.0017682067496871086
0.02526686,-0.0017740753445994882
0.0253175,-0.0017803119498905166
0.02536813,-0.0017869197320228257
0.02541877,-0.0017938984460749456
0.02546941,-0.0018012441532737997
0.02552004,-0.0018089490468936687
0.02557068,-0.0018170012283894481
0.02562131,-0.0018253848446324653
0.02567194,-0.0018340799378254626
0.02572258,-0.0018430623199529161
0.02577321,-0.0018523035757682968
0.02582385,-0.0018617711761864096
0.02587448,-0.0018714286723534989
0.02592512,-0.0018812358759923565
0.02597575,-0.0018911491524591423
0.02602639,-0.0019011218704831599
0.02607703,-0.0019111049158822783
0.02612766,-0.0019210472741443443
0.0261783,-0.001930896729315837
0.02622893,-0.0019406004622055748
0.02627956,-0.0019501057051213133
0.0263302,-0.0019593604206650235
0.02638083,-0.0019683141833804372
0.02643147,-0.0019769186946159176
0.0264821,-0.0019851285023452588
0.02653274,-0.0019929016949346836
0.02658337,-0.0020002004869715279
0.02663401,-0.0020069919324736223
0.02668464,-0.0020132476756333285
0.02673528,-0.0020189441936249272
0.02678592,-0.0020240641701061947
0.02683655,-0.002028596317423565
0.02688719,-0.0020325351288331198
0.02693782,-0.0020358811248467673
0.02698845,-0.0020386406138416875
0.02703909,-0.0020408258282342074
0.02708972,-0.0020424546951705843
0.02714036,-0.0020435505576407425
0.02719099,-0.0020441421593058945
0.02724163,-0.0020442633527712616
