Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.00207603,4.4594177493459529e-15,4.3201445694199411e-15,7.2743425470972689e-17,-2.1881188616872208e-15,-2.1680120072646875e-15,-1.7118076239897991e-15,-1.7474573407656462e-15
0.00212667,2.1394340998589424e-15,2.0559655026915257e-15,-6.0940529818473978e-16,1.9943166346497365e-15,1.8479084311887873e-15,4.8060501967731984e-16,5.4274926593209411e-16
0.00217731,-2.5137245213812691e-15,-2.6536329964917529e-15,3.6522726265497875e-16,-7.7637617654778583e-16,-5.3085257244342661e-16,-9.6338427442274936e-16,-7.6308653746329053e-16
0.00222794,2.9123829032920543e-15,3.0271583830951273e-15,1.9155880645197841e-15,4.7295068628744896e-15,6.1755919317671434e-15,4.6038848513589802e-15,4.41994747524832e-15
0.00227858,1.9348981162126826e-15,1.7211704537517016e-15,1.7228052515850386e-16,-5.2633494046442984e-16,-1.3062388241660103e-15,-1.8712753665451107e-15,-1.8449530920464475e-15
0.00232921,4.1844492086244803e-15,4.5642456265412622e-15,3.3197396472874421e-15,3.7896125560955732e-15,3.9177318349980013e-15,5.0422757551714143e-15,5.1950941432130106e-15
0.00237984,5.121784365079369e-15,5.3811509637807517e-15,2.5644775942280833e-15,1.8351452259766748e-15,1.3489577034607128e-15,1.4032236994035232e-15,1.8068277028196427e-15
0.00243048,-4.7732342969737857e-16,-7.1898251299430088e-16,-7.1676018614903567e-17,8.3069895052955524e-17,2.100694589820551e-16,1.6768407642728904e-15,2.2783336434409251e-15
0.00248111,4.4954573866669542e-15,5.1844311747728809e-15,4.2993950173725178e-15,4.4112380605633499e-15,4.6775372208285118e-15,4.0221343154279836e-15,4.5311289010919501e-15
0.00253175,-5.4919729040382443e-16,-9.4514389255113978e-16,-2.1099784972691007e-15,-1.8902274624504568e-15,-1.4935106884255574e-15,-1.7928033904339576e-15,-2.273803438875079e-15
