Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.00222794,5.3601434574321032e-08,5.0683322789432028e-08,-2.5816631904121529e-08,-9.0145868532776977e-08,-1.0247881901015769e-07,-1.3507976833163179e-07,-1.3502174644746208e-07
0.00227858,5.7114118809073089e-08,5.1930538783360179e-08,7.9064031036261274e-09,-4.0176756690177128e-08,-5.1832049254059369e-08,-9.0520892493059836e-08,-9.0450458831159616e-08
0.00232921,7.0948621588929776e-08,6.0094239376194174e-08,3.0731221260472663e-08,-2.3414326085445191e-09,-1.1933426127523735e-08,-5.7084097775177479e-08,-5.7034450087896805e-08
0.00237984,9.8518198866286588e-08,7.8113689450930553e-08,5.2032359773172724e-08,3.0184335299489931e-08,2.3468330738001852e-08,-2.7694029489241607e-08,-2.7770243992601486e-08
0.00243048,1.4291769456756166e-07,1.1001954132730767e-07,7.8682268049411596e-08,6.3985476045483757e-08,6.0032955608279136e-08,4.1752325386297373e-09,3.7108451684269623e-09
0.00248111,2.0435396107351084e-07,1.5840818876411704e-07,1.1403979533629767e-07,1.0317814229738002e-07,1.0124614547627034e-07,4.2617515797420552e-08,4.121494870970679e-08
0.00253175,2.7827641099262894e-07,2.215909860327753e-07,1.5694113668711288e-07,1.4747345024409902e-07,1.4666117133606567e-07,8.7431407741791398e-08,8.4108839569445018e-08
0.00258238,3.5518843460794877e-07,2.9216530002125142e-07,2.0161361290792172e-07,1.9161642831773236e-07,1.912529860255922e-07,1.3370099508863146e-07,1.2696710687961869e-07
0.00263302,4.2328239461222839e-07,3.5884942361184074e-07,2.3977036917178336e-07,2.2744298760446011e-07,2.2718904864086169e-07,1.737367805798888e-07,1.6168424762182452e-07
0.00268366,4.7263709301720834e-07,4.1078333080259769e-07,2.6424940569032027e-07,2.4773046356323254e-07,2.4745748210113631e-07,2.0055330250118145e-07,1.8118904248987273e-07
0.00273429,4.9864762228490116e-07,4.4166770070073477e-07,2.7207919830643009e-07,2.4950621434578626e-07,2.4913507074955092e-07,2.108686463864033e-07,1.8263845050728304e-07
