Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.00212667,0.09548210411337589,0.0036435547416187077,0.033393366411705483,0.053785524895373089,0.013730370153378794,0.010740763241923301,1.593275116858002e-06
0.00217731,0.095070336486463472,0.0066876915061927457,0.021987299031345487,0.016113650901790566,0.041656378665478257,0.013374039948669092,3.0629535600365099e-06
0.00222794,0.09496699454909785,0.0097167706810185293,0.012118755910124668,0.0010896939397905289,0.082578795110263503,0.016094530165989364,5.7242281792425767e-06
0.00227858,0.095972760795930159,0.012449588599249072,0.0052940371206352888,0.0041349233721517135,0.12286186828710928,0.018761986637252405,1.0389026677716249e-05
0.00232921,0.098645161027608633,0.014643522350391448,0.0015049493721171734,0.016261903097079422,0.14740590742207793,0.021180157585281682,1.8293441264495073e-05
0.00237984,0.10325348905548661,0.016140216380764429,-0.00012784564647576115,0.028722628334207505,0.14687884388116601,0.02304997894718391,3.1222804373124498e-05
0.00243048,0.10974512065968654,0.016899748054663398,-0.00062679864582842939,0.035899300111733992,0.12213618906669163,0.023955141271665134,5.1614013903852635e-05
0.00248111,0.11770292701940388,0.017007283983209526,-0.00068569436946650214,0.036073653223386307,0.083000370515125738,0.023413898825707317,8.2591442209727992e-05
0.00253175,0.12632054614577456,0.016648840142617985,-0.00056209459012456571,0.030572083314787876,0.043262670772107659,0.021031752266653908,0.00012787626789443013
0.00258238,0.13443874875273504,0.016060802827695293,-0.00021962623702355259,0.022207836166250203,0.014411557125008911,0.016754774666137603,0.00019154942967135097
0.00263302,0.14086070718077781,0.015478086595335332,0.00045159399133736953,0.013809714547112578,0.0016228176338334431,0.011114159089649255,0.00027762741119981315
0.00268366,0.14461484357852417,0.015087115154577373,0.0014720993377215278,0.0072460653157587563,0.0032449369362636191,0.0054267629451501542,0.00038951789384127913
0.00273429,0.14519947128823257,0.014994555964073869,0.0027243879078567923,0.0031435371392995182,0.013208681789729323,0.0017395667605441716,0.00052950495577161515
0.00278492,0.14276448596399008,0.015214748017146604,0.0039989644597123218,0.0011531656265309524,0.024478593301878872,0.0024078471421707763,0.0006983614882589709
0.00283556,0.13806786842538568,0.015672858735520736,0.0050795205149075226,0.00047813880700909905,0.031835173203924483,0.0093102088233393207,0.00089525538262083884
0.00288619,0.13220615833405519,0.016221667332905768,0.0058167198524084448,0.00036085072795074386,0.033144108923881858,0.022897468315550923,0.0011181103046158894
0.00293683,0.12637338111942481,0.016673986411834936,0.0061625113876572673,0.00034647524505642367,0.029078678131983698,0.041457805903603269,0.0013641603717750336
0.00298746,0.12159913629435812,0.01684714952341719,0.0061620728419777351,0.00031086786577753505,0.021915896922050697,0.06108767360931848,0.00163104227651627
0.0030381,0.11865009954971051,0.016609867592748302,0.0059185414926365082,0.00033259552239291493,0.014233658556697571,0.07662554501749648,0.0019171893775112153
0.00308874,0.11791521819632211,0.015918477374438623,0.0055510288297868204,0.0005319215656626082,0.0079224475994865498,0.083363624049598892,0.0022213127433920211
0.00313937,0.11950471247711486,0.014828702556040988,0.00516296268950143,0.00095766671335987467,0.0037858460825962248,0.078946801487523616,0.0025421497743396454
0.00319001,0.12327532771823509,0.013480413315654074,0.0048247256850303,0.0015553879871597997,0.0016744827630736521,0.064406844999336813,0.0028764338284440511
0.00324064,0.12886847795081519,0.012061465396365264,0.0045691525398217844,0.0021993827522628425,0.00091698041687882418,0.043887167924098025,0.0032166781645004889
0.00329127,0.13573016727422146,0.010763467645840552,0.0043960972524234258,0.0027536304269983273,0.00077479081074691581,0.023248322977349273,0.0035494588498829385
0.00334191,0.14315918929950508,0.0097452601538923697,0.0042805990114054837,0.0031226709468791434,0.00073858701872784238,0.0079167952982956043,0.0038543759668360766
0.00339254,0.15040752883531905,0.0091116282370303173,0.0041823163950195918,0.003274162316888804,0.00061493899682059177,0.0010258560869945874,0.0041037343555637004
0.00344318,0.15678087426474829,0.0089081067298789653,0.0040565015069524398,0.0032325845624927053,0.0004426062922750856,0.0026085150848575316,0.0042634892222324916
0.00349381,0.16165012829144693,0.00912686931224976,0.0038646263448944588,0.0030547202665083288,0.00035043525265611376,0.010024257332567952,0.0042956750533550258
0.00354445,0.16455061258957007,0.0097153456830450062,0.0035840800305649277,0.0028042458107437108,0.0004379322089633858,0.019307175082581861,0.0041627688857522258
0.00359509,0.16526334376359031,0.010583133178952903,0.0032139131740130241,0.0025340908162538845,0.00071701398007321189,0.026714554868591357,0.00383601212088592
0.00364572,0.16382973642393792,0.011607899058720193,0.0027755287614655601,0.0022782040368847126,0.0011175717177987665,0.029895368363913245,0.0033068245321801462
0.00369636,0.16058714848699027,0.012642422676306574,0.0023071507483085735,0.0020512458721336784,0.001529892044388807,0.028430052084702354,0.0025986975891547628
0.00374699,0.15610823851212946,0.01352734132978536,0.0018541882208353364,0.0018530870228441873,0.0018535686514941712,0.023395123585603125,0.0017803239738486019
