Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.00106333,0.031943958989578435,0.010671954052817491,0.010778195610838634,8.6738539250797209e-05,3.1230117035529106e-07,2.6809280206075946e-11,5.5829164623473194e-16
0.00111397,0.034473237091481923,0.0089209739503367733,0.011358502284339361,0.00020688755454262623,9.4944060859667912e-07,8.5182340641711252e-11,1.2848437604478528e-15
0.0011646,0.035619269389204129,0.006435903092130311,0.0094599025432328399,0.00044667446274751716,2.6883819375527419e-06,2.6641700775178019e-10,2.9868859611506403e-15
0.00121524,0.035241012591897582,0.0043553650063317944,0.0056435892701745868,0.0008721732852088102,7.0725207838318602e-06,8.150164744859863e-10,7.0136649533124218e-15
0.00126588,0.033602164524114464,0.0032427295356216601,0.0018030978078229167,0.001538079385269528,1.726067532989543e-05,2.4242430980673095e-09,1.6610384183896488e-14
0.00131651,0.031247828232498196,0.0031470223660621326,9.3767520341787641e-05,0.0024432536249129979,3.9051519155605986e-05,6.9711692724237565e-09,3.9657425295089175e-14
0.00136714,0.028790229326386751,0.003781016993937172,0.0014081161334279489,0.0034795830962184799,8.1894591016010734e-05,1.9302532423110567e-08,9.5246841992288397e-14
0.00141778,0.026721824645667015,0.004706817653537268,0.0047068621885232248,0.0044077814652889397,0.0001592918554494831,5.127231217578814e-08,2.2957429666068505e-13
0.00146842,0.025325408179796515,0.0054969330737394033,0.0078467982593557993,0.0048989383757381908,0.00028770220021935176,1.3024128476917901e-07,5.540761523721478e-13
0.00151905,0.024686946911562022,0.0058552819498342828,0.0091169776556983394,0.0046619221824892388,0.0004831030701583813,3.155966993595876e-07,1.3364180313627134e-12
0.00156968,0.024763330084411089,0.0056782925000667464,0.0081610687989174743,0.0036291220033606224,0.00075505044132098665,7.2808650716897041e-07,3.2141837757619667e-12
0.00162032,0.025454431944036116,0.0050425950578977148,0.0057794938374967665,0.002086390580405014,0.0010988232753976965,1.596377034121811e-06,7.6946171278003426e-12
0.00167096,0.026646989945463984,0.0041422530194864145,0.0031654949964386725,0.00066307337702649599,0.0014880193762190951,3.3231714765954943e-06,1.8271560195316786e-11
0.00172159,0.0282290367777586,0.0031950813733167488,0.0012258156245919542,8.3431198820835468e-05,0.0018699551523102893,6.5630641112773659e-06,4.293200179571152e-11
0.00177222,0.03009113468499602,0.0023701631192090461,0.00031604522576241965,0.0007674215676078107,0.0021672624840294776,1.229154084029147e-05,9.9550617596742669e-11
0.00182286,0.032123199088325914,0.0017566229922110549,0.0003190541708720538,0.0025178299778963668,0.0022903302144639784,2.1829705581370244e-05,2.2733438015701744e-10
0.00187349,0.034219650923683453,0.001371997319129951,0.00086478183617040918,0.0045518119785691548,0.0021628443322562543,3.6783771474379995e-05,5.1027524372699492e-10
0.00192413,0.036291102083908351,0.0011904142083066986,0.0015427767595947953,0.005917709352927643,0.0017624655563982289,5.8871094958906257e-05,1.123690189383399e-09
