Physical Time (s),xth_left Monitor (kg-m/s^3)
0.02486179,-3.042990714379861e-12
0.02491242,-6.978723632859659e-12
0.02496305,-7.3080440881795103e-12
0.02501369,-3.0905915066079571e-12
0.02506432,-1.2871806360094708e-12
0.02511496,-4.7274362179222664e-12
0.02516559,-5.1406953861297178e-12
0.02521623,-3.5938279489117266e-12
0.02526686,-4.3207225979152202e-12
0.0253175,-3.0777972394154071e-12
0.02536813,-4.1711442486724341e-12
0.02541877,-2.8038612414237652e-12
0.02546941,-4.3557460412456503e-12
0.02552004,-3.4140527411695185e-12
0.02557068,-4.2499491487041347e-12
0.02562131,-4.8209677639096589e-12
0.02567194,-1.4069403723215462e-12
0.02572258,-4.1732342604789377e-12
0.02577321,-4.80327910938167e-12
0.02582385,-3.1962259670831999e-12
0.02587448,-5.6715773508729034e-12
0.02592512,-1.4436710445963627e-12
0.02597575,-1.621385577013266e-12
0.02602639,-1.9034563000319207e-12
0.02607703,-3.7879695287771221e-12
0.02612766,-4.2818406637357136e-12
0.0261783,-4.2250448088950305e-12
0.02622893,-6.9715903619773983e-12
0.02627956,-4.38852952071336e-12
0.0263302,-3.6699219860052274e-12
0.02638083,-3.3641921987107793e-12
0.02643147,-3.712364481905958e-12
0.0264821,-3.8753807463353472e-12
0.02653274,-3.4872709305844329e-12
0.02658337,-3.8345467859982813e-12
0.02663401,-2.4868989012902539e-12
0.02668464,-3.0513308198623668e-12
0.02673528,-2.5535667405525765e-12
0.02678592,-2.4313322622504516e-12
0.02683655,-3.2877809013225867e-12
0.02688719,-2.9778795240462845e-12
0.02693782,-2.026212193663831e-12
0.02698845,-2.724129305065587e-12
0.02703909,-4.5030830664878688e-12
0.02708972,-3.6932990701995966e-12
0.02714036,-1.1730541798496088e-12
0.02719099,-8.3899825042334902e-13
0.02724163,-4.0764019664321668e-12
0.02729226,-3.8652913359803028e-12
0.0273429,7.7243383293580475e-13
0.02739354,-4.26401904502958e-12
0.02744417,-4.8888812280298034e-12
0.02749481,-2.9753434425082358e-12
0.02754544,-5.128359282019553e-13
0.02759607,-5.8294810876218505e-12
0.02764671,-3.740131504617864e-12
0.02769734,-3.5012597168843224e-13
0.02774798,-4.3460674640859759e-12
0.02779861,-3.7163772426736375e-12
0.02784925,-3.3481578729785811e-13
0.02789988,-1.4031059182211274e-12
0.02795052,-4.2719158638133187e-12
0.02800115,3.2721753510078396e-12
0.02805179,-7.3898441280970045e-13
0.02810243,9.8855718020641247e-13
0.02815306,-5.7958866798264437e-13
0.0282037,-4.564701316876372e-12
0.02825433,-2.2298993970319007e-12
0.02830496,-4.2328033895608214e-12
0.0283556,3.0589185122654353e-13
0.02840623,-2.0924065696328334e-12
0.02845687,-1.9384357150958748e-12
0.0285075,3.2003145482861415e-12
0.02855814,-2.8414871513782188e-12
0.02860877,-6.8072347076373143e-12
0.02865941,3.9906667728375917e-13
0.02871005,-5.6409126502155619e-13
0.02876068,-6.0423792803879317e-12
0.02881132,-4.2035991273864014e-12
0.02886195,-4.4608163076462656e-12
0.02891259,-3.8054347526137726e-12
0.02896322,4.8298633676383182e-13
