Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.00268366,-0.0034998668841386381,0.0086278773572727018,0.0010030862573791783,0.0067948407752601078,0.0027420666024046284,0.0048507769747264742,0.00038019890054248769
0.00273429,-0.0097348033704043636,0.0083310158517580796,0.0021683314215823002,0.0028520644149660191,0.012447009992091154,0.0012147431844482621,0.00051670279232560819
0.00278492,-0.018879614860079445,0.0083143564283757864,0.0033554487656406533,0.00095607672267113229,0.023439842705654804,0.0018756996382943399,0.00068136988775575479
0.00283556,-0.030128607998089318,0.0085056999829477582,0.0043585004962861783,0.00033147808073639008,0.030633547045338522,0.0086673813672637594,0.00087344908627122822
0.00288619,-0.042387438258564059,0.0087673961480659451,0.0050350283771129194,0.00024121013492930943,0.031944937149972166,0.022016023285176985,0.0010910129079643063
0.00293683,-0.054506429040220301,0.0089268838638432522,0.0053392434998871556,0.00024262485226167181,0.028026223660740698,0.040226745518558385,0.0013314888955803885
0.00298746,-0.065527584754380863,0.0088181030056772389,0.0053143850768425519,0.00021483888568880305,0.021092097755525403,0.059463206208554116,0.0015927046013021035
0.0030381,-0.074770693877775421,0.0083247447074790096,0.0050589117859065579,0.00023460875135301149,0.013651243806797877,0.074668286517469581,0.0018732260710556932
0.00308874,-0.081931800501265348,0.0074131733574167181,0.004686224488004263,0.00041998337847061224,0.0075433762775485459,0.081241079561408219,0.0021717920087770516
0.00313937,-0.086975877833544324,0.0061420694793937608,0.0042944213275071452,0.00082023857625028733,0.0035499728830973645,0.076890199583763225,0.0024870286729113417
0.00319001,-0.090105066078871254,0.0046469276685208684,0.0039498682659947397,0.0013846608957552497,0.0015247299041549027,0.062639891211117335,0.0028154297510320347
0.00324064,-0.091716438545623627,0.0031052981153826369,0.0036830988777243846,0.0019932291944153298,0.00081311325467754237,0.042552355593823435,0.0031491945421297744
0.00329127,-0.092378739533694576,0.0016950160449931617,0.003493409674351747,0.002515534052403407,0.00069531182362731858,0.022362703303589471,0.0034746074280862121
0.00334191,-0.092782410084617184,0.00056038412475309504,0.0033568152727482341,0.0028600205814366111,0.0006749747363479112,0.0073749717594091728,0.0037711194336581145
0.00339254,-0.093643709885062765,-0.00020688067125595392,0.0032351263498375635,0.0029958628057786723,0.00056373756767662763,0.00064695785737820281,0.0040111456957709077
0.00344318,-0.095609627313221091,-0.00057135809433122632,0.0030863761266650947,0.0029468883909089887,0.00039974216030451285,0.0022055562603118702,0.0041610920224051506
0.00349381,-0.099249961853489332,-0.00054726068475519562,0.0028748488499988076,0.0027679300331716547,0.00030918797706787744,0.0094666786284629476,0.0041837979137721928
0.00354445,-0.10496423097182558,-0.00018945972673666645,0.0025801422619070357,0.0025202513359181395,0.00038998639536339842,0.018554061170032804,0.0040428298373700339
0.00359509,-0.11290864967934988,0.00041351690056051077,0.0022023949518814572,0.0022545967674406997,0.0006549216848186337,0.025811813177362187,0.0037106036237649258
0.00364572,-0.12298716106236644,0.0011452653984844378,0.0017627304007705846,0.0020033239165489956,0.001036925830209095,0.028944638288507664,0.0031795380066705287
0.00369636,-0.13482183091249172,0.0018681544824957516,0.0012978059846716029,0.0017801961900120529,0.0014302273189033053,0.027542114480811796,0.0024736126003702505
0.00374699,-0.14781849065872626,0.0024351967104362078,0.00085054151463131241,0.0015848041534388434,0.0017378850603353695,0.022655961716734761,0.0016611824125397703
0.00379762,-0.1611995641054626,0.0027093713902735361,0.00046033924083327784,0.0014082765984514036,0.0019025163556210252,0.016164838601998004,0.00086362814560318128
0.00384826,-0.17419706560958584,0.002587281447518405,0.00015566072701674152,0.0012384465743532375,0.0019152002501411634,0.0099360549166063496,0.0002534729739018843
0.00389889,-0.18617995690825265,0.0020192836986685772,-4.8742215246762602e-05,0.0010640928284424182,0.0018033702820342496,0.0051975063072674989,3.9904920882145308e-05
0.00394953,-0.19670879990246556,0.0010204033757694713,-0.00015110104964369744,0.00087803879847404712,0.0016102100576156984,0.0023349929205757013,0.00044143719884151382
0.00400016,-0.20559289299733707,-0.00033287140616739832,-0.00016046100405905705,0.00067885781700975883,0.0013786075559080713,0.0010532858346430506,0.0016504290062611439
0.0040508,-0.21276068822951005,-0.0019167544576700261,-9.4026010207754479e-05,0.00047100669986055736,0.0011409893575947316,0.00073555145589825782,0.0037918777824260132
0.00410143,-0.21835964284763995,-0.0035802057290593922,2.3091117354112627e-05,0.00026365191286237537,0.00091666894766559729,0.0007799782602091051,0.006876740943311685
0.00415207,-0.22274305478699744,-0.0051675737444953013,0.00015851868741203394,6.8148001576682983e-05,0.00071411335422191748,0.00079800895942756691,0.010759972743129918
0.00420271,-0.22646468991282306,-0.0065404141458124719,0.00027465722828178094,-0.00010482356672356511,0.00053483328007599947,0.00066315569601649413,0.015113552318079596
0.00425334,-0.23009661042930787,-0.0075948393507074153,0.00033348924473106144,-0.00024771745759943377,0.00037688236727018609,0.00042901411084941208,0.019430890469572467
0.00430397,-0.2341833408418636,-0.0082706447244590437,0.00030334208491735045,-0.0003572048485661103,0.00023721639579530498,0.00021938672620325261,0.023081709018507215
0.00435461,-0.23917449061113563,-0.0085530807243986984,0.00016557907061993816,-0.00043371004141621201,0.00011305583650120978,0.00013382729584259195,0.025414544318545246
0.00440524,-0.24536411529965274,-0.0084689904902463045,-8.1188669635283471e-05,-0.00048034940837634178,2.5541700706108307e-06,0.00019924415104263256,0.025894587419223555
0.00445588,-0.25283738348092238,-0.0080813804422259182,-0.00042146738059220583,-0.00050206561908524628,-9.4934615519888554e-05,0.0003733626054773111,0.024258417712724696
0.00450651,-0.26151668260881772,-0.0074838862454308505,-0.00082548306001011202,-0.00050530586490261887,-0.00017912042684198841,0.0005783830988436181,0.020637566112117211
0.00455715,-0.27122055975746739,-0.0067934253770216019,-0.0012556355641847952,-0.00049857373515647821,-0.00024935445223048128,0.00073907027726799706,0.015549313549237206
0.00460778,-0.28170937069225777,-0.0061402447253078862,-0.0016736621908534555,-0.0004924066622906503,-0.00030537246383286051,0.00080892939561488417,0.0098793458411231012
0.00465842,-0.29268536408354295,-0.0056535446350423476,-0.0020466941698418935,-0.00049846369571949893,-0.00034782788956899029,0.00077847525416827089,0.0047299825034302764
0.00470906,-0.30371477773991212,-0.0054443555186107235,-0.0023511534126648688,-0.00052747164428894463,-0.00037848082525683248,0.00066730566885664366,0.0011758149939091029
0.00475969,-0.31445370651981452,-0.0055894993027874752,-0.0025735701972780202,-0.0005867820910760962,-0.00039984525997065722,0.00050919785490623193,-5.6187195567592273e-06
0.00481032,-0.32460184784267232,-0.0061197549313098771,-0.0027094254252642952,-0.00067819702458925041,-0.00041469057273208973,0.00033938409936712437,0.0014497339649149129
0.00486096,-0.3340962634331886,-0.0070139300154732059,-0.0027615517275376414,-0.00079732442275564383,-0.00042570668702286886,0.00018479416475114811,0.0051865782323003524
0.00491159,-0.34284786946350798,-0.0082010872921429619,-0.0027395723461463026,-0.00093443243003827985,-0.00043554705617204265,6.0441149781387305e-05,0.010289483427770238
0.00496223,-0.35090762824019278,-0.0095714736851604497,-0.0026598456244162931,-0.0010766704855353596,-0.00044707653404239258,-2.9715123419710818e-05,0.015507637916052227
0.00501287,-0.35845483374026021,-0.010997430162141327,-0.0025457114494861896,-0.0012116104875641394,-0.00046363865254643079,-8.9267500470330716e-05,0.019586956296447813
0.0050635,-0.3657496089467554,-0.012356707318177458,-0.0024260644366385694,-0.0013301364766308786,-0.00048886102804220782,-0.00012523924008545211,0.021593815360472259
0.00511413,-0.373071421938517,-0.013549513260477842,-0.0023326941132523408,-0.0014277229251612397,-0.00052593368158928698,-0.00014501653849791258,0.021175424878594015
0.00516477,-0.38051900891694196,-0.014509098982807818,-0.0022957863614067068,-0.0015041185228326509,-0.00057661696619380472,-0.00015485959212755297,0.01856581538859799
0.00521541,-0.38825056690139154,-0.015204704615132385,-0.0023387911367033728,-0.0015619171168954533,-0.00064040846036170478,-0.00015926814372146532,0.014454459083752341
0.00526604,-0.3964139721755035,-0.01563876851351181,-0.0024734506788275839,-0.0016049609818840757,-0.00071424302290976137,-0.00016127353909746721,0.009804817444604182
0.00531667,-0.4050349317915804,-0.0158401233506908,-0.0026978711913915772,-0.0016373271923844296,-0.00079318388301180738,-0.00016280408617422374,0.0055669758136607048
0.00536731,-0.41407691646878259,-0.015855652543860305,-0.002996863157630222,-0.0016631336151660104,-0.0008714613187690136,-0.00016523805996929353,0.002430822655993781
0.00541794,-0.42343092035269814,-0.015741747479899797,-0.0033451192800890016,-0.0016870174056384793,-0.00094395073003214957,-0.00016964453665847568,0.00068903103066305835
0.00546858,-0.43295399478500501,-0.015557074595642036,-0.0037124524053808354,-0.001714819815086728,-0.0010073206985170401,-0.00017686250489740455,0.00022285927603470158
0.00551922,-0.44251662032902317,-0.015356138634285685,-0.0040698242070216105,-0.0017534712205301791,-0.0010605125147031911,-0.00018748083317544377,0.00062265058861159977
0.00556985,-0.45209229085132491,-0.015183684723818683,-0.0043942109679723524,-0.0018097650155714921,-0.0011044450268058968,-0.00020169880763309006,0.0013763276766051201
0.00562048,-0.46151156766138518,-0.015070708145743298,-0.0046710125978345592,-0.0018885418860133789,-0.0011410048958266604,-0.00021909701504274983,0.0020443586829823283
0.00567112,-0.47074559138310168,-0.015032684213555726,-0.0048935170399974897,-0.0019909152148968943,-0.0011718125133725098,-0.00023853291754493707,0.0023687029486725575
0.00572176,-0.47971877802846913,-0.015069822691264783,-0.0050608276244976024,-0.0021132364353330622,-0.0011976376918049077,-0.00025825475774477662,0.002298680830172985
0.00577239,-0.48844766096240083,-0.015169310717290649,-0.0051754464152379397,-0.0022473313685095054,-0.0012181328657595676,-0.00027609063547914754,0.0019177864200701769
0.00582302,-0.49708783566456755,-0.015308599362663142,-0.0052417163806222668,-0.0023822538842007421,-0.0012324435441200281,-0.00028977105289393503,0.0013840285825627559
0.00587366,-0.50585308503050441,-0.015459270230839071,-0.0052649595734346223,-0.0025063226739305338,-0.0012399235812021571,-0.00029728752207181652,0.00085392639916729467
0.00592429,-0.51482973798897458,-0.015590946246342514,-0.0052510008368636197,-0.0026095963617888849,-0.0012406557444161574,-0.00029715693242018043,0.00043373316616771007
