Physical Time (s),Etau_left Monitor (kg-m/s^3)
0.01225367,-1.5145928568696536e-06
0.0123043,-1.5134339204774223e-06
0.01235494,-1.5117574122011688e-06
0.01240558,-1.5096382650873542e-06
0.01245621,-1.5071594678712083e-06
0.01250684,-1.5044122652494705e-06
0.01255748,-1.5014937272284013e-06
0.01260811,-1.4985058791137787e-06
0.01265875,-1.4955532310587599e-06
0.01270939,-1.4927420819488592e-06
0.01276002,-1.4901783475526052e-06
0.01281065,-1.4879678973479902e-06
0.01286129,-1.4862138053896138e-06
0.01291192,-1.4850146722238209e-06
0.01296256,-1.4844603950753387e-06
0.01301319,-1.48462774559036e-06
0.01306383,-1.4855772527448705e-06
0.01311447,-1.4873496649197148e-06
0.0131651,-1.4899644888572647e-06
0.01321573,-1.4934187915943559e-06
0.01326637,-1.497688569522076e-06
0.013317,-1.502729744096581e-06
0.01336764,-1.5084809488065325e-06
0.01341828,-1.5148657016520405e-06
0.01346891,-1.5217954751024113e-06
0.01351954,-1.5291705045141632e-06
0.01357018,-1.5368872722687168e-06
0.01362081,-1.5448379974939533e-06
0.01367145,-1.5529144226467617e-06
0.01372209,-1.5610121379898508e-06
0.01377272,-1.569029150737079e-06
0.01382335,-1.5768692350343501e-06
0.01387399,-1.5844441000635661e-06
0.01392462,-1.5916693120394385e-06
0.01397526,-1.5984676084655675e-06
0.0140259,-1.6047658134782681e-06
0.01407653,-1.6104991201528768e-06
0.01412716,-1.6156063178785476e-06
0.0141778,-1.6200306345006754e-06
0.01422843,-1.623721873893997e-06
0.01427907,-1.626637563345632e-06
0.0143297,-1.6287415239041517e-06
0.01438034,-1.630010380763679e-06
0.01443098,-1.6304313241437534e-06
0.01448161,-1.6300093970951332e-06
0.01453224,-1.6287694943706392e-06
0.01458288,-1.6267542424104466e-06
0.01463351,-1.6240289764718415e-06
0.01468415,-1.6206812849684601e-06
0.01473479,-1.6168137375133705e-06
0.01478542,-1.6125463463465519e-06
0.01483605,-1.6080114009668025e-06
0.01488669,-1.6033464853429375e-06
0.01493732,-1.5986934973736301e-06
0.01498796,-1.5941935960670113e-06
0.0150386,-1.5899852831792484e-06
0.01508923,-1.5862045011754056e-06
0.01513986,-1.5829838458166953e-06
0.0151905,-1.5804534815175516e-06
0.01524113,-1.5787356141539074e-06
0.01529177,-1.5779380973567413e-06
0.0153424,-1.5781468990896578e-06
0.01539304,-1.5794212663474177e-06
0.01544368,-1.5817916571143174e-06
0.01549431,-1.5852608567883223e-06
0.01554494,-1.5898068242829499e-06
0.01559558,-1.5953842782245577e-06
0.01564621,-1.6019281794402283e-06
0.01569685,-1.6093542714521149e-06
0.01574748,-1.6175610006457381e-06
0.01579812,-1.6264327009476755e-06
0.01584875,-1.6358430023969914e-06
0.01589939,-1.6456565806918817e-06
0.01595002,-1.6557339827365975e-06
0.01600066,-1.6659350234743627e-06
0.0160513,-1.6761229352382096e-06
0.01610193,-1.6861679609599741e-06
0.01615257,-1.6959509741427271e-06
0.0162032,-1.7053667424515519e-06
0.01625384,-1.7143265241460926e-06
0.01630447,-1.7227599873456835e-06
0.0163551,-1.7306161624719176e-06
0.01640574,-1.7378630547422568e-06
0.01645637,-1.7444869474949287e-06
0.01650701,-1.7504907407525954e-06
0.01655764,-1.7558915736790037e-06
0.01660828,-1.7607180657459672e-06
0.01665891,-1.7650074112866922e-06
0.01670955,-1.7688025285101986e-06
0.01676019,-1.7721492809735724e-06
0.01681082,-1.7750940476771934e-06
0.01686146,-1.7776832218472464e-06
0.01691209,-1.7799591069653846e-06
0.01696272,-1.7819611024095794e-06
0.01701336,-1.7837250025092134e-06
0.01706399,-1.7852806121043632e-06
0.01711463,-1.7866521547622501e-06
0.01716526,-1.7878582511827333e-06
0.0172159,-1.7889126936397863e-06
0.01726653,-1.7898247266709034e-06
0.01731717,-1.7905997917278743e-06
0.01736781,-1.7912409664617059e-06
0.01741844,-1.7917519389906517e-06
0.01746908,-1.7921360265210339e-06
0.01751971,-1.7923973458259537e-06
0.01757035,-1.7925433004993081e-06
0.01762098,-1.7925834785695704e-06
0.01767161,-1.7925314286454235e-06
0.01772225,-1.7924043634865559e-06
0.01777288,-1.7922236409886119e-06
0.01782352,-1.7920144440062355e-06
0.01787415,-1.7918058160782733e-06
0.01792479,-1.7916298951702084e-06
0.01797542,-1.7915209025747209e-06
0.01802606,-1.7915146376681415e-06
0.0180767,-1.7916466449866732e-06
0.01812733,-1.7919518768095025e-06
0.01817797,-1.7924630718036218e-06
0.0182286,-1.7932101613702359e-06
0.01827924,-1.7942192686814532e-06
0.01832987,-1.7955115186309083e-06
0.0183805,-1.7971029873650276e-06
0.01843114,-1.7990044296127628e-06
0.01848177,-1.8012214894690296e-06
