Physical Time (s),ep_left Monitor (kg-m/s^3)
0.48169075,0.0085011647489673693
0.48174139,0.0082187787742372467
0.48179203,0.0079312309566476873
0.48184266,0.007648237814168457
0.48189329,0.007380610595853993
0.48194393,0.0071390055094814452
0.48199456,0.0069335799268527998
0.4820452,0.0067734972085024834
0.48209583,0.0066666220947351378
0.48214647,0.0066191581281701628
0.48219711,0.0066355448139900994
0.48224774,0.006718271577674002
0.48229838,0.006867719934269139
0.48234901,0.0070821610308449932
0.48239964,0.007357606146975575
0.48245028,0.0076876789928185373
0.48250091,0.0080634791806920587
0.48255155,0.0084736502388441468
0.48260219,0.0089047391771596273
0.48265282,0.0093410191270208338
0.48270346,0.009765999119418077
0.48275409,0.01016295345865674
0.48280472,0.010516485100966859
0.48285536,0.01081406123212387
0.48290599,0.011047088320207966
0.48295663,0.011212061498598266
0.48300726,0.011311141886070488
0.4830579,0.011351995845171978
0.48310854,0.011346979550488483
0.48315917,0.011311339474767427
0.4832098,0.011261599553166184
0.48326044,0.011213750845268914
0.48331107,0.011181412116714952
0.48336171,0.01117413554994446
0.48341234,0.0111965967771138
0.48346298,0.011248624242187418
0.48351362,0.011325388094737638
0.48356425,0.011418278886565563
0.48361488,0.011516136718231193
0.48366552,0.011606588418710494
0.48371615,0.011677252828099864
0.48376679,0.011716941896407602
0.48381742,0.011716331647162686
0.48386806,0.011668432777542662
0.4839187,0.01156886591521915
0.48396933,0.011415715484397983
0.48401996,0.011209234098302904
0.4840706,0.010951509542197781
0.48412123,0.010646163674367555
0.48417187,0.010298271769728775
0.4842225,0.0099138057602673677
0.48427314,0.0094994283033341571
0.48432378,0.0090631228160744422
0.48437441,0.0086137401278275488
0.48442504,0.0081611415600561996
0.48447568,0.0077164348825590106
0.48452631,0.0072908782750327871
0.48457695,0.0068964347717043652
0.48462758,0.006545927637425058
0.48467822,0.0062516818432589221
0.48472886,0.0060260432249801075
0.48477949,0.0058801883780026272
0.48483013,0.0058239996136999275
0.48488076,0.0058654290887058631
0.48493139,0.0060099450229966298
0.48498203,0.0062599463918515336
0.48503266,0.0066141177676380244
0.4850833,0.007067082888874871
0.48513394,0.007608847056401042
0.48518457,0.0082244399021561589
0.48523521,0.0088943329148080934
0.48528584,0.0095951034842664193
0.48533647,0.010299328464907864
0.48538711,0.010978895181922771
0.48543774,0.011605954152598902
0.48548838,0.012155287680071156
0.48553901,0.012605876062332912
0.48558965,0.012942997909884978
0.48564029,0.013158882885304176
0.48569092,0.013253391280724438
0.48574155,0.013233462956687383
0.48579219,0.013112007386995524
0.48584282,0.0129065810359889
0.48589346,0.012636900629263327
0.48594409,0.012323218176020773
0.48599473,0.011985473438386685
0.48604537,0.011641208829720594
0.486096,0.01130506436826105
0.48614663,0.010988147272459309
0.48619727,0.010697781829466081
0.4862479,0.010438424412816578
0.48629854,0.010211526425542792
0.48634917,0.010016063766327129
0.48639981,0.0098492689146812834
0.48645045,0.0097064713305672345
0.48650108,0.0095800087554529807
0.48655171,0.0094645619925736689
0.48660235,0.0093534448858175641
0.48665298,0.0092390357820122671
0.48670362,0.0091137065256418504
0.48675425,0.0089706891500418856
0.48680489,0.0088046915140589516
0.48685553,0.0086124675373030739
0.48690616,0.0083931886550804146
0.48695679,0.0081484016457048121
0.48700743,0.0078823961789766701
0.48705806,0.0076015604575737873
0.4871087,0.0073144456285867358
0.48715933,0.0070307388479211629
0.48720997,0.0067610426961620925
0.48726061,0.0065161401690239972
