Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.97933154,0.00747498776282861,0.007885783409111901,0.0080760176600048611,0.0082354513338230816,0.0083239756064330331,0.0083965998774509897,0.0084817011534254229
0.97938217,0.007457678678091717,0.0078643372925842839,0.008054621219343366,0.0082147981708835249,0.0083030125091653924,0.0083755412342903564,0.0084606332862674372
0.9794328,0.0074538201395484283,0.0078547492827216268,0.0080466413574927769,0.0082076510820788019,0.0082956151626953183,0.0083680496721172913,0.0084531326274117809
0.97948344,0.0074637209076441622,0.0078572450329141615,0.0080521175305772654,0.0082140458645790487,0.0083018219915057326,0.0083741638400947893,0.0084592378640943305
0.97953408,0.0074872866586729358,0.0078723890756099736,0.0080707754243958107,0.0082337132495109884,0.0083213656436330746,0.0083936169472804932,0.0084786821275166045
0.97958471,0.0075241934284306089,0.0079009510672745087,0.0081023356968398692,0.0082663570251430181,0.0083539506447408169,0.0084261139071246226,0.008511170273097151
0.97963534,0.0075738425946534531,0.0079429624072070975,0.0081462247455207516,0.0083113773710096796,0.0083989742621394664,0.0084710523520754814,0.0085560998556809837
0.97968598,0.0076355332812016565,0.0079977571364093277,0.0082017836442246743,0.008368065844062262,0.0084557242008263898,0.0085277205397120068,0.0086127590680828234
0.97973661,0.0077084261816223933,0.0080641996329270573,0.0082681951719779136,0.0084355473223112418,0.0085233161551707178,0.008595234900595038,0.0086802642545376289
0.97978725,0.0077915729294255488,0.0081410579295586108,0.0083445679169324178,0.0085128679880433055,0.0086007865611942187,0.0086726321396010473,0.0087576519981718941
0.97983789,0.0078833616580411825,0.0082265494215615735,0.0084293886194891452,0.0085984601751465072,0.0086865560213821649,0.0087583332219565591,0.008843343216287148
0.97988852,0.0079817062041362755,0.0083185364480536771,0.0085207035108387022,0.0086903443073784153,0.0087786248084811003,0.0088503384010903182,0.0089353381091992444
0.97993915,0.0080850268406620039,0.0084154375661744021,0.0086170413718043362,0.0087870545566249517,0.0088754892733242836,0.0089471440467915817,0.0090321330740020817
0.97998979,0.0081921582767351814,0.0085160959044995113,0.0087173255007156648,0.0088875163528604108,0.0089760349959451986,0.0090476357116487348,0.0091326136480802591
0.98004042,0.0083035503888084193,0.0086209493587683875,0.0088220900609418795,0.0089922789778794365,0.009080760111749445,0.0091523112848775224,0.0092372776895230293
0.98009106,0.0084203686738955376,0.0087312100204844558,0.008932608343153476,0.0091026531025246021,0.0091909377516049186,0.0092624438623246097,0.009347398402085207
0.98014169,0.0085434631630133973,0.008847885716951288,0.0090499354172503821,0.0092197173338915157,0.0093076604316613045,0.0093791257922424473,0.0094640681726787211
