Physical Time (s),etp_left Monitor (kg-m/s^3)
0.00359509,0.0042859617077634212
0.00364572,0.0039468830101801267
0.00369636,0.0035859360500674706
0.00374699,0.0032524978177404947
0.00379762,0.0029899134090745003
0.00384826,0.0028279941392657416
0.00389889,0.002774188499329853
0.00394953,0.0028199152675870216
0.00400016,0.0029600120775064203
0.0040508,0.0031714687094591939
0.00410143,0.0034199704409366284
0.00415207,0.0036617841360739121
0.00420271,0.0038506320242005475
0.00425334,0.0039496380360961201
0.00430397,0.0039385889290700958
0.00435461,0.0038169040762109727
0.00440524,0.0036080737537854115
0.00445588,0.0033426576100907624
0.00450651,0.0030579586210938872
0.00455715,0.0027935455278206831
0.00460778,0.002584250958192375
0.00465842,0.0024484885936534098
0.00470906,0.0024008920215371115
0.00475969,0.0024480324441393904
0.00481032,0.0025856695294169192
0.00486096,0.0027971581193596017
0.00491159,0.0030512103080713102
0.00496223,0.0033010300857735948
0.00501287,0.0034868912132702788
0.0050635,0.0035465612691324526
0.00511413,0.0034256348204521002
0.00516477,0.0030877424754206183
0.00521541,0.0025217146279883007
0.00526604,0.0017431470839572088
0.00531667,0.00079029394580761199
0.00536731,-0.00028433920716954719
0.00541794,-0.001423165674258466
0.00546858,-0.0025715393860481352
0.00551922,-0.0036834121014614708
0.00556985,-0.0047214755378050047
0.00562048,-0.0056571767866225023
0.00567112,-0.0064687448804328683
0.00572176,-0.0071391157575161649
0.00577239,-0.0076545237677368653
0.00582302,-0.0080041456108392722
0.00587366,-0.0081795607080850097
0.00592429,-0.0081743764432386096
0.00597493,-0.0079811393315548512
0.00602557,-0.0075899433122910151
0.0060762,-0.0069888084873783148
0.00612683,-0.006164839339978908
0.00617747,-0.0051082268124063033
0.00622811,-0.0038163376204742791
0.00627874,-0.0023037836929622247
0.00632937,-0.00059201464662564493
0.00638001,0.0012770960838745786
0.00643064,0.0032441204253094518
0.00648128,0.0052345102887105255
0.00653192,0.0071632301423011678
0.00658255,0.0089424865758375074
0.00663318,0.010489267805677542
0.00668382,0.01173484225418138
0.00673445,0.012631720510685937
0.00678509,0.013159757173040486
0.00683572,0.013329325358382372
0.00688636,0.013180239065391317
0.00693699,0.012777075554318189
0.00698763,0.012200462443717308
0.00703827,0.011536065502873116
0.0070889,0.010861629281642486
0.00713953,0.010233950251435139
0.00719017,0.0096768171065138853
0.0072408,0.0091776156501269107
0.00729144,0.0086819184124413331
0.00734207,0.0081030050161763258
0.00739271,0.0073329174534006985
0.00744334,0.0062587461811003126
0.00749398,0.0047814981754014298
0.00754462,0.002836027937611028
0.00759525,0.00040752415354915298
0.00764588,-0.002457988228570406
0.00769652,-0.0056503111177524309
0.00774715,-0.0090025331881740511
0.00779779,-0.012304000940208518
0.00784842,-0.015318402266477129
0.00789906,-0.017816615118915032
0.00794969,-0.019601044053055586
0.00800033,-0.02052855554220407
0.00805097,-0.020521821882702559
0.0081016,-0.01962399922205102
0.00815223,-0.017917885673493769
0.00820287,-0.015533250936369994
0.0082535,-0.012649326793384496
0.00830414,-0.0094662672034500923
0.00835478,-0.0061807311147050008
0.00840541,-0.0029647894887576817
0.00845605,4.7062956948694092e-05
0.00850668,0.0027648640433269563
0.00855731,0.0051365811637725826
0.00860795,0.0071440002112626959
0.00865858,0.0087942966276662697
0.00870922,0.010112898873060687
0.00875986,0.01112738655107042
0.00881049,0.011859551687445322
0.00886112,0.012327956052657327
0.00891176,0.01254858110229224
0.00896239,0.012537436224720758
0.00901303,0.012314042700166093
0.00906367,0.011903647031001274
0.0091143,0.011337808928847649
0.00916493,0.010652629139908668
0.00921557,0.009887800810934962
0.0092662,0.0090820107793193969
0.00931684,0.0082699930396867433
0.00936748,0.0074798796966424339
0.00941811,0.0067347498217507438
0.00946875,0.0060371566352493723
0.00951938,0.0053993459275922563
0.00957001,0.0048231195520477468
0.00962065,0.004306559229412448
0.00967128,0.0038453575748431355
0.00972192,0.0034345800004344732
0.00977256,0.0030699298669544209
0.00982319,0.0027454488705331804
0.00987382,0.0024567082986520702
0.00992446,0.0022025226066928185
0.00997509,0.0019813388741418705
0.01002573,0.0017914892389703815
0.01007637,0.0016315109010386006
