Physical Time (s),aphi_alt_flux_right Monitor (kg-m/s^3): right_cv1,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv2,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv3,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv4,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv5,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv6,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.00156968,0.17148539940971794,0.020353574718270526,0.0027654661473516013,0.0015234195846310287,0.00016328548046869997,-1.2111051398556868e-05,1.4430768269157485e-05
0.00162032,0.18239555963822363,0.020752598374664991,0.0034489387110405926,0.0016794568875160864,0.00030861142265678628,-6.890648220823226e-06,2.6156499626706491e-05
0.00167096,0.19390062961011745,0.021081113333084704,0.0044121164042472561,0.001821407941414313,0.00046505066554359056,-9.3867761014540284e-07,3.8481848456835822e-05
0.00172159,0.20602371765214914,0.021331637780923014,0.0053526022910499373,0.0018896676170225262,0.00061114839971860603,5.8177135430770443e-06,5.0530426487799441e-05
0.00177222,0.21872484580199458,0.021511241919722784,0.0061402994833318625,0.0018403701645212157,0.00073141061139993268,1.6659547421593377e-05,6.4345900850173396e-05
0.00182286,0.23184146448824416,0.021642140925259252,0.0067136754932026624,0.001635750749391752,0.00080313689303382427,2.248942339570342e-05,6.967287624407088e-05
0.00187349,0.24513101860293002,0.02177330765313986,0.0070692395085603498,0.0013231749491643256,0.00083983632589602463,2.5518080812360183e-05,6.7673086642992125e-05
0.00192413,0.2582721981518577,0.021930420364068219,0.0072335915755487095,0.0010590354316481175,0.00083828499069119088,2.6049795586994946e-05,5.7683101581545987e-05
0.00197476,0.27088633707556731,0.022124129125941791,0.0072463420562396807,0.00094050023415872695,0.00080793994551566091,2.3620078176912996e-05,3.8665146687608718e-05
0.0020254,0.2825740986145262,0.022361790117786457,0.0071497961672886906,0.0011694928461631004,0.00077260357600879097,1.9981428402852754e-05,1.3381252727750443e-05
0.00207603,0.29298060621898148,0.022643102534082901,0.0069574577321719899,0.0016510004333703575,0.00074392648842554524,2.3845836973835487e-05,-8.1932628950042493e-06
0.00212667,0.3018050622349952,0.022964047920167326,0.0067202947236906941,0.0022360740576557545,0.00070510980583457896,3.5321272659696039e-05,-2.4770969807151898e-05
0.00217731,0.30882185723734074,0.023316163650580639,0.0064473631202518183,0.0027455016732489414,0.0006429552004936363,4.8262872291343533e-05,-4.183521452755171e-05
0.00222794,0.31390779248793482,0.023697896626683396,0.0061665127434864971,0.0031102629845596989,0.00051587336192594584,5.8629094143075887e-05,-6.1933874237097094e-05
0.00227858,0.31705144494757087,0.024116241519153973,0.0059103058854290246,0.0033271776502977902,0.00034924263733479837,7.5242474049155936e-05,-7.5045292515930068e-05
0.00232921,0.31833709816117767,0.024581302601141299,0.0057088003126999839,0.0034212820461595045,0.00021093402706560808,9.8089499907178088e-05,-7.9128231002004816e-05
0.00237984,0.31795671535188669,0.025099872810456919,0.005595808286312425,0.0034456261096776986,0.00011594075965700283,0.00013631685762196421,-6.5346503063174038e-05
0.00243048,0.31612341696428398,0.025647104615484723,0.0055730435502534242,0.0034308589897284929,0.00026790448116494482,0.00017527894151048103,-4.9627801995175461e-05
