Physical Time (s),ep_bot Monitor (kg-m/s^3): bot_cv1,ep_bot Monitor (kg-m/s^3): bot_cv2,ep_bot Monitor (kg-m/s^3): bot_cv3,ep_bot Monitor (kg-m/s^3): bot_cv4,ep_bot Monitor (kg-m/s^3): bot_cv5,ep_bot Monitor (kg-m/s^3): bot_cv6,ep_bot Monitor (kg-m/s^3): bot_cv7
0.25677008,0.015002802173990261,0.018457086301661978,0.023617303651126638,0.027669201594591283,0.028353945027212696,0.026915514985719504,0.027537695003590906
0.25682072,0.014098623620711202,0.017325478601875239,0.02218423621299128,0.025930735951899174,0.02640273479190846,0.024914866322262409,0.025509390046874105
0.25687135,0.013157927518545991,0.016151009388151776,0.02070163780409888,0.024129239329734709,0.024357710567254748,0.022794135120698455,0.023359541021654759
0.25692199,0.012196193340321515,0.014951261562000837,0.0191896722600867,0.02229109186902448,0.022251861374278609,0.020587207682477252,0.021122200741636874
0.25697263,0.011226961873049286,0.013741483113946355,0.017665475613235733,0.020439037499862645,0.020115330503654674,0.018326303406119862,0.018829900890556577
0.25702326,0.010261082228173669,0.012533779358178905,0.016142313869701903,0.018591111136228626,0.017973854609803764,0.01604028233427806,0.016511973941569748
0.25707389,0.009307158584335614,0.011337628112196312,0.014630340715664193,0.016761440189274862,0.015849347883077954,0.013755200275591847,0.014195110389661862
0.25712453,0.0083713297947663502,0.010159734494001316,0.013136547683312039,0.014960090274747291,0.013759282982404048,0.011493488235231863,0.011902454386161269
0.25717516,0.0074575778114154487,0.0090044729539958592,0.011665366040069765,0.013193711717986376,0.011717058120280059,0.0092741161827999911,0.0096538362392317219
0.2572258,0.0065680050816703155,0.0078742024709171129,0.010219069957736285,0.011465913467325312,0.0097320060725794143,0.0071121780971743279,0.007465228093036385
0.25727643,0.005704015181955728,0.0067707629565364903,0.0087996668184809057,0.0097794913380345669,0.0078116637703694938,0.0050210418842991881,0.0053508915892233905
0.25732707,0.0048670232510597778,0.0056963674009937052,0.0074100562435861113,0.0081378193734540152,0.0059631988392397431,0.0030135997925734319,0.0033246525470706236
0.25737771,0.0040587261170080676,0.0046538678224171039,0.0060543621269069014,0.0065452409610111777,0.0041935853104803642,0.0011020029936898313,0.0013994994597906645
0.25742834,0.003280402330947973,0.0036458213435035325,0.0047367780083155875,0.0050058660091055335,0.0025082549495062906,-0.00070401304859190293,-0.00041411443199053464
0.25747897,0.0025336820637350487,0.0026753480515285455,0.003462697850773455,0.0035249942232950483,0.00091273517132614774,-0.0023955998366422741,-0.0021068213682100176
0.25752961,0.001820155649305733,0.0017456802491738162,0.0022380679893998232,0.0021085884270135515,-0.00058776883381818487,-0.003965352096163605,-0.0036708974321500907
0.25758024,0.0011416270246897191,0.00086042529500814752,0.0010697096560981687,0.00076381491793088086,-0.0019876772242181781,-0.0054065487918916423,-0.0050995337015706356
0.25763088,0.00049914198653935762,2.2155324664237274e-05,-3.6738430021956181e-05,-0.00050326592553903964,-0.0032832871208710234,-0.0067155092954102359,-0.0063892377916427746
0.25768151,-0.00010637704007762303,-0.00076670968894065308,-0.0010757608052487746,-0.0016863682808451049,-0.0044711264919539652,-0.0078897904260915482,-0.0075380507978528057
0.25773215,-0.00067481617686401428,-0.0015048426402180641,-0.0020433955396473801,-0.0027806449690443583,-0.005549477967487948,-0.0089296402889317075,-0.0085469684474914348
0.25778279,-0.0012070433690165199,-0.0021922672916456511,-0.0029377018421774034,-0.0037833121920830192,-0.0065187628041431279,-0.0098382235094227975,-0.0094201225000844924
0.25783342,-0.0017045606578644235,-0.0028297781543786364,-0.0037582002178771687,-0.0046931586361803387,-0.0073809320167153884,-0.010620841787622872,-0.010164057063081027
0.25788406,-0.0021686263039928056,-0.0034181966238061683,-0.004505030710364356,-0.0055099014777220626,-0.008138763881620166,-0.011284095710127317,-0.010786762714172674
0.25793469,-0.0026012135737528428,-0.0039594639872924855,-0.005180237723770971,-0.0062356946167978055,-0.0087972510265267138,-0.011837025564317975,-0.011298756257581821
0.25798532,-0.0030040154592390232,-0.0044555474540063844,-0.0057864827265722216,-0.0068739183674672195,-0.0093624232654121505,-0.012289777449628732,-0.011711691205353036
0.25803596,-0.0033784007448314024,-0.0049084654629829357,-0.0063270499668135281,-0.0074292388646101139,-0.0098414895961672771,-0.012653607786099972,-0.01203825059726904
0.25808659,-0.0037246427223163797,-0.0053193279151535844,-0.0068047052315888847,-0.0079064252401413373,-0.010241675646693978,-0.01293960370742412,-0.012290921271139649
0.25813723,-0.004042424350719373,-0.0056888574428136419,-0.0072222529496294048,-0.0083108488945765023,-0.010570723264944286,-0.013159017626231395,-0.012482099286250032
0.25818787,-0.004330443656316612,-0.0060168002219336998,-0.0075818255109803608,-0.008647594977857118,-0.010835963113464174,-0.013322279286858515,-0.01262316704482867
0.2582385,-0.0045864755005457572,-0.0063018712962179925,-0.0078845830735019065,-0.0089209961867018385,-0.011043885916514479,-0.013438526298176101,-0.012723986017748521
0.25828914,-0.0048076032662954325,-0.0065419379457611077,-0.0081307674375821724,-0.0091344947714354294,-0.011199934901960799,-0.013515304667512301,-0.0127924025054004
0.25833977,-0.0049903549442613174,-0.0067341008342590419,-0.0083196215660743672,-0.0092903985883696829,-0.0113082514130793,-0.013558359707034163,-0.012834181926275553
0.2583904,-0.0051310995119088088,-0.006875089465625317,-0.0084496706480384834,-0.0093899969311238337,-0.011371703411898391,-0.013571640146419043,-0.012853024898116669
0.25844104,-0.0052262031868646804,-0.0069614352036516877,-0.0085188349612269863,-0.0094335567350728976,-0.011391841092148757,-0.013557317161655454,-0.01285056821035508
0.25849167,-0.0052723799622768231,-0.0069898900522427591,-0.0085248487400051819,-0.0094206525724847036,-0.011369157261400259,-0.013516055172440929,-0.012826699481849162
0.25854231,-0.005266918806989547,-0.0069577299350137723,-0.0084655985627084505,-0.0093504047519902926,-0.011303290341662463,-0.013447293292677336,-0.01277987582614943
0.25859295,-0.0052078828771574513,-0.0068630177458217844,-0.0083394402259350745,-0.0092217844740760026,-0.011193251350411167,-0.013349463322459953,-0.012707405214155558
0.25864358,-0.0050942681923436765,-0.006704840319923684,-0.0081455160733016046,-0.0090338694800763918,-0.011037644994529651,-0.013220236877215829,-0.012605699272429025
0.25869422,-0.0049262176355615358,-0.0064835842835781303,-0.0078841168277640223,-0.0087862490859624033,-0.010835102173132855,-0.013056995658878662,-0.012470857700104343
0.25874485,-0.0047049142246384963,-0.006200798915616413,-0.0075565632249715974,-0.008478996133301081,-0.010584321638981617,-0.012856931921473446,-0.012298796612107749
0.25879548,-0.0044325464732795803,-0.0058591603962105292,-0.0071652410405439182,-0.0081128292316879486,-0.01028428835758689,-0.012617341406211888,-0.012085607913863726
0.25884612,-0.0041124725310236485,-0.0054626510487763499,-0.0067138530796318572,-0.0076895043368289378,-0.0099346521082911768,-0.012335996795684867,-0.011827943879367701
0.25889675,-0.0037492636173364763,-0.0050165946082630242,-0.0062074997452368635,-0.007212052862999559,-0.0095360930551549941,-0.012011590927506116,-0.01152352681859985
0.25894739,-0.0033483657396436621,-0.0045272094407672447,-0.0056521720313128616,-0.0066843897854314436,-0.0090900089708644376,-0.011643501533254389,-0.011170933281620592
0.25899803,-0.0029163686706208257,-0.0040019274235692619,-0.0050551287265665533,-0.0061117695050396503,-0.0085990303377387143,-0.011232307278975499,-0.010770143378743879
0.25904866,-0.0024604142484433555,-0.0034486476965496938,-0.00442404271483131,-0.0055000462053406305,-0.0080665106217311169,-0.010779384085646118,-0.010322160435028441
0.2590993,-0.0019881617785096587,-0.0028757599214594637,-0.0037669782539448086,-0.0048555986894446377,-0.0074964782792382653,-0.01028693346369978,-0.0098290063830455115
0.25914993,-0.001507595438793486,-0.0022919183912604368,-0.0030921808754447947,-0.0041851048860874476,-0.0068934956219158725,-0.0097578142119153846,-0.0092936083147291144
0.25920056,-0.0010264616777122537,-0.0017054096425049678,-0.002407383709619096,-0.0034948398696731872,-0.0062620977622707278,-0.0091951254588995418,-0.0087193019249464411
0.2592512,-0.0005524194062653759,-0.0011244647383654781,-0.0017202291767772577,-0.002791054984671945,-0.0056071159282332821,-0.0086024741522994028,-0.0081101125778093256
0.25930183,-9.2602291214019864e-05,-0.00055679582996759455,-0.0010378048744343858,-0.002079514072285276,-0.0049332856015527216,-0.0079836649349354343,-0.0074703515897080481
0.25935247,0.00034678866177739243,-9.2779299152276925e-06,-0.00036644230035875065,-0.0013652942806211404,-0.0042449320539710497,-0.0073423858992810662,-0.0068043403661866408
0.2594031,0.00076041996697654303,0.00051186108836306465,0.00028785985513848624,-0.00065329154022857083,-0.0035464297085770567,-0.0066826200552819372,-0.0061167494271806185
0.25945374,0.0011442802207546183,0.0010014946624199294,0.00091976220053097742,5.2080585971603951e-05,-0.0028417843619492388,-0.0060082084089411519,-0.0054121271620518954
0.25950438,0.0014960372827805075,0.001455979974652041,0.0015248612324284608,0.00074711121638545422,-0.0021343555429502686,-0.0053225619505820349,-0.0046945692280854281
0.25955501,0.0018149618696461365,0.001873067748428944,0.0020993916176091339,0.0014283751604719903,-0.001427200372990804,-0.0046288903830452042,-0.0039679363114406728
0.25960564,0.0021018966755660721,0.0022519540356335443,0.0026401684624308133,0.0020924812102612747,-0.00072338789810211203,-0.0039305005363100025,-0.0032361057460783575
0.25965628,0.0023594533984344292,0.0025937134793019819,0.0031452426570668336,0.0027366837398420324,-2.545286687273161e-05,-0.0032302285355127851,-0.0025023844069460037
0.25970691,0.0025913485831673901,0.0029007077348672094,0.0036133088048167822,0.0033580530767978933,0.00066371826689495556,-0.0025312731271904124,-0.0017703472376513485
0.25975755,0.0028022329684983171,0.0031767220931111792,0.0040442969639109747,0.0039540591776191696,0.0013413920689085484,-0.0018366720878205392,-0.0010433010745114577
0.25980818,0.0029970982178571738,0.003426515201580699,0.0044392339260526563,0.0045223412393540479,0.0020046452617494448,-0.0011496542826279054,-0.0003246424013935989
0.25985882,0.003180863601984895,0.0036555503056839352,0.0048004885391276716,0.0050611307721215425,0.0026507375715568906,-0.00047324762331975908,0.00038254060758090682
0.25990946,0.003358015503881416,0.0038696535457146764,0.0051318284514764341,0.0055695463233582741,0.0032773118240068768,0.00018989938078132519,0.0010756394770998984
0.25996009,0.0035323592932097816,0.0040746233339067619,0.0054383091295553965,0.0060478510510387972,0.0038826150284004832,0.00083772356614677211,0.0017527192469607212
0.26001072,0.0037069183108964037,0.004275930172119977,0.0057260662544883862,0.0064976628374384289,0.0044656850232415272,0.0014688934420408256,0.0024126164036637836
0.26006136,0.0038839725770307195,0.0044784997682794621,0.0060019846492000454,0.0069220243777812366,0.0050264470241276164,0.0020828567331204108,0.0030549044630479396
0.26011199,0.0040652026885933321,0.0046865602965686232,0.0062732339521512732,0.007325301212020882,0.0055657572758698731,0.0026798431493991384,0.003679932606867812
0.26016263,0.0042519394965686843,0.0049036066993449158,0.0065468458764274167,0.007713003536107611,0.0060854120539266315,0.0032608105022948661,0.0042887316578070992
0.26021326,0.0044454253285521909,0.0051324858670026147,0.0068293903506310471,0.0080916008052507593,0.006588294805406303,0.0038275809597785645,0.0048831531894809113
0.2602639,0.0046469303186615872,0.0053754760683994022,0.0071266582280287392,0.008468049657282508,0.0070780637926594614,0.0043824995245739153,0.0054654587460976223
0.26031454,0.004857568758706814,0.0056341176430390449,0.0074431662899326076,0.0088490394983646754,0.0075586414420371183,0.0049278877071398499,0.006037779477944441
0.26036517,0.0050790663367368165,0.00591033288372113,0.0077832916492656581,0.0092420600755611544,0.0080357841884544333,0.0054678503711227157,0.0066039651081041002
0.26041581,0.0053132580316389757,0.0062059707180999908,0.0081507070590634383,0.009654262737977962,0.008515756643637816,0.0060068731272786193,0.00716813107190949
0.26046644,0.0055621898174101243,0.0065231086485371759,0.0085488343349449571,0.010092673817275091,0.0090056608553765877,0.0065503091117600429,0.0077351593029125008
0.26051707,0.0058282048668581903,0.0068642695422642067,0.0089812258290211423,0.010564303642182454,0.0095134664443780707,0.0071044726291027843,0.0083108125695565624
0.26056771,0.0061140035479402893,0.0072326889733674432,0.0094520749738806718,0.011076537641133782,0.010048352163846813,0.0076771634115505305,0.0089023016388044152
0.26061834,0.0064227979357556675,0.0076324518007720357,0.0099665092785364458,0.01163734788320895,0.010620662800222239,0.0082776570023895581,0.0095182845957963655
0.26066898,0.0067582026028241184,0.0080683162305703465,0.010530468941722789,0.012255139504805647,0.011241592017833944,0.0089165269222686912,0.010168720657915532
0.26071962,0.0071248247076464311,0.0085463921457064919,0.011151642367297075,0.012939843632825526,0.011924113413627646,0.0096066806897229587,0.010865985203825973
0.26077025,0.0075270065285723284,0.0090724093631787597,0.011837210995446972,0.01370056519123718,0.012680520597191398,0.010360847981893528,0.011622311442503523
0.26082089,0.0079694172198689142,0.009652388410523835,0.012594695301253671,0.014546608442263905,0.013523315601129146,0.011192523507447483,0.012450841153530665
