Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00248111,6.0413174174078199e-07,4.0768193748173362e-07,-4.4818484520711685e-08,-1.9185024268790779e-07,-2.5223168233637313e-07,-1.5793657585924278e-07,-1.5944855256126606e-07
0.00253175,7.7119467363351116e-07,5.4896295073768229e-07,1.0282309911177424e-08,-1.2526856390237086e-07,-1.7228270280782529e-07,-1.1077999948846615e-07,-1.0819450780383851e-07
0.00258238,9.28108897532453e-07,6.917877215602671e-07,5.7782510382434507e-08,-7.8228799552657199e-08,-1.1129528762426164e-07,-8.2152194290300051e-08,-7.6255829163102738e-08
0.00263302,1.0606367609257589e-06,8.2248617343412439e-07,9.635734347457212e-08,-5.1703823987407659e-08,-7.3199958397917709e-08,-7.0248326275749087e-08,-6.3560962555174792e-08
0.00268366,1.1558733278998123e-06,9.2683571156204618e-07,1.2278980326400718e-07,-4.5643119146692516e-08,-6.0777120262072762e-08,-7.3755911660588803e-08,-6.9824524661972208e-08
0.00273429,1.2165259497293791e-06,1.0034401565158858e-06,1.4167147006005576e-07,-5.3650823491275008e-08,-6.7241423822101048e-08,-8.6362742814718833e-08,-8.9465085854301474e-08
0.00278492,1.2230121917928835e-06,1.0281055657001986e-06,1.3546592583971572e-07,-8.8349303290212949e-08,-1.0461671475618473e-07,-1.2049072176049134e-07,-1.3209080712910897e-07
0.00283556,1.19015403742682e-06,1.0113975343895554e-06,1.1128066231753592e-07,-1.3934314490318943e-07,-1.6135604249325582e-07,-1.6907000464055006e-07,-1.8857102639690494e-07
0.00288619,1.1255736205780416e-06,9.5953180916137202e-07,7.1105076345865613e-08,-2.0097306975018256e-07,-2.2993629550046345e-07,-2.2949289455995616e-07,-2.52031691481769e-07
0.00293683,1.0301758172786931e-06,8.7461162718684424e-07,1.4089592745113541e-08,-2.6960607981034685e-07,-3.0471193364074877e-07,-2.9922056649669789e-07,-3.1370620466617618e-07
0.00298746,9.3224123754044675e-07,7.7965201933819637e-07,-4.8965044858702483e-08,-3.3853953203357433e-07,-3.7915975612572534e-07,-3.7410503244066644e-07,-3.7538948318988468e-07
0.0030381,8.4308204789556615e-07,6.8606533801780043e-07,-1.1503197847257627e-07,-4.0690217760036502e-07,-4.5287616786601324e-07,-4.5190643494664678e-07,-4.391998526312845e-07
0.00308874,7.6248339933030265e-07,5.9497795837746298e-07,-1.8422405198857149e-07,-4.7457893833028103e-07,-5.2538553458049118e-07,-5.3003664606966937e-07,-5.025806838650309e-07
0.00313937,7.0363755653145515e-07,5.1828919506672021e-07,-2.526401193327125e-07,-5.4307929379220492e-07,-6.0010059222748723e-07,-6.0853783283298617e-07,-5.7488407042701643e-07
0.00319001,6.6803698180194782e-07,4.5867166379385756e-07,-3.1877460982729065e-07,-6.1316389016955482e-07,-6.7822311562768785e-07,-6.8727329213726409e-07,-6.5806307245029413e-07
0.00324064,6.3426821084630597e-07,4.025144914710832e-07,-3.854389976825554e-07,-6.8019916790815464e-07,-7.5063638156498877e-07,-7.6008608159809859e-07,-7.3194395937483679e-07
0.00329127,6.1293239981045361e-07,3.5924807676418566e-07,-4.4957764075581967e-07,-7.4696936653309517e-07,-8.2219622666763307e-07,-8.3044436783791488e-07,-8.0813514499002709e-07
0.00334191,6.0836699556379063e-07,3.3286740622623435e-07,-5.0966338210848789e-07,-8.1543475007272298e-07,-8.9618456143614594e-07,-9.0227140479195193e-07,-8.9316482014288668e-07
0.00339254,6.1702822943051285e-07,3.2147902688936993e-07,-5.6399669076630412e-07,-8.8353485075077632e-07,-9.7011468746517615e-07,-9.7498566669363599e-07,-9.8230436883294135e-07
0.00344318,6.2784452103688297e-07,3.1646847565423586e-07,-6.1390287196762206e-07,-9.500543005179121e-07,-1.0414991286380719e-06,-1.0473324803117608e-06,-1.0682062961508135e-06
0.00349381,6.3732989351096218e-07,3.1458907137168264e-07,-6.580323953863875e-07,-1.0126325533056223e-06,-1.1079900661679778e-06,-1.1165892691648921e-06,-1.1462579874255346e-06
0.00354445,6.4501565978531963e-07,3.1441813495469082e-07,-6.9515990696391509e-07,-1.0696494692545981e-06,-1.1684076128592605e-06,-1.1811267419868285e-06,-1.2147276101990667e-06
0.00359509,6.4133941704046388e-07,3.0875088862947322e-07,-7.2412466155105345e-07,-1.1150120845757784e-06,-1.2148953201743363e-06,-1.2310999790647302e-06,-1.2614559015955685e-06
0.00364572,6.3858067284762131e-07,3.051104892235449e-07,-7.4493901508718788e-07,-1.1529594510119209e-06,-1.2548275292153586e-06,-1.274382996285817e-06,-1.2992182086901533e-06
0.00369636,6.3096880733748228e-07,2.9959082734026196e-07,-7.5768382573900845e-07,-1.1797125268853801e-06,-1.2830484509705259e-06,-1.3045010896800874e-06,-1.3208537187726628e-06
0.00374699,6.1567241233878985e-07,2.9073032966702033e-07,-7.625830237573411e-07,-1.1926253480868716e-06,-1.2957643456490802e-06,-1.3163721623900687e-06,-1.3229693902020851e-06
0.00379762,5.95322579427868e-07,2.7959785662229122e-07,-7.6411926445318816e-07,-1.1976741993256131e-06,-1.2998386664679333e-06,-1.3174807611568727e-06,-1.3157575575969573e-06
0.00384826,5.7546863417707899e-07,2.7038385183985366e-07,-7.6378881159246891e-07,-1.1982549455822674e-06,-1.2995227155737258e-06,-1.3132141661712556e-06,-1.305968803747005e-06
0.00389889,5.5900525629127057e-07,2.655055897743799e-07,-7.6430474381852328e-07,-1.1990208558700615e-06,-1.3001917476666137e-06,-1.3101737808640921e-06,-1.3003231586288983e-06
0.00394953,5.4366170797995008e-07,2.6149957569206102e-07,-7.6757346414484417e-07,-1.2015034339344932e-06,-1.3027196432316028e-06,-1.3092426115692481e-06,-1.2995954642665876e-06
0.00400016,5.3366749577575407e-07,2.6039426203002051e-07,-7.7521708239249985e-07,-1.2103107776804791e-06,-1.3128834394662918e-06,-1.3176246314147514e-06,-1.3097720973900983e-06
0.0040508,5.2610822649631738e-07,2.5974987216358111e-07,-7.8741567703819397e-07,-1.2249067186312754e-06,-1.3292859313169216e-06,-1.3334147129653539e-06,-1.3285056168879926e-06
0.00410143,5.2111929807132218e-07,2.5911362994243605e-07,-8.0407631447999939e-07,-1.2461270271152263e-06,-1.3528983714042163e-06,-1.3578394101330959e-06,-1.3560894630113113e-06
0.00415207,5.1700910517849025e-07,2.5691993386481182e-07,-8.2407348176022215e-07,-1.2725403402873474e-06,-1.3818052872366482e-06,-1.3884187900691063e-06,-1.3897298881792936e-06
0.00420271,5.1480252733977518e-07,2.5357078769244484e-07,-8.455999972880814e-07,-1.3028627604556845e-06,-1.4149456070050972e-06,-1.4240090689112826e-06,-1.4275350135393971e-06
0.00425334,5.1552745784262324e-07,2.4952414712846878e-07,-8.6751012013991875e-07,-1.3366845006189305e-06,-1.4524129522226551e-06,-1.464863174681082e-06,-1.4689166298654334e-06
0.00430397,5.1624279155489238e-07,2.4278866653641866e-07,-8.8901447867570622e-07,-1.3720622028716313e-06,-1.4917533621761512e-06,-1.5078046894072767e-06,-1.511100743291614e-06
0.00435461,5.181119785136105e-07,2.3516498975529233e-07,-9.0753077301263479e-07,-1.4059968187491539e-06,-1.5300854443567706e-06,-1.5497225974566139e-06,-1.5511350303091906e-06
0.00440524,5.1986273052291113e-07,2.2689853009451481e-07,-9.2203433425873209e-07,-1.436250939120218e-06,-1.5648546738527223e-06,-1.5876460664223144e-06,-1.5866653129335567e-06
0.00445588,5.2029413811465166e-07,2.1607040602763804e-07,-9.323752948934924e-07,-1.4615627107379698e-06,-1.5945992822232852e-06,-1.6198437047120367e-06,-1.6165355211974456e-06
0.00450651,5.1855470431196214e-07,2.032004732223625e-07,-9.3861226783510252e-07,-1.4808404065168433e-06,-1.6179667087052199e-06,-1.6446687714754805e-06,-1.6396492521520768e-06
0.00455715,5.1427804092882844e-07,1.889161475853539e-07,-9.4122960460564e-07,-1.4937041580798907e-06,-1.634385906179072e-06,-1.66150399874205e-06,-1.6555920636150865e-06
0.00460778,5.0998472835463159e-07,1.7623293898785392e-07,-9.3861562855113919e-07,-1.4980736101287487e-06,-1.6416954977759531e-06,-1.6681967521490645e-06,-1.6623090892635043e-06
0.00465842,5.0188842038800159e-07,1.6141091312473814e-07,-9.3609152483954664e-07,-1.4992421546861456e-06,-1.6451830669264386e-06,-1.6701803894050995e-06,-1.6650352638792455e-06
0.00470906,4.9263067380335383e-07,1.4667258313120088e-07,-9.3331498311269843e-07,-1.4971457056114476e-06,-1.6449141822469672e-06,-1.6678003619679487e-06,-1.6637213071934714e-06
0.00475969,4.8434446147301548e-07,1.3462151115012785e-07,-9.300118208413341e-07,-1.4921056297242314e-06,-1.6412886246582641e-06,-1.6617550899871847e-06,-1.658522465532649e-06
0.00481032,4.7750439857234551e-07,1.243832041151882e-07,-9.2774579148107894e-07,-1.4863532502268196e-06,-1.6367143212136091e-06,-1.6547500203252922e-06,-1.6517502910928693e-06
0.00486096,4.72809425227317e-07,1.1577551722848638e-07,-9.2779772299146141e-07,-1.4819355316417236e-06,-1.633423433809426e-06,-1.6493843322768465e-06,-1.6458939614633209e-06
0.00491159,4.7097700906997032e-07,1.0899829901451556e-07,-9.3038871661247508e-07,-1.4798596048822327e-06,-1.6325131303657124e-06,-1.6469598923989441e-06,-1.6424275078763086e-06
0.00496223,4.7254628385510284e-07,1.04332506093498e-07,-9.3558062242999712e-07,-1.4810004388534418e-06,-1.6349965181292891e-06,-1.6487158000351905e-06,-1.6427524255985265e-06
0.00501287,4.771860343167014e-07,1.0158125735983404e-07,-9.4382069676722421e-07,-1.4863615739988667e-06,-1.6419804845516896e-06,-1.6559109873863383e-06,-1.6484532917212266e-06
0.0050635,4.833784138137248e-07,1.0015075357895505e-07,-9.5453380680485785e-07,-1.4952770219663973e-06,-1.6524854502130474e-06,-1.6671254632696197e-06,-1.6579419321986439e-06
0.00511413,4.838068782665314e-07,9.5313400222189735e-08,-9.6791399345613499e-07,-1.5056989396695248e-06,-1.6627352795949396e-06,-1.6764013834442711e-06,-1.6627719886997968e-06
0.00516477,4.9371248190955424e-07,9.9265154864167165e-08,-9.7904382719149903e-07,-1.5185703062327945e-06,-1.6770693204414131e-06,-1.6923249059460542e-06,-1.6769873955950414e-06
