Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.00177222,4.587587980454726e-05,-4.5912526209493426e-07,-7.0544905877329887e-08,1.8057312292964476e-06,-5.0442183492970399e-07,-4.1622728490657011e-08,-2.0998516858858775e-10
0.00182286,4.8751265648346414e-05,-2.1624371928248101e-07,2.6972536492724854e-07,2.892173198084575e-06,-7.0979450117488946e-07,-4.3385281470574965e-08,-3.1717414030074735e-10
0.00187349,5.1723741602524073e-05,1.0387292940277139e-07,3.5623372362115368e-07,3.1552003034191041e-06,-8.7963197647498957e-07,-3.997210541390382e-08,-4.7510837986074802e-10
0.00192413,5.4743887809266412e-05,4.6126351982775511e-07,2.0463474874901564e-07,2.5216853852462801e-06,-1.0700245394311934e-06,-4.1927779965562624e-08,-7.050207634070131e-10
0.00197476,5.7780433706981562e-05,7.8007306700741692e-07,-1.1435788666935133e-07,1.0774468390145874e-06,-9.3931803644159125e-07,-5.175211031357938e-08,-1.0352563618349508e-09
0.0020254,6.0832100373621391e-05,1.0449825422121387e-06,-5.7080065064864389e-07,-2.8968059167261029e-08,-5.3151360080899228e-07,-6.4911069153730541e-08,-1.5026824689793928e-09
0.00207603,6.3922472364073924e-05,1.2529811070313363e-06,-1.0698595071523417e-06,-4.6098102268365987e-07,9.9665079849162595e-08,-8.273522831200346e-08,-2.1537612919975398e-09
0.00212667,6.7096732043128856e-05,1.403274393543328e-06,-1.2205755849841739e-06,-4.6758889769354337e-07,8.6296953749483788e-07,-1.0971300471863143e-07,-3.0450153496036738e-09
0.00217731,7.0411373164378372e-05,1.4975653774102028e-06,-1.1868886385196654e-06,-2.5253838786246216e-07,1.5890066028020724e-06,-1.49932145060304e-07,-4.2422131836365685e-09
0.00222794,7.3924833263922738e-05,1.5409947219242421e-06,-1.013807591048051e-06,-2.4665729483983251e-08,2.0680564113489946e-06,-2.0333744981204893e-07,-5.8180529670865578e-09
0.00227858,7.768879647441678e-05,1.5432550200989085e-06,-7.7454251741800845e-07,7.6719652505015002e-08,2.14721438157991e-06,-2.6208728853767825e-07,-7.8479585540153045e-09
0.00232921,8.1756712188934963e-05,1.5190272033798078e-06,-5.4024284785225155e-07,8.6799276501602645e-09,1.8148789194924443e-06,-3.0905741299539513e-07,-1.0403909486505975e-08
0.00237984,8.6176033295781791e-05,1.4839279377904301e-06,-3.4495094205058698e-07,-1.9922146271167016e-07,1.012338017480807e-06,-3.3398005951783707e-07,-1.3546861108027329e-08
0.00243048,9.0978870413636128e-05,1.4521599727031275e-06,-1.7600904514064683e-07,-5.0444998721769652e-07,2.9659326958789273e-07,-3.4309138513674175e-07,-1.7319554056353197e-08
0.00248111,9.6171277834342797e-05,1.4361508740338557e-06,-3.5676023104770741e-08,-9.1371871291695514e-07,-5.0253458105666315e-08,-3.5265256856046399e-07,-2.1741785257037142e-08
0.00253175,0.00010173265079536381,1.4450706247560541e-06,2.5466945611557955e-08,-1.0637292736674044e-06,-1.6268368039912979e-07,-3.8256618392921302e-07,-2.6810467814695658e-08
0.00258238,0.00010760899953066368,1.4836989689644389e-06,5.3572185978196265e-08,-1.0384347536483443e-06,-1.1723245402846497e-07,-3.9165326564138275e-07,-3.250673967208266e-08
0.00263302,0.00011373483131051853,1.5526565173756766e-06,6.5140731267362368e-08,-9.0384327297353137e-07,-2.6218760001388685e-08,-3.3261293626456113e-07,-3.8809059023192281e-08
0.00268366,0.00012004440878089666,1.648006063292011e-06,6.372783988598897e-08,-7.1671777396980259e-07,1.0733021285944374e-08,-2.0346665667822219e-07,-4.5709317968543431e-08
0.00273429,0.00012648561830149585,1.7620284401308912e-06,4.9972694480969271e-08,-5.2763747856373858e-07,-5.5785117901906329e-08,-4.7468206634331875e-09,-5.3225492858108611e-08
0.00278492,0.000133028175120439,1.8848081684129882e-06,2.5068411563287328e-08,-3.7073587390150331e-07,-2.2252807102775032e-07,2.5931791926474056e-07,-6.1402218588906413e-08
0.00283556,0.00013966814057927402,2.0056320051009141e-06,-8.0728583864244244e-09,-2.6048884595418766e-07,-4.6692758204145477e-07,5.7154381989808021e-07,-7.0289212959761587e-08
0.00288619,0.00014641892803022533,2.115039683517013e-06,-4.4783186556114993e-08,-1.8863550466103237e-07,-8.2306810939841724e-07,8.9677700971209188e-07,-7.989992517473935e-08
0.00293683,0.00015330006193899851,2.2061216017271209e-06,-7.9117539662556003e-08,-1.3460367126693553e-07,-9.7073487323117843e-07,1.1812551730366299e-06,-9.015814335746656e-08
0.00298746,0.00016033716495357999,2.2759284487626947e-06,-1.0476386044518884e-07,-9.4037128561769573e-08,-9.5708618632892278e-07,1.364423042202188e-06,-1.0084726233459668e-07
0.0030381,0.00016756026551188288,2.3260911027674654e-06,-1.1730077509225555e-07,-6.7188558737430727e-08,-8.4631462671233963e-07,1.3962763044908083e-06,-1.1158251464300535e-07
0.00308874,0.00017500111822376863,2.3622711056087329e-06,-1.158841003039587e-07,-5.3959902063653596e-08,-6.8430126839666987e-07,1.2416838004218093e-06,-1.2182751346247931e-07
0.00313937,0.00018268439776690859,2.3925434415848795e-06,-1.0314687305800883e-07,-5.2524786410865904e-08,-5.1301215343194852e-07,7.5080028830902913e-07,-1.3100144845260285e-07
0.00319001,0.00019063071743896591,2.4254277578378497e-06,-8.3742201540347977e-08,-6.0813505069183595e-08,-3.6333867655414816e-07,4.2770860614553395e-07,-1.3860950222088755e-07
0.00324064,0.00019885420505473355,2.4676403999758264e-06,-6.242865079182695e-08,-7.6240172521633516e-08,-2.5182131759770298e-07,2.0674550986434665e-07,-1.4433932647425271e-07
0.00329127,0.0002073618338035783,2.5232279533385615e-06,-4.293931124389897e-08,-9.6370467728589507e-08,-1.7725179293029879e-07,7.2592979767991535e-08,-1.4818811169033517e-07
