Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.0050635,1.4578525397137694,1.8125155081630413,1.5909504219144046,1.6230413834664916,1.3123055894278486,1.1377390323369134,-5.2900799431845211
0.00511413,1.4816973524515078,1.9801565996950434,1.6130317757529555,1.7537156169392374,1.3974275654153847,1.3318121095381805,-5.1823527174074675
0.00516477,1.4640665073155241,2.1101518365871761,1.6262288528426212,1.8439891779270559,1.4754944692931324,1.4859730982872073,-4.7986593378276083
0.00521541,1.4154719149155799,2.2019454613713543,1.6432659341938509,1.8976034744135766,1.5526232924844501,1.6067823419482394,-4.1739710453265593
0.00526604,1.3462057949429926,2.2569741325478536,1.6735594985419868,1.9203214174761085,1.6323990050799917,1.700569247429337,-3.3618925363925758
0.00531667,1.2651589205678366,2.2784965084029816,1.7225371815776815,1.9194985845834207,1.7157976327876623,1.7723547883792627,-2.4281410441464226
0.00536731,1.1788043683347538,2.2706297155115625,1.7906939459511761,1.9027510780098162,1.8005745625707319,1.8253756293629524,-1.4446600824046865
0.00541794,1.0907142170518389,2.2378762296484274,1.8738192901091426,1.877323888748101,1.881771137295853,1.8607751210788712,-0.48522477901086863
0.00546858,1.0015746578076143,2.1846403917913442,1.9637542122466529,1.8494382197343855,1.9524638981788227,1.8778423014258478,0.38172003440954649
0.00551922,0.90988443925370843,2.114929399623855,2.0498119110249111,1.823749243945239,2.004940394032483,1.8748857624497461,1.1020186449532354
0.00556985,0.81275948505276707,2.0321888411410574,2.1207410658497907,1.8030380139557878,2.032191035769896,1.8502482249792485,1.6392349691956636
0.00562048,0.70597819586296451,1.9391600273960266,2.1664431428482054,1.7881409421134569,2.0290555059530737,1.8030793899871003,1.9788419526118746
0.00567112,0.58560178248800698,1.8378819597886564,2.1793434185880418,1.7781647974756587,1.9931072235678375,1.7339066695607877,2.1245662680362987
0.00572176,0.44814968763546503,1.7297174574494465,2.1551624497241884,1.7707469464718768,1.9248476545476372,1.6451522017445031,2.101756284408447
0.00577239,0.29155492569854119,1.6153604372492902,2.0930141146271986,1.762416171473544,1.8276264989115201,1.5408568857254781,1.9402044678115136
0.00582302,0.11542005894287891,1.4947076838028315,1.9949944634409158,1.748894573519622,1.707170556183421,1.426248743100377,1.6794658059025518
0.00587366,-0.079051488718194993,1.3670915378141784,1.8656810593083089,1.7255709961316115,1.5710068352674726,1.3073136198465964,1.3618175923561866
0.00592429,-0.28957296444095637,1.2312996029016507,1.7111242530507691,1.6878962766796759,1.4274973462505685,1.1900620206422912,1.0281352509674764
0.00597493,-0.51321343052167168,1.0853247781695692,1.5375220120042183,1.6314439494590776,1.2844248579657562,1.0792772233124452,0.7143290104207658
0.00602557,-0.74632210203500593,0.92721627466424339,1.3508824535301358,1.5530190903763397,1.1486754131201569,0.9785236488396134,0.44729465382809103
0.0060762,-0.9864834895971657,0.75422438319740059,1.1551608450821733,1.4498174183316541,1.0243326613210773,0.88868113190513598,0.24254027723489549
0.00612683,-1.232329090061308,0.56400122568658417,0.95273886060180524,1.320538158744861,0.9131150431313797,0.8087329430542578,0.10545396007229799
0.00617747,-1.4839798347206665,0.35432609266110915,0.7438065268160643,1.1648333957725501,0.81391442141032089,0.73536109584617892,0.032356277403500625
0.00622811,-1.7421713948649453,0.12401677334425877,0.52730173338650799,0.98390598058233847,0.72361912777233761,0.66411611832751993,0.010010517405823389
0.00627874,-2.0078339151711138,-0.12626096499505277,0.30205892296973935,0.78094505220048105,0.63823759361660981,0.59053569865815536,0.025154230700017606
0.00632937,-2.2819734112682002,-0.39471031392472267,0.066613246328547912,0.56008724338400162,0.55275351622160773,0.51017662822826537,0.061677481589690733
0.00638001,-2.564906801414093,-0.67818637361114487,-0.17980917034302563,0.32645604983599963,0.46213647326726609,0.41952368899880221,0.10344654972347757
0.00643064,-2.8555381968128328,-0.97211618967397428,-0.43649973151507077,0.086050904008257476,0.36233191140636134,0.31692364094376613,0.13615428253016365
0.00648128,-3.1507248015667302,-1.2702069076593592,-0.70053463337306376,-0.15428439700442792,0.2511899430943535,0.20326224966309148,0.14944592039485166
0.00653192,-3.4452795272277097,-1.5653117501594238,-0.96714996431577704,-0.3877576204506179,0.12837317765723211,0.08166552545790523,0.13766858427526507
0.00658255,-3.7325228078298593,-1.8504751042631398,-1.2304817458923689,-0.60858885387073713,-0.0050098659721579189,-0.043178060318590485,0.099642601550815682
0.00663318,-4.0042916442344509,-2.1186983120233984,-1.4834368657824302,-0.8117727757244565,-0.1460074367019556,-0.16502526159023451,0.038615299640201176
0.00668382,-4.2516692937323093,-2.3636680978232762,-1.7186660513815157,-0.9936280777145865,-0.29043766710011132,-0.27689184387436527,-0.038852573156737756
0.00673445,-4.4657922519512843,-2.5801521228262425,-1.9295699428132207,-1.1522321418932058,-0.4338062878798839,-0.372098504295166,-0.12390888878143649
0.00678509,-4.638281192323725,-2.7640803403753189,-2.1110214156165039,-1.2874184945358291,-0.57177680328496094,-0.44505134256635054,-0.20747434737967316
0.00683572,-4.7621148455824835,-2.9127945727271869,-2.2601756802181203,-1.4008547709585264,-0.70085949438108841,-0.49197529706752835,-0.28089553810287704
0.00688636,-4.8321026465677495,-3.0248328112360867,-2.3766497363127717,-1.4956131662236964,-0.81862619710588058,-0.51125047186366213,-0.33668780879751337
0.00693699,-4.8453629430899854,-3.0999248874226946,-2.4626881869831232,-1.5758738313242984,-0.92398314246486879,-0.50377711185612872,-0.36929785684475486
0.00698763,-4.8016787843974562,-3.1390771187782147,-2.5231639380364288,-1.646717712811081,-1.0175125451878764,-0.47297010481873625,-0.37573178595067758
0.00703827,-4.7026970724673935,-3.1437063996780541,-2.5644020173752535,-1.7130029942431355,-1.1006354586063825,-0.42383558912058217,-0.35513133500630611
0.0070889,-4.55256281482459,-3.1159448111255781,-2.5939593382617847,-1.7794613076872823,-1.1758986371043467,-0.36304911576834176,-0.30920742013231095
0.00713953,-4.3571678057914722,-3.0582448424609936,-2.6195900521201669,-1.8501867974640178,-1.2464373321180444,-0.29839908001140014,-0.24172264068298582
