Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.00192413,4.908017819465063e-07,4.6163390297369027e-07,4.3017343078051597e-07,3.9331049697115606e-07,3.50132381569094e-07,2.6685157168961798e-07,2.6711268643987577e-07
0.00197476,4.0905483411768558e-07,3.6567914480489697e-07,3.2754719525306441e-07,2.8201393754343523e-07,2.2338867654492944e-07,1.5815385652289793e-07,1.5863462937750199e-07
0.0020254,2.9770312553300277e-07,2.4680952823946406e-07,2.0333318321760513e-07,1.6612780470164612e-07,8.8735718549031342e-08,3.8361508149868211e-08,3.9165261612431702e-08
0.00207603,1.8337114378748335e-07,1.3226094782478101e-07,8.9836403134336769e-08,6.3096359251779197e-08,-2.7870404686142011e-08,-6.9886941626658208e-08,-6.867654666514466e-08
0.00212667,9.005468878958372e-08,3.9746886122990794e-08,3.6113923442481403e-09,-1.8133904249068514e-08,-1.1121678872894073e-07,-1.5216297793533969e-07,-1.5054020395245964e-07
0.00217731,3.0399610810991943e-08,-2.4086956547860859e-08,-5.2956618927775476e-08,-7.4423347475438368e-08,-1.5694435286249054e-07,-2.0277196414730815e-07,-2.0086148960983433e-07
0.00222794,4.9620450215687141e-09,-5.8754622601814438e-08,-8.310200269135244e-08,-1.049808166285661e-07,-1.6851453923737963e-07,-2.2236905698577688e-07,-2.2043914778643582e-07
0.00227858,6.646974007832406e-09,-6.6917390785603552e-08,-9.0985778372992818e-08,-1.1126928371670455e-07,-1.5390223968047275e-07,-2.1559468563379747e-07,-2.1398501389434841e-07
0.00232921,2.7683005075700442e-08,-5.1974247913068379e-08,-7.9308740940205005e-08,-9.5837661200573539e-08,-1.2089912211189964e-07,-1.8753985923736948e-07,-1.8651459903495917e-07
0.00237984,6.2089734759374497e-08,-1.8497303287712539e-08,-5.0589850775914516e-08,-6.2512627046273644e-08,-7.5592615039371402e-08,-1.4315880485454594e-07,-1.4275538628814815e-07
