Physical Time (s),aphi_alt_vol Monitor (kg-m/s^3): cv1,aphi_alt_vol Monitor (kg-m/s^3): cv2,aphi_alt_vol Monitor (kg-m/s^3): cv3,aphi_alt_vol Monitor (kg-m/s^3): cv4,aphi_alt_vol Monitor (kg-m/s^3): cv5,aphi_alt_vol Monitor (kg-m/s^3): cv6,aphi_alt_vol Monitor (kg-m/s^3): cv7
0.79132378,0.0044572852633642914,0.0077888056082711593,0.016942923551421192,0.031285510213677849,0.052764234561147962,0.11150279166916401,0.23585273050499919
0.79137441,0.0044856988204006543,0.007757592204431423,0.01701524850710371,0.031293264253680002,0.052801208402216124,0.11152330324464214,0.23586021337781432
0.79142505,0.0045019397184611403,0.0077347359452546987,0.017090878458662865,0.031297376053126512,0.052840621179785517,0.11154492106287001,0.23586708533941297
0.79147568,0.0045014345567935595,0.0077202415194010787,0.017168819514867428,0.031297998449943125,0.052882392450292866,0.11156759004809071,0.23587343452717596
0.79152632,0.0044805110692186,0.0077138964429744709,0.017248007450651196,0.03129521068733105,0.052926301500938064,0.11159111931324234,0.23587922673389716
0.79157696,0.0044381527341976921,0.0077154215379882001,0.017327422094203682,0.031289086303656191,0.052972105946553577,0.11161527680009334,0.23588439725781415
0.79162759,0.0043768416289816708,0.0077245735126442944,0.017406273741756757,0.031279867903680231,0.053019721101037295,0.11164001535943019,0.23588907143908611
0.79167822,0.0043012206341379944,0.0077408195493899852,0.017483585619055535,0.031267624659187684,0.053068861322511984,0.11166508687968905,0.2358931726797811
0.79172886,0.0042168095452416844,0.0077635689118124062,0.017558531273466179,0.031252612943550778,0.053119404986131269,0.11169042683387516,0.23589680482103526
0.79177949,0.0041286484221895658,0.007791837353838941,0.017630005559333781,0.031234949144947066,0.05317104508710227,0.11171582454846438,0.23589991743919911
0.79183013,0.0040413105208828674,0.0078243765458369287,0.017696820902549839,0.031214782736239257,0.053223576373584977,0.11174109688669899,0.23590248182799994
0.79188076,0.0039592598264205818,0.0078598743509063432,0.017757788211928194,0.031192298141958938,0.053276718391362846,0.11176608564164756,0.23590448235359512
0.7919314,0.0038861123858019392,0.0078971771636997361,0.017811771689098563,0.031167669458408431,0.053330166395781392,0.11179062241470092,0.23590587504934818
0.79198203,0.0038241728426960816,0.0079354943520477932,0.017857862944698797,0.031141103997759642,0.053383684503289126,0.11181457494497146,0.23590663444020626
0.79203267,0.0037749405562343369,0.0079744288314037813,0.017895319513515046,0.031112805302806787,0.053437050991283319,0.11183780167328182,0.23590672396471876
0.79208331,0.0037391552622335171,0.0080139224619880049,0.017923529520446305,0.031082983432794142,0.05349004168758098,0.11186015917595027,0.23590609495390724
0.79213394,0.0037166117393205305,0.0080541419951419887,0.017942048658765385,0.031051879003169615,0.053542450980302247,0.1118815262557194,0.23590472089900591
0.79218457,0.0037063181528722293,0.0080952960748143111,0.0179505635996112,0.031019739768501545,0.053594061479103686,0.11190178852298144,0.23590256850584043
0.79223521,0.0037068011794987987,0.0081375526382852469,0.017948927983390532,0.030986894272739055,0.053644664026951755,0.11192086951039226,0.23589961848685037
0.79228584,0.0037164420732321603,0.0081809814168873288,0.017937157524195418,0.030953618171589092,0.05369401910654191,0.11193869158325161,0.23589584268919364
0.79233648,0.0037333725105523925,0.0082255424473552958,0.017915473334614938,0.03092020435040441,0.053741893779454687,0.11195520817771618,0.23589123319370361
0.79238712,0.0037553802536947076,0.0082710757958887084,0.017884259363328797,0.030886944990685283,0.053788051183573882,0.11197037755187922,0.23588577446725567
0.79243775,0.0037802478037532263,0.0083172354519177993,0.017843914435511716,0.030854027702569915,0.05383216521498714,0.1119840657232966,0.23587934767304425
0.79248838,0.0038062863514311956,0.0083637562837557133,0.017795113490192145,0.030821834321114953,0.053874135772633398,0.11199634506283049,0.2358720465731084
0.79253902,0.0038323606349004941,0.0084102412433067573,0.017738518462142232,0.030790676623429235,0.053913826698964107,0.11200722637597654,0.23586389117942042
0.79258966,0.0038578317411849423,0.0084562209000637739,0.017674856084508295,0.03076086102825687,0.053951128447204968,0.11201673811615218,0.23585491519201951
0.79264029,0.0038823398986980065,0.0085011987964257324,0.017604953007230816,0.030732710234408898,0.053985956458122056,0.1120249057789576,0.235845158163389
0.79269092,0.0039056642356436271,0.0085447310997576274,0.017529849164861184,0.030706546478157567,0.054018256035115966,0.11203178588025246,0.23583468238510466
0.79274156,0.0039277021033465465,0.0085866380443462998,0.01745091467797958,0.030682877290219172,0.054048189736225313,0.11203767683754398,0.23582382828664752
0.79279219,0.0039479562319710828,0.0086264339594479718,0.017369164295468281,0.030661645963118489,0.054075328276366526,0.11204221241075299,0.23581210075755468
0.79284283,0.0039662540719753777,0.008664126258166701,0.017286155734209292,0.030643270971403014,0.054099775114901202,0.11204563242316519,0.23579974176645824
0.79289347,0.003982524368633512,0.0086997032921894216,0.01720342222928142,0.030628178428046528,0.054121656085187826,0.11204821710145553,0.23578706965648688
0.7929441,0.0039968255311526816,0.0087328468188899531,0.017122315639937859,0.030616661271365732,0.054140948449647439,0.11205004936103108,0.2357741100252998
0.79299473,0.0040094625946652859,0.0087627443157652744,0.017044170349955635,0.03060902000214262,0.054157648721734168,0.11205122984550597,0.23576091788010603
0.79304537,0.0040209862751659341,0.0087877848236799019,0.016970254614991687,0.030605576880579029,0.054171799838850232,0.11205192975756623,0.23574766851872089
0.793096,0.0040320698208580466,0.0088056161643168488,0.016901829681702455,0.030606705937683124,0.054183508211705575,0.11205235008899619,0.23573453701788383
0.79314664,0.0040432826175843782,0.0088134049261099547,0.016839915126323005,0.030612586032080825,0.054192701629683433,0.11205249688638916,0.23572152106190614
0.79319728,0.0040551312333398943,0.0088086609763173736,0.016785403822458959,0.030623293490581169,0.054199225978223589,0.11205228511023201,0.23570854325640592
0.79324791,0.004068185564565477,0.0087900047337289965,0.016739350997371651,0.030639101277049753,0.054203158241648453,0.112051847517169,0.23569575785262434
0.79329854,0.0040828616340502482,0.0087574420058127017,0.016702653363200242,0.030660213210523792,0.054204536321624412,0.11205125433022789,0.23568327409016646
0.79334918,0.0040994756001931929,0.0087122649171845808,0.016675999675382532,0.030686732204031904,0.054203359457314984,0.11205052291809062,0.23567115667658159
0.79339982,0.0041182678638043363,0.0086565826286367931,0.016659969693492375,0.030718781885349829,0.054199707793557872,0.11204974138468932,0.23565954625959343
0.79345045,0.0041392803851456831,0.0085924541190081256,0.016654763436600446,0.030756235771461957,0.054193483862754327,0.112048794155654,0.23564838673108576
0.79350108,0.0041626147386294955,0.0085218357372622011,0.016660561538039572,0.030799127204912354,0.05418480741361166,0.11204777179214374,0.23563783578288833
0.79355172,0.0041882628364764488,0.0084462253425147838,0.016677195113041443,0.030847236648335087,0.054173668233338967,0.11204662018583489,0.23562791014315226
0.79360235,0.0042162355622808317,0.0083668431972048901,0.01670428503328655,0.030900285997628209,0.054160098789021713,0.11204529956130463,0.23561864787630371
0.79365299,0.0042465402817150532,0.0082848096532782793,0.01674132596059506,0.030957887739027957,0.054144155730231978,0.11204378262090903,0.23561010226049336
0.79370363,0.0042791388062536542,0.0082012968173163885,0.016787616510836854,0.031019437556720767,0.054125917698581182,0.11204204674336227,0.23560233392016389
0.79375426,0.0043138441134156066,0.0081176674569808718,0.016842201520436594,0.03108398499079662,0.054105471314230422,0.11204006486286133,0.23559540033003742
0.79380489,0.0043501890279897502,0.0080353615643549963,0.016903877248386923,0.031150305702020327,0.05408290764425986,0.11203780658883009,0.23558935557266258
0.79385553,0.004387383651585296,0.0079559258171575196,0.01697131161215178,0.031216888504355989,0.054058340637797901,0.11203524494962888,0.23558424988369209
0.79390616,0.0044242640671680435,0.0078809110213750901,0.017043165984066876,0.031281934278398045,0.054031866263596337,0.11203232913223148,0.23558010876923965
0.7939568,0.0044594874203932652,0.0078117807811244394,0.01711817118098985,0.031343611941631211,0.054003573616166714,0.11202899039696244,0.2355769287360335
0.79400743,0.004491373091750162,0.0077498570836522689,0.017195181366473827,0.031400033530850198,0.053973552486651671,0.11202516220588564,0.23557471322389759
0.79405807,0.0045184197249680241,0.0076962666636684806,0.017273230751466435,0.031449415682939262,0.053941891352537623,0.11202077300066156,0.23557345223976134
0.7941087,0.0045385210387726077,0.0076518634350103663,0.017351401599712185,0.031490168208998276,0.053908595381932961,0.11201566181116916,0.23557303544652913
0.79415934,0.0045491274488666045,0.0076173149568306677,0.017428874984191316,0.031521132060066105,0.053873765709427084,0.11200976039038346,0.23557343604543973
0.79420998,0.0045476603326335867,0.0075929047487493058,0.017504666791685653,0.03154157137104327,0.053837445757245611,0.11200293449436197,0.23557454697584829
0.79426061,0.0045317666005100492,0.0075785626167214175,0.017577653928614996,0.031551376713620197,0.053799752714150273,0.11199513246488972,0.23557634477685774
