Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.00278492,1.217991310227543e-06,1.0100860695845584e-06,9.7478972393835036e-08,-1.0410996047931154e-07,-1.2234003448359862e-07,-1.2597100636503836e-07,-1.4919924917931345e-07
0.00283556,1.1896240952637509e-06,9.9534035230532242e-07,7.4449504353679966e-08,-1.6231901656724859e-07,-1.8741145800722067e-07,-1.7991476054541479e-07,-2.0705612701437461e-07
0.00288619,1.1327258510089271e-06,9.4910190722391441e-07,4.3715315437771055e-08,-2.2422157881748361e-07,-2.5735069747454423e-07,-2.4121430109271015e-07,-2.67134587877593e-07
0.00293683,1.0470523368233707e-06,8.7223141402625708e-07,1.6624740462047514e-09,-2.8747177408867741e-07,-3.2747440466516242e-07,-3.0782142546835003e-07,-3.222300230209156e-07
0.00298746,9.5944870146640687e-07,7.8622735256504975e-07,-4.4721059683339618e-08,-3.4798651973457848e-07,-3.9361565979488269e-07,-3.7706635970192731e-07,-3.7667317375437815e-07
0.0030381,8.8061683328187092e-07,7.0177936340887339e-07,-9.4886861393052742e-08,-4.0668742939032537e-07,-4.5703553450453715e-07,-4.4748028555805941e-07,-4.3353375584603139e-07
0.00308874,8.09612148195168e-07,6.1912462434860604e-07,-1.5067542358220862e-07,-4.6492798301285135e-07,-5.1868560866036022e-07,-5.1739948155607399e-07,-4.9095772717019063e-07
0.00313937,7.5832239522292333e-07,5.4888970962558401e-07,-2.098858337784856e-07,-5.2604736966999884e-07,-5.8398066154225682e-07,-5.8858678733044227e-07,-5.5920213955736569e-07
0.00319001,7.270743525137578e-07,4.9269405091397182e-07,-2.7202667454898332e-07,-5.9189857408390763e-07,-6.5542547327676344e-07,-6.6207919272410411e-07,-6.4055385808912012e-07
0.00324064,6.9436126352808889e-07,4.3677169469576654e-07,-3.3898949790027169e-07,-6.5755859347397306e-07,-7.2396242788981292e-07,-7.3184812147106381e-07,-7.1401671476694527e-07
0.00329127,6.7053385450483424e-07,3.9010212521479841e-07,-4.0735309681062748e-07,-7.2594897772600899e-07,-7.950204194502596e-07,-8.0247648759754022e-07,-7.9142905716326243e-07
0.00334191,6.6104124951842326e-07,3.57600148880122e-07,-4.7392230569955503e-07,-7.9785010768275237e-07,-8.7096545166231966e-07,-8.7711968445041154e-07,-8.7832049008753431e-07
0.00339254,6.6325391962066582e-07,3.3823268257946214e-07,-5.3561789479930001e-07,-8.7028399094257805e-07,-9.4860167699039036e-07,-9.5461078788185573e-07,-9.6968339480398347e-07
0.00344318,6.673336747111836e-07,3.2477829997570731e-07,-5.9213540758554172e-07,-9.4082087848442766e-07,-1.0242854876286107e-06,-1.0326456694154322e-06,-1.0579962665048139e-06
0.00349381,6.6947280384368614e-07,3.1401541507907274e-07,-6.4207418969892863e-07,-1.0073847317566843e-06,-1.0958220713793379e-06,-1.1089139652649532e-06,-1.1398168505835155e-06
0.00354445,6.7040577970518941e-07,3.0615820298904879e-07,-6.8271948431462181e-07,-1.0670259600434874e-06,-1.1607179951157686e-06,-1.1800412534895698e-06,-1.2122853397885691e-06
0.00359509,6.6054339739704124e-07,2.9438710117865121e-07,-7.1286364028376886e-07,-1.1136066293675196e-06,-1.2107731593913458e-06,-1.2356585166793797e-06,-1.2633410358930664e-06
0.00364572,6.5222531970050845e-07,2.8649948433010627e-07,-7.3273389697692992e-07,-1.1513847390328686e-06,-1.2529770887127693e-06,-1.2830233356857626e-06,-1.3053178484009811e-06
0.00369636,6.3944163067848609e-07,2.7851237571480111e-07,-7.4290087040897334e-07,-1.1768100054353045e-06,-1.2820530131421255e-06,-1.3153080826512098e-06,-1.330673132711428e-06
0.00374699,6.1939163671353409e-07,2.6907532820264116e-07,-7.4421340620511764e-07,-1.1875843056080174e-06,-1.2942172080678156e-06,-1.3273907723760261e-06,-1.3356147173813902e-06
0.00379762,5.9467013486358574e-07,2.5897738007070838e-07,-7.420000078615769e-07,-1.1903062721587898e-06,-1.29667715069281e-06,-1.3272332698586928e-06,-1.3303235823638538e-06
0.00384826,5.7143885821450027e-07,2.5318827158868926e-07,-7.3815987634399248e-07,-1.1886485960824564e-06,-1.2938103137191088e-06,-1.3204991011746488e-06,-1.3212938609124285e-06
0.00389889,5.5320804576821295e-07,2.5286061879826468e-07,-7.3551118506953189e-07,-1.1873248711423673e-06,-1.2910420255319421e-06,-1.3139936904675743e-06,-1.3149685394341324e-06
0.00394953,5.3784035357934006e-07,2.5464758556908416e-07,-7.3641391791136376e-07,-1.1882538932098362e-06,-1.2897610743428704e-06,-1.3092481901412082e-06,-1.3127977109766333e-06
0.00400016,5.2937957011137972e-07,2.5990617899757506e-07,-7.4305241340851551e-07,-1.196523413391123e-06,-1.2964839729852815e-06,-1.3142603354456883e-06,-1.3212524218400035e-06
0.0040508,5.2452572992258391e-07,2.6550504601692565e-07,-7.5590310054683903e-07,-1.2119521107575915e-06,-1.3104781057158725e-06,-1.3277509484096253e-06,-1.3383592936169072e-06
0.00410143,5.2324897038129114e-07,2.706447079455933e-07,-7.74860506161656e-07,-1.2353787441758422e-06,-1.3330607585620705e-06,-1.3512791030167397e-06,-1.36467143472121e-06
0.00415207,5.2368121848536006e-07,2.7373262416487591e-07,-7.9852380667275732e-07,-1.2651052607681973e-06,-1.3623564774638215e-06,-1.3823919770365038e-06,-1.3973359684997856e-06
