Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.00460778,1.6156576892310819e-07,1.6746637917422766e-07,1.6748085577636548e-07,1.6748130668991412e-07,1.6748142869487627e-07,1.6748149403328118e-07,1.6748151206766572e-07
0.00465842,1.6184360718339487e-07,1.6774660068956635e-07,1.6776201348257324e-07,1.6776246965714764e-07,1.6776259180452501e-07,1.6776265730266718e-07,1.6776267883657258e-07
0.00470906,1.6213118137329214e-07,1.6803455185320196e-07,1.6805101035718184e-07,1.6805147273266028e-07,1.6805159145691326e-07,1.6805165683286079e-07,1.6805166821598082e-07
0.00475969,1.6242333401597728e-07,1.683252351894687e-07,1.6834285988028474e-07,1.6834332612839421e-07,1.6834344991904523e-07,1.6834351879243613e-07,1.6834354696340679e-07
0.00481032,1.6271779485744831e-07,1.6861652307231027e-07,1.6863546449192099e-07,1.6863593983934453e-07,1.6863606120536537e-07,1.6863612518722838e-07,1.6863614583836277e-07
0.00486096,1.6300519239992563e-07,1.6889918326531326e-07,1.6891960848357065e-07,1.689200915500917e-07,1.6892021661609378e-07,1.6892028316892513e-07,1.6892029708790865e-07
0.00491159,1.6327785695488139e-07,1.6916566003519817e-07,1.6918776627949019e-07,1.691882521359944e-07,1.6918838193262496e-07,1.6918844226529361e-07,1.6918845876439981e-07
0.00496223,1.6352721823644414e-07,1.6940746657260348e-07,1.6943148742874767e-07,1.6943198036858134e-07,1.6943210749475003e-07,1.6943217546737696e-07,1.694321836247276e-07
0.00501287,1.6375614683783695e-07,1.6962754209936543e-07,1.6965375685556207e-07,1.6965425852312583e-07,1.6965438459658916e-07,1.6965445239499014e-07,1.6965447452527826e-07
0.0050635,1.6396232998300317e-07,1.6982361224052411e-07,1.6985234869862028e-07,1.6985285928294042e-07,1.6985298730177975e-07,1.6985305033130164e-07,1.6985307447194001e-07
0.00511413,1.6415009796454223e-07,1.7000006800550804e-07,1.7003172079099445e-07,1.7003223680077386e-07,1.7003236888434171e-07,1.7003244318140604e-07,1.7003246745047787e-07
0.00516477,1.6432229291268222e-07,1.7015981844196423e-07,1.7019485796859325e-07,1.7019538244403347e-07,1.7019551343534196e-07,1.7019557987153206e-07,1.7019559191898744e-07
0.00521541,1.6448592086077911e-07,1.703099590827857e-07,1.7034894235857296e-07,1.7034947566391026e-07,1.7034961186814948e-07,1.7034968259616582e-07,1.703496933424432e-07
0.00526604,1.6464550197707537e-07,1.7045507490218004e-07,1.7049866611610223e-07,1.7049920579541214e-07,1.7049934011320215e-07,1.7049940893468486e-07,1.7049942116764787e-07
0.00531667,1.6480794532497241e-07,1.7060204870010632e-07,1.7065104039973867e-07,1.7065159314364436e-07,1.7065172730192643e-07,1.7065179991732344e-07,1.7065181521823452e-07
0.00536731,1.6497773036887762e-07,1.7075523001711794e-07,1.7081056539795955e-07,1.7081112250703948e-07,1.7081126118662643e-07,1.7081133555806507e-07,1.7081135308956753e-07
0.00541794,1.6515837896182518e-07,1.7091791915899446e-07,1.709807164022665e-07,1.7098128484208872e-07,1.7098141919056555e-07,1.7098149059448355e-07,1.7098151015353085e-07
0.00546858,1.653532872330861e-07,1.7109326300215216e-07,1.7116485499469875e-07,1.7116543251003675e-07,1.7116557365262891e-07,1.711656486458491e-07,1.7116565828249067e-07
0.00551922,1.6556419770803491e-07,1.7128276161971413e-07,1.7136473222692561e-07,1.7136532053345015e-07,1.7136546326851067e-07,1.7136553743285055e-07,1.7136554977683941e-07
0.00556985,1.6579118961459065e-07,1.714862997221277e-07,1.7158051312399489e-07,1.7158110382062062e-07,1.7158124044181795e-07,1.7158132078148848e-07,1.7158133831021853e-07
0.00562048,1.6603367158682785e-07,1.7170310573569099e-07,1.7181176498769234e-07,1.7181237093502516e-07,1.7181251233990377e-07,1.7181259251664413e-07,1.7181261520841678e-07
0.00567112,1.6628563253656575e-07,1.719269586914199e-07,1.7205263254910769e-07,1.720532446866328e-07,1.7205339142956437e-07,1.7205346242999569e-07,1.7205347246692655e-07
0.00572176,1.6654362590075689e-07,1.7215410965022579e-07,1.722997822713423e-07,1.7230040319130004e-07,1.7230054918411371e-07,1.7230062002531165e-07,1.723006369760497e-07
0.00577239,1.6680859678430855e-07,1.7238510302852539e-07,1.7255422035112438e-07,1.7255485283617686e-07,1.7255499971770946e-07,1.7255507351109349e-07,1.7255510182090081e-07
0.00582302,1.6707944540481794e-07,1.7261835584745118e-07,1.7281484933329239e-07,1.7281549384939992e-07,1.7281564530723099e-07,1.7281572276787851e-07,1.7281574306386914e-07
0.00587366,1.6735619984493841e-07,1.7285340025256618e-07,1.7308171965045704e-07,1.7308237489061565e-07,1.730825254085338e-07,1.7308260581394097e-07,1.7308262452561788e-07
0.00592429,1.6764230462580454e-07,1.7309324785744592e-07,1.7335837480336566e-07,1.7335903793605636e-07,1.7335918904934177e-07,1.7335926371128905e-07,1.7335928245661447e-07
0.00597493,1.6794215738006844e-07,1.7334192711087645e-07,1.7364937769534408e-07,1.7365005373556064e-07,1.7365020543685322e-07,1.7365028329977144e-07,1.7365030173181172e-07
0.00602557,1.6825972008657941e-07,1.7360310783032404e-07,1.7395892889806375e-07,1.7395961348852199e-07,1.7395976721417202e-07,1.7395984625553256e-07,1.7395986185689633e-07
0.0060762,1.6859607513222713e-07,1.738775701918074e-07,1.7428830921843554e-07,1.7428900644897209e-07,1.7428916103106187e-07,1.742892415193342e-07,1.7428926539694589e-07
0.00612683,1.6895317479351956e-07,1.741668889840505e-07,1.7463953964602978e-07,1.7464024799045275e-07,1.7464040568591944e-07,1.7464049534503506e-07,1.7464052116478501e-07
0.00617747,1.6933482419759343e-07,1.7447439434573402e-07,1.7501634550201683e-07,1.7501706785135805e-07,1.7501722390687495e-07,1.7501730366245883e-07,1.7501732000208487e-07
