Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
0.05853406,0.021161502647100674,0.0280826704083715,0.03725914581778654,0.039227067439070118,0.04046039232771708,0.042627044878466906,0.044090010763624086
0.05858469,0.021535832093877341,0.02849554632987825,0.037612025584314451,0.039562192540021739,0.040821660170771219,0.043087913174745661,0.044548460555834307
0.05863533,0.021748882197570176,0.028684661553126479,0.03765868965091583,0.039564761758289366,0.040855143495324361,0.043211208880451692,0.044654513811554983
0.05868596,0.021784372960903235,0.028632788926896191,0.037383211887531659,0.039216360073799771,0.040545860769631389,0.042984541674596595,0.044395928931856662
0.0587366,0.021633357363312268,0.028332890393400766,0.036783261881381063,0.03851316639238124,0.039893687016465243,0.042412246450237834,0.04377751478767803
0.05878724,0.021294877228510485,0.027788344735576193,0.035869952672046942,0.037466139302178909,0.038913170051920319,0.041515191666276041,0.042821002824682118
0.05883787,0.020775781230162438,0.027012082038622525,0.034666455445608924,0.036099599943691218,0.037631913602030762,0.040328497220603256,0.041562772413168053
0.05888851,0.020090521185052952,0.026025986253058721,0.033206489026996203,0.034449889906512654,0.03608865227023287,0.038899319559092489,0.040051688315988369
0.05893914,0.019259196274103343,0.024858532057091515,0.031530758956804933,0.032561539731105579,0.034329246170663033,0.037282515227367218,0.038344714013345209
0.05898978,0.018306460754165074,0.023542876657500662,0.029684474761816328,0.030484661133743707,0.03240374947212496,0.035536873828843664,0.036503141383682124
0.05904041,0.017259280693469142,0.022113621978827085,0.027713420099754291,0.028270524056068919,0.030361967499302672,0.033720071739891236,0.034587456110707626
0.05909105,0.01614572229010075,0.020606309140055911,0.025662900344733723,0.025970081515411358,0.02825202001172427,0.031886643154068528,0.032655239496588509
0.05914168,0.014993153789702557,0.019054639825754831,0.023574125655870977,0.023629947478600113,0.026116507768024308,0.030083290046554224,0.030756397075819945
0.05919231,0.013826352350294582,0.017488600273747372,0.02148240982173992,0.021290125411901159,0.023990344473718426,0.028347345216373401,0.028931477109156174
0.05924295,0.012666893735596832,0.015934520412645443,0.019417804253386836,0.01898450151062547,0.021901684372249871,0.026705911480915036,0.027210750704119449
0.05929358,0.011532426949270883,0.01441343706756908,0.017403266833498549,0.016738751979084684,0.019870221095325553,0.025175472136598341,0.025613596159912162
0.05934422,0.010436602078581861,0.012941999573103642,0.01545570482586495,0.01457139882473351,0.017908667825421602,0.023762751254214676,0.024149375101059592
0.05939485,0.0093893151386277018,0.011532157006535929,0.013586594422568312,0.012494605439236502,0.016023726941715551,0.022465548836626097,0.022818078627316309
0.05944549,0.0083960145663644573,0.010190598902519388,0.011801306309786907,0.010513461196843519,0.014215689719696556,0.021272917230966429,0.021610410852506312
0.05949612,0.0074590018291530395,0.0089202908977247634,0.010101160995425976,0.0086284116018421515,0.012481103328981917,0.020168198971320148,0.020510764456174724
0.05954676,0.0065782265702006614,0.0077214133628650391,0.008484705162523639,0.0068366469575262701,0.010814198284407509,0.019130748491219318,0.019498855514270566
0.05959739,0.0057514601011529089,0.006591435116474296,0.0069476946823690145,0.0051322260439411278,0.0092072157453285484,0.018137423424262118,0.018551160392355194
0.05964803,0.0049754495005225417,0.005526601004899323,0.005485044854834956,0.0035082996626947215,0.0076525380450906781,0.0171650574929611,0.017643360515060644
0.05969866,0.004246592507651384,0.0045227396134151559,0.0040916682697576283,0.001958147034839769,0.0061436898389879225,0.016191926631425647,0.016751776875481409
0.0597493,0.0035618092939450688,0.0035762809833468426,0.0027636823297680206,0.00047635734140936872,0.0046764947350326292,0.015200318102475612,0.015855944524993591
0.05979993,0.0029187957971421943,0.0026846416528844607,0.0014988902832402521,-0.00094052450907231759,0.0032493980534725655,0.014176677361498658,0.014938979560825339
0.05985057,0.0023166431583258387,0.0018471351213093575,0.00029798203209647654,-0.0022927019347570255,0.0018646973889811656,0.013113649685537831,0.013989537670961262
0.0599012,0.0017555999648562995,0.0010647026554568115,-0.00083577981197028098,-0.0035772903673130011,0.00052812561463736916,0.012009820705108403,0.013001748953469786
0.05995184,0.0012365331437720424,0.00033925900037942128,-0.0018973830367060903,-0.0047890855722263455,-0.00075207526155737954,0.010869074234920962,0.011974771459188276
0.06000247,0.00076041286209356778,-0.00032689914264462426,-0.0028807820910528737,-0.0059212111874227874,-0.0019659327749540706,0.0096998497851248245,0.010912270013998193
0.06005311,0.00032768823377623798,-0.00093183083022139773,-0.0037797922688499316,-0.0069659498134097457,-0.0031027079217308541,0.0085140700205611555,0.0098215122356643779
0.06010375,-6.2636901317784542e-05,-0.0014751388967614223,-0.0045897152232349178,-0.0079164756145257663,-0.0041528298804590687,0.0073250071142289697,0.0087115045930155188
0.06015438,-0.00041286951097503784,-0.0019577583883073667,-0.0053069765305332464,-0.0087664437285260421,-0.0051074592190594841,0.0061476252537679531,0.0075933309125764265
0.06020502,-0.00072812379294241508,-0.0023840851636679527,-0.0059323170550605138,-0.0095136129462029696,-0.0059622808242818098,0.0049942830282557592,0.0064762536000000561
0.06025565,-0.0010155191680048439,-0.0027611123526616512,-0.0064697685052848676,-0.010158820312881534,-0.006716510828169887,0.0038752677137483486,0.005368232002056491
0.06030629,-0.0012842122262330452,-0.003098701046717217,-0.0069273030487505723,-0.010706890801025,-0.0073737514605951276,0.0027977261704483693,0.004275006531044066
0.06035692,-0.0015447137163068204,-0.0034090245200988009,-0.0073165107615695973,-0.011166485844457955,-0.0079419025186583201,0.0017653574538995503,0.0031997949874307593
0.06040756,-0.0018085815080371879,-0.003706416601441471,-0.0076528154585664872,-0.011550570516385373,-0.0084335964541048108,0.00077735740308022307,0.0021422823590017265
0.06045819,-0.002087559053315962,-0.0040065842918764055,-0.0079548984166099151,-0.011876120229269689,-0.0088658689222670083,-0.00017181106667423993,0.0010983349438723027
0.06050882,-0.002392303452460011,-0.0043251989265284995,-0.0082434218284058343,-0.012163057477449864,-0.0092589450752836693,-0.0010911783593205212,6.1273503845271637e-05
0.06055946,-0.0027318116246700715,-0.0046770611606674652,-0.0085401792830172921,-0.012433582580361717,-0.0096355025482600578,-0.0019936136497938853,-0.00097874345108530693
0.06061009,-0.0031120454050930658,-0.0050742524828014356,-0.0088660743308645266,-0.012710323829887521,-0.010018655270830901,-0.0028933699154604694,-0.0020322049607665385
0.06066073,-0.0035357284229599129,-0.0055254153029605756,-0.0092398968179619369,-0.013015057873085286,-0.010430585661613884,-0.003805620421944992,-0.0031101907016073647
0.06071136,-0.0040014809733052228,-0.0060342806017396611,-0.0096763130513139485,-0.013366741336259114,-0.010890416448707585,-0.0047439115340468466,-0.0042218442474455265
0.060762,-0.0045040428360640337,-0.0065994692022102314,-0.010184794819480645,-0.013780201578902005,-0.011412935945114321,-0.005718661221110379,-0.0053731643432865621
0.06081263,-0.0050334643380205296,-0.0072131176797330648,-0.010767503958619792,-0.014264090385171352,-0.012006338992584388,-0.0067340146924459417,-0.0065636794098562204
0.06086327,-0.0055762922593937548,-0.0078618558122825009,-0.011419273164139538,-0.014820404552786375,-0.012671844711354744,-0.0077879212015141914,-0.0077869224515345579
