Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.00136714,0.13255850769313834,0.018305945380581046,0.0043614558115607823,0.0006677819387611748,-0.00013621893688032597,-2.1381058495652997e-05,-1.3736420562929278e-05
0.00141778,0.1417053822376618,0.01885916165115533,0.0037691208357499418,0.00093091290370247797,-0.0001082303759025623,-2.154113341313125e-05,-1.0596376182084911e-05
0.00146842,0.15121452950151806,0.019396680308447607,0.0030466011843206155,0.0011544111026567444,-5.0110160321285835e-05,-1.9676265989496355e-05,-4.4697340161787963e-06
0.00151905,0.1611033189989142,0.019898651731367498,0.0026039055624546398,0.0013626054164281272,4.303708223465439e-05,-1.6396209593461111e-05,4.0558522953772209e-06
0.00156968,0.17148600199707356,0.020353576413869208,0.0027654661923263218,0.0015234195898317683,0.0001632854806003257,-1.2111051397690733e-05,1.4430768269153819e-05
0.00162032,0.18239628561667787,0.020752600124654547,0.003448938772484362,0.0016794568947786199,0.0003086114229057436,-6.8906482200254031e-06,2.6156499626696964e-05
0.00167096,0.19390150210672744,0.021081115143958416,0.0044121164912540589,0.0018214079519122326,0.00046505066598444712,-9.3867760960500175e-07,3.848184845681594e-05
0.00172159,0.20602476273909467,0.021331639654546666,0.0053526024058870719,0.0018896676313562954,0.00061114840041338555,5.8177135431431256e-06,5.0530426487762782e-05
0.00177222,0.2187260922161382,0.021511243855181605,0.0061402996221991578,0.0018403701815871009,0.00073141061238124699,1.6659547420765162e-05,6.4345900850108534e-05
0.00182286,0.23184294308258149,0.021642142922546358,0.0067136756487547224,0.0016357507658411651,0.00080313689428337389,2.2489423394626306e-05,6.9672876243974318e-05
0.00187349,0.24513276148204319,0.021773309715152712,0.0070692396731831522,0.0013231749620589844,0.00083983632744317484,2.5518080811927349e-05,6.7673086642864691e-05
0.00192413,0.2582742375192672,0.021930422495732814,0.0072335917430933127,0.0010590354408898991,0.0008382849925684826,2.6049795588468959e-05,5.7683101581400365e-05
0.00197476,0.27088870410189075,0.022124131331308187,0.0072463422225850262,0.00094050024089778114,0.00080793994782096855,2.3620078181835257e-05,3.8665146687480179e-05
0.0020254,0.28257682213456831,0.02236179240207227,0.0071497963304380692,0.0011694928545106496,0.00077260357897757787,1.9981428411978728e-05,1.3381252727694267e-05
0.00207603,0.29298371173722026,0.022643104900862132,0.00695745789017719,0.001651000447333224,0.00074392649231173034,2.3845836987267972e-05,-8.1932628949541016e-06
0.00212667,0.30180857120256827,0.022964050372945275,0.0067202948761010068,0.0022360740809901306,0.00070510981061749868,3.5321272677287626e-05,-2.4770969806970185e-05
0.00217731,0.30882578673357564,0.023316166194214269,0.0064473632673521597,0.0027455017071450947,0.00064295520579234363,4.8262872312471225e-05,-4.183521452717678e-05
0.00222794,0.31391215530563132,0.023697899268459707,0.006166512886483279,0.0031102630274303165,0.00051587336681893224,5.862909416622483e-05,-6.1933874236430432e-05
0.00227858,0.31705624986416087,0.024116244269498023,0.0059103060261015399,0.0033271776988289224,0.00034924264110949789,7.5242474075913423e-05,-7.5045292514979155e-05
0.00232921,0.31834235028662355,0.024581305472650965,0.0057088004532443448,0.003421282096925984,0.00021093402975393342,9.808949994261941e-05,-7.9128231000852322e-05
0.00237984,0.31796241660773,0.025099875816748801,0.0055958084290945384,0.0034456261603123144,0.00011594076123910152,0.0001363168576779191,-6.5346503062104595e-05
0.00243048,0.31612956343820653,0.025647107768876944,0.00557304369729007,0.0034308590391167243,0.00026790448295608367,0.0001752789415967543,-4.962780199428239e-05
0.00248111,0.31319621740542331,0.026219557278576121,0.0056435248529230998,0.0034072569633167397,0.00062869587760120684,0.00022473655207774226,-2.3474219332433183e-05
0.00253175,0.30949614059346781,0.026798595178450887,0.0058084200938886216,0.003383162748561376,0.0011104182386538343,0.00031675697397561475,6.4696288720238003e-06
0.00258238,0.30544490433533555,0.027368173271072258,0.0060458405880487948,0.0033626543989712229,0.0016059583584790782,0.00038369575714196824,3.7462246606960474e-05
0.00263302,0.30148070699732094,0.027921792382027747,0.0063248758719120016,0.0033469190778172373,0.0020146622256408979,0.00043234659503945609,6.5787223862920672e-05
0.00268366,0.29795081013894759,0.028450530740685265,0.0066118227108129188,0.0033371858651815604,0.0023056747306963755,0.00046301748064647767,8.6858599964993106e-05
0.00273429,0.29503906345450964,0.028953597350429752,0.006884764491332942,0.0033270082075928789,0.0024754799675638355,0.00047425383993479918,0.0001006321452047475
0.00278492,0.29277826486717223,0.029425654572151065,0.0071200724629656171,0.0033101056567790563,0.0025398513335848165,0.00045408124445466989,0.00010195481323653429
0.00283556,0.29122495988755448,0.029865250175433605,0.0073076842918553143,0.0032874074836434413,0.0025250202511761231,0.00039964234075203235,9.391737444054094e-05
0.00288619,0.29043948037577055,0.030278675590692371,0.0074394597351711295,0.0032548208774924258,0.0024554430436643029,0.00031148131730569648,7.6834136706679847e-05
0.00293683,0.29041819827358173,0.030667221415279666,0.0075090301256627457,0.0032053009840455893,0.0023322716022173276,0.00018604280467291804,4.6378251173043514e-05
0.00298746,0.29105237774529352,0.031058378738126047,0.0075343399434363483,0.003171270799833465,0.0021899984448431236,3.9767508978903811e-05,1.7564576361891315e-05
0.0030381,0.29217072209406286,0.031473511545586003,0.0075276117344249376,0.0031499947765974575,0.002049842726150523,-0.00010462008799932499,-4.7622849900370807e-06
0.00308874,0.29353013167688602,0.031921713886857654,0.0074978087767627946,0.0031346443619375596,0.0019303701320247436,-0.000222064886568568,-2.3440666469714295e-05
0.00313937,0.29484881507677208,0.032420264357168396,0.0074678421017013892,0.0031321150209178473,0.0018441597737703518,-0.00027271423352216424,-2.896336578704364e-05
0.00319001,0.29583130370443084,0.032970725058081074,0.0074478361960411566,0.0031466886551418894,0.0017930294405491178,-0.00020662652292833118,-2.1049104384914522e-05
0.00324064,0.29617457684931681,0.033547370266762064,0.0074259751247695224,0.0031652416059021974,0.0017574566636986548,-5.2599558775772657e-05,-1.9086062046980075e-05
0.00329127,0.29564606150117367,0.034150527237020986,0.0074183051382546734,0.0032005960342417206,0.0017474793441551594,0.00017966932225496062,-1.2516930434892472e-05
0.00334191,0.2941256707141795,0.034775847328289526,0.0074380901654143442,0.003259535027685508,0.0017580308066666881,0.00045889359240999805,4.1561650622145744e-06
0.00339254,0.29147883681685982,0.035416219195447775,0.0074827928591642114,0.0033363340774776994,0.0017921106104671,0.00071229702399924722,2.8389291665795962e-05
0.00344318,0.28769772277658529,0.036069207473598486,0.0075445193730858786,0.0034187953535248601,0.0018369445440577592,0.0009201750213607907,5.3691194089598327e-05
0.00349381,0.28279391012499094,0.036746310788161866,0.007619078106853693,0.0034986604930851346,0.0018865474816064781,0.0010706840865316587,7.7995268640731704e-05
0.00354445,0.2768690513725473,0.03746703806783315,0.0077040594948246995,0.0035687387621589264,0.0019350147392268868,0.0011682954239717466,0.00010172821111892799
0.00359509,0.27007179142068155,0.038240187383891754,0.0077851888502921927,0.0036137992893309789,0.0019715629319834588,0.0012120211422273518,0.00011669496141726706
0.00364572,0.2625594949045168,0.039093160233263757,0.0078658276710626193,0.0036381695265804538,0.0020059971857415266,0.0013025473031685855,0.00013198197774028309
0.00369636,0.25447900207529783,0.040023919041848072,0.0079338396382205145,0.0036331382623678754,0.0020327542566427013,0.001297299517147989,0.00013960936005902335
0.00374699,0.24596134744227172,0.041016490762792852,0.0079807502303308984,0.0035958815678426462,0.0020486745261374542,0.0012274426825816392,0.00013569085273442468
0.00379762,0.23714762662487959,0.042043558534954256,0.0080071767040165824,0.0035349106900017407,0.0020583760883119175,0.0011186189292449608,0.00012350641884341598
0.00384826,0.22818000440481367,0.043068242252947156,0.0080164549949128579,0.0034616738280338092,0.002063745929140908,0.0009927766558903697,0.00010625547693178996
0.00389889,0.21919469765968738,0.044049970038505359,0.0080155864006950794,0.0033888017379765617,0.0020678705299327356,0.00087609535210235651,8.6380935551041608e-05
0.00394953,0.2103033486492927,0.044952718664413915,0.0080107763043560948,0.0033241593746256358,0.0020705538994812808,0.00077283740192667062,6.1996642217702962e-05
0.00400016,0.20161452116662709,0.045765463795817668,0.0080153574087255021,0.0032798040808219618,0.0020771631014121447,0.00069285749906182687,3.7546166129866627e-05
0.0040508,0.19321636647343896,0.046495457556379405,0.0080373641827479123,0.0032597256009916824,0.0020851385055212822,0.00063875613187431147,1.1434330405317314e-05
0.00410143,0.18517388196210779,0.047173847975264749,0.0080875821177761546,0.0032685929228934846,0.0020943784421379196,0.00061437208360926835,-1.5958463371468147e-05
0.00415207,0.17753081364066806,0.047848887982625293,0.0081717677204709051,0.0033066079469536228,0.0021036610942190971,0.00057234928201883211,-4.4562823230020514e-05
0.00420271,0.17032536753285635,0.048583261892728914,0.0082935761151453624,0.0033717060981194058,0.0021123187329825793,0.00058506055647378457,-7.1336818874605544e-05
0.00425334,0.16357224213424776,0.049435402336417932,0.00845136867168912,0.0034594819972485948,0.0021221567858177252,0.00063111579040482375,-9.6543165437219412e-05
