Physical Time (s),ea_top Monitor (kg-m/s^3): top_cv1,ea_top Monitor (kg-m/s^3): top_cv2,ea_top Monitor (kg-m/s^3): top_cv3,ea_top Monitor (kg-m/s^3): top_cv4,ea_top Monitor (kg-m/s^3): top_cv5,ea_top Monitor (kg-m/s^3): top_cv6,ea_top Monitor (kg-m/s^3): top_cv7
0.00410143,6.0199296473924569e-07,1.8342843171659286e-07,8.9210822014416507e-09,6.6765344484000818e-09,2.2261261376075772e-09,-3.3707121299182957e-09,2.7117226328047512e-09
0.00415207,6.3218670758760731e-07,2.0431915578728994e-07,2.5939374989433835e-08,2.3672056563155678e-08,1.9670764681914583e-08,1.4387271888235795e-08,2.2335308761079151e-08
0.00420271,6.58393146205776e-07,2.2029489331848104e-07,3.815193552427267e-08,3.587811634069955e-08,3.2345108488367815e-08,2.7362391305196975e-08,3.6966192398202447e-08
0.00425334,6.7950746868848553e-07,2.3037739942346969e-07,4.4423565552095848e-08,4.2167978692604683e-08,3.9092406262395018e-08,3.4410302161014067e-08,4.5146029273571431e-08
0.00430397,6.9488433726203128e-07,2.3409217071612007e-07,4.4108676217452367e-08,4.1894186450315462e-08,3.9237865722001769e-08,3.4866286460023178e-08,4.5978133229279592e-08
0.00435461,7.0446294011489909e-07,2.3156473978238954e-07,3.7175861702784335e-08,3.5013463165863314e-08,3.2717648880602963e-08,2.8670739412545625e-08,3.9326418580280241e-08
0.00440524,7.0884381608532545e-07,2.2358153914756015e-07,2.4292465144157288e-08,2.2175030832111335e-08,2.0168839200422297e-08,1.6458504270821562e-08,2.5929922931157563e-08
0.00445588,7.0929242385742654e-07,2.1158986479820519e-07,6.8393356981318047e-09,4.7405463689357328e-09,2.9489536891003612e-09,-4.2028012858055236e-10,7.3896256098524475e-09
0.00450651,7.0764719877459693e-07,1.9760938203100709e-07,-1.3173184148607021e-08,-1.5295292258901678e-08,-1.6945091641220104e-08,-1.997910636014177e-08,-1.3984827712441967e-08
0.00455715,7.0609605891998048e-07,1.8401043571392067e-07,-3.3332632793065474e-08,-3.5529651495157381e-08,-3.7103653227535864e-08,-3.9819732887679665e-08,-3.5491925220186721e-08
0.00460778,7.068494870928904e-07,1.7317802773667081e-07,-5.117359109468807e-08,-5.3500129277965754e-08,-5.5054201136885222e-08,-5.7480351885029692e-08,-5.4468796649621944e-08
0.00465842,7.117749871177269e-07,1.6712307094772261e-07,-6.4578418119293201e-08,-6.7087044771741034e-08,-6.8664373918684287e-08,-7.0837510318434213e-08,-6.8738711453765597e-08
0.00470906,7.2204675325086248e-07,1.6710250789773702e-07,-7.2172409321027175e-08,-7.4910299307105294e-08,-7.6539628890940339e-08,-7.8503284222319238e-08,-7.7005267125980715e-08
0.00475969,7.3792758429215253e-07,1.7337589862187563e-07,-7.3579352752354761e-08,-7.6586265571708068e-08,-7.8280961262809285e-08,-8.0082756589168833e-08,-7.9061184046647681e-08
0.00481032,7.5875241703735428e-07,1.8518493046866101e-07,-6.9450493811021465e-08,-7.2756944766760194e-08,-7.4515563821884784e-08,-7.6204987455066948e-08,-7.573874885947336e-08
0.00486096,7.8301965451801686e-07,2.0087002400671798e-07,-6.1351642477397911e-08,-6.4976579230285886e-08,-6.6785220302551569e-08,-6.8411521100535611e-08,-6.8717848682776356e-08
0.00491159,8.0856068076577312e-07,2.1809212735893551e-07,-5.1541984296243309e-08,-5.5490072423280018e-08,-5.7326353663298395e-08,-5.8936469442517692e-08,-6.0253340420512583e-08
0.00496223,8.3295120925771374e-07,2.343102480109472e-07,-4.2493941231313535e-08,-4.6753151068082934e-08,-4.8591121355715149e-08,-5.0227301609336851e-08,-5.268802896718523e-08
0.00501287,8.5390357925628089e-07,2.4723404545185553e-07,-3.6436279019992918e-08,-4.0976869126581793e-08,-4.2791800266037768e-08,-4.4489039250196358e-08,-4.804065067186394e-08
0.0050635,8.6958420448572743e-07,2.5517727635701544e-07,-3.4996619177939388e-08,-3.9772613923602582e-08,-4.1544715930249862e-08,-4.3327899537687436e-08,-4.7719257318499295e-08
0.00511413,8.7887812345536217e-07,2.5731383154396884e-07,-3.8937831692119168e-08,-4.3891470504754606e-08,-4.5608037477296815e-08,-4.7488947365185446e-08,-5.2323886523509133e-08
0.00516477,8.8142138533569674e-07,2.5366163747048526e-07,-4.8172645404942629e-08,-5.3241356990341791e-08,-5.4897319874950866e-08,-5.6871970513875478e-08,-6.1701710846875967e-08
0.00521541,8.7748223845110318e-07,2.4489134008761667e-07,-6.19549562419417e-08,-6.7079763957866483e-08,-6.8676936486193133e-08,-7.0723889118681227e-08,-7.5144889428788271e-08
0.00526604,8.6790389792028588e-07,2.3218377886575227e-07,-7.902005607829964e-08,-8.4153652797409981e-08,-8.569901596073695e-08,-8.7779652355878991e-08,-9.1507402544961625e-08
0.00531667,8.5385567653763705e-07,2.1691070404686216e-07,-9.7906063041741168e-08,-1.0301862359379813e-07,-1.0452194746118005e-07,-1.0658332179697277e-07,-1.0948483957700692e-07
0.00536731,8.3661360461588864e-07,2.0037659545774797e-07,-1.1721613685317415e-07,-1.2229744110851706e-07,-1.2376847002993029e-07,-1.2574888426184565e-07,-1.2783290802763743e-07
0.00541794,8.174055315930182e-07,1.8367156379234904e-07,-1.3577352532313315e-07,-1.4083092764288874e-07,-1.4227620510481546e-07,-1.4411296570424767e-07,-1.4549003230974563e-07
0.00546858,7.973249902921263e-07,1.6763612448756578e-07,-1.5266943364971325e-07,-1.5772248405333589e-07,-1.5914214974482746e-07,-1.6078013954699494e-07,-1.6161138358218477e-07
0.00551922,7.7729608140253846e-07,1.5289915705478743e-07,-1.6723021491750035e-07,-1.7230356311028875e-07,-1.7368858377465489e-07,-1.7508803025802645e-07,-1.7553962700613418e-07
0.00556985,7.5805575297371826e-07,1.3993710311576902e-07,-1.7896738955606556e-07,-1.840839850533019e-07,-1.8541487723427187e-07,-1.8655652368369936e-07,-1.8677087117595776e-07
0.00562048,7.4016753870482597e-07,1.2913465632410826e-07,-1.8751795865636449e-07,-1.9269508937234655e-07,-1.9394297263238043e-07,-1.9482961417302592e-07,-1.949130367700099e-07
0.00567112,7.2400816151415094e-07,1.2078513737332633e-07,-1.926494966273785e-07,-1.9789779779674825e-07,-1.9902825603246879e-07,-1.9968227607527838e-07,-1.9970575478713253e-07
0.00572176,7.0973591757607834e-07,1.1503295004145501e-07,-1.9431842277110566e-07,-1.9964324131623396e-07,-2.006229188039375e-07,-2.0108068323841075e-07,-2.0108678634815256e-07
0.00577239,6.9729116328209818e-07,1.1182487179547569e-07,-1.9271735718409132e-07,-1.9812122545148095e-07,-1.9892553404213496e-07,-1.9923014531073617e-07,-1.9924096149691963e-07
0.00582302,6.8640699897433732e-07,1.1086750661000226e-07,-1.8831317700490645e-07,-1.9379782773727662e-07,-1.9441739173390336e-07,-1.9461156786283195e-07,-1.9463521381223413e-07
0.00587366,6.7664935976063571e-07,1.1162687089602997e-07,-1.8183797783601327e-07,-1.8740451959569792e-07,-1.8784806620921148e-07,-1.8796869284138896e-07,-1.8800412299919195e-07
0.00592429,6.6749156230573067e-07,1.133847013606332e-07,-1.7421867062021777e-07,-1.7986537921239611e-07,-1.8015795933154191e-07,-1.8023313727001885e-07,-1.8027386158918544e-07
0.00597493,6.5840791738459874e-07,1.1533600443797833e-07,-1.664621296734064e-07,-1.721802079574288e-07,-1.723572557858956e-07,-1.7240591525165224e-07,-1.7244319967966287e-07
0.00602557,6.4896599788965623e-07,1.1670379388079629e-07,-1.5952215339648672e-07,-1.6529052397765253e-07,-1.653898227151156e-07,-1.6542325287773442e-07,-1.6544891565981113e-07
0.0060762,6.3891240371728055e-07,1.1685917137383811e-07,-1.5416418410051066e-07,-1.5994467928894358e-07,-1.5999895356162635e-07,-1.600233387708032e-07,-1.6003181402296976e-07
0.00612683,6.2823016927756628e-07,1.1541043300457221e-07,-1.5086251615036665e-07,-1.5659679782857585e-07,-1.5662933682309034e-07,-1.5664838695007129e-07,-1.5663766943054943e-07
0.00617747,6.1716411915609479e-07,1.1225902965503239e-07,-1.4974006068814002e-07,-1.553493931315684e-07,-1.5537395531154342e-07,-1.553910635310029e-07,-1.5536250403347658e-07
0.00622811,6.0621664130535265e-07,1.0762128033428414e-07,-1.5055082035620413e-07,-1.5593939311210336e-07,-1.5596418657683044e-07,-1.559839638025638e-07,-1.5594129792101508e-07
0.00627874,5.9611641360645e-07,1.0201500772821556e-07,-1.5270061707624604e-07,-1.577627876462494e-07,-1.5779726849929722e-07,-1.5782665019581078e-07,-1.5777485473069196e-07
0.00632937,5.8777743580306336e-07,9.6230049457164091e-08,-1.5528618856336712e-07,-1.5991760735798129e-07,-1.5998041391389084e-07,-1.6002958665847642e-07,-1.5997402251154321e-07
0.00638001,5.8225546005870544e-07,9.1292781589041371e-08,-1.5714316208696151e-07,-1.6125542591483786e-07,-1.6138187307839478e-07,-1.6146508271807594e-07,-1.6141107778409314e-07
0.00643064,5.8070840298398991e-07,8.8430145488256527e-08,-1.5689474413034442e-07,-1.6043235030459868e-07,-1.6068030635616807e-07,-1.6081634901224129e-07,-1.6076904523769037e-07
0.00648128,5.8436069009376865e-07,8.9029970068566041e-08,-1.530028307736305e-07,-1.5596076716259272e-07,-1.5641412825418262e-07,-1.5662614220213528e-07,-1.565903859825184e-07
0.00653192,5.944702283652065e-07,9.4595669092643778e-08,-1.4382203161924925e-07,-1.4626174692218441e-07,-1.470308993657062e-07,-1.4734518908413297e-07,-1.4732522638645042e-07
0.00658255,6.1229854650418013e-07,1.0669739810916736e-07,-1.2765816600969348e-07,-1.2971935926126742e-07,-1.3093820922547895e-07,-1.3138213035769341e-07,-1.313811626307112e-07
0.00663318,6.3907625034753866e-07,1.2691175424181126e-07,-1.0283743455485502e-07,-1.0474307848540523e-07,-1.065625843638187e-07,-1.0716180891424293e-07,-1.071816019215841e-07
0.00668382,6.7596431935648189e-07,1.5675030839757554e-07,-6.7789669730171323e-08,-6.9842201737616314e-08,-7.242071306055309e-08,-7.3196587213326228e-08,-7.3237326466335366e-08
0.00673445,7.2400573459114887e-07,1.9757478253796886e-07,-2.1138158043867867e-08,-2.3705679732236039e-08,-2.7197012182717433e-08,-2.8164740904095543e-08,-2.8225250992402763e-08
0.00678509,7.8406606078591852e-07,2.5050246225847582e-07,3.8193030388673065e-08,3.4700783953296064e-08,3.0160043771189111e-08,2.8991898795771552e-08,2.8913638545146891e-08
0.00683572,8.5676241165658914e-07,3.1630335480230064e-07,1.1086774093642197e-07,1.0603215328399272e-07,1.0033414812969117e-07,9.8962709931710845e-08,9.8868957064305907e-08
0.00688636,9.423793952413437e-07,3.9529031401999629e-07,1.970244500618757e-07,1.9045586535502492e-07,1.835300815034316e-07,1.819558250914637e-07,1.818485928429597e-07
0.00693699,1.040778977035299e-06,4.8721099211578478e-07,2.9617056811274684e-07,2.8754628047454397e-07,2.793624311836393e-07,2.7758616884035733e-07,2.7746703720808344e-07
0.00698763,1.1512954357728246e-06,5.9113408650453509e-07,4.0707734819396258e-07,3.961737639154682e-07,3.8673982005925738e-07,3.8475931415738387e-07,3.8462959704755787e-07
0.00703827,1.2726381850863036e-06,7.053534125620441e-07,5.2769734310137475e-07,5.1441077464494032e-07,5.0376526860417479e-07,5.0157210407141114e-07,5.014332771396916e-07
0.0070889,1.4027847569920834e-06,8.2729185027774716e-07,6.5508344715107857e-07,6.3943566593776951e-07,6.2763517714554138e-07,6.2521173345581761e-07,6.2506593270934354e-07
0.00713953,1.5389114339317736e-06,9.5345123232018902e-07,7.8535181271988741e-07,7.6747952606255054e-07,7.5458325587248774e-07,7.5189995353102443e-07,7.5175033861815988e-07
0.00719017,1.6773745923344647e-06,1.0794191841075468e-06,9.1369592808047732e-07,8.9382620563513548e-07,8.7988015873070648e-07,8.7689293916595062e-07,8.7674355304382583e-07
0.0072408,1.8137679264141343e-06,1.1999556321528174e-06,1.0344745358491137e-06,1.0128915366025941e-06,9.9791421544672032e-07,9.9456256986008618e-07,9.9441738788254928e-07
