Physical Time (s),etp_bot Monitor (kg-m/s^3): bot_cv1,etp_bot Monitor (kg-m/s^3): bot_cv2,etp_bot Monitor (kg-m/s^3): bot_cv3,etp_bot Monitor (kg-m/s^3): bot_cv4,etp_bot Monitor (kg-m/s^3): bot_cv5,etp_bot Monitor (kg-m/s^3): bot_cv6,etp_bot Monitor (kg-m/s^3): bot_cv7
0.09276332,0.0070972741722895565,0.0086355496298666963,0.011166695056269698,0.011802102209217971,0.010465745497431761,0.010082899065145064,0.0080408328885794508
0.09281396,0.0064650233138287732,0.0078658259214971372,0.010278215225590316,0.010866341361190999,0.009479873353923968,0.0089760934967264248,0.0068582638743627661
0.09286459,0.0058825742755598941,0.0071533732717414065,0.0094536663185832114,0.010009953191096085,0.0085821000197062319,0.0079380685218351146,0.0057403344613797553
0.09291523,0.0053498976901722034,0.0064975870671124241,0.008690604445469605,0.0092288599817548621,0.0077701377429132508,0.0069729856123946369,0.004690347058909917
0.09296586,0.0048652411185103493,0.0058960834002435335,0.0079848664838771954,0.00851655518583758,0.0070385741992635073,0.0060828135992210125,0.0037109323612782882
0.0930165,0.0044255454647459426,0.0053450985444402155,0.0073310743051322198,0.007864810454119301,0.0063796129965869482,0.005267673556532986,0.0028036911301138998
0.09306713,0.0040276867312692552,0.0048410384996084837,0.0067244238171626346,0.0072656897419774644,0.0057851260404254493,0.004527570510973921,0.0019713248803928354
0.09311776,0.0036686013214413792,0.0043806329659929416,0.0061608722518884081,0.0067119787201112774,0.0052471484354095488,0.0038625654212869082,0.0012173521293514355
0.0931684,0.003345697936625014,0.0039613857329626068,0.0056377171358500816,0.0061979865322882013,0.0047588151995365292,0.0032732116772186326,0.00054635414851204531
0.09321903,0.0030571861334359888,0.0035819394730859295,0.0051540808058504429,0.0057202027388375456,0.004315078959791962,0.0027607513141560945,-3.6690534125707885e-05
0.09326967,0.002802115819287358,0.0032421396792408374,0.0047110181500220382,0.005277610900317785,0.003913124144363447,0.0023273909142573958,-0.00052531380586663765
