Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
0.00212667,3.011185137509719e-16,2.0893014482240818e-16,-2.337105822507574e-15,-2.8573750584283785e-15,-2.0438978123036469e-15,-1.5287387537181325e-15,-1.6303799011662615e-15
0.00217731,3.330519376181348e-15,3.4530815829113963e-15,3.2689091679363101e-15,1.8692759721264264e-15,1.8210451961319795e-15,5.3970284871112982e-16,6.3334813001029372e-16
0.00222794,2.7997065778135554e-15,2.8299184451493341e-15,2.475712741535818e-15,2.7427974856674572e-15,2.9752930081123412e-15,2.4954017798651773e-15,2.1676816175713472e-15
0.00227858,-5.9560745252895472e-15,-6.5527379462977137e-15,-7.0172074761143851e-15,-7.9024325951000335e-15,-7.1889576065042548e-15,-6.242442007719576e-15,-5.7381316059231666e-15
0.00232921,-5.3176084623136319e-16,-1.431959040843445e-15,1.0579802040412341e-16,1.062526651271173e-15,1.0064154346979305e-15,1.3038051971813139e-15,1.0117860730959715e-15
0.00237984,3.3777176736481034e-15,1.820232673573033e-15,6.6959320076982088e-16,-9.7678657768325364e-16,-9.8712676087651057e-16,-3.9481367242281068e-17,-9.6290782795255974e-16
0.00243048,-1.5389569138901339e-15,-3.358983622063736e-15,-4.955600526383166e-15,-5.8323075635488706e-15,-7.376068813465534e-15,-9.5433208630409244e-15,-1.1039793366977019e-14
0.00248111,-2.5865278523520166e-15,-2.6132970263416065e-15,-6.4255843453223094e-16,-1.3090367597877237e-15,-1.431275121481237e-15,-2.3754235756404813e-15,-1.5029261104202947e-15
0.00253175,4.1917610938707053e-15,3.9847976852474728e-15,3.78592209465204e-15,4.0929506622717816e-15,4.215261844836736e-15,3.4400324348859709e-15,3.1684316899972881e-15
0.00258238,1.0908372945148627e-15,1.045053904116703e-15,-4.1112281661328957e-15,-4.8989917441174406e-15,-4.3293054371640421e-15,-5.182580354976293e-15,-6.8474926326376108e-15
0.00263302,7.6715845549232169e-15,7.581330811479423e-15,7.2499230799113497e-15,7.5032791259561563e-15,7.5963871740613929e-15,9.0040068849078263e-15,9.2141006517677216e-15
0.00268366,4.2001252502895442e-15,3.4332941270101559e-15,1.4310801266347158e-15,1.5935693796365127e-15,1.5955307798179971e-15,1.2311517709496134e-16,-1.562559491312719e-16
0.00273429,-5.3315167254602902e-15,-6.5369148783651203e-15,-9.8724969141330978e-15,-9.8652269851300722e-15,-9.8907939672126783e-15,-9.9161310122878002e-15,-9.0383923722451826e-15
0.00278492,-3.4252531898598983e-15,-3.2201360577206493e-15,-5.9147910276520729e-15,-5.6083235275931394e-15,-5.1060770848077373e-15,-4.7438583872636538e-15,5.3523161952263534e-16
0.00283556,-1.2068253048912072e-15,-9.511529360684158e-16,-2.1625313940516703e-15,-3.9375808882964188e-15,-3.6281256378579122e-15,-4.3139605976654784e-17,2.0319877365266168e-15
0.00288619,2.621035489477547e-15,1.980098430445102e-15,-1.1942526707774943e-15,-2.0206172979456309e-15,-1.3738937017759675e-15,-1.75512629354746e-15,-3.1455684135311132e-17
0.00293683,1.4776384516925255e-15,1.1466803012263648e-15,-1.2452888640518598e-15,-2.8977716278605018e-15,-2.6212103870397349e-15,-3.3847631562264847e-15,-5.8012179316193827e-15
0.00298746,5.1923093628515518e-15,5.398138272059099e-15,5.9661130963232373e-15,6.2327245511935584e-15,6.0165342106964364e-15,6.468749249232388e-15,1.21509487156772e-14
0.0030381,4.099696658512104e-15,1.8434861700952575e-15,-2.1287998196673163e-15,-2.8482316785287742e-15,-4.1588174426289449e-15,-4.271614114505718e-15,-4.9692560752228419e-15
0.00308874,-2.5153881798913859e-16,-1.4002718708201221e-15,-4.7726870760894914e-15,-4.924345713817987e-15,-4.3321566451414652e-15,-4.630738147488948e-15,-5.0909401854484223e-15
0.00313937,1.6130665098797546e-15,1.604135079389908e-15,3.145158703619629e-15,3.1288104471651293e-15,2.7817020209889861e-15,3.2379162691661072e-15,2.3209357440586154e-15
0.00319001,7.8291273759011477e-16,3.8289184578107609e-16,-1.4070496489496821e-15,-3.1067180120519003e-15,-3.6129149992064569e-15,-4.1319049517874624e-15,-3.3619627104363346e-15
0.00324064,3.3546226321532341e-15,2.7466274484332046e-15,1.1450511641754726e-15,7.6399996106308512e-16,1.5869446885054926e-15,7.2628342220250903e-16,1.2330517679898044e-15
0.00329127,3.8403603659943094e-15,1.8626365705238715e-15,2.9003195886758617e-15,3.5466930075387941e-15,2.9302770816100613e-15,2.1171330360483847e-15,2.7903705900867056e-15
0.00334191,1.5915762618021259e-15,1.2990579241700886e-15,-3.8924698183968158e-16,-6.5623975942692177e-17,1.0758026417147163e-15,9.5411404269458684e-16,3.4400403387626753e-15
