Physical Time (s),enthalpy_storage_vol Monitor (N): cv1,enthalpy_storage_vol Monitor (N): cv2,enthalpy_storage_vol Monitor (N): cv3,enthalpy_storage_vol Monitor (N): cv4,enthalpy_storage_vol Monitor (N): cv5,enthalpy_storage_vol Monitor (N): cv6,enthalpy_storage_vol Monitor (N): cv7
0.22978163,0.016624702502327136,0.033318422083415226,0.063774922490402147,0.093874404644792561,0.1327365369052293,0.21413818039887844,0.35794736261701182
0.22983227,0.016612882612992545,0.033249647634793593,0.063864409113781828,0.093943730415825863,0.13270889480146167,0.21416013997496239,0.3579746838167493
0.2298829,0.016584719033050498,0.033174890799529219,0.063946913386817628,0.094005906963562064,0.13267542675112209,0.21417739467331354,0.35799901858139588
0.22993353,0.016540049186633279,0.033096542334524956,0.064020580587954443,0.094060369246290368,0.13263636817653995,0.21418996934191387,0.35802039563212507
0.22998417,0.016479467106620072,0.033017361364360003,0.064083363971949317,0.094107116348557535,0.13259197046476717,0.21419790597788241,0.35803885085605835
0.2300348,0.016404408319156894,0.032940150317660517,0.064133173122416537,0.094146636096466799,0.13254257345498194,0.21420133497402466,0.35805449475180273
0.23008544,0.016316994980972756,0.032867385347112928,0.064167986737382957,0.094179550357708405,0.13248842171028308,0.21420029421175896,0.35806733546797337
0.23013607,0.016220014808290474,0.032800948984872381,0.064186265631203693,0.094206469310272656,0.13242968648321676,0.21419474768241933,0.35807729897759222
0.23018671,0.016116851397685157,0.032742291506286283,0.064187507875254679,0.094228178585734873,0.13236674357350839,0.21418486271729947,0.35808450967931815
0.23023734,0.01601072269949335,0.032692292569984023,0.064171948676285021,0.094245259651897673,0.1322998184757965,0.21417066219497857,0.35808893689688404
0.23028798,0.015904264908049397,0.032651502985613881,0.064140580905564015,0.094258237138368353,0.13222911801687326,0.21415217661633984,0.3580905467838788
0.23033861,0.015799101641151881,0.032620272574226221,0.064094917097970563,0.094267560779870474,0.13215492540418702,0.21412944357993702,0.35808930697800873
0.23038925,0.015696295217785886,0.032598768499694682,0.064036787418257107,0.094273605588915177,0.13207752195002326,0.21410251358164045,0.35808519602501665
0.23043988,0.015595332614635877,0.032586913331031482,0.063968114337929857,0.09427674242250042,0.13199713380744338,0.21407146666828741,0.3580782175195017
0.23049052,0.015494977290195239,0.032584214245822168,0.063890773444352483,0.094277301985164194,0.13191396990526519,0.21403640236533478,0.35806838458118917
0.23054115,0.015393387905968234,0.032589636225675553,0.063806592240382751,0.094275587225327112,0.13182830962274911,0.21399748803679783,0.35805576859820143
0.23059179,0.015288936290350604,0.03260156964596056,0.06371733926675037,0.094271950972193902,0.13174051243089441,0.21395495516712665,0.35804049928920118
0.23064242,0.015180587843634633,0.032618079306972018,0.063624744996214511,0.094266807520654292,0.13165100756287498,0.21390911033949833,0.35802277108885078
0.23069306,0.015068041936865175,0.032637327129802655,0.063530478046140981,0.094260623148259573,0.13156028915291818,0.2138603331492796,0.35800284057741422
0.23074369,0.014951998965141452,0.032657907655741461,0.063436077925021539,0.094253931671703817,0.13146890894771493,0.21380908467967055,0.35798104100492956
0.23079433,0.014834081352000178,0.032678959815311145,0.063342875335935078,0.094247324184000891,0.13137745622258334,0.2137558903959787,0.35795776373780419
0.23084496,0.014716710026021731,0.032700083873547274,0.063251924880166871,0.094241409033447507,0.131286526930741,0.21370131556086713,0.35793342929697664
0.2308956,0.014602822356535063,0.032721148303051062,0.063163980329978317,0.094236821857347636,0.13119673518496802,0.21364595679331486,0.35790848565651823
0.23094623,0.01449550687532925,0.032742094010258072,0.063079506904782492,0.094234192065074204,0.13110869621231733,0.21359043712529205,0.35788340001761859
0.23099687,0.014397594977746547,0.032762783866876644,0.062998702632994383,0.094234177013893139,0.13102304563202821,0.21353538838615432,0.35785864954272467
0.2310475,0.014311398289426217,0.032782875172191632,0.062921520985586524,0.094237359339521126,0.13094040636933779,0.21348144034849817,0.3578347054910217
0.23109814,0.014238363643703775,0.032801805765212223,0.062847698032148042,0.094244298887552133,0.1308614002463902,0.21342921928528197,0.35781203368262005
0.23114878,0.014179150623040235,0.032818926724119936,0.062776864543881872,0.094255494410095106,0.13078667701829416,0.21337935985187484,0.35779111264561619
0.23119941,0.01413369249675079,0.032833734557648743,0.062708606779735498,0.094271334639526042,0.13071687916337302,0.21333249256470971,0.35777240754836537
