Physical Time (s),ea_left Monitor (kg-m/s^3)
0.01524113,-0.0013025035240821761
0.01529177,-0.0012991882675766867
0.0153424,-0.0012977739348270449
0.01539304,-0.0012983407059025556
0.01544368,-0.0013009217750716967
0.01549431,-0.0013055053346023937
0.01554494,-0.0013120362994694036
0.01559558,-0.0013204181658398064
0.01564621,-0.0013305153256061202
0.01569685,-0.0013421568341663913
0.01574748,-0.0013551414969451615
0.01579812,-0.0013692442302536555
0.01584875,-0.0013842232689755076
0.01589939,-0.0013998281328905272
0.01595002,-0.0014158076420944514
0.01600066,-0.0014319175417012509
0.0160513,-0.0014479274555184568
0.01610193,-0.0014636270831115323
0.01615257,-0.0014788311768612118
0.0162032,-0.0014933834894119936
0.01625384,-0.0015071594485388388
0.01630447,-0.0015200676434379958
0.0163551,-0.0015320499604531386
0.01640574,-0.0015430803894906039
0.01645637,-0.0015531627154491674
0.01650701,-0.0015623271214459254
0.01655764,-0.0015706258420856015
0.01660828,-0.0015781281172796602
0.01665891,-0.0015849149610028452
0.01670955,-0.0015910738501511386
0.01676019,-0.0015966934409251663
0.01681082,-0.0016018587772662263
0.01686146,-0.0016066473525964621
0.01691209,-0.0016111251643977252
0.01696272,-0.0016153442820466635
0.01701336,-0.0016193412887605596
0.01706399,-0.0016231365511609318
0.01711463,-0.0016267342785542998
0.01716526,-0.0016301242157052789
0.0172159,-0.0016332837984979586
0.01726653,-0.0016361809697801267
0.01731717,-0.0016387770505341681
0.01736781,-0.0016410297483782032
0.01741844,-0.0016428968624132827
0.01746908,-0.001644339354892585
0.01751971,-0.0016453238550614107
0.01757035,-0.0016458260717981351
0.01762098,-0.0016458329890006477
0.01767161,-0.0016453449352116533
0.01772225,-0.00164437692974991
0.01777288,-0.0016429591458031016
0.01782352,-0.0016411367435987508
0.01787415,-0.0016389686751035685
0.01792479,-0.0016365261626411368
0.01797542,-0.0016338905353780635
0.01802606,-0.0016311508148673546
0.0180767,-0.0016284009509394683
0.01812733,-0.0016257373153176161
0.01817797,-0.0016232555434117673
0.0182286,-0.0016210478577744535
0.01827924,-0.0016192006961309841
0.01832987,-0.00161779235551288
0.0183805,-0.0016168912330108655
0.01843114,-0.0016165546985652994
0.01848177,-0.0016168280191242858
0.01853241,-0.0016177442228534097
0.01858304,-0.0016193234382264401
0.01863368,-0.0016215738870221309
0.01868431,-0.0016244914825928819
0.01873495,-0.0016280612299819934
0.01878559,-0.0016322578114925615
0.01883622,-0.0016370468609356616
0.01888686,-0.0016423861427764357
0.01893749,-0.0016482269256519596
0.01898812,-0.0016545154282704981
0.01903876,-0.0016611943208960241
0.01908939,-0.0016682041915263102
0.01914003,-0.0016754849116145741
0.01919066,-0.0016829770450505638
0.0192413,-0.0016906229222271103
0.01929193,-0.00169836740979538
0.01934257,-0.0017061590766927232
0.01939321,-0.0017139504116337936
0.01944384,-0.0017216978447076453
0.01949448,-0.0017293626348051554
0.01954511,-0.0017369102130737953
0.01959575,-0.0017443098669500045
0.01964638,-0.0017515344647662809
