Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.00243048,4.605938467773702e-07,2.9836954015599082e-07,-6.4017919763644389e-08,-2.319654924690008e-07,-2.9664522521641373e-07,-2.1195517625650423e-07,-2.2006029416835845e-07
0.00248111,6.179451989365566e-07,4.2305302076585687e-07,-5.6921717317045217e-09,-1.4048931630362866e-07,-1.9887113984455406e-07,-1.3963543140808967e-07,-1.4645443987407246e-07
0.00253175,7.8342299445345302e-07,5.6282035608399907e-07,4.5097401785600396e-08,-7.1145669136922463e-08,-1.1709421105659399e-07,-8.5654164531998941e-08,-9.1214101168314031e-08
0.00258238,9.384261536785711e-07,7.0214985090251446e-07,8.2980463309708655e-08,-2.8009115230589364e-08,-6.061504741245858e-08,-5.3592061616076594e-08,-5.8896467999424657e-08
0.00263302,1.0683512841005973e-06,8.2713988575034703e-07,1.0678369265575883e-07,-1.2405685601017337e-08,-3.3802013947654666e-08,-4.3054573442024604e-08,-5.0084948918428797e-08
0.00268366,1.1598748350749239e-06,9.2384262489571032e-07,1.153354213881099e-07,-2.3035101334927604e-08,-3.8549328195704655e-08,-5.3840089873320598e-08,-6.4808251775925316e-08
0.00273429,1.2116684935548999e-06,9.8822260596327029e-07,1.1248972184606888e-07,-5.4986552201295445e-08,-6.9561987455059164e-08,-8.2452196056754714e-08,-9.9744953350125025e-08
0.00278492,1.2179913049310885e-06,1.0100860651282393e-06,9.7478970940071118e-08,-1.041099614891723e-07,-1.2234003547840899e-07,-1.2597100736006996e-07,-1.4919925017052027e-07
0.00283556,1.1896240902694576e-06,9.9534034810229454e-07,7.4449503139003379e-08,-1.6231901721686925e-07,-1.874114586361101e-07,-1.7991476118014402e-07,-2.0705612764579844e-07
0.00288619,1.1327258464087236e-06,9.491019033762952e-07,4.3715314479813849e-08,-2.2422157908923787e-07,-2.5735069771894484e-07,-2.4121430134596173e-07,-2.6713458812738079e-07
0.00293683,1.0470523326918618e-06,8.7223141063459942e-07,1.6624733945469415e-09,-2.8747177396018775e-07,-3.2747440450327981e-07,-3.078214253159472e-07,-3.2223002286465655e-07
0.00298746,9.5944869780684909e-07,7.862273496690999e-07,-4.4721059988698066e-08,-3.479865192014696e-07,-3.9361565922291305e-07,-3.7706635913972894e-07,-3.7667317318832731e-07
0.0030381,8.806168300613733e-07,7.0177936098245973e-07,-9.4886861345713553e-08,-4.0668742848040261e-07,-4.5703553355048345e-07,-4.4748028461380169e-07,-4.3353375489839878e-07
0.00308874,8.0961214537059497e-07,6.1912462236099791e-07,-1.5067542318906727e-07,-4.6492798176029741e-07,-5.1868560735872565e-07,-5.1739948026378558e-07,-4.9095772587538844e-07
0.00313937,7.5832239273229865e-07,5.4888970802673139e-07,-2.0988583303227773e-07,-5.2604736807807495e-07,-5.8398065989550131e-07,-5.8858678569283038e-07,-5.5920213791831649e-07
0.00319001,7.2707435030056786e-07,4.9269404965566096e-07,-2.7202667344612048e-07,-5.9189857214248143e-07,-6.5542547127398898e-07,-6.6207919072882482e-07,-6.4055385609340821e-07
0.00324064,6.9436126156214406e-07,4.3677169374437844e-07,-3.3898949645535228e-07,-6.5755859120746589e-07,-7.2396242555763804e-07,-7.3184811914377292e-07,-7.140167124400671e-07
0.00329127,6.705338527415431e-07,3.9010212452482956e-07,-4.0735309503729455e-07,-7.2594897514416289e-07,-7.9502041679964268e-07,-8.0247648494847306e-07,-7.9142905451489195e-07
0.00334191,6.6104124792239317e-07,3.5760014841652187e-07,-4.7392230359881528e-07,-7.978501047765297e-07,-8.7096544868469117e-07,-8.7711968147075208e-07,-8.7832048710811223e-07
0.00339254,6.6325391815762752e-07,3.3823268230495676e-07,-5.3561789238586724e-07,-8.7028398771633353e-07,-9.4860167369033687e-07,-9.5461078457640177e-07,-9.6968339149780868e-07
0.00344318,6.6733367337103729e-07,3.2477829987128477e-07,-5.9213540487596157e-07,-9.4082087494625023e-07,-1.0242854840143476e-06,-1.0326456657927301e-06,-1.057996262880487e-06
0.00349381,6.6947280262496857e-07,3.1401541513212739e-07,-6.4207418671838973e-07,-1.0073847279232137e-06,-1.0958220674669276e-06,-1.1089139613412533e-06,-1.139816846657846e-06
0.00354445,6.704057786018426e-07,3.0615820318317874e-07,-6.8271948110264608e-07,-1.0670259559450045e-06,-1.1607179909340228e-06,-1.1800412492940155e-06,-1.2122853355913121e-06
0.00359509,6.605433964120459e-07,2.9438710150332254e-07,-7.1286363689535078e-07,-1.1136066250566629e-06,-1.2107731549925428e-06,-1.2356585122647608e-06,-1.263341031477688e-06
0.00364572,6.5222531882352484e-07,2.8649948477159975e-07,-7.3273389345259068e-07,-1.1513847345441172e-06,-1.2529770841299929e-06,-1.2830233310856823e-06,-1.3053178438014194e-06
0.00369636,6.3944162990317545e-07,2.7851237625018925e-07,-7.4290086680266386e-07,-1.1768100008251413e-06,-1.2820530084322614e-06,-1.3153080779232139e-06,-1.3306731279852116e-06
0.00374699,6.1939163603205066e-07,2.6907532880744979e-07,-7.4421340256858847e-07,-1.1875843009383982e-06,-1.2942172032949573e-06,-1.3273907675848827e-06,-1.3356147125932909e-06
0.00379762,5.9467013427366128e-07,2.5897738072533621e-07,-7.4200000421969956e-07,-1.1903062674655728e-06,-1.2966771458950428e-06,-1.3272332650432614e-06,-1.3303235775525188e-06
0.00384826,5.7143885770224089e-07,2.5318827224743064e-07,-7.3815987271238234e-07,-1.1886485913909967e-06,-1.2938103089234448e-06,-1.3204990963622044e-06,-1.3212938561048418e-06
0.00389889,5.5320804531740539e-07,2.5286061942564038e-07,-7.3551118144591837e-07,-1.1873248664579219e-06,-1.2910420207442781e-06,-1.3139936856638446e-06,-1.3149685346356217e-06
0.00394953,5.3784035317743648e-07,2.5464758614364218e-07,-7.3641391428409413e-07,-1.188253888528539e-06,-1.2897610695596652e-06,-1.3092481853424388e-06,-1.312797706183167e-06
0.00400016,5.2937956974656856e-07,2.5990617951075654e-07,-7.4305240975230743e-07,-1.1965234086894311e-06,-1.2964839681821018e-06,-1.3142603306269883e-06,-1.321252417026589e-06
0.0040508,5.2452572958908353e-07,2.6550504647699753e-07,-7.5590309683512032e-07,-1.2119521060090627e-06,-1.3104781008658557e-06,-1.327750943543816e-06,-1.3383592887563289e-06
0.00410143,5.2324897007674574e-07,2.7064470837485461e-07,-7.7486050236468078e-07,-1.2353787393472707e-06,-1.333060753631793e-06,-1.3512790980700971e-06,-1.3646714297797407e-06
0.00415207,5.2368121820957545e-07,2.7373262459296382e-07,-7.9852380276564558e-07,-1.2651052558298901e-06,-1.3623564724239617e-06,-1.3823919719795768e-06,-1.3973359634479291e-06
0.00420271,5.2611825413345689e-07,2.7499536087130469e-07,-8.2497681759482371e-07,-1.2997115576453854e-06,-1.397435520353365e-06,-1.4201093570227341e-06,-1.4347401793591002e-06
0.00425334,5.3132921104114153e-07,2.752032731478723e-07,-8.5244621854803977e-07,-1.3381293636953726e-06,-1.4378956142060757e-06,-1.4642080690905621e-06,-1.4760568707362605e-06
0.00430397,5.3659307036987031e-07,2.7302488233130981e-07,-8.790900345460052e-07,-1.3773079436268868e-06,-1.480255546848782e-06,-1.5105185778244664e-06,-1.517904381841357e-06
0.00435461,5.4130655936234395e-07,2.6863573812004447e-07,-9.0342312235358546e-07,-1.4152698226834849e-06,-1.5225859734078983e-06,-1.5569163287018905e-06,-1.5587907334065618e-06
0.00440524,5.4420240303289542e-07,2.6223451423947993e-07,-9.2395140753768273e-07,-1.4492410627075126e-06,-1.5617314019020912e-06,-1.5997669626441496e-06,-1.5961573435141014e-06
0.00445588,5.4463099277044838e-07,2.5232685987083957e-07,-9.3977417212518723e-07,-1.4771631424929191e-06,-1.5952999179221993e-06,-1.636312012527756e-06,-1.6282251934756102e-06
0.00450651,5.4207783591505491e-07,2.3918761960923544e-07,-9.5054092061856936e-07,-1.4975436677921028e-06,-1.6213125448926974e-06,-1.6643802778535932e-06,-1.6535004364876456e-06
0.00455715,5.3657251194787751e-07,2.2316848800365312e-07,-9.5661802438636098e-07,-1.509985873237146e-06,-1.6389823624855939e-06,-1.6830242263778015e-06,-1.6713446350349922e-06
0.00460778,5.3056317551005199e-07,2.0683841561966684e-07,-9.5677205122756264e-07,-1.5129531260732113e-06,-1.6464609999299212e-06,-1.6903928309078186e-06,-1.6798530974426131e-06
0.00465842,5.2104925680490229e-07,1.8725555760140951e-07,-9.558561096332259e-07,-1.5115308152237405e-06,-1.6486306659594227e-06,-1.6914992406310764e-06,-1.6835125035434201e-06
0.00470906,5.1095501216353912e-07,1.674574798723585e-07,-9.5326959372365515e-07,-1.5057939352962131e-06,-1.6455640294947255e-06,-1.6867108333405133e-06,-1.6818851703089728e-06
0.00475969,5.0250326941000212e-07,1.5003378855762255e-07,-9.4921331940517004e-07,-1.4969183183341581e-06,-1.6384364745096318e-06,-1.6774862030380814e-06,-1.6754420020121437e-06
0.00481032,4.9571572524352044e-07,1.3523617531798192e-07,-9.4546463557983379e-07,-1.4877545634439255e-06,-1.6302527531414184e-06,-1.6671522971791032e-06,-1.666722849399198e-06
0.00486096,4.9146265331158956e-07,1.2384024902705209e-07,-9.4302812805551219e-07,-1.480499056087683e-06,-1.6234726324153985e-06,-1.6585396510097803e-06,-1.6582031859510815e-06
0.00491159,4.8979104346657536e-07,1.1589594389413086e-07,-9.4287156203811127e-07,-1.4770127619894885e-06,-1.6201261965415716e-06,-1.6538976964102128e-06,-1.6523033139054175e-06
