Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00339254,6.1702823078429576e-07,3.2147902725631091e-07,-5.6399669356933255e-07,-8.8353485407366138e-07,-9.7011469087452802e-07,-9.749856701190709e-07,-9.8230437226070666e-07
0.00344318,6.278445223058352e-07,3.1646847589707767e-07,-6.1390287502847789e-07,-9.500543041218034e-07,-1.0414991323302894e-06,-1.047332484020952e-06,-1.0682062998620859e-06
0.00349381,6.3732989469979495e-07,3.145890715084674e-07,-6.5803239867803673e-07,-1.0126325571691195e-06,-1.107990070120932e-06,-1.1165892731352379e-06,-1.146257991397688e-06
0.00354445,6.4501566089217146e-07,3.1441813499358504e-07,-6.9515991046001912e-07,-1.0696494733563049e-06,-1.1684076170512257e-06,-1.1811267461966974e-06,-1.2147276144100021e-06
0.00359509,6.4133941805771773e-07,3.0875088857416716e-07,-7.2412466520819316e-07,-1.1150120888701833e-06,-1.2148953245586898e-06,-1.2310999834671302e-06,-1.2614559059972993e-06
0.00364572,6.3858067378057506e-07,3.0511048908102742e-07,-7.4493901887528185e-07,-1.1529594554715159e-06,-1.2548275337655019e-06,-1.274383000854075e-06,-1.2992182132552581e-06
0.00369636,6.3096880819193143e-07,2.9959082712191047e-07,-7.5768382962323399e-07,-1.1797125314716887e-06,-1.2830484556481553e-06,-1.3045010943757547e-06,-1.3208537234621976e-06
0.00374699,6.1567241312030766e-07,2.9073032938688154e-07,-7.6258302769230423e-07,-1.1926253527457059e-06,-1.2957643503994705e-06,-1.316372167158174e-06,-1.3229693949612659e-06
0.00379762,5.953225801443324e-07,2.7959785629743005e-07,-7.6411926840427001e-07,-1.1976742040145605e-06,-1.2998386712485553e-06,-1.3174807659547521e-06,-1.3157575623841864e-06
0.00384826,5.7546863483861204e-07,2.7038385148813297e-07,-7.637888155513207e-07,-1.1982549502872745e-06,-1.2995227203707678e-06,-1.3132141709851458e-06,-1.3059688085499414e-06
0.00389889,5.5900525690668744e-07,2.6550558942394564e-07,-7.6430474777695452e-07,-1.1990208605799655e-06,-1.3001917524694434e-06,-1.310173785683536e-06,-1.3003231634383325e-06
0.00394953,5.4366170855256384e-07,2.614995753519198e-07,-7.6757346810794838e-07,-1.2015034386512085e-06,-1.3027196480421585e-06,-1.3092426163963323e-06,-1.299595469085318e-06
0.00400016,5.3366749630946636e-07,2.6039426170103826e-07,-7.7521708638263183e-07,-1.2103107824281015e-06,-1.3128834443093297e-06,-1.3176246362744852e-06,-1.3097721022430834e-06
0.0040508,5.2610822699094566e-07,2.5974987183749328e-07,-7.8741568107688984e-07,-1.2249067234327361e-06,-1.3292859362154779e-06,-1.3334147178809225e-06,-1.3285056217979521e-06
0.00410143,5.2111929852368055e-07,2.5911362960311793e-07,-8.0407631859106004e-07,-1.2461270319979553e-06,-1.3528983763859222e-06,-1.3578394151322554e-06,-1.3560894680053686e-06
