Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.0020254,1.9829144763960336e-07,1.4101169472309362e-07,-3.7691029635145188e-07,-4.228369311611237e-07,-4.3400931650439352e-07,-4.5305523400271779e-07,-4.5304849647795051e-07
0.00207603,1.1506831953590799e-07,9.3732426112941856e-08,-2.7198613544183451e-07,-3.4103347224042281e-07,-3.51452516129389e-07,-3.7178598179454481e-07,-3.7177347638465858e-07
0.00212667,7.5213786057498243e-08,6.745192820675892e-08,-1.6296830918414307e-07,-2.4398950982158318e-07,-2.550466641530962e-07,-2.7767317048388831e-07,-2.7765159587747528e-07
0.00217731,5.8629486199474867e-08,5.5016761110166596e-08,-7.8595900431303836e-08,-1.5723727754466449e-07,-1.6949478080618242e-07,-1.956951650438115e-07,-1.9566087068238531e-07
0.00222794,5.3961923000491281e-08,5.0625771955789935e-08,-2.3868873099943531e-08,-8.9506044442242528e-08,-1.0244890948345724e-07,-1.3358091091453928e-07,-1.3353222809358027e-07
0.00227858,5.8097015051027563e-08,5.2211829658596995e-08,9.2120446547268064e-09,-3.9473266856956836e-08,-5.1739651788729648e-08,-8.8929718162693469e-08,-8.8874070944474117e-08
0.00232921,7.2773676633142758e-08,6.0896437948862112e-08,3.1829037918124021e-08,-1.3904453546431137e-09,-1.1496799018710189e-08,-5.5274826074891081e-08,-5.5247528844120677e-08
0.00237984,1.0138990657582684e-07,7.9814101325253847e-08,5.3471923355574071e-08,3.1690767181995191e-08,2.4603724103583624e-08,-2.5462136845696591e-08,-2.5568609406964398e-08
0.00243048,1.4664905939755302e-07,1.1277764431993637e-07,8.0635746406077203e-08,6.6057293370747166e-08,6.1871986992726653e-08,6.7066727412429358e-09,6.2131636940831622e-09
0.00248111,2.0813911985882684e-07,1.6177214837115097e-07,1.1598915452483395e-07,1.0521657984714112e-07,1.0316467497397273e-07,4.4823164998017275e-08,4.3423014085480873e-08
0.00253175,2.8086930255461908e-07,2.2451101480813933e-07,1.5786013222568607e-07,1.4841883163787274e-07,1.4756337107019431e-07,8.8379706124129231e-08,8.5154501506214948e-08
0.00258238,3.5539044387213442e-07,2.9341684116655047e-07,2.0054427145397935e-07,1.9050098404424917e-07,1.9013457098221944e-07,1.3262162462867822e-07,1.2617886230291882e-07
0.00263302,4.2048483795829939e-07,3.5763759711195725e-07,2.36462723904343e-07,2.2402380250439159e-07,2.237794393226811e-07,1.7053277437290266e-07,1.5907665211618989e-07
0.00268366,4.6710087023653408e-07,4.071299429407236e-07,2.5941245452711154e-07,2.4274224033624851e-07,2.4247862475253935e-07,1.9598008088766579e-07,1.7759170728492813e-07
0.00273429,4.9124499809878079e-07,4.3623362573585395e-07,2.6695345396849861e-07,2.4423569538606875e-07,2.4387201879561449e-07,2.0612644895793464e-07,1.792409136603578e-07
0.00278492,4.9507386715587534e-07,4.4541529860883502e-07,2.6129200538797746e-07,2.3099972507816753e-07,2.3040483489101657e-07,2.0246765180940191e-07,1.6639995931560346e-07
0.00283556,4.8418898021762331e-07,4.3898360051027124e-07,2.4674891424981224e-07,2.0797515817176356e-07,2.0693662234220369e-07,1.8859877698443941e-07,1.4390026877097e-07
0.00288619,4.6582271290587534e-07,4.233890834494298e-07,2.2836419804092966e-07,1.8104426625364635e-07,1.7927627689294085e-07,1.6911652896010822e-07,1.1754739122207219e-07
0.00293683,4.4648397259377816e-07,4.0471411185991178e-07,2.1000457390705134e-07,1.5491040738106834e-07,1.5207722812876177e-07,1.4791580102231999e-07,9.1969630633674007e-08
0.00298746,4.3059716037676743e-07,3.8706306146740105e-07,1.9342206426252517e-07,1.3192113397540615e-07,1.2767323868358547e-07,1.2724293161482279e-07,6.9494339134900782e-08
0.0030381,4.2037478364483992e-07,3.7243556771106286e-07,1.7846637330118981e-07,1.1214006391905792e-07,1.0616825411148163e-07,1.0769127894757008e-07,5.0232967236969547e-08
0.00308874,4.163766456299027e-07,3.6131732187821798e-07,1.6381529216508592e-07,9.4074143084381834e-08,8.6173867765076033e-08,8.8603329994511619e-08,3.2741082805900043e-08
0.00313937,4.1812040825804974e-07,3.5333487498249374e-07,1.4782255394367092e-07,7.5624226584677795e-08,6.5747960260347171e-08,6.8636573942953017e-08,1.4980598680996376e-08
0.00319001,4.2451784094159035e-07,3.4776487332618496e-07,1.2902054926882253e-07,5.4729759336033045e-08,4.300318302223261e-08,4.6168522524924431e-08,-5.0573666471222077e-09
0.00324064,4.3412177372429724e-07,3.4380481194170236e-07,1.0636305758504047e-07,2.9763734785883298e-08,1.6455849024839883e-08,1.9679539208657352e-08,-2.897059256109059e-08
0.00329127,4.452990264011248e-07,3.4068725481071102e-07,7.9383903535279914e-08,-2.5949541824321526e-10,-1.4806138869488325e-08,-1.1891476597100037e-08,-5.7725805978363239e-08
0.00334191,4.5642612436489204e-07,3.3775947750096301e-07,4.8296420207967274e-08,-3.550117115282177e-08,-5.0955269198080579e-08,-4.8799731645482877e-08,-9.1471108284752896e-08
0.00339254,4.6614508154093649e-07,3.3458419852211228e-07,1.408113818651904e-08,-7.519183090404313e-08,-9.130364229741175e-08,-9.0290021259711439e-08,-1.2943106488942113e-07
0.00344318,4.7359615098767855e-07,3.310289267804049e-07,-2.1537307617952878e-08,-1.1765355041683085e-07,-1.3430024207593238e-07,-1.346164983415146e-07,-1.6993315655859467e-07
0.00349381,4.7855567445248923e-07,3.2730760591883453e-07,-5.6282122073147191e-08,-1.6049069992765023e-07,-1.7768972365903038e-07,-1.792936327698097e-07,-2.1059652727884382e-07
