Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
0.04111562,0.65245362582410793,0.90224757637060615,1.6769204799039885,1.7398187933199232,1.74003024120352,1.7401359499011779,1.7401369308588885
0.04116625,0.63176401685297467,0.89956195811103301,1.6646210755548676,1.7374393343295307,1.7376504808294739,1.737757402673791,1.737758429204552
0.04121689,0.61313728032536485,0.89727605110066055,1.6526170697621083,1.7354604544256846,1.7356713465496665,1.7357794645314697,1.7357805401911739
0.04126752,0.59689188962443374,0.89526508683879413,1.6410787864605314,1.7337640203218998,1.73397471122484,1.7340840116117964,1.7340851399702397
0.04131816,0.58319553983984829,0.89345330867463479,1.6300605260269254,1.7322651377159273,1.7324756749027646,1.7325861295365199,1.7325873141731913
0.04136879,0.57207764213200962,0.89187729209501687,1.619606453536905,1.7310068678749646,1.7312173244719702,1.7313289122330395,1.7313301567080719
0.04141943,0.56323935316956297,0.89042638848842981,1.6095155798682559,1.7298637100633656,1.7300741479983921,1.7301868282122626,1.7301881360795137
0.04147007,0.55634221215699675,0.88906123785474744,1.5996783539479096,1.7288007051299832,1.7290112101275774,1.7291249486618196,1.7291263234793133
0.0415207,0.55110278033803606,0.88779833287719678,1.5900701426824106,1.7278330561649777,1.7280437120240608,1.7281584602958828,1.7281599056088404
0.04157134,0.54729220402186263,0.88670571073055893,1.5807446361543289,1.7270302192881557,1.7272411161589527,1.7273568285987941,1.727358347954236
0.04162197,0.54459351585203053,0.8857743362731918,1.571691341596696,1.7263843862738657,1.7265956249128287,1.7267122580926071,1.7267138550651442
0.04167261,0.54260763743336371,0.88497418682755102,1.5628482303546347,1.7258611126806722,1.7260727755120984,1.7261902839473784,1.7261919621487114
0.04172324,0.541086702473769,0.88434920743896317,1.5542009691962542,1.7255108278905351,1.7257230147935592,1.7258413702282605,1.7258431333297382
0.04177388,0.53975859764889211,0.88375639955551366,1.5455265585503239,1.7251861871369916,1.7253989694968448,1.725518150776127,1.7255200025455544
0.04182451,0.53859591481247904,0.88320003889365439,1.5367655922989985,1.724902220998592,1.7251156672284269,1.7252356752865463,1.725237619612354
0.04187515,0.53746871762549109,0.88256360751795015,1.52776082748764,1.7245435251343189,1.7247577052940977,1.7248785480317046,1.7248805889404573
0.04192578,0.53641654407544215,0.88183743424768801,1.5184988340241503,1.7241070695799705,1.7243220306312623,1.724443736681992,1.7244458783819159
0.04197641,0.53554571248435234,0.88106736231708915,1.5090788393459111,1.723660523563793,1.7238763223761795,1.723998918825292,1.7240011657404921
0.04202705,0.53514506420950902,0.88048390849848035,1.4997601795633644,1.7234214213111272,1.7236381133621506,1.7237616381400371,1.7237639949291699
0.04207768,0.53541172886031485,0.88026644378864893,1.4908165590024323,1.7235976403858366,1.7238152849427861,1.7239397613960461,1.7239422329630896
0.04212832,0.53649983299937032,0.8805936379626772,1.4825232744602079,1.724381852414137,1.7246005182681048,1.724725978850856,1.7247285703428377
0.04217895,0.5385280036219029,0.88157402434553478,1.4750587086269868,1.7258770628175346,1.7260968230256228,1.726223276280336,1.7262259930746167
0.04222959,0.54146800093689851,0.88313010173962003,1.4684607854708858,1.7280716535553768,1.7282925901852875,1.7284200495566604,1.7284228972417317
0.04228022,0.5451718603440483,0.88506502792844644,1.4625818900096064,1.7307614158414915,1.7309836099066942,1.7311120782837961,1.7311150625941458
